,stoploss,squee,lookback,ema_length,conv,length,lengthMA,lengthSignal,fast,slow,signal,net_profit
0,10,2,16,24,50,24,38,7,10,20,16,205.4499999999971
1,10,2,16,24,50,24,38,7,10,25,10,205.4499999999971
2,10,2,16,24,50,24,38,7,10,25,13,205.4499999999971
3,10,2,16,24,50,24,38,7,10,25,16,205.4499999999971
4,10,2,16,24,50,24,38,7,10,30,10,205.4499999999971
5,10,2,16,24,50,24,38,7,10,30,13,205.4499999999971
6,10,2,16,24,50,24,38,7,10,30,16,205.4499999999971
7,10,2,16,24,50,24,38,7,13,20,10,205.4499999999971
8,10,2,16,24,50,24,38,7,13,20,13,205.4499999999971
9,10,2,16,24,50,24,38,7,13,20,16,205.4499999999971
10,10,2,16,24,50,24,38,7,13,25,10,205.4499999999971
11,10,2,16,24,50,24,38,7,13,25,13,205.4499999999971
12,10,2,16,24,50,24,38,7,13,25,16,205.4499999999971
13,10,2,16,24,50,24,38,7,13,30,10,205.4499999999971
14,10,2,16,24,50,24,38,7,13,30,13,205.4499999999971
15,10,2,16,24,50,24,38,7,13,30,16,205.4499999999971
16,10,2,16,24,50,24,38,7,16,20,10,205.4499999999971
17,10,2,16,24,50,24,38,7,16,20,13,205.4499999999971
18,10,2,16,24,50,24,38,7,16,20,16,205.4499999999971
19,10,2,16,24,50,24,38,7,16,25,10,205.4499999999971
20,10,2,16,24,50,24,38,7,16,25,13,205.4499999999971
21,10,2,16,24,50,24,38,7,16,25,16,205.4499999999971
22,10,2,16,24,50,24,38,7,16,30,10,205.4499999999971
23,10,2,16,24,50,24,38,7,16,30,13,205.4499999999971
24,10,2,16,24,50,24,38,7,16,30,16,205.4499999999971
25,10,2,16,24,50,24,38,9,10,20,10,163.4499999999971
26,10,2,16,24,50,24,38,9,10,20,13,247.74999999999636
27,10,2,16,24,50,24,38,9,10,20,16,247.74999999999636
28,10,2,16,24,50,24,38,9,10,25,10,212.6999999999971
29,10,2,16,24,50,24,38,9,10,25,13,247.74999999999636
30,10,2,16,24,50,24,38,9,10,25,16,173.14999999999782
31,10,2,16,24,50,24,38,9,10,30,10,212.6999999999971
32,10,2,16,24,50,24,38,9,10,30,13,173.14999999999782
33,10,2,16,24,50,24,38,9,10,30,16,173.14999999999782
34,10,2,16,24,50,24,38,9,13,20,10,212.6999999999971
35,10,2,16,24,50,24,38,9,13,20,13,247.74999999999636
36,10,2,16,24,50,24,38,9,13,20,16,173.14999999999782
37,10,2,16,24,50,24,38,9,13,25,10,247.74999999999636
38,10,2,16,24,50,24,38,9,13,25,13,173.14999999999782
39,10,2,16,24,50,24,38,9,13,25,16,173.14999999999782
40,10,2,16,24,50,24,38,9,13,30,10,247.74999999999636
