,time,into,inth,intl,intc
0,2024-02-01 09:51:00,2546.95,2549.9,2545.15,2547.15
1,2024-02-01 09:54:00,2547.05,2547.05,2540.65,2543.4
2,2024-02-01 09:57:00,2543.0,2549.0,2542.75,2549.0
3,2024-02-01 10:00:00,2549.95,2553.2,2549.0,2553.2
4,2024-02-01 10:03:00,2553.15,2555.0,2550.05,2553.45
5,2024-02-01 10:06:00,2552.1,2556.1,2551.1,2554.25
6,2024-02-01 10:09:00,2553.6,2554.8,2549.1,2549.65
7,2024-02-01 10:12:00,2551.3,2551.3,2547.1,2548.15
8,2024-02-01 10:15:00,2549.0,2549.0,2540.0,2544.9
9,2024-02-01 10:18:00,2544.0,2548.05,2543.05,2544.85
10,2024-02-01 10:21:00,2544.05,2545.0,2541.0,2541.0
11,2024-02-01 10:24:00,2541.3,2541.7,2537.65,2539.55
12,2024-02-01 10:27:00,2539.5,2540.0,2534.0,2534.0
13,2024-02-01 10:30:00,2535.45,2535.45,2523.9,2527.2
14,2024-02-01 10:33:00,2527.75,2531.0,2526.25,2531.0
15,2024-02-01 10:36:00,2531.6,2531.6,2528.4,2530.2
16,2024-02-01 10:39:00,2530.15,2537.5,2527.05,2536.25
17,2024-02-01 10:42:00,2537.1,2537.8,2533.95,2536.2
18,2024-02-01 10:45:00,2535.35,2535.35,2532.25,2534.9
19,2024-02-01 10:48:00,2535.4,2536.3,2532.6,2533.0
20,2024-02-01 10:51:00,2534.1,2534.3,2528.05,2528.05
21,2024-02-01 10:54:00,2528.3,2533.05,2528.2,2528.35
22,2024-02-01 10:57:00,2528.8,2534.7,2528.45,2534.0
23,2024-02-01 11:00:00,2532.9,2538.9,2530.0,2537.1
24,2024-02-01 11:03:00,2538.85,2539.9,2535.5,2535.8
25,2024-02-01 11:06:00,2535.5,2539.8,2535.5,2536.8
26,2024-02-01 11:09:00,2536.5,2538.6,2532.85,2536.55
27,2024-02-01 11:12:00,2536.2,2539.95,2533.85,2539.95
28,2024-02-01 11:15:00,2540.0,2541.0,2519.25,2527.9
29,2024-02-01 11:18:00,2526.5,2530.0,2523.0,2526.0
30,2024-02-01 11:21:00,2526.05,2529.5,2524.3,2525.55
31,2024-02-01 11:24:00,2525.5,2526.55,2521.15,2524.0
32,2024-02-01 11:27:00,2523.95,2528.35,2521.95,2528.1
33,2024-02-01 11:30:00,2528.15,2530.7,2526.95,2529.9
34,2024-02-01 11:33:00,2528.65,2531.0,2527.05,2529.0
35,2024-02-01 11:36:00,2528.95,2547.7,2528.55,2544.05
36,2024-02-01 11:39:00,2543.35,2552.75,2542.1,2544.0
37,2024-02-01 11:42:00,2543.35,2545.0,2540.1,2540.4
38,2024-02-01 11:45:00,2539.75,2540.0,2532.85,2533.8
39,2024-02-01 11:48:00,2533.75,2537.7,2530.0,2533.85
40,2024-02-01 11:51:00,2533.95,2535.9,2531.25,2532.9
41,2024-02-01 11:54:00,2531.25,2541.4,2530.5,2532.5
42,2024-02-01 11:57:00,2533.95,2536.6,2530.0,2533.5
43,2024-02-01 12:00:00,2535.05,2535.05,2517.05,2517.85
44,2024-02-01 12:03:00,2517.95,2521.5,2511.7,2521.35
45,2024-02-01 12:06:00,2522.0,2542.25,2522.0,2536.4
46,2024-02-01 12:09:00,2538.85,2545.0,2537.5,2539.6
47,2024-02-01 12:12:00,2538.55,2540.0,2532.5,2533.55
48,2024-02-01 12:15:00,2533.5,2535.4,2530.0,2530.0
49,2024-02-01 12:18:00,2529.5,2531.6,2525.9,2530.0
50,2024-02-01 12:21:00,2529.95,2531.6,2528.8,2531.55
51,2024-02-01 12:24:00,2531.5,2534.2,2530.2,2531.8
52,2024-02-01 12:27:00,2531.75,2534.1,2530.0,2530.0
53,2024-02-01 12:30:00,2531.15,2534.95,2530.25,2532.75
54,2024-02-01 12:33:00,2532.7,2534.2,2530.8,2530.8
55,2024-02-01 12:36:00,2530.85,2531.75,2524.45,2526.0
56,2024-02-01 12:39:00,2525.2,2527.6,2520.0,2523.25
57,2024-02-01 12:42:00,2523.05,2530.65,2523.05,2527.25
58,2024-02-01 12:45:00,2527.6,2538.0,2525.85,2536.55
59,2024-02-01 12:48:00,2535.9,2548.25,2535.45,2547.1
60,2024-02-01 12:51:00,2547.45,2549.95,2539.95,2540.9
61,2024-02-01 12:54:00,2541.8,2542.9,2539.45,2540.65
62,2024-02-01 12:57:00,2542.1,2544.6,2538.6,2542.7
63,2024-02-01 13:00:00,2542.45,2545.0,2535.55,2541.75
64,2024-02-01 13:03:00,2541.8,2545.0,2540.8,2542.6
65,2024-02-01 13:06:00,2542.45,2544.75,2537.05,2539.3
66,2024-02-01 13:09:00,2539.25,2542.9,2539.05,2539.05
67,2024-02-01 13:12:00,2540.35,2543.0,2538.0,2541.9
68,2024-02-01 13:15:00,2541.8,2544.9,2538.95,2540.3
69,2024-02-01 13:18:00,2540.25,2540.3,2530.8,2537.4
70,2024-02-01 13:21:00,2536.25,2538.9,2535.5,2537.0
71,2024-02-01 13:24:00,2539.1,2539.2,2532.95,2535.25
72,2024-02-01 13:27:00,2535.7,2535.95,2524.35,2529.6
73,2024-02-01 13:30:00,2529.0,2531.1,2525.75,2527.2
74,2024-02-01 13:33:00,2526.6,2528.85,2526.15,2527.5
75,2024-02-01 13:36:00,2528.3,2534.3,2527.35,2527.7
76,2024-02-01 13:39:00,2527.65,2531.1,2522.0,2528.75
77,2024-02-01 13:42:00,2530.1,2530.6,2523.5,2523.75
78,2024-02-01 13:45:00,2523.7,2527.25,2522.4,2525.8
79,2024-02-01 13:48:00,2527.0,2527.85,2524.0,2524.0
80,2024-02-01 13:51:00,2524.05,2526.35,2524.0,2524.35
81,2024-02-01 13:54:00,2524.1,2530.6,2524.1,2528.95
82,2024-02-01 13:57:00,2528.8,2533.0,2527.75,2528.9
83,2024-02-01 14:00:00,2528.65,2530.65,2526.45,2527.0
84,2024-02-01 14:03:00,2525.7,2528.75,2525.3,2526.0
85,2024-02-01 14:06:00,2525.0,2540.2,2525.0,2539.75
86,2024-02-01 14:09:00,2539.95,2544.55,2537.85,2542.25
87,2024-02-01 14:12:00,2540.55,2551.15,2539.7,2542.25
88,2024-02-01 14:15:00,2543.9,2543.9,2534.45,2535.5
89,2024-02-01 14:18:00,2536.1,2541.15,2533.55,2539.45
90,2024-02-01 14:21:00,2539.65,2539.65,2535.65,2538.0
91,2024-02-01 14:24:00,2539.2,2541.5,2536.3,2538.8
92,2024-02-01 14:27:00,2538.15,2541.9,2535.0,2541.9
93,2024-02-01 14:30:00,2541.85,2541.95,2537.25,2541.0
94,2024-02-01 14:33:00,2540.5,2543.85,2536.0,2537.05
95,2024-02-01 14:36:00,2537.0,2541.75,2535.0,2540.75
96,2024-02-01 14:39:00,2540.8,2540.8,2530.05,2532.4
97,2024-02-01 14:42:00,2532.35,2534.6,2528.25,2534.6
98,2024-02-01 14:45:00,2535.0,2540.1,2533.55,2540.0
99,2024-02-01 14:48:00,2539.75,2540.1,2534.25,2538.8
100,2024-02-01 14:51:00,2540.1,2540.1,2536.05,2539.4
101,2024-02-01 14:54:00,2539.35,2540.0,2532.55,2539.7
102,2024-02-01 14:57:00,2539.5,2539.9,2532.3,2534.4
103,2024-02-01 15:00:00,2534.55,2538.5,2531.05,2533.95
104,2024-02-01 15:03:00,2533.1,2535.5,2528.95,2530.55
105,2024-02-01 15:06:00,2530.45,2534.5,2528.7,2532.15
106,2024-02-01 15:09:00,2531.4,2534.25,2528.05,2534.0
107,2024-02-01 15:12:00,2534.15,2534.65,2528.1,2531.6
108,2024-02-01 15:15:00,2531.55,2532.65,2526.0,2531.95
109,2024-02-01 15:18:00,2530.3,2531.85,2527.2,2528.65
110,2024-02-01 15:21:00,2527.85,2527.85,2524.05,2524.95
111,2024-02-01 15:24:00,2524.55,2529.8,2522.9,2527.25
112,2024-02-01 15:27:00,2527.05,2552.8,2520.3,2552.8
113,2024-02-02 09:15:00,2540.2,2563.9,2540.2,2542.95
114,2024-02-02 09:18:00,2542.2,2543.55,2532.45,2536.75
115,2024-02-02 09:21:00,2536.95,2537.5,2526.0,2529.25
116,2024-02-02 09:24:00,2531.4,2540.0,2530.85,2539.05
117,2024-02-02 09:27:00,2539.95,2548.0,2537.45,2540.9
118,2024-02-02 09:30:00,2541.25,2542.85,2529.0,2536.45
119,2024-02-02 09:33:00,2534.95,2537.45,2531.75,2534.35
120,2024-02-02 09:36:00,2534.7,2544.9,2534.7,2542.3
121,2024-02-02 09:39:00,2541.2,2542.3,2538.05,2538.45
122,2024-02-02 09:42:00,2538.85,2540.1,2535.25,2538.95
123,2024-02-02 09:45:00,2536.9,2540.1,2533.6,2537.7
124,2024-02-02 09:48:00,2538.25,2540.15,2536.5,2538.0
125,2024-02-02 09:51:00,2538.75,2541.0,2536.0,2539.85
126,2024-02-02 09:54:00,2539.2,2540.3,2533.9,2537.3
127,2024-02-02 09:57:00,2537.25,2540.2,2534.2,2538.7
128,2024-02-02 10:00:00,2540.1,2544.0,2536.65,2539.35
129,2024-02-02 10:03:00,2540.05,2542.0,2538.8,2541.85
130,2024-02-02 10:06:00,2540.4,2540.4,2533.0,2533.2
131,2024-02-02 10:09:00,2535.05,2536.2,2529.9,2534.25
132,2024-02-02 10:12:00,2533.1,2533.6,2528.6,2529.2
133,2024-02-02 10:15:00,2529.05,2532.55,2528.2,2531.75
134,2024-02-02 10:18:00,2530.6,2531.3,2515.5,2515.8
135,2024-02-02 10:21:00,2517.25,2525.0,2516.05,2522.15
136,2024-02-02 10:24:00,2522.05,2526.4,2521.0,2523.8
137,2024-02-02 10:27:00,2525.0,2527.9,2524.3,2527.65
138,2024-02-02 10:30:00,2526.2,2527.55,2524.1,2524.8
139,2024-02-02 10:33:00,2525.0,2527.0,2525.0,2525.15
140,2024-02-02 10:36:00,2527.0,2527.55,2524.3,2524.8
141,2024-02-02 10:39:00,2525.2,2526.65,2525.0,2525.0
142,2024-02-02 10:42:00,2524.2,2530.75,2522.1,2529.05
143,2024-02-02 10:45:00,2528.95,2534.35,2528.45,2531.8
144,2024-02-02 10:48:00,2531.55,2538.25,2531.3,2536.95
145,2024-02-02 10:51:00,2536.7,2538.25,2531.9,2535.65
146,2024-02-02 10:54:00,2534.65,2536.5,2531.4,2531.4
147,2024-02-02 10:57:00,2531.7,2535.0,2530.1,2531.95
148,2024-02-02 11:00:00,2532.3,2536.0,2532.15,2534.8
149,2024-02-02 11:03:00,2534.5,2536.8,2533.05,2535.25
150,2024-02-02 11:06:00,2534.65,2534.65,2530.75,2530.75
151,2024-02-02 11:09:00,2530.0,2531.75,2530.0,2530.7
152,2024-02-02 11:12:00,2530.65,2534.55,2529.85,2533.45
153,2024-02-02 11:15:00,2532.35,2534.65,2532.1,2532.4
154,2024-02-02 11:18:00,2532.15,2536.0,2532.15,2534.9
155,2024-02-02 11:21:00,2535.9,2537.05,2533.0,2536.0
156,2024-02-02 11:24:00,2536.05,2538.0,2534.2,2536.0
157,2024-02-02 11:27:00,2535.65,2535.65,2533.05,2533.65
158,2024-02-02 11:30:00,2535.2,2535.2,2531.7,2532.85
159,2024-02-02 11:33:00,2533.55,2535.0,2531.0,2534.15
160,2024-02-02 11:36:00,2534.05,2534.05,2528.1,2528.1
161,2024-02-02 11:39:00,2527.4,2527.4,2525.15,2526.8
162,2024-02-02 11:42:00,2526.9,2530.35,2525.0,2526.0
163,2024-02-02 11:45:00,2525.1,2527.95,2524.05,2527.95
164,2024-02-02 11:48:00,2528.3,2531.45,2528.0,2529.4
165,2024-02-02 11:51:00,2528.85,2531.4,2528.05,2529.25
166,2024-02-02 11:54:00,2530.15,2531.75,2529.0,2531.75
167,2024-02-02 11:57:00,2531.3,2533.0,2529.0,2531.95
168,2024-02-02 12:00:00,2535.0,2536.5,2532.05,2534.75
169,2024-02-02 12:03:00,2534.65,2534.65,2530.0,2531.8
170,2024-02-02 12:06:00,2532.6,2532.6,2529.4,2530.1
171,2024-02-02 12:09:00,2531.05,2531.05,2528.4,2528.4
172,2024-02-02 12:12:00,2529.4,2530.1,2525.35,2527.0
173,2024-02-02 12:15:00,2525.3,2528.4,2525.3,2526.65
174,2024-02-02 12:18:00,2526.1,2528.0,2525.7,2526.0
175,2024-02-02 12:21:00,2525.25,2526.35,2523.45,2525.1
176,2024-02-02 12:24:00,2525.95,2525.95,2520.2,2520.55
177,2024-02-02 12:27:00,2520.6,2520.6,2515.15,2515.2
178,2024-02-02 12:30:00,2516.0,2516.0,2502.0,2504.1
179,2024-02-02 12:33:00,2504.4,2515.15,2503.0,2503.5
180,2024-02-02 12:36:00,2503.05,2507.5,2498.45,2506.0
181,2024-02-02 12:39:00,2507.0,2511.9,2504.0,2506.6
182,2024-02-02 12:42:00,2505.5,2507.8,2503.2,2507.05
183,2024-02-02 12:45:00,2508.05,2509.0,2506.0,2507.7
184,2024-02-02 12:48:00,2506.45,2508.0,2501.75,2501.8
185,2024-02-02 12:51:00,2503.0,2510.65,2502.45,2508.7
