,time,into,inth,intl,intc
0,2024-01-30 09:15:00,575.25,575.9,572.25,573.95
1,2024-01-30 09:18:00,573.9,575.95,573.15,574.1
2,2024-01-30 09:21:00,574.2,575.15,573.05,574.4
3,2024-01-30 09:24:00,574.55,575.35,571.95,572.7
4,2024-01-30 09:27:00,572.35,573.5,571.6,572.5
5,2024-01-30 09:30:00,572.0,579.35,571.4,579.35
6,2024-01-30 09:33:00,579.8,582.5,577.15,582.0
7,2024-01-30 09:36:00,581.85,583.9,580.05,581.25
8,2024-01-30 09:39:00,581.3,582.65,581.05,582.45
9,2024-01-30 09:42:00,582.2,583.3,581.75,583.15
10,2024-01-30 09:45:00,582.95,583.15,581.05,581.05
11,2024-01-30 09:48:00,581.3,581.95,580.0,580.45
12,2024-01-30 09:51:00,580.4,580.85,579.1,579.9
13,2024-01-30 09:54:00,579.7,581.45,579.6,581.1
14,2024-01-30 09:57:00,581.3,582.0,580.6,581.85
15,2024-01-30 10:00:00,582.0,582.0,581.0,581.5
16,2024-01-30 10:03:00,581.15,581.8,580.0,580.1
17,2024-01-30 10:06:00,580.0,580.8,579.3,580.7
18,2024-01-30 10:09:00,580.9,581.85,580.35,581.45
19,2024-01-30 10:12:00,581.85,581.95,581.0,581.7
20,2024-01-30 10:15:00,581.6,582.3,580.85,581.15
21,2024-01-30 10:18:00,581.0,581.6,581.0,581.5
22,2024-01-30 10:21:00,581.2,581.5,581.0,581.25
23,2024-01-30 10:24:00,581.1,581.5,581.05,581.4
24,2024-01-30 10:27:00,581.35,582.0,580.15,582.0
25,2024-01-30 10:30:00,581.7,582.0,580.3,580.65
26,2024-01-30 10:33:00,580.6,581.4,580.0,581.4
27,2024-01-30 10:36:00,581.15,582.5,581.05,582.35
28,2024-01-30 10:39:00,582.3,582.5,581.85,582.15
29,2024-01-30 10:42:00,582.2,582.55,581.0,581.55
30,2024-01-30 10:45:00,581.35,581.55,578.5,579.75
31,2024-01-30 10:48:00,579.7,579.75,576.45,576.75
32,2024-01-30 10:51:00,576.65,577.55,576.3,577.35
33,2024-01-30 10:54:00,577.4,577.5,576.45,576.95
34,2024-01-30 10:57:00,577.0,577.0,576.1,576.65
35,2024-01-30 11:00:00,576.6,578.45,576.35,577.5
36,2024-01-30 11:03:00,577.8,578.05,576.5,577.1
37,2024-01-30 11:06:00,577.0,578.0,576.05,577.8
38,2024-01-30 11:09:00,578.0,578.6,577.2,578.35
39,2024-01-30 11:12:00,578.45,579.3,577.95,579.3
40,2024-01-30 11:15:00,579.25,579.95,578.75,579.3
41,2024-01-30 11:18:00,579.15,579.5,578.45,578.7
42,2024-01-30 11:21:00,578.9,579.25,578.5,579.15
43,2024-01-30 11:24:00,579.1,579.8,578.2,579.8
44,2024-01-30 11:27:00,579.5,581.5,578.9,581.5
45,2024-01-30 11:30:00,581.4,581.85,580.7,581.35
46,2024-01-30 11:33:00,581.3,581.5,580.9,581.45
47,2024-01-30 11:36:00,581.5,581.5,579.7,580.3
48,2024-01-30 11:39:00,580.35,580.35,578.7,579.0
49,2024-01-30 11:42:00,578.95,579.25,578.25,578.8
50,2024-01-30 11:45:00,578.75,578.8,577.5,578.4
51,2024-01-30 11:48:00,578.55,578.6,577.5,577.65
52,2024-01-30 11:51:00,577.6,578.0,576.45,577.15
53,2024-01-30 11:54:00,577.25,577.5,576.1,576.9
54,2024-01-30 11:57:00,577.2,577.5,576.25,576.25
55,2024-01-30 12:00:00,576.5,577.9,576.25,577.55
56,2024-01-30 12:03:00,577.6,577.85,577.1,577.7
57,2024-01-30 12:06:00,577.6,578.5,577.0,577.4
58,2024-01-30 12:09:00,577.7,577.8,577.1,577.6
59,2024-01-30 12:12:00,577.55,578.2,577.45,578.1
60,2024-01-30 12:15:00,578.05,578.85,577.35,578.8
61,2024-01-30 12:18:00,579.1,579.3,578.45,578.9
62,2024-01-30 12:21:00,579.0,579.2,578.25,578.3
63,2024-01-30 12:24:00,578.25,578.55,577.45,577.55
64,2024-01-30 12:27:00,577.9,578.0,577.5,577.85
65,2024-01-30 12:30:00,577.95,578.0,576.5,576.8
66,2024-01-30 12:33:00,577.05,578.0,576.8,577.85
67,2024-01-30 12:36:00,577.95,578.0,577.45,577.95
68,2024-01-30 12:39:00,577.85,578.0,577.35,577.9
69,2024-01-30 12:42:00,577.95,577.95,576.5,577.35
70,2024-01-30 12:45:00,577.3,577.7,576.85,577.25
71,2024-01-30 12:48:00,577.3,577.8,577.1,577.6
72,2024-01-30 12:51:00,577.45,578.9,577.1,578.5
73,2024-01-30 12:54:00,578.45,579.35,578.3,578.95
74,2024-01-30 12:57:00,578.75,579.8,578.7,579.8
75,2024-01-30 13:00:00,579.75,580.0,579.25,579.75
76,2024-01-30 13:03:00,579.65,580.05,579.05,579.05
77,2024-01-30 13:06:00,579.4,580.25,578.85,580.25
78,2024-01-30 13:09:00,580.3,580.4,579.3,580.3
79,2024-01-30 13:12:00,580.35,580.5,579.7,580.0
80,2024-01-30 13:15:00,579.95,580.0,578.9,579.45
81,2024-01-30 13:18:00,579.5,580.0,579.15,580.0
82,2024-01-30 13:21:00,579.7,580.0,577.6,579.25
83,2024-01-30 13:24:00,579.3,579.95,578.55,579.4
84,2024-01-30 13:27:00,579.15,579.55,578.95,579.4
85,2024-01-30 13:30:00,579.05,580.0,578.6,579.95
86,2024-01-30 13:33:00,580.0,580.0,578.85,579.8
87,2024-01-30 13:36:00,579.6,579.8,578.6,579.1
88,2024-01-30 13:39:00,579.4,579.7,578.9,579.25
89,2024-01-30 13:42:00,579.5,579.7,579.0,579.45
90,2024-01-30 13:45:00,579.7,579.7,578.6,578.65
91,2024-01-30 13:48:00,578.8,579.4,578.7,579.05
92,2024-01-30 13:51:00,578.95,579.3,577.6,577.65
93,2024-01-30 13:54:00,577.75,577.9,575.95,576.15
94,2024-01-30 13:57:00,576.35,577.75,576.35,577.65
95,2024-01-30 14:00:00,577.4,578.5,577.4,577.75
96,2024-01-30 14:03:00,577.8,578.9,577.15,578.05
97,2024-01-30 14:06:00,578.1,578.25,577.7,577.9
98,2024-01-30 14:09:00,578.1,578.1,577.65,578.05
99,2024-01-30 14:12:00,578.1,579.35,577.05,579.15
100,2024-01-30 14:15:00,578.9,579.3,578.1,578.6
101,2024-01-30 14:18:00,578.65,578.75,577.7,578.3
102,2024-01-30 14:21:00,578.4,579.2,578.4,578.5
103,2024-01-30 14:24:00,578.6,579.0,576.35,576.5
104,2024-01-30 14:27:00,576.45,576.85,575.2,575.25
105,2024-01-30 14:30:00,575.55,575.55,572.85,573.75
106,2024-01-30 14:33:00,573.7,574.4,571.1,571.5
107,2024-01-30 14:36:00,571.45,574.5,571.0,573.8
108,2024-01-30 14:39:00,574.15,574.5,572.85,573.25
109,2024-01-30 14:42:00,573.55,575.55,573.4,574.05
110,2024-01-30 14:45:00,574.1,575.0,573.25,574.15
111,2024-01-30 14:48:00,574.0,574.85,573.55,574.85
112,2024-01-30 14:51:00,574.75,575.0,573.9,574.1
113,2024-01-30 14:54:00,574.25,574.5,573.35,574.0
114,2024-01-30 14:57:00,573.6,574.0,572.7,573.15
115,2024-01-30 15:00:00,573.25,573.45,570.5,571.15
116,2024-01-30 15:03:00,571.35,572.3,570.5,571.2
117,2024-01-30 15:06:00,571.25,571.25,569.0,569.05
118,2024-01-30 15:09:00,569.15,569.6,568.4,568.9
119,2024-01-30 15:12:00,569.05,570.85,568.35,570.5
120,2024-01-30 15:15:00,570.6,570.95,569.35,570.95
121,2024-01-30 15:18:00,570.7,571.75,570.2,570.75
122,2024-01-30 15:21:00,571.05,573.15,571.05,572.05
