,time,into,inth,intl,intc
0,2024-01-30 09:15:00,6334.95,6387.85,6331.05,6335.4
1,2024-01-30 09:18:00,6339.5,6348.1,6307.8,6321.5
2,2024-01-30 09:21:00,6319.7,6343.3,6316.45,6327.6
3,2024-01-30 09:24:00,6333.5,6345.3,6317.5,6317.5
4,2024-01-30 09:27:00,6319.6,6325.25,6305.4,6320.0
5,2024-01-30 09:30:00,6320.15,6329.05,6313.15,6324.9
6,2024-01-30 09:33:00,6326.85,6333.5,6320.55,6321.35
7,2024-01-30 09:36:00,6323.4,6335.0,6320.0,6335.0
8,2024-01-30 09:39:00,6333.25,6337.7,6321.25,6321.25
9,2024-01-30 09:42:00,6325.5,6344.95,6325.35,6343.3
10,2024-01-30 09:45:00,6345.0,6345.0,6331.1,6331.15
11,2024-01-30 09:48:00,6332.95,6335.0,6327.6,6330.7
12,2024-01-30 09:51:00,6331.15,6334.05,6328.5,6330.35
13,2024-01-30 09:54:00,6332.4,6342.5,6328.9,6339.65
14,2024-01-30 09:57:00,6340.0,6347.45,6338.6,6339.0
15,2024-01-30 10:00:00,6341.05,6345.0,6333.6,6334.85
16,2024-01-30 10:03:00,6334.05,6338.0,6333.0,6333.5
17,2024-01-30 10:06:00,6333.0,6337.0,6328.0,6329.65
18,2024-01-30 10:09:00,6328.15,6334.9,6328.1,6328.1
19,2024-01-30 10:12:00,6329.1,6332.5,6324.9,6328.6
20,2024-01-30 10:15:00,6326.3,6331.6,6324.25,6328.95
21,2024-01-30 10:18:00,6329.5,6330.95,6324.35,6329.2
22,2024-01-30 10:21:00,6325.35,6329.9,6314.4,6324.05
23,2024-01-30 10:24:00,6324.1,6324.1,6320.0,6322.95
24,2024-01-30 10:27:00,6321.0,6328.45,6320.0,6325.75
25,2024-01-30 10:30:00,6327.2,6332.0,6324.1,6325.5
26,2024-01-30 10:33:00,6325.0,6329.9,6321.8,6325.7
27,2024-01-30 10:36:00,6326.3,6335.0,6326.25,6330.0
28,2024-01-30 10:39:00,6335.0,6335.0,6327.0,6329.0
29,2024-01-30 10:42:00,6328.95,6332.2,6327.0,6332.2
30,2024-01-30 10:45:00,6330.0,6332.15,6327.0,6330.0
31,2024-01-30 10:48:00,6327.85,6329.65,6324.75,6327.3
32,2024-01-30 10:51:00,6327.25,6330.3,6325.1,6327.45
33,2024-01-30 10:54:00,6329.15,6334.2,6327.0,6330.2
34,2024-01-30 10:57:00,6330.25,6331.9,6327.0,6327.0
35,2024-01-30 11:00:00,6327.35,6329.35,6326.9,6327.0
36,2024-01-30 11:03:00,6329.2,6332.5,6327.0,6327.45
37,2024-01-30 11:06:00,6327.0,6330.2,6327.0,6327.0
38,2024-01-30 11:09:00,6329.0,6334.05,6326.5,6329.6
39,2024-01-30 11:12:00,6332.3,6335.0,6327.0,6333.45
40,2024-01-30 11:15:00,6338.6,6339.4,6331.25,6331.25
41,2024-01-30 11:18:00,6331.1,6334.6,6330.05,6330.05
42,2024-01-30 11:21:00,6333.4,6333.95,6327.0,6327.0
43,2024-01-30 11:24:00,6327.25,6333.0,6327.0,6332.1
44,2024-01-30 11:27:00,6331.85,6335.0,6327.7,6333.95
45,2024-01-30 11:30:00,6335.0,6345.0,6331.2,6336.25
46,2024-01-30 11:33:00,6336.8,6349.0,6336.8,6348.75
47,2024-01-30 11:36:00,6345.55,6348.9,6341.8,6345.0
48,2024-01-30 11:39:00,6344.0,6345.0,6341.65,6343.9
49,2024-01-30 11:42:00,6342.8,6344.8,6341.0,6342.25
50,2024-01-30 11:45:00,6341.0,6342.45,6338.0,6340.9
51,2024-01-30 11:48:00,6339.05,6340.9,6334.05,6336.3
52,2024-01-30 11:51:00,6335.15,6340.85,6334.95,6335.0
53,2024-01-30 11:54:00,6337.05,6338.75,6335.05,6337.7
54,2024-01-30 11:57:00,6337.8,6337.8,6331.0,6333.25
55,2024-01-30 12:00:00,6331.95,6335.9,6330.2,6335.0
56,2024-01-30 12:03:00,6335.85,6335.85,6330.45,6332.95
57,2024-01-30 12:06:00,6332.85,6334.9,6327.0,6327.05
58,2024-01-30 12:09:00,6329.0,6334.75,6327.0,6332.0
59,2024-01-30 12:12:00,6333.7,6335.85,6328.4,6334.05
60,2024-01-30 12:15:00,6333.1,6340.0,6331.0,6340.0
61,2024-01-30 12:18:00,6341.0,6343.0,6339.15,6341.25
62,2024-01-30 12:21:00,6340.8,6343.0,6340.25,6342.95
63,2024-01-30 12:24:00,6341.6,6342.65,6336.4,6337.15
64,2024-01-30 12:27:00,6340.3,6348.25,6336.7,6345.6
65,2024-01-30 12:30:00,6347.15,6365.0,6347.15,6351.85
66,2024-01-30 12:33:00,6350.0,6353.95,6349.15,6350.3
67,2024-01-30 12:36:00,6350.0,6351.95,6347.75,6350.75
68,2024-01-30 12:39:00,6347.0,6357.75,6346.55,6353.9
69,2024-01-30 12:42:00,6350.5,6352.3,6345.0,6347.05
70,2024-01-30 12:45:00,6347.45,6349.55,6343.0,6343.0
71,2024-01-30 12:48:00,6344.55,6349.95,6340.2,6347.3
72,2024-01-30 12:51:00,6349.1,6354.9,6345.5,6350.45
73,2024-01-30 12:54:00,6353.45,6354.2,6347.5,6347.9
74,2024-01-30 12:57:00,6347.85,6351.2,6344.75,6349.0
75,2024-01-30 13:00:00,6348.35,6351.45,6347.65,6350.0
76,2024-01-30 13:03:00,6348.8,6353.75,6348.8,6350.0
77,2024-01-30 13:06:00,6350.6,6353.0,6350.0,6351.15
78,2024-01-30 13:09:00,6348.15,6360.0,6348.15,6360.0
79,2024-01-30 13:12:00,6358.3,6358.95,6350.0,6352.85
80,2024-01-30 13:15:00,6352.9,6355.4,6350.0,6350.15
81,2024-01-30 13:18:00,6352.95,6359.4,6350.3,6359.4
82,2024-01-30 13:21:00,6356.65,6360.0,6352.45,6357.25
83,2024-01-30 13:24:00,6356.6,6365.0,6356.3,6358.2
84,2024-01-30 13:27:00,6356.45,6360.0,6351.35,6354.7
85,2024-01-30 13:30:00,6352.05,6354.45,6346.0,6348.1
86,2024-01-30 13:33:00,6350.6,6351.4,6345.2,6346.3
