,time,into,inth,intl,intc
0,2024-02-01 09:51:00,2948.6,2950.0,2948.05,2949.75
1,2024-02-01 09:54:00,2949.8,2953.95,2946.65,2946.65
2,2024-02-01 09:57:00,2947.25,2948.6,2943.7,2944.05
3,2024-02-01 10:00:00,2943.85,2947.1,2943.75,2944.85
4,2024-02-01 10:03:00,2944.9,2946.05,2942.5,2944.45
5,2024-02-01 10:06:00,2945.0,2948.0,2943.2,2946.05
6,2024-02-01 10:09:00,2947.65,2949.55,2945.0,2948.0
7,2024-02-01 10:12:00,2947.4,2949.0,2944.0,2945.0
8,2024-02-01 10:15:00,2944.4,2945.0,2937.15,2940.0
9,2024-02-01 10:18:00,2939.9,2941.0,2939.75,2940.0
10,2024-02-01 10:21:00,2939.95,2944.0,2938.75,2940.0
11,2024-02-01 10:24:00,2939.95,2943.9,2939.0,2939.65
12,2024-02-01 10:27:00,2939.7,2939.95,2938.5,2939.0
13,2024-02-01 10:30:00,2938.7,2939.0,2938.6,2939.0
14,2024-02-01 10:33:00,2938.7,2941.2,2938.6,2940.3
15,2024-02-01 10:36:00,2940.9,2944.75,2939.0,2942.0
16,2024-02-01 10:39:00,2941.95,2948.7,2940.95,2948.05
17,2024-02-01 10:42:00,2948.3,2952.2,2948.05,2951.95
18,2024-02-01 10:45:00,2952.0,2955.0,2950.1,2951.6
19,2024-02-01 10:48:00,2951.55,2951.6,2948.0,2948.05
20,2024-02-01 10:51:00,2949.25,2950.0,2946.45,2950.0
21,2024-02-01 10:54:00,2949.5,2949.75,2947.05,2948.8
22,2024-02-01 10:57:00,2948.7,2949.4,2946.6,2949.25
23,2024-02-01 11:00:00,2948.8,2949.4,2946.9,2949.4
24,2024-02-01 11:03:00,2949.35,2950.15,2948.0,2949.4
25,2024-02-01 11:06:00,2949.5,2950.0,2942.45,2949.4
26,2024-02-01 11:09:00,2949.5,2949.75,2947.0,2948.0
27,2024-02-01 11:12:00,2948.65,2950.65,2948.0,2949.95
28,2024-02-01 11:15:00,2950.0,2950.5,2941.0,2947.65
29,2024-02-01 11:18:00,2947.6,2949.7,2945.0,2946.1
30,2024-02-01 11:21:00,2946.9,2949.3,2945.15,2946.95
31,2024-02-01 11:24:00,2947.6,2949.5,2945.4,2947.7
32,2024-02-01 11:27:00,2948.4,2951.15,2946.1,2947.6
33,2024-02-01 11:30:00,2947.55,2949.4,2946.0,2946.95
34,2024-02-01 11:33:00,2946.0,2947.45,2945.1,2945.55
35,2024-02-01 11:36:00,2945.5,2946.35,2942.8,2945.35
36,2024-02-01 11:39:00,2945.65,2948.0,2943.45,2944.1
37,2024-02-01 11:42:00,2944.45,2946.7,2944.0,2946.25
38,2024-02-01 11:45:00,2946.2,2946.25,2944.8,2944.95
39,2024-02-01 11:48:00,2945.0,2945.0,2943.8,2944.85
40,2024-02-01 11:51:00,2944.95,2945.0,2943.2,2945.0
41,2024-02-01 11:54:00,2944.65,2945.0,2940.25,2943.05
