,time,into,inth,intl,intc
0,2024-02-02 09:15:00,639.0,639.95,636.6,638.15
1,2024-02-02 09:18:00,638.1,639.05,636.8,637.3
2,2024-02-02 09:21:00,637.2,638.0,635.7,637.3
3,2024-02-02 09:24:00,637.0,638.45,636.75,638.1
4,2024-02-02 09:27:00,637.9,638.0,635.2,636.7
5,2024-02-02 09:30:00,636.5,638.5,636.0,638.4
6,2024-02-02 09:33:00,638.5,638.5,637.0,637.95
7,2024-02-02 09:36:00,638.2,638.4,637.0,637.85
8,2024-02-02 09:39:00,638.2,638.2,637.45,637.7
9,2024-02-02 09:42:00,637.45,639.75,637.4,639.05
10,2024-02-02 09:45:00,638.65,639.5,637.2,637.8
11,2024-02-02 09:48:00,638.1,638.1,636.75,637.95
12,2024-02-02 09:51:00,637.85,638.75,637.55,638.35
13,2024-02-02 09:54:00,638.5,639.65,638.1,639.15
14,2024-02-02 09:57:00,639.1,639.5,638.5,639.5
15,2024-02-02 10:00:00,639.45,641.0,639.0,640.85
16,2024-02-02 10:03:00,641.0,641.0,639.85,640.2
17,2024-02-02 10:06:00,640.1,640.7,639.35,640.15
18,2024-02-02 10:09:00,640.2,640.6,639.75,640.2
19,2024-02-02 10:12:00,640.1,640.8,639.8,640.0
20,2024-02-02 10:15:00,640.2,641.35,639.8,640.75
21,2024-02-02 10:18:00,640.55,640.65,639.7,640.5
22,2024-02-02 10:21:00,640.05,640.5,638.85,640.0
23,2024-02-02 10:24:00,639.95,640.4,639.6,640.3
24,2024-02-02 10:27:00,640.15,640.9,639.8,640.65
25,2024-02-02 10:30:00,640.4,641.0,639.9,639.9
26,2024-02-02 10:33:00,640.0,640.1,639.1,639.7
27,2024-02-02 10:36:00,640.0,640.5,639.5,639.55
28,2024-02-02 10:39:00,639.7,640.05,639.0,639.0
29,2024-02-02 10:42:00,639.05,640.5,638.8,640.2
30,2024-02-02 10:45:00,640.0,640.95,639.9,640.15
31,2024-02-02 10:48:00,640.5,640.6,640.05,640.45
32,2024-02-02 10:51:00,640.15,640.95,640.0,640.4
33,2024-02-02 10:54:00,640.45,642.0,640.4,641.9
34,2024-02-02 10:57:00,641.85,642.45,641.45,641.5
35,2024-02-02 11:00:00,641.75,641.85,640.9,641.8
36,2024-02-02 11:03:00,641.5,641.85,640.4,640.45
37,2024-02-02 11:06:00,640.6,641.45,640.6,641.1
38,2024-02-02 11:09:00,640.95,643.25,640.95,642.7
39,2024-02-02 11:12:00,642.65,644.0,642.5,642.5
40,2024-02-02 11:15:00,642.8,642.8,641.45,641.8
41,2024-02-02 11:18:00,642.05,642.6,641.75,642.0
42,2024-02-02 11:21:00,642.05,642.5,641.5,642.1
43,2024-02-02 11:24:00,642.15,643.6,641.95,643.3
44,2024-02-02 11:27:00,643.5,644.2,643.05,643.8
45,2024-02-02 11:30:00,643.7,644.25,643.2,644.2
46,2024-02-02 11:33:00,644.4,645.6,643.95,644.3
47,2024-02-02 11:36:00,644.65,645.0,644.25,644.35
48,2024-02-02 11:39:00,644.3,644.7,643.15,643.15
49,2024-02-02 11:42:00,643.35,644.25,642.75,643.1
50,2024-02-02 11:45:00,643.25,643.4,642.15,642.35
51,2024-02-02 11:48:00,642.5,642.7,641.6,642.35
52,2024-02-02 11:51:00,642.0,642.75,641.6,641.9
53,2024-02-02 11:54:00,641.85,642.55,641.55,642.0
54,2024-02-02 11:57:00,642.15,642.75,641.85,642.0
55,2024-02-02 12:00:00,642.1,642.45,641.85,642.2
56,2024-02-02 12:03:00,642.4,642.5,641.95,642.5
57,2024-02-02 12:06:00,642.45,642.65,641.95,642.15
58,2024-02-02 12:09:00,642.1,642.75,642.0,642.0
59,2024-02-02 12:12:00,642.4,642.65,641.65,641.9
60,2024-02-02 12:15:00,641.65,641.95,641.0,641.15
61,2024-02-02 12:18:00,641.35,641.65,641.05,641.5
62,2024-02-02 12:21:00,641.3,641.6,640.7,641.0
63,2024-02-02 12:24:00,640.95,642.0,640.2,642.0
64,2024-02-02 12:27:00,641.95,641.95,639.35,640.1
65,2024-02-02 12:30:00,639.85,639.95,636.5,638.65
66,2024-02-02 12:33:00,638.8,639.75,638.1,639.15
67,2024-02-02 12:36:00,639.45,640.6,638.0,639.0
68,2024-02-02 12:39:00,638.8,639.0,638.1,638.35
69,2024-02-02 12:42:00,638.55,638.95,637.65,638.55
70,2024-02-02 12:45:00,638.7,638.95,637.9,637.95
71,2024-02-02 12:48:00,638.2,638.45,637.55,638.4
72,2024-02-02 12:51:00,638.25,638.9,637.7,638.85
73,2024-02-02 12:54:00,638.45,639.0,638.3,638.55
74,2024-02-02 12:57:00,638.4,638.85,638.2,638.6
75,2024-02-02 13:00:00,638.5,638.95,637.65,638.55
76,2024-02-02 13:03:00,638.4,638.8,637.05,637.05
77,2024-02-02 13:06:00,637.5,637.95,636.85,637.7
78,2024-02-02 13:09:00,637.85,638.0,636.8,636.9
79,2024-02-02 13:12:00,637.3,637.3,634.3,634.6
80,2024-02-02 13:15:00,634.75,636.4,633.65,636.4
81,2024-02-02 13:18:00,636.5,637.15,634.5,635.2
82,2024-02-02 13:21:00,635.15,636.0,634.0,634.8
83,2024-02-02 13:24:00,635.05,636.35,634.7,636.2
84,2024-02-02 13:27:00,636.3,636.3,635.05,635.6
85,2024-02-02 13:30:00,635.75,636.3,634.15,634.85
86,2024-02-02 13:33:00,634.7,636.4,634.7,636.25
87,2024-02-02 13:36:00,635.95,636.25,634.85,635.25
88,2024-02-02 13:39:00,635.5,636.6,634.15,634.6
89,2024-02-02 13:42:00,634.85,635.75,634.6,635.3
90,2024-02-02 13:45:00,635.35,636.4,635.3,635.8
91,2024-02-02 13:48:00,635.9,636.15,635.1,635.3
92,2024-02-02 13:51:00,635.25,635.65,634.65,634.8
93,2024-02-02 13:54:00,634.95,635.0,634.55,634.55
94,2024-02-02 13:57:00,634.7,634.95,634.25,634.6
95,2024-02-02 14:00:00,634.7,634.8,634.05,634.35
96,2024-02-02 14:03:00,634.4,634.5,633.25,633.9
97,2024-02-02 14:06:00,633.65,634.75,633.6,634.4
98,2024-02-02 14:09:00,634.5,635.55,634.25,634.25
99,2024-02-02 14:12:00,634.3,635.25,634.25,635.0
100,2024-02-02 14:15:00,635.05,635.1,634.35,634.9
101,2024-02-02 14:18:00,635.0,635.0,634.25,634.4
102,2024-02-02 14:21:00,634.35,635.0,634.35,634.95
103,2024-02-02 14:24:00,634.7,636.0,634.7,635.6
104,2024-02-02 14:27:00,635.55,635.8,634.65,634.9
105,2024-02-02 14:30:00,634.95,635.6,634.65,635.15
106,2024-02-02 14:33:00,635.0,635.35,634.7,635.1
107,2024-02-02 14:36:00,635.25,635.3,634.7,634.85
108,2024-02-02 14:39:00,634.95,635.0,634.7,634.95
109,2024-02-02 14:42:00,634.9,635.25,634.7,635.0
110,2024-02-02 14:45:00,634.8,635.4,634.25,634.45
111,2024-02-02 14:48:00,634.55,634.55,633.8,633.8
112,2024-02-02 14:51:00,633.95,633.95,631.4,631.45
113,2024-02-02 14:54:00,631.5,632.4,630.35,630.35
114,2024-02-02 14:57:00,630.6,631.3,630.15,630.75
115,2024-02-02 15:00:00,631.35,631.95,630.2,630.3
116,2024-02-02 15:03:00,630.65,630.65,628.3,629.7
117,2024-02-02 15:06:00,629.8,630.0,628.7,629.55
118,2024-02-02 15:09:00,629.45,629.75,629.15,629.6
119,2024-02-02 15:12:00,629.65,629.65,628.5,628.55
120,2024-02-02 15:15:00,628.5,629.2,628.1,629.0
121,2024-02-02 15:18:00,629.15,629.45,628.2,628.25
122,2024-02-02 15:21:00,628.45,628.8,627.65,627.75
123,2024-02-02 15:24:00,627.85,628.0,627.6,627.85
124,2024-02-02 15:27:00,627.95,629.5,627.65,628.9
125,2024-02-03 11:00:00,628.85,628.85,628.85,628.85
126,2024-02-03 11:03:00,628.85,628.85,628.85,628.85
127,2024-02-03 11:15:00,640.8,691.9,640.8,691.9
128,2024-02-03 11:18:00,691.9,691.9,691.9,691.9
129,2024-02-03 11:21:00,691.9,691.9,691.9,691.9
130,2024-02-03 11:24:00,691.9,691.9,691.9,691.9
131,2024-02-03 11:27:00,691.9,691.9,691.9,691.9
132,2024-02-03 11:30:00,691.9,691.9,691.9,691.9
133,2024-02-03 11:33:00,691.9,691.9,691.9,691.9
134,2024-02-03 11:36:00,691.9,691.9,691.9,691.9
135,2024-02-03 11:39:00,691.9,691.9,691.9,691.9
136,2024-02-03 12:03:00,654.15,654.15,579.9,579.9
137,2024-02-03 12:06:00,579.9,579.9,579.9,579.9
138,2024-02-03 12:09:00,579.9,579.9,579.9,579.9
139,2024-02-03 12:12:00,579.9,579.9,570.0,570.0
140,2024-02-03 12:15:00,570.0,570.0,570.0,570.0
141,2024-02-03 12:18:00,570.0,599.9,570.0,570.0
142,2024-02-03 12:21:00,570.0,570.0,570.0,570.0
143,2024-02-03 12:24:00,570.0,570.0,569.95,569.95
144,2024-02-03 12:27:00,569.95,569.95,569.95,569.95
145,2024-02-03 12:30:00,569.95,569.95,569.95,569.95
146,2024-02-03 12:33:00,569.95,569.95,569.95,569.95
147,2024-02-03 12:36:00,569.95,569.95,569.95,569.95
148,2024-02-03 12:39:00,569.95,599.95,569.95,599.95
149,2024-02-03 12:42:00,599.95,639.2,599.95,637.9
150,2024-02-03 12:45:00,638.0,639.4,636.0,638.25
151,2024-02-03 12:48:00,638.35,640.95,638.3,640.45
152,2024-02-03 12:51:00,640.75,643.75,639.1,642.15
153,2024-02-03 12:54:00,642.05,645.0,641.9,642.1
154,2024-02-03 12:57:00,642.1,642.1,628.95,628.95
155,2024-02-05 09:15:00,628.8,628.85,621.1,622.05
156,2024-02-05 09:18:00,622.4,623.15,618.9,618.9
157,2024-02-05 09:21:00,619.0,620.45,618.65,618.85
158,2024-02-05 09:24:00,618.7,621.0,616.7,620.4
159,2024-02-05 09:27:00,620.5,622.8,618.5,621.6
160,2024-02-05 09:30:00,621.8,624.75,621.65,623.0
161,2024-02-05 09:33:00,623.25,624.6,622.55,624.05
162,2024-02-05 09:36:00,624.0,624.2,622.5,623.3
163,2024-02-05 09:39:00,623.4,624.25,621.5,621.5
164,2024-02-05 09:42:00,621.45,623.0,620.3,620.6
165,2024-02-05 09:45:00,621.1,621.35,618.5,620.0
