,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1614.8,1620.85,1592.1,1596.0
1,2024-01-30 09:18:00,1597.0,1597.2,1589.6,1589.8
2,2024-01-30 09:21:00,1590.35,1602.25,1588.85,1599.9
3,2024-01-30 09:24:00,1601.05,1605.35,1599.15,1603.75
4,2024-01-30 09:27:00,1603.5,1607.95,1602.0,1603.05
5,2024-01-30 09:30:00,1603.45,1604.75,1601.2,1602.55
6,2024-01-30 09:33:00,1601.0,1606.75,1599.75,1602.55
7,2024-01-30 09:36:00,1602.6,1611.8,1602.4,1610.4
8,2024-01-30 09:39:00,1610.45,1614.5,1609.7,1610.3
9,2024-01-30 09:42:00,1610.35,1617.15,1610.0,1614.65
10,2024-01-30 09:45:00,1614.95,1616.8,1613.0,1614.55
11,2024-01-30 09:48:00,1614.95,1617.95,1614.05,1617.4
12,2024-01-30 09:51:00,1616.6,1623.5,1616.1,1622.0
13,2024-01-30 09:54:00,1622.6,1626.2,1620.0,1625.0
14,2024-01-30 09:57:00,1624.25,1627.1,1621.8,1622.3
15,2024-01-30 10:00:00,1623.65,1624.7,1620.5,1622.2
16,2024-01-30 10:03:00,1622.8,1624.65,1616.1,1617.0
17,2024-01-30 10:06:00,1616.8,1618.35,1610.2,1611.25
18,2024-01-30 10:09:00,1611.2,1616.95,1611.0,1616.35
19,2024-01-30 10:12:00,1616.45,1616.5,1612.6,1612.6
20,2024-01-30 10:15:00,1612.35,1615.1,1612.2,1613.35
21,2024-01-30 10:18:00,1614.05,1614.25,1610.0,1611.45
22,2024-01-30 10:21:00,1611.0,1614.45,1611.0,1613.6
23,2024-01-30 10:24:00,1613.45,1614.15,1609.4,1610.0
24,2024-01-30 10:27:00,1610.95,1611.65,1609.0,1610.05
25,2024-01-30 10:30:00,1609.85,1611.55,1609.85,1610.35
26,2024-01-30 10:33:00,1610.3,1611.05,1607.35,1608.95
27,2024-01-30 10:36:00,1608.65,1610.3,1605.1,1608.0
28,2024-01-30 10:39:00,1607.4,1608.0,1602.95,1605.9
29,2024-01-30 10:42:00,1605.95,1606.6,1604.15,1605.9
30,2024-01-30 10:45:00,1606.05,1609.7,1605.25,1608.45
31,2024-01-30 10:48:00,1608.2,1609.0,1604.0,1606.35
32,2024-01-30 10:51:00,1606.55,1610.85,1605.8,1610.85
33,2024-01-30 10:54:00,1610.8,1610.8,1607.85,1608.5
34,2024-01-30 10:57:00,1607.95,1610.95,1607.75,1608.65
35,2024-01-30 11:00:00,1608.5,1609.95,1606.9,1608.05
36,2024-01-30 11:03:00,1608.4,1608.85,1607.6,1608.2
37,2024-01-30 11:06:00,1608.15,1608.15,1606.2,1606.85
