,time,into,inth,intl,intc
0,2024-02-01 09:51:00,186.8,187.0,186.8,187.0
1,2024-02-01 09:54:00,186.95,187.0,186.8,187.0
2,2024-02-01 09:57:00,186.95,187.0,186.65,186.75
3,2024-02-01 10:00:00,186.85,187.0,186.7,186.9
4,2024-02-01 10:03:00,186.8,186.9,186.75,186.85
5,2024-02-01 10:06:00,186.8,186.9,186.7,186.9
6,2024-02-01 10:09:00,186.85,187.1,186.8,187.0
7,2024-02-01 10:12:00,187.05,187.1,186.85,186.9
8,2024-02-01 10:15:00,186.95,187.05,186.8,187.0
9,2024-02-01 10:18:00,187.05,187.1,186.8,186.85
10,2024-02-01 10:21:00,186.8,186.95,186.8,186.85
11,2024-02-01 10:24:00,186.8,186.9,186.8,186.85
12,2024-02-01 10:27:00,186.8,186.85,186.65,186.65
13,2024-02-01 10:30:00,186.6,186.65,186.3,186.35
14,2024-02-01 10:33:00,186.3,186.35,186.1,186.25
15,2024-02-01 10:36:00,186.2,186.25,186.05,186.15
16,2024-02-01 10:39:00,186.1,186.35,186.1,186.35
17,2024-02-01 10:42:00,186.3,186.45,186.3,186.35
18,2024-02-01 10:45:00,186.4,186.5,186.35,186.45
19,2024-02-01 10:48:00,186.5,186.6,186.3,186.4
20,2024-02-01 10:51:00,186.35,186.4,186.2,186.2
21,2024-02-01 10:54:00,186.25,186.4,186.2,186.4
22,2024-02-01 10:57:00,186.3,186.5,186.25,186.5
23,2024-02-01 11:00:00,186.45,186.5,186.2,186.5
24,2024-02-01 11:03:00,186.55,186.55,186.15,186.15
25,2024-02-01 11:06:00,186.25,186.25,185.75,186.0
26,2024-02-01 11:09:00,185.95,186.0,185.8,185.9
27,2024-02-01 11:12:00,185.8,185.9,185.65,185.8
28,2024-02-01 11:15:00,185.75,185.8,184.55,184.95
29,2024-02-01 11:18:00,184.85,185.2,184.85,185.15
30,2024-02-01 11:21:00,185.1,185.55,185.1,185.45
31,2024-02-01 11:24:00,185.4,185.6,185.2,185.2
32,2024-02-01 11:27:00,185.25,185.35,185.1,185.25
33,2024-02-01 11:30:00,185.3,185.3,185.2,185.25
34,2024-02-01 11:33:00,185.2,185.25,185.05,185.1
35,2024-02-01 11:36:00,185.15,185.65,185.05,185.1
36,2024-02-01 11:39:00,185.15,185.2,185.0,185.0
37,2024-02-01 11:42:00,185.05,185.05,184.85,185.0
38,2024-02-01 11:45:00,185.05,185.05,184.8,184.95
39,2024-02-01 11:48:00,185.0,185.0,184.8,184.85
40,2024-02-01 11:51:00,184.9,184.95,184.75,184.85
41,2024-02-01 11:54:00,184.95,185.0,183.85,184.0
42,2024-02-01 11:57:00,184.05,184.2,183.6,183.9
43,2024-02-01 12:00:00,183.95,184.1,182.95,183.05
44,2024-02-01 12:03:00,183.0,183.5,182.8,183.1
45,2024-02-01 12:06:00,183.2,184.0,183.1,183.75
46,2024-02-01 12:09:00,183.85,184.3,183.75,184.15
47,2024-02-01 12:12:00,184.1,184.25,183.5,183.6
48,2024-02-01 12:15:00,183.65,183.85,183.5,183.55
49,2024-02-01 12:18:00,183.6,183.6,182.9,182.95
50,2024-02-01 12:21:00,182.9,183.0,181.9,182.7
51,2024-02-01 12:24:00,182.65,182.8,182.25,182.4
52,2024-02-01 12:27:00,182.35,182.5,181.55,181.75
53,2024-02-01 12:30:00,181.85,183.1,181.75,183.1
54,2024-02-01 12:33:00,183.05,183.9,182.95,183.4
55,2024-02-01 12:36:00,183.3,183.4,182.25,182.3
56,2024-02-01 12:39:00,182.1,182.75,181.9,182.55
