,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1250.3,1255.9,1246.05,1250.0
1,2024-01-30 09:18:00,1250.65,1252.15,1248.0,1250.1
2,2024-01-30 09:21:00,1250.75,1250.75,1246.0,1246.0
3,2024-01-30 09:24:00,1246.05,1248.0,1242.25,1244.0
4,2024-01-30 09:27:00,1244.55,1244.95,1240.05,1240.2
5,2024-01-30 09:30:00,1240.35,1243.8,1237.75,1240.05
6,2024-01-30 09:33:00,1240.7,1241.65,1238.55,1239.0
7,2024-01-30 09:36:00,1238.8,1240.15,1233.85,1237.8
8,2024-01-30 09:39:00,1238.35,1239.15,1237.05,1237.05
9,2024-01-30 09:42:00,1237.75,1238.95,1237.05,1238.25
10,2024-01-30 09:45:00,1238.35,1238.35,1235.75,1236.75
11,2024-01-30 09:48:00,1236.85,1237.0,1234.05,1236.25
12,2024-01-30 09:51:00,1236.0,1238.5,1235.65,1237.65
13,2024-01-30 09:54:00,1238.1,1239.6,1236.15,1239.35
14,2024-01-30 09:57:00,1239.0,1242.55,1238.85,1242.55
15,2024-01-30 10:00:00,1242.05,1242.55,1240.15,1241.0
16,2024-01-30 10:03:00,1241.45,1241.45,1236.05,1239.4
17,2024-01-30 10:06:00,1240.05,1240.75,1237.9,1238.5
18,2024-01-30 10:09:00,1239.0,1239.3,1237.7,1238.55
19,2024-01-30 10:12:00,1238.45,1241.0,1237.7,1239.0
20,2024-01-30 10:15:00,1239.5,1240.0,1236.45,1236.45
21,2024-01-30 10:18:00,1237.2,1238.9,1236.45,1236.8
22,2024-01-30 10:21:00,1237.5,1239.0,1235.3,1237.15
23,2024-01-30 10:24:00,1237.95,1237.95,1235.3,1237.4
24,2024-01-30 10:27:00,1237.0,1237.05,1234.5,1235.35
25,2024-01-30 10:30:00,1234.25,1236.0,1234.15,1235.4
26,2024-01-30 10:33:00,1235.75,1238.1,1235.0,1235.3
27,2024-01-30 10:36:00,1235.95,1236.0,1235.3,1236.0
28,2024-01-30 10:39:00,1235.95,1237.6,1234.75,1237.55
29,2024-01-30 10:42:00,1236.9,1237.5,1235.0,1235.0
30,2024-01-30 10:45:00,1235.45,1235.95,1235.0,1235.0
31,2024-01-30 10:48:00,1235.65,1236.7,1231.9,1232.0
32,2024-01-30 10:51:00,1231.95,1232.9,1227.3,1230.95
33,2024-01-30 10:54:00,1231.55,1232.35,1230.25,1231.35
34,2024-01-30 10:57:00,1231.65,1233.0,1231.65,1232.2
35,2024-01-30 11:00:00,1232.65,1232.65,1229.2,1229.3
36,2024-01-30 11:03:00,1230.0,1230.0,1229.0,1229.0
37,2024-01-30 11:06:00,1229.2,1229.6,1226.6,1228.9
38,2024-01-30 11:09:00,1229.0,1229.45,1226.55,1227.0
39,2024-01-30 11:12:00,1226.5,1229.3,1225.1,1228.8
40,2024-01-30 11:15:00,1229.45,1230.0,1227.15,1227.45
41,2024-01-30 11:18:00,1227.5,1229.0,1227.0,1227.0
42,2024-01-30 11:21:00,1227.05,1227.95,1225.0,1225.4
43,2024-01-30 11:24:00,1226.1,1227.7,1225.4,1227.7
44,2024-01-30 11:27:00,1227.65,1229.95,1226.55,1228.05
45,2024-01-30 11:30:00,1228.75,1229.9,1227.75,1228.85
46,2024-01-30 11:33:00,1229.25,1230.05,1228.8,1230.0
47,2024-01-30 11:36:00,1229.95,1230.0,1229.0,1229.05
48,2024-01-30 11:39:00,1229.7,1229.8,1229.0,1229.0
49,2024-01-30 11:42:00,1229.4,1229.8,1228.15,1228.5
50,2024-01-30 11:45:00,1228.95,1229.4,1228.2,1228.2
51,2024-01-30 11:48:00,1229.05,1229.8,1228.2,1229.3
52,2024-01-30 11:51:00,1229.0,1230.0,1229.0,1229.65
53,2024-01-30 11:54:00,1229.8,1230.0,1229.05,1229.3
54,2024-01-30 11:57:00,1230.0,1230.0,1229.0,1230.0
55,2024-01-30 12:00:00,1229.95,1230.0,1228.2,1228.25
56,2024-01-30 12:03:00,1229.05,1229.55,1228.2,1228.7
57,2024-01-30 12:06:00,1229.45,1229.85,1228.2,1228.65
58,2024-01-30 12:09:00,1228.7,1229.9,1228.7,1229.25
59,2024-01-30 12:12:00,1229.1,1230.0,1229.05,1229.15
60,2024-01-30 12:15:00,1229.75,1230.0,1229.1,1229.45
61,2024-01-30 12:18:00,1230.0,1230.4,1229.35,1229.35
62,2024-01-30 12:21:00,1229.95,1230.0,1229.0,1229.0
63,2024-01-30 12:24:00,1229.5,1230.0,1229.0,1229.35
64,2024-01-30 12:27:00,1230.0,1230.4,1229.1,1229.65
65,2024-01-30 12:30:00,1230.0,1230.0,1229.55,1229.85
66,2024-01-30 12:33:00,1229.25,1229.65,1229.0,1229.35
67,2024-01-30 12:36:00,1229.0,1230.15,1229.0,1229.55
68,2024-01-30 12:39:00,1230.0,1230.15,1228.95,1229.75
69,2024-01-30 12:42:00,1229.6,1229.6,1227.5,1228.8
70,2024-01-30 12:45:00,1228.15,1229.4,1226.55,1226.6
71,2024-01-30 12:48:00,1226.55,1227.25,1225.05,1226.3
72,2024-01-30 12:51:00,1226.15,1228.3,1225.55,1228.15
73,2024-01-30 12:54:00,1228.0,1229.95,1227.3,1229.1
74,2024-01-30 12:57:00,1229.75,1230.2,1228.6,1229.25
75,2024-01-30 13:00:00,1229.8,1230.0,1229.1,1230.0
76,2024-01-30 13:03:00,1229.95,1229.95,1228.0,1228.2
77,2024-01-30 13:06:00,1227.75,1229.4,1227.35,1228.55
78,2024-01-30 13:09:00,1228.5,1229.6,1227.95,1228.55
79,2024-01-30 13:12:00,1229.25,1229.3,1228.15,1228.15
80,2024-01-30 13:15:00,1228.2,1228.75,1227.05,1227.6
81,2024-01-30 13:18:00,1228.1,1228.3,1227.0,1227.15
82,2024-01-30 13:21:00,1227.7,1228.05,1225.8,1226.85
83,2024-01-30 13:24:00,1227.0,1227.65,1226.45,1226.95
84,2024-01-30 13:27:00,1227.0,1228.05,1226.55,1226.7
85,2024-01-30 13:30:00,1227.25,1228.75,1226.5,1226.95
86,2024-01-30 13:33:00,1227.5,1227.5,1226.05,1226.65
87,2024-01-30 13:36:00,1227.0,1227.6,1226.5,1226.65
88,2024-01-30 13:39:00,1227.0,1227.6,1226.55,1226.7
89,2024-01-30 13:42:00,1227.0,1227.25,1226.7,1226.7
90,2024-01-30 13:45:00,1227.15,1227.45,1225.0,1225.0
91,2024-01-30 13:48:00,1225.2,1226.4,1225.0,1225.0
92,2024-01-30 13:51:00,1225.7,1227.0,1225.0,1226.15
93,2024-01-30 13:54:00,1226.1,1226.85,1225.0,1226.3
94,2024-01-30 13:57:00,1226.7,1227.1,1222.5,1222.5
95,2024-01-30 14:00:00,1222.95,1224.05,1220.05,1220.05
96,2024-01-30 14:03:00,1220.5,1221.9,1219.0,1219.35
97,2024-01-30 14:06:00,1220.1,1220.1,1217.7,1219.15
98,2024-01-30 14:09:00,1218.75,1219.65,1218.0,1218.85
99,2024-01-30 14:12:00,1219.3,1219.55,1218.05,1218.4
100,2024-01-30 14:15:00,1218.85,1219.45,1218.2,1218.2
101,2024-01-30 14:18:00,1218.65,1219.1,1218.2,1218.6
102,2024-01-30 14:21:00,1218.2,1218.6,1216.5,1216.5
103,2024-01-30 14:24:00,1216.55,1217.15,1212.6,1213.05
104,2024-01-30 14:27:00,1213.0,1214.0,1212.0,1212.0
105,2024-01-30 14:30:00,1211.7,1214.15,1208.7,1212.85
106,2024-01-30 14:33:00,1212.35,1213.75,1210.1,1210.75
107,2024-01-30 14:36:00,1210.1,1211.0,1208.05,1209.7
108,2024-01-30 14:39:00,1210.2,1211.35,1208.95,1209.9
109,2024-01-30 14:42:00,1210.55,1211.0,1209.3,1209.7
110,2024-01-30 14:45:00,1209.95,1213.55,1208.05,1212.05
111,2024-01-30 14:48:00,1212.0,1213.15,1210.2,1213.0
112,2024-01-30 14:51:00,1213.1,1213.1,1209.0,1209.05
113,2024-01-30 14:54:00,1209.6,1210.3,1208.4,1210.3
114,2024-01-30 14:57:00,1210.35,1210.7,1208.45,1209.95
115,2024-01-30 15:00:00,1210.4,1211.95,1208.1,1210.6
116,2024-01-30 15:03:00,1210.05,1211.4,1209.9,1210.2
117,2024-01-30 15:06:00,1209.9,1210.1,1208.5,1208.5
118,2024-01-30 15:09:00,1208.7,1208.95,1207.0,1208.05
119,2024-01-30 15:12:00,1208.0,1209.05,1207.05,1209.05
120,2024-01-30 15:15:00,1209.1,1211.05,1209.0,1209.4
121,2024-01-30 15:18:00,1209.35,1209.65,1208.7,1209.65
122,2024-01-30 15:21:00,1209.45,1209.55,1209.35,1209.4
123,2024-01-30 15:24:00,1209.35,1209.4,1209.0,1209.1
124,2024-01-30 15:27:00,1209.05,1210.95,1205.0,1210.95
125,2024-01-31 09:15:00,1219.75,1219.75,1204.55,1213.45
126,2024-01-31 09:18:00,1214.8,1216.75,1212.25,1214.65
127,2024-01-31 09:21:00,1214.1,1219.0,1213.8,1218.9
128,2024-01-31 09:24:00,1219.1,1222.0,1218.05,1219.95
129,2024-01-31 09:27:00,1219.9,1225.55,1219.1,1224.1
130,2024-01-31 09:30:00,1224.0,1227.0,1223.5,1226.4
131,2024-01-31 09:33:00,1227.0,1231.7,1226.75,1231.5
