,time,into,inth,intl,intc
0,2024-01-30 09:15:00,23238.3,23519.95,23214.7,23439.05
1,2024-01-30 09:18:00,23447.75,23493.95,23370.4,23489.0
2,2024-01-30 09:21:00,23468.4,23519.95,23424.1,23519.95
3,2024-01-30 09:24:00,23513.2,23549.0,23474.75,23544.2
4,2024-01-30 09:27:00,23549.0,23549.0,23477.65,23490.0
5,2024-01-30 09:30:00,23480.2,23566.85,23471.15,23518.4
6,2024-01-30 09:33:00,23537.95,23559.8,23506.95,23549.8
7,2024-01-30 09:36:00,23547.35,23560.0,23520.35,23537.9
8,2024-01-30 09:39:00,23535.45,23560.0,23534.25,23555.0
9,2024-01-30 09:42:00,23580.0,23597.3,23556.05,23579.75
10,2024-01-30 09:45:00,23578.9,23632.5,23578.9,23620.55
11,2024-01-30 09:48:00,23621.3,23642.5,23590.0,23633.8
12,2024-01-30 09:51:00,23633.85,23699.15,23616.25,23662.6
13,2024-01-30 09:54:00,23692.4,23694.75,23634.4,23680.25
14,2024-01-30 09:57:00,23679.95,23679.95,23589.85,23595.7
15,2024-01-30 10:00:00,23600.0,23685.0,23595.0,23680.0
16,2024-01-30 10:03:00,23685.0,23696.3,23670.1,23678.2
17,2024-01-30 10:06:00,23697.45,23772.95,23689.3,23771.3
18,2024-01-30 10:09:00,23759.05,23838.0,23755.9,23838.0
19,2024-01-30 10:12:00,23832.0,23939.2,23784.1,23871.6
20,2024-01-30 10:15:00,23855.5,23930.8,23848.2,23901.25
21,2024-01-30 10:18:00,23880.15,24032.45,23864.1,23979.0
22,2024-01-30 10:21:00,23977.35,24155.3,23960.95,23970.05
23,2024-01-30 10:24:00,23978.4,24059.7,23912.8,24029.95
24,2024-01-30 10:27:00,24026.35,24043.75,23938.15,23980.0
25,2024-01-30 10:30:00,23975.0,23980.0,23916.1,23916.1
26,2024-01-30 10:33:00,23916.05,23936.65,23839.5,23900.0
27,2024-01-30 10:36:00,23915.85,23917.3,23878.05,23886.05
28,2024-01-30 10:39:00,23896.9,23896.9,23821.05,23833.2
29,2024-01-30 10:42:00,23855.9,23862.1,23800.0,23820.1
30,2024-01-30 10:45:00,23836.6,23841.9,23789.3,23793.65
31,2024-01-30 10:48:00,23800.0,23858.7,23800.0,23818.7
32,2024-01-30 10:51:00,23800.0,23873.95,23800.0,23873.95
33,2024-01-30 10:54:00,23882.25,23882.25,23847.0,23847.9
34,2024-01-30 10:57:00,23867.3,23875.0,23847.9,23875.0
35,2024-01-30 11:00:00,23890.0,23890.0,23856.0,23858.0
36,2024-01-30 11:03:00,23856.05,23886.0,23853.85,23885.95
37,2024-01-30 11:06:00,23882.55,23882.55,23800.0,23811.85
38,2024-01-30 11:09:00,23817.4,23838.15,23800.05,23833.7
39,2024-01-30 11:12:00,23831.2,23832.25,23803.2,23806.15
40,2024-01-30 11:15:00,23830.85,23853.2,23806.5,23837.45
41,2024-01-30 11:18:00,23806.0,23825.0,23780.0,23780.15
42,2024-01-30 11:21:00,23780.2,23820.0,23780.15,23791.65
43,2024-01-30 11:24:00,23812.9,23869.95,23796.8,23846.5
44,2024-01-30 11:27:00,23832.3,23846.3,23804.0,23804.0
45,2024-01-30 11:30:00,23790.65,23810.0,23790.55,23800.05
46,2024-01-30 11:33:00,23801.8,23811.0,23801.8,23804.35
47,2024-01-30 11:36:00,23836.3,23846.3,23830.05,23830.05
48,2024-01-30 11:39:00,23825.5,23825.5,23813.1,23813.1
49,2024-01-30 11:42:00,23814.15,23827.6,23804.3,23807.05
50,2024-01-30 11:45:00,23804.0,23826.05,23796.55,23796.6
51,2024-01-30 11:48:00,23808.75,23808.75,23785.2,23803.15
52,2024-01-30 11:51:00,23803.1,23804.0,23788.05,23803.5
53,2024-01-30 11:54:00,23803.55,23813.9,23787.5,23799.95
54,2024-01-30 11:57:00,23800.65,23801.9,23785.25,23800.3
55,2024-01-30 12:00:00,23800.05,23809.5,23785.0,23807.0
56,2024-01-30 12:03:00,23799.0,23839.9,23783.7,23839.9
57,2024-01-30 12:06:00,23838.9,23843.9,23808.1,23837.85
58,2024-01-30 12:09:00,23837.8,23850.0,23833.55,23842.0
59,2024-01-30 12:12:00,23846.3,23846.3,23832.1,23843.9
60,2024-01-30 12:15:00,23831.2,23843.9,23821.25,23840.0
61,2024-01-30 12:18:00,23841.5,23841.5,23822.35,23839.45
62,2024-01-30 12:21:00,23823.85,23842.0,23821.15,23839.95
63,2024-01-30 12:24:00,23839.9,23840.0,23800.0,23815.8
64,2024-01-30 12:27:00,23819.75,23839.95,23802.25,23839.8
65,2024-01-30 12:30:00,23839.35,23840.0,23823.9,23835.3
66,2024-01-30 12:33:00,23835.6,23842.0,23823.65,23824.1
67,2024-01-30 12:36:00,23841.95,23910.0,23825.15,23885.95
68,2024-01-30 12:39:00,23870.0,23886.4,23854.15,23886.35
69,2024-01-30 12:42:00,23886.4,23886.4,23873.0,23886.4
70,2024-01-30 12:45:00,23874.0,23909.95,23874.0,23899.85
71,2024-01-30 12:48:00,23878.0,23919.5,23878.0,23919.45
72,2024-01-30 12:51:00,23897.7,23940.95,23897.7,23940.85
73,2024-01-30 12:54:00,23943.3,23947.0,23925.1,23947.0
74,2024-01-30 12:57:00,23928.75,23947.0,23898.45,23936.65
75,2024-01-30 13:00:00,23931.2,23947.0,23920.0,23920.0
76,2024-01-30 13:03:00,23946.35,23946.35,23922.7,23941.95
77,2024-01-30 13:06:00,23941.0,23944.35,23925.75,23930.0
78,2024-01-30 13:09:00,23922.1,23947.0,23922.1,23926.1
79,2024-01-30 13:12:00,23938.55,23999.95,23913.6,23991.95
80,2024-01-30 13:15:00,23995.25,24063.65,23976.05,24059.65
81,2024-01-30 13:18:00,24059.5,24060.0,24015.0,24015.0
82,2024-01-30 13:21:00,24018.35,24035.0,23998.75,24018.75
83,2024-01-30 13:24:00,24019.25,24082.35,24013.25,24050.0
84,2024-01-30 13:27:00,24059.1,24065.75,24034.65,24065.75
85,2024-01-30 13:30:00,24049.25,24064.0,24031.15,24050.0
86,2024-01-30 13:33:00,24060.0,24080.0,24032.4,24080.0
87,2024-01-30 13:36:00,24060.85,24086.05,24054.55,24077.35
88,2024-01-30 13:39:00,24064.0,24083.0,24045.7,24049.0
89,2024-01-30 13:42:00,24065.5,24065.5,24032.05,24048.4
90,2024-01-30 13:45:00,24032.0,24049.95,24016.25,24032.95
91,2024-01-30 13:48:00,24016.25,24040.0,24012.3,24040.0
92,2024-01-30 13:51:00,24058.7,24087.3,24046.5,24077.85
93,2024-01-30 13:54:00,24076.8,24095.0,24051.0,24087.95
94,2024-01-30 13:57:00,24081.75,24093.25,24057.8,24080.0
95,2024-01-30 14:00:00,24092.8,24100.0,24080.0,24099.75
96,2024-01-30 14:03:00,24080.0,24100.0,24072.3,24072.45
97,2024-01-30 14:06:00,24089.35,24089.35,24035.0,24039.75
98,2024-01-30 14:09:00,24018.05,24060.0,24010.0,24059.0
99,2024-01-30 14:12:00,24058.95,24058.95,24029.95,24030.0
100,2024-01-30 14:15:00,24065.95,24065.95,24025.0,24041.45
101,2024-01-30 14:18:00,24038.55,24049.75,24021.75,24038.25
102,2024-01-30 14:21:00,24038.55,24047.95,24013.0,24044.6
103,2024-01-30 14:24:00,24040.3,24043.95,23968.1,23968.1
104,2024-01-30 14:27:00,23967.55,24000.0,23958.35,23966.65
105,2024-01-30 14:30:00,23963.0,23998.1,23936.2,23990.0
106,2024-01-30 14:33:00,23982.05,23995.0,23955.05,23969.5
107,2024-01-30 14:36:00,23950.0,23976.85,23910.0,23940.45
108,2024-01-30 14:39:00,23940.8,23949.8,23911.65,23928.9
109,2024-01-30 14:42:00,23925.0,23938.3,23915.0,23932.05
110,2024-01-30 14:45:00,23929.3,23981.7,23915.0,23916.0
111,2024-01-30 14:48:00,23930.25,23960.0,23920.05,23955.0
112,2024-01-30 14:51:00,23960.0,23960.0,23920.0,23939.25
113,2024-01-30 14:54:00,23920.0,23950.0,23920.0,23920.0
114,2024-01-30 14:57:00,23929.85,23939.95,23910.0,23917.5
115,2024-01-30 15:00:00,23932.95,23948.6,23915.0,23928.7
116,2024-01-30 15:03:00,23926.0,23940.0,23916.25,23935.0
117,2024-01-30 15:06:00,23925.05,23944.6,23844.0,23861.35
118,2024-01-30 15:09:00,23841.45,23850.0,23815.65,23838.1
119,2024-01-30 15:12:00,23830.0,23877.95,23828.7,23861.5
120,2024-01-30 15:15:00,23868.25,23875.0,23831.0,23875.0
121,2024-01-30 15:18:00,23864.9,23890.0,23847.95,23855.2
122,2024-01-30 15:21:00,23865.85,23867.4,23828.55,23839.95
123,2024-01-30 15:24:00,23840.0,23886.95,23809.05,23820.55
124,2024-01-30 15:27:00,23828.1,23900.0,23765.0,23870.0
