,time,into,inth,intl,intc
0,2024-01-30 09:15:00,496.8,498.1,494.75,496.0
1,2024-01-30 09:18:00,495.7,499.15,495.1,498.55
2,2024-01-30 09:21:00,498.5,498.5,494.05,495.25
3,2024-01-30 09:24:00,495.45,495.5,493.35,494.65
4,2024-01-30 09:27:00,494.45,495.35,494.15,494.95
5,2024-01-30 09:30:00,494.65,498.25,493.7,497.35
6,2024-01-30 09:33:00,497.45,500.0,497.3,500.0
7,2024-01-30 09:36:00,499.85,502.8,499.85,502.8
8,2024-01-30 09:39:00,502.9,503.0,501.4,502.15
9,2024-01-30 09:42:00,502.35,504.0,502.1,503.5
10,2024-01-30 09:45:00,503.8,504.45,502.9,504.0
11,2024-01-30 09:48:00,503.8,504.0,501.5,501.95
12,2024-01-30 09:51:00,502.25,502.35,499.15,499.75
13,2024-01-30 09:54:00,499.85,501.5,499.45,501.0
14,2024-01-30 09:57:00,501.15,503.55,501.0,503.35
15,2024-01-30 10:00:00,503.6,503.9,502.5,503.75
16,2024-01-30 10:03:00,503.65,504.45,503.15,504.0
17,2024-01-30 10:06:00,503.85,505.0,503.0,504.8
18,2024-01-30 10:09:00,504.75,508.9,504.5,508.75
19,2024-01-30 10:12:00,508.45,509.6,507.5,508.0
20,2024-01-30 10:15:00,507.95,508.35,506.45,507.15
21,2024-01-30 10:18:00,507.35,508.55,506.6,508.55
22,2024-01-30 10:21:00,508.25,509.5,508.25,509.5
23,2024-01-30 10:24:00,509.45,510.85,508.45,510.55
24,2024-01-30 10:27:00,510.5,510.65,509.65,510.15
25,2024-01-30 10:30:00,510.3,510.8,509.75,510.5
26,2024-01-30 10:33:00,510.35,510.6,508.2,509.25
27,2024-01-30 10:36:00,509.1,511.35,509.1,510.7
28,2024-01-30 10:39:00,510.65,511.7,510.55,511.6
29,2024-01-30 10:42:00,511.65,511.8,510.6,510.7
30,2024-01-30 10:45:00,510.65,510.7,509.25,509.4
31,2024-01-30 10:48:00,509.35,509.45,507.6,508.7
32,2024-01-30 10:51:00,508.65,509.65,508.05,509.45
33,2024-01-30 10:54:00,509.55,510.8,508.8,510.0
34,2024-01-30 10:57:00,509.95,511.55,509.95,511.05
35,2024-01-30 11:00:00,511.45,511.75,509.6,510.65
36,2024-01-30 11:03:00,510.7,511.3,510.25,510.55
37,2024-01-30 11:06:00,510.7,510.95,510.25,510.95
38,2024-01-30 11:09:00,510.8,511.2,509.5,510.9
39,2024-01-30 11:12:00,510.7,511.2,509.8,511.2
40,2024-01-30 11:15:00,511.1,511.3,509.2,509.9
41,2024-01-30 11:18:00,509.85,510.0,509.0,509.15
42,2024-01-30 11:21:00,509.05,509.35,508.0,508.7
43,2024-01-30 11:24:00,508.45,508.85,508.0,508.85
44,2024-01-30 11:27:00,508.8,509.1,508.05,508.95
45,2024-01-30 11:30:00,509.1,509.65,508.45,509.45
46,2024-01-30 11:33:00,509.35,512.6,509.35,512.45
47,2024-01-30 11:36:00,512.5,514.65,512.05,514.15
