,time,into,inth,intl,intc
0,2024-02-02 09:15:00,507.35,509.95,506.95,507.8
1,2024-02-02 09:18:00,507.5,509.6,507.45,508.35
2,2024-02-02 09:21:00,508.05,508.65,507.1,508.6
3,2024-02-02 09:24:00,508.55,508.75,507.05,507.15
4,2024-02-02 09:27:00,506.8,508.75,506.8,508.55
5,2024-02-02 09:30:00,508.65,508.7,507.0,507.5
6,2024-02-02 09:33:00,507.85,509.9,507.5,509.3
7,2024-02-02 09:36:00,509.5,511.95,509.1,511.5
8,2024-02-02 09:39:00,511.6,512.1,510.35,510.8
9,2024-02-02 09:42:00,510.7,513.75,510.05,512.8
10,2024-02-02 09:45:00,512.5,513.2,510.2,511.65
11,2024-02-02 09:48:00,511.9,514.4,511.25,514.4
12,2024-02-02 09:51:00,514.2,515.3,513.05,514.8
13,2024-02-02 09:54:00,514.6,514.8,513.6,514.1
14,2024-02-02 09:57:00,514.3,514.3,512.7,513.65
15,2024-02-02 10:00:00,513.7,514.35,513.15,514.1
16,2024-02-02 10:03:00,513.85,516.6,513.85,515.95
17,2024-02-02 10:06:00,516.0,517.0,515.6,517.0
18,2024-02-02 10:09:00,517.05,520.0,517.05,519.85
19,2024-02-02 10:12:00,520.0,520.0,518.5,519.3
20,2024-02-02 10:15:00,519.05,519.3,517.65,517.65
21,2024-02-02 10:18:00,517.9,518.0,516.1,516.15
22,2024-02-02 10:21:00,516.2,516.45,515.15,515.7
23,2024-02-02 10:24:00,515.5,516.85,515.15,516.85
24,2024-02-02 10:27:00,516.6,516.85,515.4,515.95
25,2024-02-02 10:30:00,515.9,516.15,515.1,515.45
26,2024-02-02 10:33:00,515.15,515.8,514.3,514.9
27,2024-02-02 10:36:00,515.0,516.3,514.6,515.6
28,2024-02-02 10:39:00,515.75,516.15,514.65,514.9
29,2024-02-02 10:42:00,514.65,516.45,513.6,516.05
30,2024-02-02 10:45:00,515.95,517.95,515.7,517.85
31,2024-02-02 10:48:00,517.8,518.25,516.15,516.15
32,2024-02-02 10:51:00,516.35,516.9,515.85,516.5
33,2024-02-02 10:54:00,516.7,517.0,516.3,516.35
34,2024-02-02 10:57:00,516.45,516.9,516.05,516.3
35,2024-02-02 11:00:00,516.4,517.0,516.05,517.0
36,2024-02-02 11:03:00,517.05,517.5,516.75,517.3
37,2024-02-02 11:06:00,517.2,518.4,517.2,517.3
38,2024-02-02 11:09:00,517.5,517.65,517.1,517.25
