,time,into,inth,intl,intc
0,2024-02-02 09:15:00,363.9,366.0,363.3,364.8
1,2024-02-02 09:18:00,365.0,365.8,364.45,365.0
2,2024-02-02 09:21:00,364.9,365.35,364.5,365.0
3,2024-02-02 09:24:00,364.85,364.95,364.1,364.7
4,2024-02-02 09:27:00,364.9,365.25,364.55,364.7
5,2024-02-02 09:30:00,365.05,365.7,364.7,365.6
6,2024-02-02 09:33:00,365.8,366.25,365.6,366.2
7,2024-02-02 09:36:00,366.1,367.0,365.45,366.8
8,2024-02-02 09:39:00,366.9,367.45,366.55,367.0
9,2024-02-02 09:42:00,367.1,367.8,366.5,367.35
10,2024-02-02 09:45:00,367.6,367.6,366.05,366.8
11,2024-02-02 09:48:00,366.85,367.3,366.2,367.1
12,2024-02-02 09:51:00,367.25,367.25,366.7,367.2
13,2024-02-02 09:54:00,367.0,367.25,366.4,366.55
14,2024-02-02 09:57:00,367.0,367.2,366.0,366.05
15,2024-02-02 10:00:00,365.8,366.05,365.55,365.55
16,2024-02-02 10:03:00,365.85,366.45,365.65,366.4
17,2024-02-02 10:06:00,366.35,366.35,365.5,365.55
18,2024-02-02 10:09:00,365.8,365.8,364.6,364.6
19,2024-02-02 10:12:00,364.95,365.45,364.65,365.45
20,2024-02-02 10:15:00,365.15,366.15,365.15,365.6
21,2024-02-02 10:18:00,365.4,365.6,365.2,365.5
22,2024-02-02 10:21:00,365.35,365.55,365.0,365.5
23,2024-02-02 10:24:00,365.35,365.6,364.65,364.75
24,2024-02-02 10:27:00,364.7,365.4,364.3,365.1
25,2024-02-02 10:30:00,365.4,365.4,364.6,364.95
26,2024-02-02 10:33:00,364.65,365.2,364.6,364.9
27,2024-02-02 10:36:00,365.0,365.3,364.8,364.9
28,2024-02-02 10:39:00,364.85,365.1,364.4,364.4
29,2024-02-02 10:42:00,364.65,365.5,364.4,365.4
30,2024-02-02 10:45:00,365.1,365.9,365.05,365.4
31,2024-02-02 10:48:00,365.55,365.9,365.4,365.5
32,2024-02-02 10:51:00,365.85,365.9,365.4,365.65
33,2024-02-02 10:54:00,365.45,365.9,365.35,365.5
34,2024-02-02 10:57:00,365.15,365.95,365.1,365.8
35,2024-02-02 11:00:00,365.9,365.9,365.4,365.7
36,2024-02-02 11:03:00,365.9,365.95,365.6,365.65
37,2024-02-02 11:06:00,365.7,365.95,365.3,365.3
38,2024-02-02 11:09:00,365.45,365.55,365.3,365.5
39,2024-02-02 11:12:00,365.3,365.75,365.2,365.6
40,2024-02-02 11:15:00,365.35,365.6,364.5,364.6
41,2024-02-02 11:18:00,364.55,364.75,364.05,364.5
42,2024-02-02 11:21:00,364.75,365.15,364.5,364.9
43,2024-02-02 11:24:00,365.0,365.0,364.7,364.95
44,2024-02-02 11:27:00,365.0,365.0,364.7,364.7
45,2024-02-02 11:30:00,364.95,365.0,364.45,364.45
46,2024-02-02 11:33:00,364.4,364.95,364.4,364.9
47,2024-02-02 11:36:00,364.65,364.9,364.55,364.6
48,2024-02-02 11:39:00,364.5,364.8,364.1,364.45
49,2024-02-02 11:42:00,364.5,364.5,363.75,363.75
50,2024-02-02 11:45:00,363.85,363.9,363.35,363.9
