,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1344.95,1351.55,1341.8,1349.1
1,2024-01-30 09:18:00,1349.05,1352.0,1344.0,1346.45
2,2024-01-30 09:21:00,1346.05,1348.15,1342.0,1342.8
3,2024-01-30 09:24:00,1343.2,1345.05,1339.0,1339.0
4,2024-01-30 09:27:00,1339.4,1340.75,1336.1,1336.7
5,2024-01-30 09:30:00,1336.4,1340.3,1335.55,1340.0
6,2024-01-30 09:33:00,1340.3,1342.6,1339.25,1341.4
7,2024-01-30 09:36:00,1341.45,1344.0,1341.4,1344.0
8,2024-01-30 09:39:00,1343.45,1344.55,1341.0,1341.1
9,2024-01-30 09:42:00,1341.15,1344.3,1341.1,1344.3
10,2024-01-30 09:45:00,1344.05,1344.85,1341.25,1341.7
11,2024-01-30 09:48:00,1341.8,1343.95,1340.8,1343.55
12,2024-01-30 09:51:00,1343.95,1344.45,1341.0,1342.7
13,2024-01-30 09:54:00,1342.3,1345.6,1342.3,1343.7
14,2024-01-30 09:57:00,1344.05,1345.95,1342.7,1345.9
15,2024-01-30 10:00:00,1345.25,1345.9,1344.0,1345.85
16,2024-01-30 10:03:00,1345.2,1346.0,1344.4,1345.5
17,2024-01-30 10:06:00,1345.45,1346.75,1345.15,1346.25
18,2024-01-30 10:09:00,1346.45,1347.3,1346.0,1346.7
19,2024-01-30 10:12:00,1346.2,1347.0,1345.9,1347.0
20,2024-01-30 10:15:00,1346.95,1349.6,1346.55,1349.6
21,2024-01-30 10:18:00,1349.65,1349.65,1347.2,1347.8
22,2024-01-30 10:21:00,1347.3,1347.9,1345.15,1346.35
23,2024-01-30 10:24:00,1346.1,1347.05,1345.8,1346.7
24,2024-01-30 10:27:00,1346.75,1346.75,1345.5,1346.3
25,2024-01-30 10:30:00,1346.75,1346.8,1345.3,1345.85
26,2024-01-30 10:33:00,1345.7,1346.6,1345.7,1346.6
27,2024-01-30 10:36:00,1346.35,1349.0,1346.35,1348.9
28,2024-01-30 10:39:00,1349.0,1349.0,1345.95,1346.55
29,2024-01-30 10:42:00,1346.6,1346.65,1345.0,1345.25
30,2024-01-30 10:45:00,1345.05,1345.4,1343.0,1343.4
31,2024-01-30 10:48:00,1343.1,1343.35,1337.7,1338.65
32,2024-01-30 10:51:00,1338.5,1340.6,1337.6,1339.35
33,2024-01-30 10:54:00,1339.45,1340.3,1336.05,1337.55
34,2024-01-30 10:57:00,1337.95,1338.55,1337.0,1337.75
35,2024-01-30 11:00:00,1337.6,1338.6,1337.05,1338.45
36,2024-01-30 11:03:00,1338.5,1339.15,1337.65,1338.0
37,2024-01-30 11:06:00,1338.25,1338.35,1335.65,1338.15
38,2024-01-30 11:09:00,1338.35,1338.45,1336.8,1337.3
39,2024-01-30 11:12:00,1337.35,1338.95,1336.95,1338.95
40,2024-01-30 11:15:00,1339.15,1340.0,1338.0,1339.35
41,2024-01-30 11:18:00,1339.3,1340.0,1339.2,1339.2
42,2024-01-30 11:21:00,1339.25,1340.0,1338.5,1339.5
43,2024-01-30 11:24:00,1339.45,1340.0,1338.45,1339.9
44,2024-01-30 11:27:00,1339.35,1340.25,1337.55,1339.0
45,2024-01-30 11:30:00,1339.1,1342.0,1338.15,1338.9
46,2024-01-30 11:33:00,1338.75,1338.9,1336.0,1338.4
47,2024-01-30 11:36:00,1338.55,1341.05,1338.2,1340.95
48,2024-01-30 11:39:00,1341.0,1342.35,1340.65,1341.8
49,2024-01-30 11:42:00,1341.7,1342.35,1340.8,1341.4
50,2024-01-30 11:45:00,1341.55,1341.55,1340.5,1341.0
51,2024-01-30 11:48:00,1340.9,1341.0,1337.0,1337.0
52,2024-01-30 11:51:00,1337.1,1338.75,1337.05,1338.0
53,2024-01-30 11:54:00,1338.05,1339.3,1338.05,1338.35
54,2024-01-30 11:57:00,1338.4,1338.45,1336.85,1337.9
55,2024-01-30 12:00:00,1338.2,1339.9,1338.1,1339.9
56,2024-01-30 12:03:00,1340.0,1341.0,1338.85,1339.35
57,2024-01-30 12:06:00,1339.15,1339.85,1338.95,1338.95
58,2024-01-30 12:09:00,1339.0,1339.35,1337.5,1338.35
59,2024-01-30 12:12:00,1338.55,1339.05,1338.0,1338.45
60,2024-01-30 12:15:00,1338.25,1338.4,1337.0,1337.4
61,2024-01-30 12:18:00,1337.1,1338.45,1337.1,1338.3
62,2024-01-30 12:21:00,1338.4,1340.7,1338.4,1340.7
63,2024-01-30 12:24:00,1340.8,1340.8,1338.5,1338.8
64,2024-01-30 12:27:00,1338.75,1338.9,1336.2,1337.1
65,2024-01-30 12:30:00,1337.2,1337.65,1336.2,1336.5
66,2024-01-30 12:33:00,1336.35,1338.15,1335.3,1337.4
67,2024-01-30 12:36:00,1337.95,1339.0,1337.3,1338.9
68,2024-01-30 12:39:00,1338.85,1339.5,1337.55,1338.25
69,2024-01-30 12:42:00,1338.0,1338.05,1337.15,1337.2
70,2024-01-30 12:45:00,1337.15,1337.15,1333.15,1333.15
71,2024-01-30 12:48:00,1333.1,1333.15,1332.0,1332.7
72,2024-01-30 12:51:00,1332.6,1333.6,1332.0,1332.0
73,2024-01-30 12:54:00,1332.2,1333.2,1331.5,1332.6
74,2024-01-30 12:57:00,1332.55,1333.2,1331.6,1332.65
75,2024-01-30 13:00:00,1332.8,1332.95,1331.6,1331.85
76,2024-01-30 13:03:00,1331.8,1332.05,1331.5,1331.55
77,2024-01-30 13:06:00,1331.5,1331.55,1330.45,1330.55
78,2024-01-30 13:09:00,1330.5,1330.9,1329.45,1330.65
79,2024-01-30 13:12:00,1330.5,1330.85,1329.5,1329.8
80,2024-01-30 13:15:00,1329.5,1330.55,1329.0,1330.45
81,2024-01-30 13:18:00,1330.4,1331.9,1330.4,1331.65
82,2024-01-30 13:21:00,1331.5,1331.9,1329.35,1330.0
83,2024-01-30 13:24:00,1329.9,1331.5,1329.9,1331.45
84,2024-01-30 13:27:00,1331.4,1332.75,1330.1,1332.6
85,2024-01-30 13:30:00,1332.2,1332.5,1330.4,1330.85
86,2024-01-30 13:33:00,1330.8,1331.1,1330.05,1330.95
87,2024-01-30 13:36:00,1330.45,1332.0,1330.45,1331.85
88,2024-01-30 13:39:00,1331.7,1333.0,1331.7,1332.95
89,2024-01-30 13:42:00,1332.4,1332.95,1332.1,1332.25
90,2024-01-30 13:45:00,1332.1,1332.25,1329.0,1329.45
