,time,into,inth,intl,intc
0,2024-02-02 09:15:00,410.9,414.0,410.15,413.75
1,2024-02-02 09:18:00,413.6,415.45,413.6,414.05
2,2024-02-02 09:21:00,413.85,414.0,412.1,412.75
3,2024-02-02 09:24:00,412.85,413.35,412.3,412.4
4,2024-02-02 09:27:00,412.45,412.75,411.9,412.3
5,2024-02-02 09:30:00,412.45,412.45,410.65,411.85
6,2024-02-02 09:33:00,411.7,412.5,411.7,412.05
7,2024-02-02 09:36:00,411.95,412.5,411.35,412.3
8,2024-02-02 09:39:00,412.15,413.1,412.05,412.75
9,2024-02-02 09:42:00,412.85,413.4,412.65,412.9
10,2024-02-02 09:45:00,412.8,412.95,411.55,412.0
11,2024-02-02 09:48:00,411.95,412.3,411.85,412.1
12,2024-02-02 09:51:00,411.95,412.65,411.8,412.65
13,2024-02-02 09:54:00,412.55,412.8,411.9,412.05
14,2024-02-02 09:57:00,412.2,413.8,412.05,413.75
15,2024-02-02 10:00:00,413.9,413.95,413.2,413.4
16,2024-02-02 10:03:00,413.25,414.0,413.05,413.3
17,2024-02-02 10:06:00,413.0,414.2,412.9,413.95
18,2024-02-02 10:09:00,414.0,414.1,413.4,413.75
19,2024-02-02 10:12:00,413.7,413.75,413.1,413.6
20,2024-02-02 10:15:00,413.45,413.6,412.35,412.65
21,2024-02-02 10:18:00,412.7,412.9,412.3,412.3
22,2024-02-02 10:21:00,412.45,412.5,411.8,411.85
23,2024-02-02 10:24:00,411.75,411.95,411.5,411.75
24,2024-02-02 10:27:00,411.7,412.7,411.6,412.55
25,2024-02-02 10:30:00,412.65,412.7,412.4,412.55
26,2024-02-02 10:33:00,412.5,413.3,412.5,412.9
27,2024-02-02 10:36:00,413.0,413.0,412.5,412.75
28,2024-02-02 10:39:00,412.55,412.75,411.8,411.85
29,2024-02-02 10:42:00,412.0,413.0,411.8,412.85
30,2024-02-02 10:45:00,412.8,413.0,412.5,412.9
31,2024-02-02 10:48:00,412.8,413.2,412.7,412.85
32,2024-02-02 10:51:00,413.0,413.0,412.4,412.95
33,2024-02-02 10:54:00,413.0,413.0,412.55,412.7
34,2024-02-02 10:57:00,412.55,413.2,412.5,412.85
35,2024-02-02 11:00:00,412.7,413.7,412.7,413.5
36,2024-02-02 11:03:00,413.45,414.5,413.45,414.0
37,2024-02-02 11:06:00,413.95,414.85,413.8,414.15
38,2024-02-02 11:09:00,414.4,414.75,414.2,414.3
39,2024-02-02 11:12:00,414.35,414.55,413.9,413.95
40,2024-02-02 11:15:00,413.9,415.35,413.85,415.15
41,2024-02-02 11:18:00,415.25,415.8,415.0,415.3
42,2024-02-02 11:21:00,415.25,416.0,415.0,415.95
43,2024-02-02 11:24:00,415.8,418.0,415.8,417.8
44,2024-02-02 11:27:00,417.95,418.0,417.45,417.5
45,2024-02-02 11:30:00,417.6,418.0,416.55,416.8
46,2024-02-02 11:33:00,416.85,416.9,415.95,416.35
47,2024-02-02 11:36:00,416.3,416.45,415.65,416.1
48,2024-02-02 11:39:00,416.0,416.55,415.1,415.75
49,2024-02-02 11:42:00,415.4,416.05,415.2,415.4
50,2024-02-02 11:45:00,415.3,416.45,415.25,416.45
51,2024-02-02 11:48:00,416.2,416.5,416.1,416.45
52,2024-02-02 11:51:00,416.4,417.6,416.3,416.85
53,2024-02-02 11:54:00,416.7,417.4,416.7,417.35
54,2024-02-02 11:57:00,417.4,417.6,417.0,417.2
55,2024-02-02 12:00:00,417.25,417.4,416.85,417.0
56,2024-02-02 12:03:00,417.15,417.25,416.8,417.15
57,2024-02-02 12:06:00,417.0,417.15,416.6,416.6
58,2024-02-02 12:09:00,416.8,417.1,416.3,417.1
59,2024-02-02 12:12:00,417.0,417.25,416.05,416.4
60,2024-02-02 12:15:00,416.55,417.25,416.4,417.1
61,2024-02-02 12:18:00,417.2,418.5,416.95,418.5
62,2024-02-02 12:21:00,418.55,418.55,417.2,417.55
63,2024-02-02 12:24:00,417.75,417.85,416.85,417.55
64,2024-02-02 12:27:00,417.6,417.65,416.0,416.45
65,2024-02-02 12:30:00,416.55,416.55,414.8,414.8
66,2024-02-02 12:33:00,415.0,415.9,413.5,413.7
67,2024-02-02 12:36:00,413.75,413.9,412.95,413.75
68,2024-02-02 12:39:00,413.95,415.3,413.7,414.3
69,2024-02-02 12:42:00,414.4,415.15,414.0,415.0
70,2024-02-02 12:45:00,415.1,415.35,414.4,414.45
71,2024-02-02 12:48:00,414.65,414.7,413.5,413.9
72,2024-02-02 12:51:00,414.0,415.1,413.85,414.9
73,2024-02-02 12:54:00,414.75,415.2,414.5,414.9
74,2024-02-02 12:57:00,414.85,415.2,414.05,414.35
75,2024-02-02 13:00:00,414.25,415.25,414.15,415.0
76,2024-02-02 13:03:00,415.05,415.15,414.5,414.7
77,2024-02-02 13:06:00,414.65,415.0,414.45,414.85
78,2024-02-02 13:09:00,414.9,415.0,414.05,414.2
79,2024-02-02 13:12:00,414.1,414.5,413.75,413.9
80,2024-02-02 13:15:00,413.8,414.5,413.2,414.45
81,2024-02-02 13:18:00,414.5,414.85,414.2,414.55
82,2024-02-02 13:21:00,414.4,414.65,414.05,414.25
83,2024-02-02 13:24:00,414.3,414.5,413.8,414.35
84,2024-02-02 13:27:00,414.4,415.45,414.25,415.4
85,2024-02-02 13:30:00,415.25,415.4,414.2,414.35
86,2024-02-02 13:33:00,414.1,415.2,414.1,415.0
87,2024-02-02 13:36:00,414.95,415.25,414.8,415.1
88,2024-02-02 13:39:00,415.3,416.0,414.9,415.9
89,2024-02-02 13:42:00,415.95,416.25,415.5,415.6
90,2024-02-02 13:45:00,415.75,416.25,415.4,415.5
91,2024-02-02 13:48:00,415.65,416.0,415.2,415.7
92,2024-02-02 13:51:00,415.6,417.85,415.6,417.5
93,2024-02-02 13:54:00,417.6,418.5,417.25,418.35
94,2024-02-02 13:57:00,418.5,419.35,417.5,419.35
95,2024-02-02 14:00:00,419.4,420.3,418.0,420.0
96,2024-02-02 14:03:00,419.85,421.0,419.4,420.35
97,2024-02-02 14:06:00,420.25,422.55,419.95,422.55
98,2024-02-02 14:09:00,422.2,422.8,421.55,421.65
99,2024-02-02 14:12:00,421.7,421.8,420.4,421.65
100,2024-02-02 14:15:00,421.8,422.0,420.8,422.0
101,2024-02-02 14:18:00,421.9,422.2,421.0,421.35
102,2024-02-02 14:21:00,421.5,421.5,420.0,420.2
103,2024-02-02 14:24:00,420.15,420.8,419.85,420.1
104,2024-02-02 14:27:00,420.05,420.2,419.65,420.0
105,2024-02-02 14:30:00,419.9,420.5,419.8,419.9
106,2024-02-02 14:33:00,419.95,420.1,419.65,420.0
107,2024-02-02 14:36:00,419.95,420.1,419.85,419.9
108,2024-02-02 14:39:00,420.0,420.2,419.85,420.0
109,2024-02-02 14:42:00,420.05,421.85,420.0,420.95
110,2024-02-02 14:45:00,421.05,421.3,419.65,420.1
111,2024-02-02 14:48:00,420.15,420.25,419.7,420.1
112,2024-02-02 14:51:00,420.05,420.3,419.8,420.2
113,2024-02-02 14:54:00,420.25,420.35,420.05,420.2
114,2024-02-02 14:57:00,420.25,420.85,420.0,420.8
