,time,into,inth,intl,intc
0,2024-02-01 09:51:00,6269.9,6275.0,6267.15,6270.35
1,2024-02-01 09:54:00,6270.0,6270.9,6261.0,6264.85
2,2024-02-01 09:57:00,6256.2,6262.25,6255.2,6262.15
3,2024-02-01 10:00:00,6261.5,6267.7,6254.1,6257.95
4,2024-02-01 10:03:00,6256.3,6257.95,6247.2,6249.3
5,2024-02-01 10:06:00,6251.3,6261.35,6248.65,6253.2
6,2024-02-01 10:09:00,6252.5,6258.65,6250.0,6258.6
7,2024-02-01 10:12:00,6259.95,6259.95,6253.0,6254.55
8,2024-02-01 10:15:00,6250.45,6253.65,6235.35,6240.95
9,2024-02-01 10:18:00,6241.0,6241.0,6231.45,6231.45
10,2024-02-01 10:21:00,6233.3,6242.05,6231.1,6242.05
11,2024-02-01 10:24:00,6239.45,6241.45,6232.8,6236.9
12,2024-02-01 10:27:00,6233.45,6235.8,6225.25,6230.65
13,2024-02-01 10:30:00,6230.55,6231.05,6226.75,6227.35
14,2024-02-01 10:33:00,6230.0,6232.35,6224.5,6224.55
15,2024-02-01 10:36:00,6224.65,6224.65,6201.45,6204.55
16,2024-02-01 10:39:00,6205.95,6208.65,6200.05,6202.6
17,2024-02-01 10:42:00,6203.6,6204.7,6200.0,6201.25
18,2024-02-01 10:45:00,6201.05,6212.1,6194.45,6208.9
19,2024-02-01 10:48:00,6210.95,6214.5,6205.3,6208.15
20,2024-02-01 10:51:00,6210.0,6222.15,6207.6,6217.75
21,2024-02-01 10:54:00,6218.3,6226.6,6216.75,6217.25
22,2024-02-01 10:57:00,6218.7,6229.0,6217.25,6222.8
23,2024-02-01 11:00:00,6224.8,6247.3,6221.8,6246.25
24,2024-02-01 11:03:00,6246.15,6248.05,6213.1,6215.25
25,2024-02-01 11:06:00,6214.45,6215.95,6196.0,6208.5
26,2024-02-01 11:09:00,6205.25,6208.15,6197.55,6206.05
27,2024-02-01 11:12:00,6208.25,6218.9,6205.0,6210.0
28,2024-02-01 11:15:00,6210.5,6214.5,6183.0,6189.2
29,2024-02-01 11:18:00,6189.25,6194.5,6169.0,6173.5
30,2024-02-01 11:21:00,6174.45,6188.05,6170.05,6174.15
31,2024-02-01 11:24:00,6177.75,6190.0,6175.1,6186.05
32,2024-02-01 11:27:00,6185.6,6189.95,6174.3,6177.2
