,time,into,inth,intl,intc
0,2024-01-30 09:15:00,534.5,536.75,533.25,534.9
1,2024-01-30 09:18:00,534.95,535.45,534.45,534.9
2,2024-01-30 09:21:00,534.65,536.2,534.55,535.95
3,2024-01-30 09:24:00,535.8,537.1,535.8,536.25
4,2024-01-30 09:27:00,536.05,536.55,535.35,535.5
5,2024-01-30 09:30:00,535.4,536.4,534.75,535.55
6,2024-01-30 09:33:00,535.4,536.8,535.4,536.5
7,2024-01-30 09:36:00,536.3,536.65,536.25,536.45
8,2024-01-30 09:39:00,536.5,536.8,535.8,536.05
9,2024-01-30 09:42:00,535.85,536.65,535.85,536.45
10,2024-01-30 09:45:00,536.4,536.4,535.25,535.6
11,2024-01-30 09:48:00,535.25,535.6,534.9,535.4
12,2024-01-30 09:51:00,535.15,536.25,535.15,536.1
13,2024-01-30 09:54:00,536.05,537.35,536.05,536.65
14,2024-01-30 09:57:00,536.5,536.65,536.1,536.35
15,2024-01-30 10:00:00,536.15,536.2,536.05,536.15
16,2024-01-30 10:03:00,536.1,537.15,536.1,536.9
17,2024-01-30 10:06:00,537.15,537.15,536.5,536.6
18,2024-01-30 10:09:00,536.5,537.1,536.5,537.1
19,2024-01-30 10:12:00,537.0,537.65,536.75,537.0
20,2024-01-30 10:15:00,536.95,537.25,536.6,536.85
21,2024-01-30 10:18:00,536.7,536.85,536.5,536.5
22,2024-01-30 10:21:00,536.7,536.7,536.0,536.15
23,2024-01-30 10:24:00,536.0,536.8,535.9,536.8
24,2024-01-30 10:27:00,537.0,537.0,536.25,536.5
25,2024-01-30 10:30:00,536.25,536.5,536.05,536.4
26,2024-01-30 10:33:00,536.25,536.4,535.95,535.95
27,2024-01-30 10:36:00,536.2,536.2,535.7,535.85
28,2024-01-30 10:39:00,535.8,536.25,535.7,536.2
29,2024-01-30 10:42:00,535.85,536.1,535.0,535.35
30,2024-01-30 10:45:00,535.3,535.35,534.8,535.05
31,2024-01-30 10:48:00,535.25,535.5,533.75,533.8
32,2024-01-30 10:51:00,534.15,535.0,533.8,534.9
33,2024-01-30 10:54:00,534.65,535.15,534.2,535.15
34,2024-01-30 10:57:00,535.2,535.2,534.4,534.85
35,2024-01-30 11:00:00,534.6,534.9,534.5,534.85
36,2024-01-30 11:03:00,534.6,534.95,534.6,534.95
37,2024-01-30 11:06:00,534.9,535.0,534.5,534.6
38,2024-01-30 11:09:00,534.7,534.75,534.4,534.55
39,2024-01-30 11:12:00,534.45,534.65,534.25,534.3
40,2024-01-30 11:15:00,534.5,534.9,534.3,534.9
41,2024-01-30 11:18:00,534.6,534.95,534.4,534.5
42,2024-01-30 11:21:00,534.4,534.55,534.3,534.5
43,2024-01-30 11:24:00,534.45,534.6,534.25,534.6
44,2024-01-30 11:27:00,534.4,534.8,534.3,534.65
45,2024-01-30 11:30:00,534.55,535.0,534.55,535.0
46,2024-01-30 11:33:00,534.9,535.3,534.9,535.3
47,2024-01-30 11:36:00,535.1,535.55,535.1,535.55
48,2024-01-30 11:39:00,535.4,535.6,535.2,535.25
49,2024-01-30 11:42:00,535.5,535.85,535.25,535.7
50,2024-01-30 11:45:00,535.75,535.8,535.45,535.65
51,2024-01-30 11:48:00,535.55,535.65,534.75,534.9
52,2024-01-30 11:51:00,534.75,534.9,534.0,534.5
53,2024-01-30 11:54:00,534.5,534.6,534.0,534.35
54,2024-01-30 11:57:00,534.05,534.85,534.05,534.8
55,2024-01-30 12:00:00,534.85,535.1,534.55,534.65
56,2024-01-30 12:03:00,534.55,534.7,534.55,534.7
57,2024-01-30 12:06:00,534.6,534.7,534.4,534.55
58,2024-01-30 12:09:00,534.4,534.6,534.3,534.6
59,2024-01-30 12:12:00,534.4,535.35,534.4,535.35
60,2024-01-30 12:15:00,535.25,536.9,535.25,536.55
61,2024-01-30 12:18:00,536.65,536.75,536.4,536.45
62,2024-01-30 12:21:00,536.65,536.65,536.3,536.4
63,2024-01-30 12:24:00,536.6,536.6,536.05,536.3
64,2024-01-30 12:27:00,536.05,536.6,536.05,536.55
65,2024-01-30 12:30:00,536.3,536.55,536.25,536.55
66,2024-01-30 12:33:00,536.4,536.65,536.25,536.65
67,2024-01-30 12:36:00,536.55,536.65,536.5,536.65
68,2024-01-30 12:39:00,536.45,536.7,536.25,536.45
69,2024-01-30 12:42:00,536.6,537.0,536.35,536.8
70,2024-01-30 12:45:00,536.55,536.85,536.0,536.1
71,2024-01-30 12:48:00,536.2,536.5,536.05,536.4
