,time,into,inth,intl,intc
0,2024-01-30 09:15:00,146.35,146.4,145.2,145.35
1,2024-01-30 09:18:00,145.3,145.6,145.2,145.2
2,2024-01-30 09:21:00,145.15,145.45,145.0,145.35
3,2024-01-30 09:24:00,145.25,145.4,144.85,144.85
4,2024-01-30 09:27:00,144.8,145.1,144.8,144.85
5,2024-01-30 09:30:00,144.8,145.5,144.7,145.1
6,2024-01-30 09:33:00,145.2,145.3,145.1,145.25
7,2024-01-30 09:36:00,145.2,145.3,144.95,145.1
8,2024-01-30 09:39:00,145.2,145.3,145.0,145.1
9,2024-01-30 09:42:00,145.15,145.55,145.05,145.5
10,2024-01-30 09:45:00,145.45,145.85,145.25,145.4
11,2024-01-30 09:48:00,145.45,145.65,145.35,145.45
12,2024-01-30 09:51:00,145.35,145.45,144.95,145.0
13,2024-01-30 09:54:00,145.05,145.05,144.8,145.0
14,2024-01-30 09:57:00,144.95,145.4,144.85,145.25
15,2024-01-30 10:00:00,145.15,145.25,145.0,145.05
16,2024-01-30 10:03:00,145.15,145.3,145.0,145.25
17,2024-01-30 10:06:00,145.3,145.35,145.05,145.3
18,2024-01-30 10:09:00,145.25,145.4,145.15,145.3
19,2024-01-30 10:12:00,145.25,145.4,145.15,145.15
20,2024-01-30 10:15:00,145.2,145.25,145.1,145.2
21,2024-01-30 10:18:00,145.1,145.35,145.0,145.25
22,2024-01-30 10:21:00,145.3,145.6,145.2,145.55
23,2024-01-30 10:24:00,145.6,145.85,145.55,145.6
24,2024-01-30 10:27:00,145.65,145.65,145.45,145.65
25,2024-01-30 10:30:00,145.7,145.95,145.65,145.9
26,2024-01-30 10:33:00,145.85,146.1,145.8,146.1
27,2024-01-30 10:36:00,146.0,146.35,146.0,146.35
28,2024-01-30 10:39:00,146.3,146.5,146.05,146.15
29,2024-01-30 10:42:00,146.2,146.2,145.7,145.7
30,2024-01-30 10:45:00,145.65,145.85,145.65,145.75
31,2024-01-30 10:48:00,145.65,145.75,145.4,145.45
32,2024-01-30 10:51:00,145.4,145.6,145.35,145.6
33,2024-01-30 10:54:00,145.55,145.8,145.35,145.8
34,2024-01-30 10:57:00,145.75,145.85,145.7,145.8
35,2024-01-30 11:00:00,145.75,145.85,145.6,145.75
36,2024-01-30 11:03:00,145.8,145.8,145.65,145.65
37,2024-01-30 11:06:00,145.55,145.7,145.45,145.5
38,2024-01-30 11:09:00,145.45,145.55,145.35,145.45
39,2024-01-30 11:12:00,145.4,145.55,145.35,145.5
40,2024-01-30 11:15:00,145.55,145.55,145.4,145.45
41,2024-01-30 11:18:00,145.4,145.5,145.35,145.35
42,2024-01-30 11:21:00,145.4,145.5,145.3,145.4
43,2024-01-30 11:24:00,145.35,145.5,145.25,145.5
44,2024-01-30 11:27:00,145.4,145.55,145.3,145.55
45,2024-01-30 11:30:00,145.6,145.65,145.5,145.65
