,time,into,inth,intl,intc
0,2024-02-01 09:51:00,78.25,78.25,78.15,78.2
1,2024-02-01 09:54:00,78.25,78.45,78.1,78.35
2,2024-02-01 09:57:00,78.4,78.4,78.15,78.3
3,2024-02-01 10:00:00,78.2,78.3,77.9,77.95
4,2024-02-01 10:03:00,77.85,77.95,77.75,77.8
5,2024-02-01 10:06:00,77.75,78.1,77.75,77.95
6,2024-02-01 10:09:00,77.9,78.05,77.7,77.75
7,2024-02-01 10:12:00,77.8,77.8,77.6,77.75
8,2024-02-01 10:15:00,77.8,77.8,77.5,77.6
9,2024-02-01 10:18:00,77.65,77.65,77.5,77.55
10,2024-02-01 10:21:00,77.5,77.65,77.4,77.5
11,2024-02-01 10:24:00,77.55,77.7,77.45,77.7
12,2024-02-01 10:27:00,77.6,77.75,77.6,77.7
13,2024-02-01 10:30:00,77.65,77.65,77.2,77.25
14,2024-02-01 10:33:00,77.2,77.35,77.15,77.35
15,2024-02-01 10:36:00,77.3,77.35,77.15,77.25
16,2024-02-01 10:39:00,77.2,77.4,77.2,77.35
17,2024-02-01 10:42:00,77.3,77.45,77.15,77.4
18,2024-02-01 10:45:00,77.45,77.5,77.25,77.35
19,2024-02-01 10:48:00,77.4,77.5,77.3,77.4
20,2024-02-01 10:51:00,77.35,77.4,77.25,77.4
21,2024-02-01 10:54:00,77.45,77.5,77.25,77.35
22,2024-02-01 10:57:00,77.3,77.45,77.3,77.45
23,2024-02-01 11:00:00,77.4,77.45,77.25,77.4
24,2024-02-01 11:03:00,77.35,77.45,77.2,77.3
25,2024-02-01 11:06:00,77.25,77.35,77.15,77.35
26,2024-02-01 11:09:00,77.3,77.35,77.15,77.35
27,2024-02-01 11:12:00,77.3,77.35,77.05,77.35
28,2024-02-01 11:15:00,77.3,77.35,76.6,76.8
29,2024-02-01 11:18:00,76.75,76.95,76.7,76.8
30,2024-02-01 11:21:00,76.7,77.15,76.65,77.15
31,2024-02-01 11:24:00,77.05,77.15,76.8,76.95
32,2024-02-01 11:27:00,76.9,77.0,76.85,76.95
33,2024-02-01 11:30:00,76.85,77.05,76.75,77.05
34,2024-02-01 11:33:00,77.0,77.05,76.85,76.85
35,2024-02-01 11:36:00,76.9,77.5,76.85,77.45
36,2024-02-01 11:39:00,77.5,78.2,77.35,77.9
37,2024-02-01 11:42:00,77.85,77.9,77.6,77.8
38,2024-02-01 11:45:00,77.75,77.8,77.6,77.7
39,2024-02-01 11:48:00,77.6,77.9,77.5,77.75
40,2024-02-01 11:51:00,77.7,77.95,77.65,77.85
41,2024-02-01 11:54:00,77.8,77.85,77.15,77.25
42,2024-02-01 11:57:00,77.2,77.4,77.0,77.2
43,2024-02-01 12:00:00,77.15,77.25,76.9,76.9
44,2024-02-01 12:03:00,76.95,76.95,76.7,76.9
45,2024-02-01 12:06:00,76.95,77.7,76.95,77.55
46,2024-02-01 12:09:00,77.5,77.9,77.5,77.75
47,2024-02-01 12:12:00,77.8,77.95,77.65,77.9
48,2024-02-01 12:15:00,77.85,78.15,77.85,77.9
49,2024-02-01 12:18:00,77.95,77.95,77.55,77.6
50,2024-02-01 12:21:00,77.55,77.75,77.3,77.45
51,2024-02-01 12:24:00,77.4,77.5,77.4,77.45
52,2024-02-01 12:27:00,77.5,77.5,77.1,77.15
53,2024-02-01 12:30:00,77.25,77.5,77.0,77.05
54,2024-02-01 12:33:00,77.1,77.3,77.05,77.2
55,2024-02-01 12:36:00,77.15,77.45,77.1,77.15
56,2024-02-01 12:39:00,77.2,77.6,77.15,77.6
57,2024-02-01 12:42:00,77.5,77.65,77.45,77.55
58,2024-02-01 12:45:00,77.5,77.85,77.5,77.8
59,2024-02-01 12:48:00,77.75,78.1,77.75,78.05
60,2024-02-01 12:51:00,78.0,78.15,77.95,78.1
61,2024-02-01 12:54:00,78.2,78.2,78.0,78.1
62,2024-02-01 12:57:00,78.05,78.15,77.9,78.05
63,2024-02-01 13:00:00,78.0,78.1,77.8,78.0
64,2024-02-01 13:03:00,77.9,78.05,77.9,78.0
65,2024-02-01 13:06:00,77.95,78.0,77.7,77.8
66,2024-02-01 13:09:00,77.7,77.9,77.7,77.85
67,2024-02-01 13:12:00,77.8,78.0,77.75,77.95
68,2024-02-01 13:15:00,77.9,78.0,77.85,77.9
69,2024-02-01 13:18:00,77.95,78.0,77.55,77.65
70,2024-02-01 13:21:00,77.7,77.8,77.6,77.75
71,2024-02-01 13:24:00,77.7,77.85,77.65,77.75
72,2024-02-01 13:27:00,77.7,77.75,77.5,77.75
73,2024-02-01 13:30:00,77.7,77.75,77.55,77.65
74,2024-02-01 13:33:00,77.7,77.75,77.55,77.75
75,2024-02-01 13:36:00,77.8,77.9,77.6,77.65
76,2024-02-01 13:39:00,77.6,77.7,77.35,77.7
77,2024-02-01 13:42:00,77.65,77.8,77.65,77.75
78,2024-02-01 13:45:00,77.65,77.8,77.6,77.75
