,time,into,inth,intl,intc
0,2024-01-30 09:15:00,556.0,557.65,555.1,557.65
1,2024-01-30 09:18:00,558.05,559.2,557.85,558.75
2,2024-01-30 09:21:00,558.5,558.9,556.65,556.65
3,2024-01-30 09:24:00,556.75,556.95,554.75,554.75
4,2024-01-30 09:27:00,554.95,555.65,553.9,553.9
5,2024-01-30 09:30:00,553.65,556.45,553.65,555.8
6,2024-01-30 09:33:00,556.1,556.95,555.0,556.3
7,2024-01-30 09:36:00,556.4,556.9,555.65,555.75
8,2024-01-30 09:39:00,555.95,556.9,555.95,556.0
9,2024-01-30 09:42:00,556.35,556.9,555.95,556.55
10,2024-01-30 09:45:00,556.45,556.7,555.7,555.85
11,2024-01-30 09:48:00,555.65,556.05,555.25,555.95
12,2024-01-30 09:51:00,555.45,555.9,555.1,555.1
13,2024-01-30 09:54:00,555.2,556.7,555.1,556.5
14,2024-01-30 09:57:00,556.1,557.5,556.1,557.5
15,2024-01-30 10:00:00,557.25,557.5,556.4,556.85
16,2024-01-30 10:03:00,556.65,557.0,556.45,556.9
17,2024-01-30 10:06:00,556.55,556.85,556.0,556.35
18,2024-01-30 10:09:00,556.45,557.0,556.25,557.0
19,2024-01-30 10:12:00,556.75,557.0,556.2,556.2
20,2024-01-30 10:15:00,556.4,556.95,556.1,556.45
21,2024-01-30 10:18:00,556.4,556.5,556.0,556.4
22,2024-01-30 10:21:00,556.5,556.8,555.8,556.4
23,2024-01-30 10:24:00,556.8,556.8,556.2,556.6
24,2024-01-30 10:27:00,556.65,557.25,556.2,557.0
25,2024-01-30 10:30:00,557.15,558.35,556.8,558.0
26,2024-01-30 10:33:00,558.3,558.3,557.45,557.95
27,2024-01-30 10:36:00,558.0,558.75,557.95,558.7
28,2024-01-30 10:39:00,558.8,559.85,558.55,559.0
29,2024-01-30 10:42:00,558.8,559.7,558.3,558.7
30,2024-01-30 10:45:00,558.8,558.8,557.7,558.1
31,2024-01-30 10:48:00,558.15,558.3,556.55,557.0
32,2024-01-30 10:51:00,557.15,557.95,556.55,557.95
33,2024-01-30 10:54:00,557.6,557.95,557.15,557.85
34,2024-01-30 10:57:00,557.95,558.0,557.2,557.6
35,2024-01-30 11:00:00,557.25,557.95,557.25,557.75
36,2024-01-30 11:03:00,557.9,557.9,556.65,556.9
37,2024-01-30 11:06:00,557.15,557.15,555.85,556.6
38,2024-01-30 11:09:00,556.25,557.65,556.1,557.55
39,2024-01-30 11:12:00,557.5,558.0,557.0,557.9
40,2024-01-30 11:15:00,557.95,558.0,557.0,557.75
41,2024-01-30 11:18:00,557.6,557.9,557.3,557.3
42,2024-01-30 11:21:00,557.25,557.85,556.1,556.5
43,2024-01-30 11:24:00,556.1,556.5,555.45,556.35
44,2024-01-30 11:27:00,556.05,556.5,555.65,555.75
45,2024-01-30 11:30:00,555.9,556.55,555.85,556.1
46,2024-01-30 11:33:00,556.45,556.7,556.05,556.3
47,2024-01-30 11:36:00,556.25,556.95,556.25,556.55
48,2024-01-30 11:39:00,556.6,556.65,556.05,556.3
49,2024-01-30 11:42:00,555.9,556.3,555.75,556.25
50,2024-01-30 11:45:00,556.2,556.25,555.5,555.5
51,2024-01-30 11:48:00,555.9,555.9,554.45,554.8
52,2024-01-30 11:51:00,555.0,555.2,554.8,555.0
53,2024-01-30 11:54:00,555.0,555.2,554.8,555.15
54,2024-01-30 11:57:00,554.85,556.05,554.8,555.35
