,time,into,inth,intl,intc
0,2024-02-01 09:51:00,1303.2,1304.05,1301.25,1301.55
1,2024-02-01 09:54:00,1303.95,1306.8,1302.9,1306.45
2,2024-02-01 09:57:00,1306.05,1306.45,1304.9,1305.1
3,2024-02-01 10:00:00,1305.25,1306.9,1304.5,1305.25
4,2024-02-01 10:03:00,1305.1,1305.15,1303.05,1303.75
5,2024-02-01 10:06:00,1303.45,1304.0,1303.05,1303.95
6,2024-02-01 10:09:00,1304.1,1306.85,1303.95,1306.25
7,2024-02-01 10:12:00,1306.05,1306.85,1305.05,1306.35
8,2024-02-01 10:15:00,1306.2,1306.3,1305.0,1306.2
9,2024-02-01 10:18:00,1306.3,1306.3,1305.45,1305.65
10,2024-02-01 10:21:00,1305.8,1306.05,1305.5,1306.05
11,2024-02-01 10:24:00,1306.1,1306.2,1305.0,1305.0
12,2024-02-01 10:27:00,1304.55,1306.4,1302.25,1306.35
13,2024-02-01 10:30:00,1306.45,1306.45,1303.8,1305.1
14,2024-02-01 10:33:00,1305.2,1305.35,1303.7,1304.3
15,2024-02-01 10:36:00,1304.0,1304.95,1303.55,1304.4
16,2024-02-01 10:39:00,1304.45,1304.6,1303.5,1303.5
17,2024-02-01 10:42:00,1303.85,1304.55,1303.25,1303.25
18,2024-02-01 10:45:00,1303.2,1303.65,1301.5,1303.25
19,2024-02-01 10:48:00,1303.35,1304.2,1302.7,1303.5
20,2024-02-01 10:51:00,1303.55,1304.4,1303.0,1304.2
21,2024-02-01 10:54:00,1304.15,1307.3,1304.15,1307.3
22,2024-02-01 10:57:00,1307.0,1309.95,1306.4,1308.7
23,2024-02-01 11:00:00,1308.8,1309.2,1306.8,1309.2
24,2024-02-01 11:03:00,1309.15,1312.0,1309.15,1311.7
25,2024-02-01 11:06:00,1311.65,1311.65,1309.5,1310.75
26,2024-02-01 11:09:00,1310.55,1310.75,1308.0,1308.05
27,2024-02-01 11:12:00,1308.0,1308.05,1306.05,1307.2
28,2024-02-01 11:15:00,1307.3,1307.65,1304.1,1306.75
29,2024-02-01 11:18:00,1306.8,1307.75,1306.1,1306.1
30,2024-02-01 11:21:00,1306.15,1308.15,1305.5,1305.5
31,2024-02-01 11:24:00,1306.3,1308.35,1305.55,1307.45
32,2024-02-01 11:27:00,1307.5,1308.15,1306.25,1307.55
33,2024-02-01 11:30:00,1307.8,1308.15,1307.55,1308.0
34,2024-02-01 11:33:00,1308.25,1309.1,1307.3,1307.8
35,2024-02-01 11:36:00,1308.15,1309.8,1308.1,1308.85
36,2024-02-01 11:39:00,1308.8,1309.4,1308.45,1308.9
37,2024-02-01 11:42:00,1308.85,1308.85,1306.55,1308.25
38,2024-02-01 11:45:00,1308.45,1309.25,1307.85,1309.0
39,2024-02-01 11:48:00,1308.6,1309.4,1307.0,1308.65
40,2024-02-01 11:51:00,1308.7,1309.35,1307.7,1309.35
41,2024-02-01 11:54:00,1308.95,1309.55,1307.25,1307.5
42,2024-02-01 11:57:00,1307.0,1308.25,1306.05,1307.55
43,2024-02-01 12:00:00,1306.9,1307.55,1304.35,1304.95
44,2024-02-01 12:03:00,1304.0,1306.4,1303.2,1306.25
45,2024-02-01 12:06:00,1306.75,1309.75,1306.7,1307.7
46,2024-02-01 12:09:00,1308.4,1308.9,1306.8,1308.8
47,2024-02-01 12:12:00,1308.75,1309.55,1306.05,1307.05
48,2024-02-01 12:15:00,1307.4,1307.45,1306.0,1306.1
49,2024-02-01 12:18:00,1306.15,1307.0,1305.2,1305.6
50,2024-02-01 12:21:00,1305.55,1306.0,1303.9,1306.0
51,2024-02-01 12:24:00,1305.65,1306.4,1304.1,1305.55
52,2024-02-01 12:27:00,1305.05,1305.55,1303.6,1304.4
53,2024-02-01 12:30:00,1304.3,1306.8,1303.65,1305.15
54,2024-02-01 12:33:00,1304.8,1307.45,1304.55,1305.25
55,2024-02-01 12:36:00,1304.45,1306.55,1304.4,1305.2
56,2024-02-01 12:39:00,1305.15,1306.5,1304.15,1306.0
57,2024-02-01 12:42:00,1305.85,1308.0,1304.85,1307.4
58,2024-02-01 12:45:00,1307.35,1308.75,1306.55,1308.7
59,2024-02-01 12:48:00,1308.15,1308.8,1307.9,1308.7
60,2024-02-01 12:51:00,1308.25,1308.65,1307.65,1308.4
61,2024-02-01 12:54:00,1308.1,1309.7,1307.95,1308.45
62,2024-02-01 12:57:00,1308.1,1308.65,1307.5,1308.25
63,2024-02-01 13:00:00,1308.4,1309.05,1305.6,1308.05
64,2024-02-01 13:03:00,1307.05,1307.45,1306.05,1307.2
65,2024-02-01 13:06:00,1306.85,1307.45,1306.15,1307.3
66,2024-02-01 13:09:00,1306.9,1307.9,1306.85,1307.15
67,2024-02-01 13:12:00,1307.0,1307.4,1306.5,1307.05
68,2024-02-01 13:15:00,1307.35,1308.1,1306.4,1307.2
69,2024-02-01 13:18:00,1307.15,1307.7,1306.0,1307.0
70,2024-02-01 13:21:00,1306.75,1307.4,1306.55,1307.1
71,2024-02-01 13:24:00,1306.6,1307.0,1306.0,1306.15
72,2024-02-01 13:27:00,1306.0,1307.65,1306.0,1306.8
73,2024-02-01 13:30:00,1306.75,1307.45,1305.8,1306.7
74,2024-02-01 13:33:00,1306.8,1307.25,1306.35,1306.9
