,time,into,inth,intl,intc
0,2024-01-30 09:15:00,583.2,583.2,578.65,579.1
1,2024-01-30 09:18:00,579.0,579.6,575.4,575.5
2,2024-01-30 09:21:00,575.4,576.15,574.5,575.05
3,2024-01-30 09:24:00,575.3,577.35,575.0,576.05
4,2024-01-30 09:27:00,575.95,577.2,574.8,575.1
5,2024-01-30 09:30:00,575.0,576.5,574.6,575.0
6,2024-01-30 09:33:00,575.05,575.45,573.45,575.25
7,2024-01-30 09:36:00,575.15,575.9,574.35,574.55
8,2024-01-30 09:39:00,574.5,574.55,572.35,573.25
9,2024-01-30 09:42:00,573.0,574.0,572.9,573.5
10,2024-01-30 09:45:00,573.4,573.4,571.55,571.95
11,2024-01-30 09:48:00,571.9,573.4,571.8,573.1
12,2024-01-30 09:51:00,573.35,574.05,573.3,573.65
13,2024-01-30 09:54:00,573.75,574.85,573.7,574.5
14,2024-01-30 09:57:00,574.4,575.8,574.2,574.5
15,2024-01-30 10:00:00,574.35,575.2,573.8,574.4
16,2024-01-30 10:03:00,574.15,575.35,573.0,573.55
17,2024-01-30 10:06:00,573.45,573.65,572.6,573.4
18,2024-01-30 10:09:00,573.25,574.2,573.0,574.0
19,2024-01-30 10:12:00,574.2,574.95,573.85,573.85
20,2024-01-30 10:15:00,574.0,574.2,573.6,573.85
21,2024-01-30 10:18:00,574.0,575.0,573.8,574.3
22,2024-01-30 10:21:00,574.35,576.25,574.3,575.8
23,2024-01-30 10:24:00,575.75,576.2,575.45,575.45
24,2024-01-30 10:27:00,575.5,575.75,573.8,575.3
25,2024-01-30 10:30:00,575.25,576.3,574.7,576.05
26,2024-01-30 10:33:00,576.0,576.0,575.55,575.65
27,2024-01-30 10:36:00,575.55,575.8,574.0,574.2
28,2024-01-30 10:39:00,574.1,574.3,573.45,573.5
29,2024-01-30 10:42:00,573.75,574.4,573.5,574.25
30,2024-01-30 10:45:00,574.45,575.35,574.45,575.1
31,2024-01-30 10:48:00,575.05,575.3,574.45,574.5
32,2024-01-30 10:51:00,574.45,575.1,574.45,574.75
33,2024-01-30 10:54:00,574.7,575.9,574.7,575.15
34,2024-01-30 10:57:00,575.05,575.65,574.2,575.5
35,2024-01-30 11:00:00,575.6,576.8,575.4,576.4
36,2024-01-30 11:03:00,576.65,577.25,576.0,576.35
37,2024-01-30 11:06:00,576.15,576.6,575.9,576.2
38,2024-01-30 11:09:00,576.5,576.9,575.85,576.55
39,2024-01-30 11:12:00,576.6,577.65,576.6,577.25
40,2024-01-30 11:15:00,577.45,578.0,577.2,577.75
41,2024-01-30 11:18:00,577.7,577.9,576.25,576.55
42,2024-01-30 11:21:00,576.75,577.4,576.6,577.3
43,2024-01-30 11:24:00,577.2,577.35,576.75,577.05
44,2024-01-30 11:27:00,576.9,578.0,576.8,577.95
45,2024-01-30 11:30:00,577.7,578.75,577.7,578.35
46,2024-01-30 11:33:00,578.3,579.0,578.3,578.9
47,2024-01-30 11:36:00,578.95,579.0,578.35,578.9
48,2024-01-30 11:39:00,578.85,579.0,578.55,578.6
49,2024-01-30 11:42:00,578.7,579.2,578.65,579.1
50,2024-01-30 11:45:00,579.0,579.35,578.95,579.15
51,2024-01-30 11:48:00,579.25,579.3,579.0,579.2
52,2024-01-30 11:51:00,579.25,579.45,578.35,578.8
53,2024-01-30 11:54:00,578.75,578.95,578.3,578.45
54,2024-01-30 11:57:00,578.65,580.45,578.3,579.8
55,2024-01-30 12:00:00,579.85,579.85,578.65,579.0
56,2024-01-30 12:03:00,579.05,580.0,579.0,579.4
57,2024-01-30 12:06:00,579.5,579.95,579.4,579.45
58,2024-01-30 12:09:00,579.65,580.05,579.25,579.25
59,2024-01-30 12:12:00,579.4,579.75,579.1,579.15
60,2024-01-30 12:15:00,579.3,579.95,579.1,579.95
61,2024-01-30 12:18:00,579.9,579.95,579.25,579.4
62,2024-01-30 12:21:00,579.45,579.55,579.2,579.25
63,2024-01-30 12:24:00,579.2,580.0,579.0,580.0
64,2024-01-30 12:27:00,579.95,580.2,579.85,579.95
65,2024-01-30 12:30:00,580.0,580.05,579.5,579.75
66,2024-01-30 12:33:00,579.6,580.0,579.55,579.7
67,2024-01-30 12:36:00,579.85,580.25,579.7,580.05
68,2024-01-30 12:39:00,580.1,580.5,579.6,580.45
69,2024-01-30 12:42:00,580.4,580.5,579.55,579.6
70,2024-01-30 12:45:00,579.65,580.5,579.35,579.35
71,2024-01-30 12:48:00,579.4,580.1,579.3,580.0
72,2024-01-30 12:51:00,579.9,580.4,579.65,579.65
73,2024-01-30 12:54:00,579.8,579.9,579.2,579.5
74,2024-01-30 12:57:00,579.6,579.8,579.4,579.55
75,2024-01-30 13:00:00,579.65,579.8,579.2,579.45
76,2024-01-30 13:03:00,579.55,579.55,579.05,579.15
77,2024-01-30 13:06:00,579.2,579.6,578.7,578.7
78,2024-01-30 13:09:00,578.8,578.85,578.05,578.55
79,2024-01-30 13:12:00,578.3,578.7,578.3,578.5
80,2024-01-30 13:15:00,578.7,578.9,578.4,578.8
81,2024-01-30 13:18:00,578.55,578.7,578.15,578.25
82,2024-01-30 13:21:00,578.3,578.5,576.85,578.2
83,2024-01-30 13:24:00,578.0,578.45,577.75,577.95
84,2024-01-30 13:27:00,577.9,578.6,577.9,578.1
85,2024-01-30 13:30:00,578.45,578.75,578.05,578.75
86,2024-01-30 13:33:00,579.05,579.15,578.5,578.65
87,2024-01-30 13:36:00,578.8,578.95,578.15,578.95
88,2024-01-30 13:39:00,578.7,579.0,578.0,578.0
89,2024-01-30 13:42:00,578.05,578.55,578.0,578.15
90,2024-01-30 13:45:00,578.4,578.85,578.0,578.5
91,2024-01-30 13:48:00,578.4,578.85,578.0,578.05
92,2024-01-30 13:51:00,578.35,578.9,578.0,578.35
93,2024-01-30 13:54:00,578.6,578.6,577.5,577.8
94,2024-01-30 13:57:00,577.55,578.15,577.3,578.0
95,2024-01-30 14:00:00,577.9,578.2,576.8,577.1
96,2024-01-30 14:03:00,577.05,578.0,576.8,577.4
97,2024-01-30 14:06:00,577.35,578.0,576.85,577.95
98,2024-01-30 14:09:00,577.7,578.0,577.15,577.4
99,2024-01-30 14:12:00,577.5,577.9,577.05,577.5
100,2024-01-30 14:15:00,577.65,577.95,576.95,577.05
101,2024-01-30 14:18:00,577.2,577.9,577.05,577.5
102,2024-01-30 14:21:00,577.25,577.95,577.15,577.5
103,2024-01-30 14:24:00,577.55,578.05,577.3,577.85
104,2024-01-30 14:27:00,578.0,578.2,577.15,577.6
105,2024-01-30 14:30:00,577.45,578.0,577.15,578.0
106,2024-01-30 14:33:00,577.8,578.0,577.45,577.65
107,2024-01-30 14:36:00,577.75,578.95,577.45,578.25
108,2024-01-30 14:39:00,578.55,578.6,577.3,577.6
109,2024-01-30 14:42:00,577.45,577.95,576.9,577.45
110,2024-01-30 14:45:00,577.4,577.5,576.25,576.4
111,2024-01-30 14:48:00,576.65,576.65,575.05,575.15
112,2024-01-30 14:51:00,575.25,575.8,575.0,575.25
113,2024-01-30 14:54:00,575.05,575.5,575.0,575.3
114,2024-01-30 14:57:00,575.45,576.0,575.1,575.4
115,2024-01-30 15:00:00,575.65,576.4,575.0,576.3
116,2024-01-30 15:03:00,576.2,576.2,575.35,575.55
117,2024-01-30 15:06:00,575.5,575.8,574.75,575.0
118,2024-01-30 15:09:00,574.95,575.0,574.25,574.6
119,2024-01-30 15:12:00,574.55,574.95,574.35,574.7
120,2024-01-30 15:15:00,574.65,575.1,574.5,574.85
121,2024-01-30 15:18:00,574.8,575.2,574.4,574.8
122,2024-01-30 15:21:00,574.85,575.25,574.75,575.0
123,2024-01-30 15:24:00,575.2,575.5,575.15,575.3
124,2024-01-30 15:27:00,575.25,575.45,573.5,573.5
125,2024-01-31 09:15:00,572.65,575.3,571.3,573.35
126,2024-01-31 09:18:00,573.4,575.5,573.3,574.2
127,2024-01-31 09:21:00,574.25,574.55,573.55,574.15
128,2024-01-31 09:24:00,574.45,574.9,573.55,574.2
129,2024-01-31 09:27:00,574.15,575.4,573.65,574.75
130,2024-01-31 09:30:00,575.05,575.25,574.2,575.1
131,2024-01-31 09:33:00,575.35,575.6,574.3,575.45
132,2024-01-31 09:36:00,575.7,575.95,574.55,574.95
133,2024-01-31 09:39:00,574.9,574.95,573.35,574.75
134,2024-01-31 09:42:00,574.5,574.95,573.65,573.9
135,2024-01-31 09:45:00,574.0,574.3,573.35,573.9
136,2024-01-31 09:48:00,573.85,574.3,573.7,574.0
137,2024-01-31 09:51:00,573.9,574.0,573.4,573.9
138,2024-01-31 09:54:00,573.8,574.45,573.65,574.2
139,2024-01-31 09:57:00,574.1,574.2,573.65,573.8
140,2024-01-31 10:00:00,573.7,573.8,573.0,573.4
141,2024-01-31 10:03:00,573.3,575.0,573.3,574.0
142,2024-01-31 10:06:00,574.05,575.0,574.0,574.95
143,2024-01-31 10:09:00,574.9,574.95,574.35,574.75
144,2024-01-31 10:12:00,574.55,575.0,574.5,574.8
145,2024-01-31 10:15:00,574.85,575.95,574.8,575.95
146,2024-01-31 10:18:00,575.65,575.95,574.6,574.75
147,2024-01-31 10:21:00,574.65,574.95,574.05,574.15
148,2024-01-31 10:24:00,574.2,575.35,574.0,574.9
149,2024-01-31 10:27:00,574.8,574.9,574.25,574.65
150,2024-01-31 10:30:00,574.6,575.6,574.6,575.3
151,2024-01-31 10:33:00,575.25,575.4,574.4,574.65
152,2024-01-31 10:36:00,574.7,575.45,574.4,575.25
153,2024-01-31 10:39:00,575.1,575.25,574.25,574.75
154,2024-01-31 10:42:00,574.7,574.95,574.2,574.55
155,2024-01-31 10:45:00,574.5,574.9,574.0,574.05
156,2024-01-31 10:48:00,574.1,574.6,574.0,574.45
157,2024-01-31 10:51:00,574.5,574.9,574.25,574.6
158,2024-01-31 10:54:00,574.3,575.0,574.15,574.7
159,2024-01-31 10:57:00,574.55,575.25,574.5,575.1
160,2024-01-31 11:00:00,575.15,575.25,574.9,575.0
161,2024-01-31 11:03:00,575.1,575.9,575.0,575.3
162,2024-01-31 11:06:00,575.45,575.85,575.25,575.4
163,2024-01-31 11:09:00,575.35,575.9,574.25,574.25
164,2024-01-31 11:12:00,574.35,574.8,574.25,574.6
165,2024-01-31 11:15:00,574.65,574.65,574.1,574.1
166,2024-01-31 11:18:00,574.15,574.35,574.0,574.0
167,2024-01-31 11:21:00,574.05,574.2,573.2,573.35
168,2024-01-31 11:24:00,573.3,573.85,572.45,573.65
169,2024-01-31 11:27:00,573.75,574.15,573.35,573.75
170,2024-01-31 11:30:00,574.0,575.7,573.85,575.7
171,2024-01-31 11:33:00,575.75,575.9,575.05,575.1
172,2024-01-31 11:36:00,575.15,575.35,574.7,574.9
