,time,into,inth,intl,intc
0,2024-01-30 09:15:00,569.9,576.6,569.9,576.0
1,2024-01-30 09:18:00,576.2,577.1,575.05,575.65
2,2024-01-30 09:21:00,575.8,579.0,575.1,577.25
3,2024-01-30 09:24:00,577.2,578.1,575.15,575.55
4,2024-01-30 09:27:00,575.85,577.1,575.35,577.05
5,2024-01-30 09:30:00,576.8,578.45,575.95,576.25
6,2024-01-30 09:33:00,577.1,577.1,574.0,574.25
7,2024-01-30 09:36:00,574.55,575.35,574.0,575.2
8,2024-01-30 09:39:00,574.85,575.35,574.3,574.5
9,2024-01-30 09:42:00,574.6,576.35,574.5,575.7
10,2024-01-30 09:45:00,575.95,579.5,574.75,579.1
11,2024-01-30 09:48:00,578.55,578.95,577.5,578.3
12,2024-01-30 09:51:00,578.05,578.3,576.9,577.5
13,2024-01-30 09:54:00,577.35,578.05,576.7,577.8
14,2024-01-30 09:57:00,577.75,580.0,577.3,579.7
15,2024-01-30 10:00:00,580.0,580.4,579.0,580.0
16,2024-01-30 10:03:00,580.15,582.0,580.05,581.35
17,2024-01-30 10:06:00,581.45,581.9,580.8,581.15
18,2024-01-30 10:09:00,581.25,581.95,580.75,581.8
19,2024-01-30 10:12:00,581.85,582.15,580.05,580.6
20,2024-01-30 10:15:00,580.25,581.15,580.05,580.95
21,2024-01-30 10:18:00,580.9,581.8,580.75,580.9
22,2024-01-30 10:21:00,580.85,581.25,580.4,581.1
23,2024-01-30 10:24:00,580.95,581.4,580.75,581.35
24,2024-01-30 10:27:00,581.3,582.35,580.15,582.2
25,2024-01-30 10:30:00,582.25,582.25,581.0,581.15
26,2024-01-30 10:33:00,581.25,581.35,580.6,581.15
27,2024-01-30 10:36:00,581.25,581.35,580.25,580.6
28,2024-01-30 10:39:00,580.45,581.05,580.0,580.0
29,2024-01-30 10:42:00,580.05,580.3,579.1,580.2
30,2024-01-30 10:45:00,580.35,580.55,579.15,579.15
31,2024-01-30 10:48:00,579.25,579.7,577.15,577.45
32,2024-01-30 10:51:00,577.55,578.65,577.4,578.35
33,2024-01-30 10:54:00,578.4,578.75,577.6,577.6
34,2024-01-30 10:57:00,578.0,578.1,577.35,577.5
35,2024-01-30 11:00:00,577.65,577.95,577.2,577.35
36,2024-01-30 11:03:00,577.5,578.05,577.0,577.5
37,2024-01-30 11:06:00,577.35,577.95,577.2,577.65
38,2024-01-30 11:09:00,577.6,577.9,577.15,577.9
39,2024-01-30 11:12:00,577.8,578.1,577.35,577.7
40,2024-01-30 11:15:00,577.75,577.8,577.2,577.3
41,2024-01-30 11:18:00,577.45,577.45,575.8,575.95
42,2024-01-30 11:21:00,575.9,576.0,574.0,574.95
43,2024-01-30 11:24:00,574.75,575.0,573.9,574.85
44,2024-01-30 11:27:00,575.0,576.0,574.4,576.0
45,2024-01-30 11:30:00,576.05,577.4,575.65,576.95
46,2024-01-30 11:33:00,577.0,579.05,577.0,578.65
47,2024-01-30 11:36:00,578.75,579.9,578.1,578.3
48,2024-01-30 11:39:00,578.5,578.85,577.85,578.25
49,2024-01-30 11:42:00,578.3,578.95,577.95,578.3
50,2024-01-30 11:45:00,578.4,579.85,578.25,579.75
51,2024-01-30 11:48:00,579.6,580.4,579.3,579.6
52,2024-01-30 11:51:00,579.7,580.3,579.35,579.65
53,2024-01-30 11:54:00,579.5,582.9,579.5,582.45
54,2024-01-30 11:57:00,582.25,584.3,582.05,583.4
55,2024-01-30 12:00:00,583.35,583.6,582.8,582.85
56,2024-01-30 12:03:00,582.95,582.95,581.75,581.9
57,2024-01-30 12:06:00,581.95,582.0,581.35,581.9
58,2024-01-30 12:09:00,581.75,582.3,581.75,581.95
59,2024-01-30 12:12:00,581.8,582.1,581.6,581.9
60,2024-01-30 12:15:00,581.75,582.75,581.75,582.45
61,2024-01-30 12:18:00,582.2,582.45,581.5,582.1
62,2024-01-30 12:21:00,582.15,582.8,582.05,582.55
63,2024-01-30 12:24:00,582.5,583.0,582.5,582.55
64,2024-01-30 12:27:00,582.5,582.95,582.45,582.6
65,2024-01-30 12:30:00,582.55,582.6,582.35,582.5
66,2024-01-30 12:33:00,582.4,582.85,582.25,582.85
67,2024-01-30 12:36:00,583.0,583.65,582.55,583.4
68,2024-01-30 12:39:00,583.3,583.35,582.45,582.5
69,2024-01-30 12:42:00,582.55,583.0,582.35,582.95
70,2024-01-30 12:45:00,582.9,583.0,582.3,582.3
71,2024-01-30 12:48:00,582.5,582.85,582.25,582.6
72,2024-01-30 12:51:00,582.65,583.9,582.5,583.3
73,2024-01-30 12:54:00,583.5,583.5,582.6,582.7
74,2024-01-30 12:57:00,582.6,583.1,582.55,582.75
75,2024-01-30 13:00:00,582.7,583.5,582.65,582.8
76,2024-01-30 13:03:00,582.7,582.7,582.35,582.5
77,2024-01-30 13:06:00,582.55,582.55,582.4,582.5
78,2024-01-30 13:09:00,582.55,582.55,580.65,581.65
79,2024-01-30 13:12:00,581.55,581.95,581.1,581.55
80,2024-01-30 13:15:00,581.35,581.55,580.75,580.75
81,2024-01-30 13:18:00,580.95,581.5,580.65,580.65
82,2024-01-30 13:21:00,580.85,580.9,579.55,579.95
83,2024-01-30 13:24:00,579.7,580.55,579.7,580.05
84,2024-01-30 13:27:00,580.35,581.55,580.15,581.45
85,2024-01-30 13:30:00,581.4,582.1,581.15,581.55
86,2024-01-30 13:33:00,581.7,581.95,581.15,581.75
87,2024-01-30 13:36:00,581.65,581.75,580.8,580.85
88,2024-01-30 13:39:00,581.0,581.8,580.85,581.75
89,2024-01-30 13:42:00,581.8,581.85,580.75,581.1
90,2024-01-30 13:45:00,581.3,581.55,580.15,580.2
91,2024-01-30 13:48:00,580.1,581.0,580.1,580.75
92,2024-01-30 13:51:00,580.9,580.95,580.1,580.55
93,2024-01-30 13:54:00,580.5,580.55,579.85,580.15
94,2024-01-30 13:57:00,580.1,580.15,579.7,579.85
95,2024-01-30 14:00:00,579.95,580.2,579.7,580.15
96,2024-01-30 14:03:00,579.95,580.95,579.85,580.05
97,2024-01-30 14:06:00,580.15,580.15,578.4,578.9
98,2024-01-30 14:09:00,579.0,579.65,578.7,579.35
99,2024-01-30 14:12:00,579.5,580.0,578.8,579.7
100,2024-01-30 14:15:00,579.55,579.7,578.6,578.75
101,2024-01-30 14:18:00,578.7,578.7,577.0,577.0
102,2024-01-30 14:21:00,577.05,577.55,576.7,577.55
103,2024-01-30 14:24:00,577.5,577.55,575.0,575.0
104,2024-01-30 14:27:00,575.1,575.85,574.7,574.75
105,2024-01-30 14:30:00,574.7,574.7,571.9,573.0
106,2024-01-30 14:33:00,572.95,573.6,572.3,572.4
107,2024-01-30 14:36:00,572.45,573.5,571.8,573.3
108,2024-01-30 14:39:00,573.25,573.65,572.5,572.9
109,2024-01-30 14:42:00,572.75,573.2,572.0,572.4
110,2024-01-30 14:45:00,572.45,573.4,571.4,572.95
111,2024-01-30 14:48:00,572.8,573.8,572.65,573.8
112,2024-01-30 14:51:00,573.7,573.7,572.05,572.05
113,2024-01-30 14:54:00,572.45,572.9,572.0,572.7
114,2024-01-30 14:57:00,572.6,572.75,572.0,572.55
115,2024-01-30 15:00:00,572.6,573.45,568.25,570.25
116,2024-01-30 15:03:00,570.2,570.75,569.9,570.1
117,2024-01-30 15:06:00,570.05,570.5,568.55,568.65
118,2024-01-30 15:09:00,568.75,568.75,567.3,567.9
119,2024-01-30 15:12:00,567.85,569.1,567.85,569.1
120,2024-01-30 15:15:00,569.15,569.2,568.35,569.1
121,2024-01-30 15:18:00,569.05,569.25,568.65,569.2
122,2024-01-30 15:21:00,569.15,570.15,569.15,569.95
123,2024-01-30 15:24:00,569.85,570.05,568.3,568.75
124,2024-01-30 15:27:00,568.9,570.0,568.65,569.2
125,2024-01-31 09:15:00,570.0,573.4,569.65,573.25
126,2024-01-31 09:18:00,573.8,574.95,572.7,574.75
