,time,into,inth,intl,intc
0,2024-02-02 09:15:00,2560.4,2582.5,2555.25,2557.35
1,2024-02-02 09:18:00,2558.7,2564.2,2551.25,2553.75
2,2024-02-02 09:21:00,2554.5,2557.35,2547.45,2550.7
3,2024-02-02 09:24:00,2551.5,2552.5,2547.0,2547.4
4,2024-02-02 09:27:00,2547.0,2548.0,2540.1,2546.2
5,2024-02-02 09:30:00,2546.8,2548.3,2540.1,2541.0
6,2024-02-02 09:33:00,2540.0,2544.95,2540.0,2542.7
7,2024-02-02 09:36:00,2542.65,2550.95,2541.6,2550.9
8,2024-02-02 09:39:00,2550.35,2551.0,2540.0,2540.0
9,2024-02-02 09:42:00,2540.5,2543.6,2540.0,2540.45
10,2024-02-02 09:45:00,2541.95,2544.8,2540.4,2544.6
11,2024-02-02 09:48:00,2545.1,2545.9,2540.4,2541.75
12,2024-02-02 09:51:00,2543.0,2546.8,2542.0,2544.85
13,2024-02-02 09:54:00,2542.5,2543.9,2541.1,2543.8
14,2024-02-02 09:57:00,2542.5,2544.5,2541.55,2543.2
15,2024-02-02 10:00:00,2543.05,2544.25,2542.2,2544.25
16,2024-02-02 10:03:00,2543.4,2549.0,2542.7,2549.0
17,2024-02-02 10:06:00,2548.85,2548.85,2542.5,2544.0
18,2024-02-02 10:09:00,2542.5,2545.75,2541.05,2542.0
19,2024-02-02 10:12:00,2542.05,2544.75,2542.05,2544.0
20,2024-02-02 10:15:00,2544.05,2548.3,2544.05,2547.15
21,2024-02-02 10:18:00,2548.0,2554.55,2546.25,2554.3
22,2024-02-02 10:21:00,2553.85,2556.25,2551.5,2554.8
23,2024-02-02 10:24:00,2553.5,2553.5,2546.45,2546.5
24,2024-02-02 10:27:00,2546.55,2551.7,2546.35,2546.35
25,2024-02-02 10:30:00,2548.0,2549.4,2546.6,2547.1
26,2024-02-02 10:33:00,2547.95,2549.85,2547.1,2547.25
27,2024-02-02 10:36:00,2547.8,2549.95,2545.25,2547.2
28,2024-02-02 10:39:00,2545.35,2546.95,2544.5,2545.3
29,2024-02-02 10:42:00,2546.6,2552.6,2546.0,2552.6
30,2024-02-02 10:45:00,2550.7,2550.8,2547.15,2548.5
31,2024-02-02 10:48:00,2548.45,2555.0,2546.9,2552.25
32,2024-02-02 10:51:00,2552.2,2555.6,2549.75,2552.85
33,2024-02-02 10:54:00,2552.6,2552.6,2548.0,2548.0
