,time,into,inth,intl,intc
0,2024-02-01 09:51:00,149.0,149.1,148.65,149.0
1,2024-02-01 09:54:00,148.95,149.0,148.7,148.85
2,2024-02-01 09:57:00,148.8,148.95,148.65,148.9
3,2024-02-01 10:00:00,148.85,148.9,148.6,148.85
4,2024-02-01 10:03:00,148.8,149.1,148.6,149.0
5,2024-02-01 10:06:00,148.95,149.25,148.95,149.2
6,2024-02-01 10:09:00,149.25,149.3,149.0,149.1
7,2024-02-01 10:12:00,149.05,149.35,149.05,149.25
8,2024-02-01 10:15:00,149.2,149.3,149.05,149.3
9,2024-02-01 10:18:00,149.2,149.3,149.15,149.2
10,2024-02-01 10:21:00,149.15,149.4,149.1,149.35
11,2024-02-01 10:24:00,149.4,149.6,149.3,149.6
12,2024-02-01 10:27:00,149.55,149.65,149.15,149.25
13,2024-02-01 10:30:00,149.2,149.25,149.0,149.05
14,2024-02-01 10:33:00,149.0,149.3,148.85,149.25
15,2024-02-01 10:36:00,149.2,149.3,149.1,149.1
16,2024-02-01 10:39:00,149.15,149.3,149.0,149.25
17,2024-02-01 10:42:00,149.2,149.25,149.05,149.15
18,2024-02-01 10:45:00,149.2,149.35,149.15,149.3
19,2024-02-01 10:48:00,149.25,149.35,149.15,149.25
20,2024-02-01 10:51:00,149.2,149.25,149.05,149.15
21,2024-02-01 10:54:00,149.1,149.2,148.85,148.9
22,2024-02-01 10:57:00,148.85,149.15,148.85,149.05
23,2024-02-01 11:00:00,149.0,149.1,148.5,148.75
24,2024-02-01 11:03:00,148.8,148.85,148.25,148.35
25,2024-02-01 11:06:00,148.45,148.5,148.05,148.45
26,2024-02-01 11:09:00,148.4,148.5,148.3,148.5
27,2024-02-01 11:12:00,148.4,148.45,148.2,148.45
28,2024-02-01 11:15:00,148.5,148.5,147.4,147.8
29,2024-02-01 11:18:00,147.75,147.95,147.65,147.65
30,2024-02-01 11:21:00,147.75,148.2,147.7,148.15
31,2024-02-01 11:24:00,148.25,148.4,148.05,148.35
32,2024-02-01 11:27:00,148.2,148.35,148.15,148.2
33,2024-02-01 11:30:00,148.3,148.3,148.05,148.2
34,2024-02-01 11:33:00,148.25,148.25,148.05,148.2
35,2024-02-01 11:36:00,148.15,148.5,148.15,148.25
36,2024-02-01 11:39:00,148.2,148.5,148.2,148.4
37,2024-02-01 11:42:00,148.45,148.45,148.2,148.35
38,2024-02-01 11:45:00,148.3,148.4,148.0,148.05
39,2024-02-01 11:48:00,148.1,148.2,147.75,148.1
40,2024-02-01 11:51:00,148.25,148.25,147.95,148.2
41,2024-02-01 11:54:00,148.15,148.2,147.6,147.75
42,2024-02-01 11:57:00,147.7,147.9,147.4,147.7
43,2024-02-01 12:00:00,147.65,147.85,147.45,147.5
44,2024-02-01 12:03:00,147.45,147.5,147.05,147.35
45,2024-02-01 12:06:00,147.3,148.0,147.3,147.9
46,2024-02-01 12:09:00,147.85,148.6,147.85,148.6
47,2024-02-01 12:12:00,148.5,148.8,148.5,148.7
48,2024-02-01 12:15:00,148.65,148.75,148.5,148.5
49,2024-02-01 12:18:00,148.55,148.55,148.2,148.25
50,2024-02-01 12:21:00,148.3,148.35,147.95,148.25
51,2024-02-01 12:24:00,148.2,148.25,147.95,148.2
52,2024-02-01 12:27:00,148.25,148.35,147.9,147.9
53,2024-02-01 12:30:00,147.85,148.15,147.75,147.8
54,2024-02-01 12:33:00,147.85,148.6,147.75,148.45
55,2024-02-01 12:36:00,148.5,148.55,148.05,148.05
56,2024-02-01 12:39:00,148.0,148.4,147.9,148.3
57,2024-02-01 12:42:00,148.25,148.55,148.2,148.4
58,2024-02-01 12:45:00,148.45,148.7,148.4,148.65
59,2024-02-01 12:48:00,148.6,148.75,148.55,148.65
60,2024-02-01 12:51:00,148.6,148.85,148.6,148.75
61,2024-02-01 12:54:00,148.8,148.95,148.75,148.9
62,2024-02-01 12:57:00,148.95,149.0,148.7,148.85
63,2024-02-01 13:00:00,148.8,148.95,148.45,148.7
64,2024-02-01 13:03:00,148.75,148.9,148.7,148.85
65,2024-02-01 13:06:00,148.8,148.85,148.6,148.7
66,2024-02-01 13:09:00,148.65,148.95,148.65,148.85
67,2024-02-01 13:12:00,148.9,149.1,148.7,148.95
68,2024-02-01 13:15:00,148.9,149.1,148.8,148.9
69,2024-02-01 13:18:00,148.95,148.95,148.45,148.55
70,2024-02-01 13:21:00,148.5,148.8,148.5,148.75
71,2024-02-01 13:24:00,148.7,148.95,148.55,148.55
72,2024-02-01 13:27:00,148.6,148.8,148.4,148.75
73,2024-02-01 13:30:00,148.65,148.8,148.4,148.5
74,2024-02-01 13:33:00,148.55,148.75,148.3,148.6
75,2024-02-01 13:36:00,148.65,148.7,148.35,148.35
76,2024-02-01 13:39:00,148.4,148.5,148.2,148.45
77,2024-02-01 13:42:00,148.5,148.7,148.45,148.55
78,2024-02-01 13:45:00,148.5,148.75,148.5,148.65
79,2024-02-01 13:48:00,148.6,148.65,148.2,148.25
80,2024-02-01 13:51:00,148.2,148.6,148.2,148.5
81,2024-02-01 13:54:00,148.55,148.6,148.45,148.6
82,2024-02-01 13:57:00,148.55,148.65,148.5,148.65
83,2024-02-01 14:00:00,148.6,148.95,148.6,148.95
84,2024-02-01 14:03:00,149.0,149.7,149.0,149.55
85,2024-02-01 14:06:00,149.65,149.95,149.55,149.85
86,2024-02-01 14:09:00,149.9,149.95,149.7,149.7
87,2024-02-01 14:12:00,149.75,149.8,149.6,149.6
88,2024-02-01 14:15:00,149.55,149.75,149.45,149.6
89,2024-02-01 14:18:00,149.55,149.6,149.5,149.55
90,2024-02-01 14:21:00,149.6,149.75,149.5,149.75
91,2024-02-01 14:24:00,149.7,149.8,149.7,149.75
92,2024-02-01 14:27:00,149.7,149.8,149.6,149.7
93,2024-02-01 14:30:00,149.75,149.75,149.55,149.6
94,2024-02-01 14:33:00,149.55,149.6,149.45,149.5
95,2024-02-01 14:36:00,149.45,149.75,149.45,149.7
96,2024-02-01 14:39:00,149.75,150.0,149.65,150.0
97,2024-02-01 14:42:00,149.95,150.7,149.7,149.8
98,2024-02-01 14:45:00,149.75,150.25,149.7,150.0
99,2024-02-01 14:48:00,149.9,150.15,149.9,150.15
100,2024-02-01 14:51:00,150.05,150.2,150.0,150.15
101,2024-02-01 14:54:00,150.1,150.25,150.05,150.1
102,2024-02-01 14:57:00,150.15,150.2,149.9,150.0
103,2024-02-01 15:00:00,149.95,150.0,149.7,149.8
104,2024-02-01 15:03:00,149.75,149.9,149.65,149.75
105,2024-02-01 15:06:00,149.7,149.8,149.65,149.7
106,2024-02-01 15:09:00,149.75,149.8,149.6,149.7
107,2024-02-01 15:12:00,149.8,149.85,149.7,149.8
108,2024-02-01 15:15:00,149.7,149.8,149.65,149.7
109,2024-02-01 15:18:00,149.65,149.75,149.6,149.6
110,2024-02-01 15:21:00,149.65,149.85,149.6,149.8
111,2024-02-01 15:24:00,149.75,149.9,149.75,149.9
112,2024-02-01 15:27:00,149.85,151.9,149.6,151.9
113,2024-02-02 09:15:00,151.6,152.3,151.1,152.1
114,2024-02-02 09:18:00,152.2,153.75,151.8,153.75
115,2024-02-02 09:21:00,153.6,153.8,153.1,153.25
116,2024-02-02 09:24:00,153.4,153.95,153.05,153.3
117,2024-02-02 09:27:00,153.35,153.65,153.15,153.55
118,2024-02-02 09:30:00,153.5,153.6,153.1,153.5
119,2024-02-02 09:33:00,153.55,153.9,153.45,153.8
120,2024-02-02 09:36:00,153.7,153.9,153.4,153.9
121,2024-02-02 09:39:00,153.85,154.0,153.6,153.8
122,2024-02-02 09:42:00,153.7,154.0,153.65,154.0
123,2024-02-02 09:45:00,153.95,154.0,153.6,153.95
124,2024-02-02 09:48:00,153.9,154.0,153.8,153.8
125,2024-02-02 09:51:00,153.9,154.0,153.7,153.8
126,2024-02-02 09:54:00,153.75,153.8,153.5,153.6
127,2024-02-02 09:57:00,153.55,153.65,153.3,153.6
128,2024-02-02 10:00:00,153.55,153.9,153.45,153.6
129,2024-02-02 10:03:00,153.5,153.65,153.4,153.55
130,2024-02-02 10:06:00,153.5,153.8,153.45,153.8
131,2024-02-02 10:09:00,153.75,153.8,153.6,153.65
132,2024-02-02 10:12:00,153.7,154.3,153.65,154.25
