,time,into,inth,intl,intc
0,2024-02-02 09:15:00,968.6,975.65,968.6,971.95
1,2024-02-02 09:18:00,972.0,973.9,970.55,971.0
2,2024-02-02 09:21:00,970.65,971.0,968.5,968.5
3,2024-02-02 09:24:00,968.45,971.05,968.4,969.95
4,2024-02-02 09:27:00,969.65,970.0,967.6,968.3
5,2024-02-02 09:30:00,968.65,970.0,967.5,968.5
6,2024-02-02 09:33:00,968.65,969.9,968.25,969.1
7,2024-02-02 09:36:00,969.35,972.8,967.0,972.15
8,2024-02-02 09:39:00,972.3,972.75,970.3,971.0
9,2024-02-02 09:42:00,970.95,972.5,970.0,970.3
10,2024-02-02 09:45:00,970.0,970.55,967.6,969.1
11,2024-02-02 09:48:00,969.15,970.3,967.55,969.45
12,2024-02-02 09:51:00,969.0,970.4,969.0,970.1
13,2024-02-02 09:54:00,970.6,970.6,968.75,968.85
14,2024-02-02 09:57:00,969.35,969.8,968.55,969.45
15,2024-02-02 10:00:00,969.4,970.0,969.0,970.0
16,2024-02-02 10:03:00,969.5,976.8,969.15,975.5
17,2024-02-02 10:06:00,975.25,977.85,973.35,974.05
18,2024-02-02 10:09:00,974.6,986.3,974.25,981.7
19,2024-02-02 10:12:00,981.4,981.8,978.55,978.95
20,2024-02-02 10:15:00,978.7,979.75,978.15,979.1
21,2024-02-02 10:18:00,979.05,979.55,976.95,977.05
22,2024-02-02 10:21:00,977.0,978.3,975.8,976.0
23,2024-02-02 10:24:00,975.65,976.95,975.2,975.85
24,2024-02-02 10:27:00,975.9,975.95,974.85,975.3
25,2024-02-02 10:30:00,975.0,976.0,974.5,974.7
26,2024-02-02 10:33:00,975.0,977.1,974.55,977.1
27,2024-02-02 10:36:00,977.5,977.7,975.5,975.9
28,2024-02-02 10:39:00,976.2,976.7,975.1,975.65
29,2024-02-02 10:42:00,975.25,976.8,974.5,976.4
30,2024-02-02 10:45:00,976.25,977.4,975.6,975.9
31,2024-02-02 10:48:00,976.15,977.0,975.45,976.15
32,2024-02-02 10:51:00,976.2,978.9,976.2,977.0
33,2024-02-02 10:54:00,976.85,977.2,975.45,975.65
34,2024-02-02 10:57:00,975.55,976.9,975.35,976.45
35,2024-02-02 11:00:00,976.6,976.9,975.0,976.35
36,2024-02-02 11:03:00,976.2,981.6,976.15,978.45
37,2024-02-02 11:06:00,978.4,982.1,977.95,981.45
38,2024-02-02 11:09:00,981.8,981.8,978.25,978.45
39,2024-02-02 11:12:00,978.95,979.15,977.7,978.0
40,2024-02-02 11:15:00,978.4,979.3,977.95,978.15
41,2024-02-02 11:18:00,978.4,979.55,978.15,979.4
42,2024-02-02 11:21:00,979.45,979.85,978.0,978.5
43,2024-02-02 11:24:00,978.45,979.0,978.0,978.75
44,2024-02-02 11:27:00,978.5,979.0,977.35,977.65
45,2024-02-02 11:30:00,977.4,979.05,977.2,979.0
46,2024-02-02 11:33:00,979.45,979.5,977.6,977.75
