,time,into,inth,intl,intc
0,2024-01-30 09:15:00,446.65,446.65,441.9,442.1
1,2024-01-30 09:18:00,442.25,446.2,442.0,445.6
2,2024-01-30 09:21:00,445.85,453.7,445.5,452.55
3,2024-01-30 09:24:00,453.1,453.5,447.75,449.0
4,2024-01-30 09:27:00,448.9,449.95,447.25,448.2
5,2024-01-30 09:30:00,448.1,449.35,447.5,448.9
6,2024-01-30 09:33:00,448.95,449.0,445.35,446.45
7,2024-01-30 09:36:00,446.5,447.75,446.5,447.0
8,2024-01-30 09:39:00,447.2,447.7,446.5,446.9
9,2024-01-30 09:42:00,446.85,447.8,446.6,447.2
10,2024-01-30 09:45:00,447.05,447.4,446.1,446.1
11,2024-01-30 09:48:00,446.15,446.35,445.25,445.6
12,2024-01-30 09:51:00,445.95,447.1,445.75,446.7
13,2024-01-30 09:54:00,446.75,447.1,446.0,446.2
14,2024-01-30 09:57:00,446.3,446.5,445.05,445.15
15,2024-01-30 10:00:00,445.2,446.45,444.5,446.2
16,2024-01-30 10:03:00,446.1,447.05,446.1,446.65
17,2024-01-30 10:06:00,446.7,447.5,446.35,447.1
18,2024-01-30 10:09:00,447.25,447.3,446.75,446.95
19,2024-01-30 10:12:00,447.1,447.8,446.9,447.45
20,2024-01-30 10:15:00,447.4,447.85,446.9,447.0
21,2024-01-30 10:18:00,446.8,448.05,446.8,447.75
22,2024-01-30 10:21:00,447.65,448.5,447.55,447.8
23,2024-01-30 10:24:00,447.7,447.95,446.8,447.05
24,2024-01-30 10:27:00,447.1,447.15,446.2,446.35
25,2024-01-30 10:30:00,446.25,446.45,445.5,445.65
26,2024-01-30 10:33:00,445.6,446.1,445.2,445.8
27,2024-01-30 10:36:00,445.9,446.2,445.3,445.7
28,2024-01-30 10:39:00,445.5,445.7,444.0,444.0
29,2024-01-30 10:42:00,443.9,444.55,443.65,443.85
30,2024-01-30 10:45:00,443.8,443.85,442.8,443.35
31,2024-01-30 10:48:00,443.3,443.95,442.7,442.75
32,2024-01-30 10:51:00,442.8,443.5,442.5,443.05
33,2024-01-30 10:54:00,443.0,443.35,442.55,442.7
34,2024-01-30 10:57:00,442.75,443.15,442.65,442.7
35,2024-01-30 11:00:00,442.65,442.9,442.0,442.0
36,2024-01-30 11:03:00,442.05,443.1,442.0,442.35
37,2024-01-30 11:06:00,442.5,442.85,442.05,442.05
38,2024-01-30 11:09:00,442.1,442.45,442.0,442.35
39,2024-01-30 11:12:00,442.45,442.7,441.8,441.85
40,2024-01-30 11:15:00,442.05,442.2,441.3,441.3
41,2024-01-30 11:18:00,441.45,442.0,441.2,441.65
42,2024-01-30 11:21:00,441.85,442.25,441.2,441.3
43,2024-01-30 11:24:00,441.25,441.6,441.15,441.4
44,2024-01-30 11:27:00,441.25,442.0,441.2,441.8
45,2024-01-30 11:30:00,441.7,442.05,441.6,441.65
46,2024-01-30 11:33:00,441.7,442.45,441.65,442.25
47,2024-01-30 11:36:00,442.4,442.8,442.1,442.4
48,2024-01-30 11:39:00,442.45,442.45,441.75,442.0
49,2024-01-30 11:42:00,442.1,442.35,441.8,441.85
50,2024-01-30 11:45:00,441.8,442.0,441.6,441.7
51,2024-01-30 11:48:00,441.85,441.95,441.1,441.1
52,2024-01-30 11:51:00,441.05,441.3,440.0,440.05
53,2024-01-30 11:54:00,440.0,440.7,440.0,440.45
54,2024-01-30 11:57:00,440.5,441.0,440.2,440.9
55,2024-01-30 12:00:00,440.8,441.4,440.5,440.65
56,2024-01-30 12:03:00,440.6,440.85,440.25,440.35
