,time,into,inth,intl,intc
0,2024-02-02 09:15:00,808.9,809.95,805.1,806.95
1,2024-02-02 09:18:00,806.9,811.5,806.65,811.2
2,2024-02-02 09:21:00,811.35,812.0,809.9,811.7
3,2024-02-02 09:24:00,811.9,813.95,811.15,812.85
4,2024-02-02 09:27:00,813.0,813.5,811.75,812.05
5,2024-02-02 09:30:00,811.75,812.45,810.7,811.85
6,2024-02-02 09:33:00,811.35,812.05,811.25,811.25
7,2024-02-02 09:36:00,811.15,812.2,810.0,811.95
8,2024-02-02 09:39:00,811.55,811.85,810.35,810.9
9,2024-02-02 09:42:00,810.55,811.1,808.45,809.1
10,2024-02-02 09:45:00,809.2,809.4,808.1,809.3
11,2024-02-02 09:48:00,809.25,809.95,809.0,809.65
12,2024-02-02 09:51:00,809.95,810.65,809.3,809.7
13,2024-02-02 09:54:00,809.85,810.25,808.75,809.2
14,2024-02-02 09:57:00,808.8,809.15,808.15,808.7
15,2024-02-02 10:00:00,808.75,810.15,808.6,809.45
16,2024-02-02 10:03:00,809.65,810.1,808.75,810.1
17,2024-02-02 10:06:00,810.0,810.2,808.65,808.95
18,2024-02-02 10:09:00,808.85,809.55,808.05,808.4
19,2024-02-02 10:12:00,808.3,808.95,807.5,808.8
20,2024-02-02 10:15:00,808.55,808.8,807.7,808.35
21,2024-02-02 10:18:00,808.3,809.15,808.0,809.0
22,2024-02-02 10:21:00,808.85,809.0,808.05,808.75
23,2024-02-02 10:24:00,808.65,808.75,808.15,808.25
24,2024-02-02 10:27:00,808.15,809.1,808.0,808.85
25,2024-02-02 10:30:00,808.8,809.15,808.15,808.15
26,2024-02-02 10:33:00,808.25,809.55,808.2,809.4
27,2024-02-02 10:36:00,809.5,810.8,809.05,810.7
28,2024-02-02 10:39:00,810.6,812.05,810.6,811.35
29,2024-02-02 10:42:00,811.5,813.55,811.35,812.75
30,2024-02-02 10:45:00,812.55,813.85,812.15,812.55
31,2024-02-02 10:48:00,812.6,812.65,810.65,811.15
32,2024-02-02 10:51:00,811.1,811.5,810.0,810.4
33,2024-02-02 10:54:00,810.35,810.7,810.0,810.15
34,2024-02-02 10:57:00,810.0,810.65,809.8,810.3
35,2024-02-02 11:00:00,810.25,810.65,810.15,810.2
36,2024-02-02 11:03:00,810.55,811.95,810.1,811.95
37,2024-02-02 11:06:00,811.55,813.5,811.5,813.0
38,2024-02-02 11:09:00,812.85,813.1,811.65,812.0
39,2024-02-02 11:12:00,811.85,815.0,811.65,814.95
40,2024-02-02 11:15:00,814.65,817.8,814.35,816.2
41,2024-02-02 11:18:00,816.45,817.4,816.05,817.0
42,2024-02-02 11:21:00,816.6,818.35,816.5,818.25
43,2024-02-02 11:24:00,818.15,819.0,817.7,818.85
44,2024-02-02 11:27:00,818.75,819.65,818.55,819.0
45,2024-02-02 11:30:00,818.75,819.65,818.75,819.6
46,2024-02-02 11:33:00,819.4,819.6,818.15,818.65
47,2024-02-02 11:36:00,818.7,819.5,818.0,818.65
48,2024-02-02 11:39:00,818.75,821.95,818.3,821.65
49,2024-02-02 11:42:00,821.7,821.95,819.45,820.0
50,2024-02-02 11:45:00,820.65,820.95,819.15,819.35
51,2024-02-02 11:48:00,819.7,820.0,818.0,819.0
52,2024-02-02 11:51:00,818.85,819.9,818.0,818.4
53,2024-02-02 11:54:00,818.0,819.95,818.0,819.4
54,2024-02-02 11:57:00,819.1,820.3,818.95,820.1
55,2024-02-02 12:00:00,820.15,821.9,820.05,821.4
56,2024-02-02 12:03:00,821.7,822.95,821.0,822.25
57,2024-02-02 12:06:00,822.0,823.0,821.4,821.9
58,2024-02-02 12:09:00,821.8,823.1,821.8,822.75
59,2024-02-02 12:12:00,822.4,823.0,821.55,822.0
60,2024-02-02 12:15:00,821.7,822.0,821.35,821.7
61,2024-02-02 12:18:00,821.65,822.5,821.15,821.45
62,2024-02-02 12:21:00,821.15,822.7,821.15,821.9
