,time,into,inth,intl,intc
0,2024-02-01 09:51:00,625.75,625.9,625.0,625.85
1,2024-02-01 09:54:00,625.25,625.7,625.0,625.5
2,2024-02-01 09:57:00,625.35,625.85,625.0,625.6
3,2024-02-01 10:00:00,625.35,625.6,625.05,625.45
4,2024-02-01 10:03:00,625.15,625.45,625.0,625.35
5,2024-02-01 10:06:00,625.4,625.6,625.1,625.1
6,2024-02-01 10:09:00,625.4,625.45,625.0,625.2
7,2024-02-01 10:12:00,625.35,625.55,625.0,625.55
8,2024-02-01 10:15:00,625.0,625.5,625.0,625.5
9,2024-02-01 10:18:00,625.6,626.5,625.35,626.5
10,2024-02-01 10:21:00,625.85,626.25,625.25,626.0
11,2024-02-01 10:24:00,625.75,626.45,625.7,626.15
12,2024-02-01 10:27:00,625.8,626.2,625.1,625.75
13,2024-02-01 10:30:00,625.6,626.6,625.6,626.0
14,2024-02-01 10:33:00,625.95,626.45,625.55,625.9
15,2024-02-01 10:36:00,626.2,626.8,625.2,625.2
16,2024-02-01 10:39:00,625.45,626.0,625.0,625.7
17,2024-02-01 10:42:00,625.1,625.9,625.1,625.8
18,2024-02-01 10:45:00,625.7,625.9,625.5,625.9
19,2024-02-01 10:48:00,625.75,626.3,625.25,625.3
20,2024-02-01 10:51:00,625.7,625.8,625.0,625.4
21,2024-02-01 10:54:00,625.35,625.9,625.0,625.0
22,2024-02-01 10:57:00,625.15,626.85,625.05,626.8
23,2024-02-01 11:00:00,626.95,629.5,626.7,629.5
24,2024-02-01 11:03:00,629.55,629.8,628.2,628.65
25,2024-02-01 11:06:00,628.6,628.75,626.8,627.7
26,2024-02-01 11:09:00,627.75,628.55,627.2,628.3
27,2024-02-01 11:12:00,628.55,628.6,627.05,628.35
28,2024-02-01 11:15:00,628.4,628.7,625.0,626.6
29,2024-02-01 11:18:00,626.25,627.45,625.2,625.35
30,2024-02-01 11:21:00,625.6,627.0,625.6,626.65
31,2024-02-01 11:24:00,626.75,628.95,626.45,627.55
32,2024-02-01 11:27:00,627.75,629.5,626.75,629.15
33,2024-02-01 11:30:00,629.4,630.85,628.45,630.6
34,2024-02-01 11:33:00,630.7,631.75,629.5,630.55
35,2024-02-01 11:36:00,630.5,631.0,629.75,630.6
36,2024-02-01 11:39:00,630.4,630.8,629.95,630.75
37,2024-02-01 11:42:00,630.9,630.9,628.4,628.8
38,2024-02-01 11:45:00,628.15,629.0,625.0,626.1
39,2024-02-01 11:48:00,626.0,626.9,625.0,625.95
40,2024-02-01 11:51:00,626.1,626.2,625.0,625.75
41,2024-02-01 11:54:00,625.4,626.05,625.05,625.7
42,2024-02-01 11:57:00,625.6,626.7,625.0,626.4
43,2024-02-01 12:00:00,626.2,627.0,625.0,625.05
44,2024-02-01 12:03:00,625.2,626.5,625.0,626.5
45,2024-02-01 12:06:00,626.1,632.2,626.1,632.05
46,2024-02-01 12:09:00,632.1,633.0,631.7,632.65
47,2024-02-01 12:12:00,632.05,632.9,629.0,629.5
48,2024-02-01 12:15:00,629.15,630.1,628.5,629.0
49,2024-02-01 12:18:00,628.9,628.95,627.6,628.2
50,2024-02-01 12:21:00,628.3,628.35,625.75,626.1
51,2024-02-01 12:24:00,625.75,626.9,625.0,626.7
52,2024-02-01 12:27:00,626.25,627.6,625.5,626.0
53,2024-02-01 12:30:00,625.6,626.65,625.0,625.6
54,2024-02-01 12:33:00,625.8,626.9,625.6,626.85
55,2024-02-01 12:36:00,626.55,627.95,625.6,626.6
56,2024-02-01 12:39:00,626.9,630.3,626.85,630.3
57,2024-02-01 12:42:00,630.35,630.45,629.5,630.0
58,2024-02-01 12:45:00,630.1,631.0,629.95,630.5
59,2024-02-01 12:48:00,630.85,630.85,629.2,629.55
60,2024-02-01 12:51:00,629.2,630.5,629.2,630.05
61,2024-02-01 12:54:00,630.2,630.4,630.0,630.0
62,2024-02-01 12:57:00,630.15,631.0,630.0,631.0
63,2024-02-01 13:00:00,631.35,632.3,630.0,631.95
64,2024-02-01 13:03:00,631.45,632.05,631.05,632.05
65,2024-02-01 13:06:00,632.3,632.75,631.65,632.75
66,2024-02-01 13:09:00,632.4,634.5,632.4,633.95
67,2024-02-01 13:12:00,633.65,634.8,632.2,634.7
68,2024-02-01 13:15:00,634.65,634.7,632.5,633.0
69,2024-02-01 13:18:00,632.95,633.8,632.45,633.2
70,2024-02-01 13:21:00,633.3,634.1,633.3,633.55
71,2024-02-01 13:24:00,633.85,634.0,631.65,632.4
72,2024-02-01 13:27:00,632.85,632.85,630.0,631.3
73,2024-02-01 13:30:00,631.35,631.95,630.75,631.1
74,2024-02-01 13:33:00,630.7,630.9,630.0,630.1
75,2024-02-01 13:36:00,631.0,631.1,629.75,630.1
76,2024-02-01 13:39:00,630.35,630.4,629.3,629.3
77,2024-02-01 13:42:00,629.25,630.6,628.3,629.45
78,2024-02-01 13:45:00,629.4,632.75,629.05,632.5
79,2024-02-01 13:48:00,632.45,632.7,630.15,630.55
80,2024-02-01 13:51:00,630.6,631.5,630.0,631.15
81,2024-02-01 13:54:00,630.85,631.4,630.55,630.75
82,2024-02-01 13:57:00,631.1,631.9,630.95,631.55
83,2024-02-01 14:00:00,631.6,631.6,631.0,631.05
84,2024-02-01 14:03:00,631.35,631.8,630.3,630.7
85,2024-02-01 14:06:00,630.45,630.7,630.15,630.25
86,2024-02-01 14:09:00,630.35,630.85,630.25,630.5
87,2024-02-01 14:12:00,630.75,630.75,629.0,629.2
88,2024-02-01 14:15:00,629.4,629.9,628.2,629.0
89,2024-02-01 14:18:00,629.45,629.75,629.05,629.4
90,2024-02-01 14:21:00,629.75,629.9,629.4,629.55
91,2024-02-01 14:24:00,629.9,629.9,629.4,629.8
92,2024-02-01 14:27:00,629.65,630.0,629.55,629.85
93,2024-02-01 14:30:00,630.0,630.0,629.0,629.75
94,2024-02-01 14:33:00,629.7,629.7,628.1,628.9
95,2024-02-01 14:36:00,628.85,629.4,628.45,629.15
96,2024-02-01 14:39:00,629.4,629.95,628.95,629.8
97,2024-02-01 14:42:00,629.5,632.55,629.35,630.6
