,time,into,inth,intl,intc
0,2024-02-02 09:15:00,173.55,174.6,173.2,174.5
1,2024-02-02 09:18:00,174.3,174.6,173.95,174.1
2,2024-02-02 09:21:00,173.95,174.4,173.75,174.4
3,2024-02-02 09:24:00,174.3,174.4,174.0,174.35
4,2024-02-02 09:27:00,174.3,174.5,174.05,174.15
5,2024-02-02 09:30:00,174.05,174.75,173.95,174.65
6,2024-02-02 09:33:00,174.75,175.4,174.65,175.25
7,2024-02-02 09:36:00,175.3,176.15,175.1,176.1
8,2024-02-02 09:39:00,176.05,176.2,175.1,175.15
9,2024-02-02 09:42:00,175.05,175.35,174.9,175.3
10,2024-02-02 09:45:00,175.35,175.45,174.8,174.85
11,2024-02-02 09:48:00,174.8,175.2,174.6,175.1
12,2024-02-02 09:51:00,175.05,175.5,175.05,175.4
13,2024-02-02 09:54:00,175.45,175.65,175.3,175.65
14,2024-02-02 09:57:00,175.55,175.8,175.45,175.65
15,2024-02-02 10:00:00,175.75,175.75,175.45,175.65
16,2024-02-02 10:03:00,175.6,175.85,175.55,175.7
17,2024-02-02 10:06:00,175.65,175.7,175.45,175.5
18,2024-02-02 10:09:00,175.55,175.6,175.25,175.5
19,2024-02-02 10:12:00,175.45,175.55,175.15,175.15
20,2024-02-02 10:15:00,175.1,175.2,175.0,175.05
21,2024-02-02 10:18:00,175.1,175.2,174.95,175.1
22,2024-02-02 10:21:00,175.05,175.15,174.7,174.75
23,2024-02-02 10:24:00,174.7,175.0,174.7,174.9
24,2024-02-02 10:27:00,175.0,175.0,174.7,174.7
25,2024-02-02 10:30:00,174.55,174.65,174.5,174.6
26,2024-02-02 10:33:00,174.55,174.7,174.35,174.5
27,2024-02-02 10:36:00,174.55,174.75,174.45,174.6
28,2024-02-02 10:39:00,174.65,174.75,174.4,174.4
29,2024-02-02 10:42:00,174.35,174.8,174.3,174.8
30,2024-02-02 10:45:00,174.75,174.85,174.65,174.8
31,2024-02-02 10:48:00,174.75,174.85,174.3,174.65
32,2024-02-02 10:51:00,174.6,174.75,174.35,174.6
33,2024-02-02 10:54:00,174.55,174.7,174.4,174.45
34,2024-02-02 10:57:00,174.5,174.7,174.4,174.4
35,2024-02-02 11:00:00,174.45,174.55,174.3,174.45
36,2024-02-02 11:03:00,174.5,174.65,174.4,174.65
37,2024-02-02 11:06:00,174.6,174.75,174.6,174.65
38,2024-02-02 11:09:00,174.6,174.9,174.55,174.85
39,2024-02-02 11:12:00,174.8,175.0,174.7,174.75
40,2024-02-02 11:15:00,174.7,174.95,174.55,174.9
41,2024-02-02 11:18:00,174.8,174.95,174.75,174.8
