,time,into,inth,intl,intc
0,2024-02-02 09:15:00,1516.9,1519.45,1510.4,1511.8
1,2024-02-02 09:18:00,1511.95,1517.9,1511.95,1517.25
2,2024-02-02 09:21:00,1517.15,1517.15,1514.25,1515.05
3,2024-02-02 09:24:00,1514.9,1515.2,1512.3,1512.75
4,2024-02-02 09:27:00,1512.95,1512.95,1510.85,1510.85
5,2024-02-02 09:30:00,1511.5,1512.7,1510.0,1511.75
6,2024-02-02 09:33:00,1512.05,1517.0,1511.45,1517.0
7,2024-02-02 09:36:00,1517.2,1519.45,1515.55,1516.5
8,2024-02-02 09:39:00,1516.35,1517.3,1514.35,1515.55
9,2024-02-02 09:42:00,1514.85,1515.75,1513.9,1514.5
10,2024-02-02 09:45:00,1514.2,1514.5,1513.0,1514.25
11,2024-02-02 09:48:00,1513.9,1516.0,1513.5,1515.1
12,2024-02-02 09:51:00,1515.15,1516.4,1514.5,1516.35
13,2024-02-02 09:54:00,1516.25,1517.2,1515.75,1516.45
14,2024-02-02 09:57:00,1516.6,1517.5,1516.1,1517.25
15,2024-02-02 10:00:00,1517.0,1518.25,1515.5,1516.55
16,2024-02-02 10:03:00,1516.95,1516.95,1515.6,1515.85
17,2024-02-02 10:06:00,1515.7,1515.7,1513.8,1514.7
18,2024-02-02 10:09:00,1514.8,1515.05,1513.9,1514.15
19,2024-02-02 10:12:00,1514.35,1514.9,1514.15,1514.2
20,2024-02-02 10:15:00,1514.5,1514.85,1514.2,1514.25
21,2024-02-02 10:18:00,1514.3,1516.15,1513.9,1515.0
22,2024-02-02 10:21:00,1515.7,1516.1,1514.1,1514.15
23,2024-02-02 10:24:00,1514.7,1515.05,1511.0,1512.0
24,2024-02-02 10:27:00,1511.9,1512.3,1511.3,1511.65
25,2024-02-02 10:30:00,1511.5,1511.6,1509.8,1510.2
26,2024-02-02 10:33:00,1510.0,1512.55,1509.0,1512.45
27,2024-02-02 10:36:00,1512.85,1513.0,1508.35,1509.15
28,2024-02-02 10:39:00,1508.9,1509.95,1508.9,1509.4
29,2024-02-02 10:42:00,1509.45,1510.0,1508.55,1509.05
30,2024-02-02 10:45:00,1509.7,1509.85,1509.0,1509.1
31,2024-02-02 10:48:00,1509.3,1509.3,1506.65,1507.85
32,2024-02-02 10:51:00,1508.05,1509.75,1507.75,1508.85
33,2024-02-02 10:54:00,1508.75,1509.65,1508.75,1509.45
34,2024-02-02 10:57:00,1509.95,1511.5,1509.15,1510.4
35,2024-02-02 11:00:00,1510.45,1512.25,1510.2,1512.0
36,2024-02-02 11:03:00,1511.55,1513.3,1510.95,1512.05
37,2024-02-02 11:06:00,1512.9,1515.1,1511.2,1512.85
38,2024-02-02 11:09:00,1512.75,1513.25,1511.7,1512.0
39,2024-02-02 11:12:00,1511.8,1512.4,1510.9,1511.55
40,2024-02-02 11:15:00,1511.6,1512.85,1511.6,1512.05
41,2024-02-02 11:18:00,1512.65,1512.9,1511.6,1512.0
42,2024-02-02 11:21:00,1511.55,1513.0,1510.05,1512.35
43,2024-02-02 11:24:00,1512.8,1514.0,1512.15,1512.35
44,2024-02-02 11:27:00,1512.75,1513.4,1512.15,1512.65
45,2024-02-02 11:30:00,1513.05,1513.1,1512.2,1512.2
46,2024-02-02 11:33:00,1512.3,1512.75,1512.15,1512.75
47,2024-02-02 11:36:00,1512.4,1515.35,1512.4,1514.15
48,2024-02-02 11:39:00,1514.75,1515.15,1514.1,1514.5
49,2024-02-02 11:42:00,1514.65,1515.0,1509.35,1510.1
50,2024-02-02 11:45:00,1509.65,1510.15,1508.45,1509.9
51,2024-02-02 11:48:00,1509.15,1511.5,1506.3,1511.45
52,2024-02-02 11:51:00,1511.0,1512.4,1510.05,1511.5
53,2024-02-02 11:54:00,1511.05,1511.25,1510.0,1510.05
54,2024-02-02 11:57:00,1510.4,1511.2,1508.75,1509.5
55,2024-02-02 12:00:00,1509.2,1510.0,1505.8,1505.8
56,2024-02-02 12:03:00,1505.9,1508.05,1505.8,1507.0
57,2024-02-02 12:06:00,1507.1,1508.0,1507.05,1507.9
58,2024-02-02 12:09:00,1507.3,1507.9,1507.2,1507.35
59,2024-02-02 12:12:00,1507.55,1507.9,1506.0,1506.15
60,2024-02-02 12:15:00,1505.95,1505.95,1503.65,1504.0
61,2024-02-02 12:18:00,1504.05,1504.9,1504.05,1504.6
62,2024-02-02 12:21:00,1504.55,1505.5,1504.05,1504.65
63,2024-02-02 12:24:00,1504.4,1507.35,1504.3,1507.35
64,2024-02-02 12:27:00,1506.9,1507.5,1503.7,1503.7
65,2024-02-02 12:30:00,1503.65,1503.65,1500.0,1500.9
66,2024-02-02 12:33:00,1501.4,1504.4,1500.8,1501.8
67,2024-02-02 12:36:00,1501.2,1503.7,1500.0,1502.85
68,2024-02-02 12:39:00,1503.25,1507.95,1503.25,1505.8
69,2024-02-02 12:42:00,1506.2,1507.0,1505.05,1506.35
70,2024-02-02 12:45:00,1506.9,1508.0,1506.6,1506.7
71,2024-02-02 12:48:00,1506.6,1507.85,1506.05,1507.0
72,2024-02-02 12:51:00,1506.55,1507.5,1506.55,1506.9
73,2024-02-02 12:54:00,1506.75,1507.5,1506.75,1507.3
74,2024-02-02 12:57:00,1506.9,1506.95,1505.5,1505.65
75,2024-02-02 13:00:00,1505.7,1506.0,1504.5,1504.65
76,2024-02-02 13:03:00,1505.1,1505.1,1503.4,1503.55
77,2024-02-02 13:06:00,1504.0,1504.7,1503.55,1504.35
78,2024-02-02 13:09:00,1504.2,1504.5,1503.65,1503.75
79,2024-02-02 13:12:00,1503.8,1504.35,1501.9,1502.05
80,2024-02-02 13:15:00,1501.9,1503.6,1500.6,1501.35
81,2024-02-02 13:18:00,1500.75,1501.75,1499.1,1500.0
82,2024-02-02 13:21:00,1499.5,1500.0,1499.5,1500.0
83,2024-02-02 13:24:00,1499.55,1500.0,1498.7,1498.85
84,2024-02-02 13:27:00,1499.15,1500.85,1498.15,1499.7
85,2024-02-02 13:30:00,1500.0,1500.75,1498.25,1499.25
86,2024-02-02 13:33:00,1499.45,1500.0,1499.2,1499.8
87,2024-02-02 13:36:00,1500.0,1500.4,1499.4,1500.35
88,2024-02-02 13:39:00,1500.25,1500.8,1499.45,1499.75
89,2024-02-02 13:42:00,1499.6,1500.5,1499.0,1500.0
90,2024-02-02 13:45:00,1500.05,1501.6,1500.0,1501.5
91,2024-02-02 13:48:00,1500.8,1501.8,1500.5,1501.3
92,2024-02-02 13:51:00,1500.55,1501.1,1500.1,1501.05
93,2024-02-02 13:54:00,1501.1,1502.0,1501.05,1501.25
94,2024-02-02 13:57:00,1501.05,1502.3,1500.75,1502.2
95,2024-02-02 14:00:00,1502.4,1505.0,1501.7,1503.3
96,2024-02-02 14:03:00,1502.85,1504.45,1502.5,1504.0
97,2024-02-02 14:06:00,1503.85,1504.65,1503.7,1504.0
98,2024-02-02 14:09:00,1504.55,1505.7,1504.3,1505.25
99,2024-02-02 14:12:00,1504.85,1505.65,1504.85,1505.2
100,2024-02-02 14:15:00,1505.65,1506.5,1505.15,1505.8
101,2024-02-02 14:18:00,1505.75,1506.0,1505.25,1505.4
102,2024-02-02 14:21:00,1505.25,1506.0,1504.85,1505.25
103,2024-02-02 14:24:00,1505.45,1505.9,1504.65,1505.05
104,2024-02-02 14:27:00,1505.55,1506.2,1504.45,1505.8
105,2024-02-02 14:30:00,1505.9,1507.0,1505.3,1505.35
106,2024-02-02 14:33:00,1506.0,1506.25,1502.6,1503.65
107,2024-02-02 14:36:00,1503.3,1503.4,1499.45,1500.65
108,2024-02-02 14:39:00,1500.85,1502.45,1500.0,1500.25
109,2024-02-02 14:42:00,1500.15,1503.15,1499.85,1502.25
110,2024-02-02 14:45:00,1502.2,1502.4,1500.0,1500.65
111,2024-02-02 14:48:00,1500.35,1502.55,1499.95,1500.7
112,2024-02-02 14:51:00,1501.0,1501.3,1499.0,1499.85
113,2024-02-02 14:54:00,1500.0,1500.0,1498.1,1498.5
114,2024-02-02 14:57:00,1498.2,1500.1,1498.2,1500.0
115,2024-02-02 15:00:00,1499.9,1500.9,1499.75,1499.85
116,2024-02-02 15:03:00,1500.0,1501.25,1498.7,1500.05
117,2024-02-02 15:06:00,1500.0,1502.95,1499.8,1501.4
118,2024-02-02 15:09:00,1501.2,1503.2,1500.35,1501.5
119,2024-02-02 15:12:00,1501.45,1502.35,1500.15,1501.85
120,2024-02-02 15:15:00,1502.05,1503.65,1501.7,1501.7
121,2024-02-02 15:18:00,1501.75,1503.0,1500.5,1502.7
122,2024-02-02 15:21:00,1502.45,1504.9,1502.45,1503.6
123,2024-02-02 15:24:00,1503.1,1508.5,1503.1,1508.5
124,2024-02-02 15:27:00,1508.35,1509.1,1505.6,1506.55
125,2024-02-03 11:00:00,1506.55,1506.55,1506.55,1506.55
126,2024-02-03 11:03:00,1506.55,1506.55,1506.55,1506.55
127,2024-02-03 11:06:00,1506.55,1560.85,1506.55,1560.85
128,2024-02-03 11:39:00,1560.85,1560.85,1560.85,1560.85
129,2024-02-03 12:03:00,1562.85,1562.85,1562.85,1562.85
130,2024-02-03 12:06:00,1562.85,1562.85,1562.85,1562.85
131,2024-02-03 12:09:00,1562.85,1562.85,1562.85,1562.85
132,2024-02-03 12:12:00,1562.85,1562.85,1562.85,1562.85
133,2024-02-03 12:15:00,1562.85,1562.85,1562.85,1562.85
134,2024-02-03 12:18:00,1562.85,1562.85,1562.85,1562.85
135,2024-02-03 12:21:00,1562.85,1562.85,1562.85,1562.85
136,2024-02-03 12:24:00,1562.85,1562.85,1562.85,1562.85
137,2024-02-03 12:27:00,1562.85,1562.85,1562.85,1562.85
138,2024-02-03 12:30:00,1562.85,1562.85,1562.85,1562.85
139,2024-02-03 12:33:00,1562.85,1562.85,1562.85,1562.85
140,2024-02-03 12:36:00,1562.85,1562.85,1562.85,1562.85
141,2024-02-03 12:39:00,1562.85,1562.85,1562.85,1562.85
142,2024-02-03 12:42:00,1562.85,1562.85,1562.85,1562.85
143,2024-02-03 12:45:00,1562.85,1562.85,1562.85,1562.85
144,2024-02-03 12:48:00,1562.85,1562.85,1562.85,1562.85
145,2024-02-03 12:51:00,1562.85,1562.85,1562.85,1562.85
146,2024-02-03 12:54:00,1562.85,1562.85,1562.85,1562.85
147,2024-02-03 12:57:00,1562.85,1562.85,1562.0,1562.0
148,2024-02-03 14:57:00,1600.0,1600.0,1600.0,1600.0
149,2024-02-03 15:00:00,1600.0,1600.0,1600.0,1600.0
150,2024-02-03 15:03:00,1600.0,1600.0,1600.0,1600.0
151,2024-02-03 15:06:00,1600.0,1600.0,1600.0,1600.0
152,2024-02-03 15:09:00,1600.0,1600.0,1600.0,1600.0
153,2024-02-03 15:12:00,1600.0,1600.0,1600.0,1600.0
154,2024-02-03 15:15:00,1600.0,1600.0,1600.0,1600.0
155,2024-02-03 15:18:00,1600.0,1600.0,1600.0,1600.0
156,2024-02-03 15:21:00,1600.0,1600.0,1600.0,1600.0
157,2024-02-03 15:24:00,1600.0,1600.0,1600.0,1600.0
158,2024-02-03 15:27:00,1600.0,1600.0,1502.75,1502.75
159,2024-02-05 09:15:00,1502.2,1515.95,1498.1,1515.95
160,2024-02-05 09:18:00,1514.7,1518.5,1512.5,1516.4
161,2024-02-05 09:21:00,1516.25,1519.5,1515.3,1517.7
162,2024-02-05 09:24:00,1516.65,1523.05,1515.85,1516.2
163,2024-02-05 09:27:00,1515.85,1520.65,1515.0,1520.0
164,2024-02-05 09:30:00,1519.35,1523.7,1517.9,1523.7
165,2024-02-05 09:33:00,1523.35,1525.5,1522.65,1524.0
166,2024-02-05 09:36:00,1523.45,1524.0,1521.9,1522.9
167,2024-02-05 09:39:00,1523.5,1528.95,1522.9,1525.9
168,2024-02-05 09:42:00,1525.95,1528.95,1525.25,1528.45
