,time,into,inth,intl,intc
0,2024-01-30 09:15:00,518.9,523.2,516.25,516.85
1,2024-01-30 09:18:00,516.75,520.4,515.4,518.9
2,2024-01-30 09:21:00,518.5,519.85,517.9,519.3
3,2024-01-30 09:24:00,519.45,520.95,518.2,520.35
4,2024-01-30 09:27:00,520.4,520.95,519.5,520.15
5,2024-01-30 09:30:00,519.35,520.4,519.35,520.1
6,2024-01-30 09:33:00,520.0,520.4,519.15,519.35
7,2024-01-30 09:36:00,519.65,520.35,519.45,519.95
8,2024-01-30 09:39:00,520.3,520.6,518.4,518.75
9,2024-01-30 09:42:00,518.85,519.25,518.15,519.1
10,2024-01-30 09:45:00,519.0,519.2,517.75,518.35
11,2024-01-30 09:48:00,518.15,518.15,517.2,517.95
12,2024-01-30 09:51:00,517.65,518.35,517.65,518.2
13,2024-01-30 09:54:00,518.3,518.85,518.1,518.6
14,2024-01-30 09:57:00,518.85,519.0,518.4,518.5
15,2024-01-30 10:00:00,518.4,518.95,517.45,517.8
16,2024-01-30 10:03:00,517.6,517.8,517.4,517.4
17,2024-01-30 10:06:00,517.45,517.75,517.05,517.55
18,2024-01-30 10:09:00,517.5,518.55,517.35,518.25
19,2024-01-30 10:12:00,518.15,518.3,517.65,517.9
20,2024-01-30 10:15:00,517.65,517.85,517.35,517.5
21,2024-01-30 10:18:00,517.45,517.6,517.0,517.45
22,2024-01-30 10:21:00,517.4,517.85,517.35,517.6
23,2024-01-30 10:24:00,517.8,518.3,517.65,518.3
24,2024-01-30 10:27:00,518.4,518.7,517.9,518.0
25,2024-01-30 10:30:00,517.75,518.55,517.65,518.25
26,2024-01-30 10:33:00,518.4,518.4,517.5,518.3
27,2024-01-30 10:36:00,518.2,518.2,517.9,518.0
28,2024-01-30 10:39:00,517.9,519.7,517.9,519.15
29,2024-01-30 10:42:00,519.1,520.1,518.85,518.95
30,2024-01-30 10:45:00,518.9,519.0,518.25,519.0
31,2024-01-30 10:48:00,519.2,519.35,518.5,518.6
32,2024-01-30 10:51:00,518.25,518.6,517.5,517.5
33,2024-01-30 10:54:00,517.55,517.65,517.25,517.55
34,2024-01-30 10:57:00,517.45,517.75,517.0,517.25
35,2024-01-30 11:00:00,517.5,517.5,517.05,517.1
36,2024-01-30 11:03:00,517.05,517.4,516.45,516.45
37,2024-01-30 11:06:00,516.4,516.5,516.1,516.45
38,2024-01-30 11:09:00,516.5,516.75,516.2,516.45
39,2024-01-30 11:12:00,516.4,516.4,516.0,516.35
40,2024-01-30 11:15:00,516.4,517.85,516.35,517.6
41,2024-01-30 11:18:00,517.65,518.65,517.6,518.25
42,2024-01-30 11:21:00,518.35,518.5,518.0,518.3
43,2024-01-30 11:24:00,518.25,518.95,518.15,518.95
44,2024-01-30 11:27:00,518.6,519.55,518.6,519.2
45,2024-01-30 11:30:00,519.25,520.8,519.1,520.5
