,time,into,inth,intl,intc
0,2024-02-02 09:15:00,116.1,117.05,116.05,116.65
1,2024-02-02 09:18:00,116.75,116.95,116.5,116.5
2,2024-02-02 09:21:00,116.6,116.65,116.05,116.4
3,2024-02-02 09:24:00,116.3,116.4,116.2,116.4
4,2024-02-02 09:27:00,116.35,116.4,116.0,116.1
5,2024-02-02 09:30:00,116.0,116.1,115.85,116.0
6,2024-02-02 09:33:00,116.1,116.3,116.0,116.25
7,2024-02-02 09:36:00,116.15,116.65,116.15,116.6
8,2024-02-02 09:39:00,116.55,116.8,116.35,116.8
9,2024-02-02 09:42:00,116.85,116.85,116.6,116.6
10,2024-02-02 09:45:00,116.65,116.85,116.45,116.8
11,2024-02-02 09:48:00,116.75,116.85,116.5,116.7
12,2024-02-02 09:51:00,116.75,116.95,116.7,116.7
13,2024-02-02 09:54:00,116.8,116.9,116.7,116.75
14,2024-02-02 09:57:00,116.7,116.9,116.55,116.85
15,2024-02-02 10:00:00,116.9,116.9,116.6,116.9
16,2024-02-02 10:03:00,116.85,116.9,116.75,116.85
17,2024-02-02 10:06:00,116.8,116.85,116.7,116.75
18,2024-02-02 10:09:00,116.8,116.85,116.7,116.75
19,2024-02-02 10:12:00,116.8,116.85,116.6,116.7
20,2024-02-02 10:15:00,116.6,116.75,116.6,116.6
21,2024-02-02 10:18:00,116.65,116.75,116.5,116.65
22,2024-02-02 10:21:00,116.7,116.75,116.5,116.65
23,2024-02-02 10:24:00,116.6,116.7,116.5,116.7
24,2024-02-02 10:27:00,116.65,116.8,116.6,116.7
25,2024-02-02 10:30:00,116.75,116.9,116.65,116.9
26,2024-02-02 10:33:00,116.8,117.35,116.8,117.25
27,2024-02-02 10:36:00,117.2,117.3,116.8,116.95
28,2024-02-02 10:39:00,116.9,116.95,116.8,116.9
29,2024-02-02 10:42:00,116.85,116.95,116.85,116.9
30,2024-02-02 10:45:00,116.95,116.95,116.85,116.95
31,2024-02-02 10:48:00,117.0,117.0,116.75,116.8
32,2024-02-02 10:51:00,116.75,116.8,116.7,116.7
33,2024-02-02 10:54:00,116.75,116.9,116.65,116.7
34,2024-02-02 10:57:00,116.8,116.85,116.7,116.8
