,time,into,inth,intl,intc
0,2024-02-02 09:15:00,148.45,148.55,147.7,148.2
1,2024-02-02 09:18:00,148.35,149.0,148.3,148.7
2,2024-02-02 09:21:00,148.6,148.8,147.8,148.05
3,2024-02-02 09:24:00,148.0,148.95,147.95,148.9
4,2024-02-02 09:27:00,148.85,149.15,148.55,148.6
5,2024-02-02 09:30:00,148.65,148.95,148.15,148.7
6,2024-02-02 09:33:00,148.6,148.95,148.5,148.9
7,2024-02-02 09:36:00,148.8,149.45,148.65,149.45
8,2024-02-02 09:39:00,149.35,149.45,148.7,148.8
9,2024-02-02 09:42:00,148.9,149.0,148.7,148.85
10,2024-02-02 09:45:00,148.9,148.9,148.5,148.55
11,2024-02-02 09:48:00,148.6,148.9,148.55,148.9
12,2024-02-02 09:51:00,148.85,149.0,148.8,149.0
13,2024-02-02 09:54:00,148.95,149.0,148.6,148.75
14,2024-02-02 09:57:00,148.7,148.75,148.5,148.7
15,2024-02-02 10:00:00,148.75,148.75,148.6,148.6
16,2024-02-02 10:03:00,148.65,149.75,148.6,149.65
17,2024-02-02 10:06:00,149.75,149.9,149.45,149.55
18,2024-02-02 10:09:00,149.6,149.65,149.1,149.25
19,2024-02-02 10:12:00,149.1,149.45,149.1,149.35
20,2024-02-02 10:15:00,149.45,149.7,149.25,149.5
21,2024-02-02 10:18:00,149.6,149.7,149.45,149.55
22,2024-02-02 10:21:00,149.6,150.0,149.5,149.75
23,2024-02-02 10:24:00,149.8,149.9,149.25,149.35
24,2024-02-02 10:27:00,149.25,149.65,149.25,149.55
25,2024-02-02 10:30:00,149.5,149.65,149.35,149.35
26,2024-02-02 10:33:00,149.3,149.55,149.3,149.5
27,2024-02-02 10:36:00,149.45,150.0,149.35,149.9
28,2024-02-02 10:39:00,149.95,150.5,149.8,149.9
29,2024-02-02 10:42:00,150.0,150.4,149.85,150.2
30,2024-02-02 10:45:00,150.15,150.4,149.95,150.35
31,2024-02-02 10:48:00,150.4,150.4,150.1,150.25
32,2024-02-02 10:51:00,150.15,150.3,149.65,149.8
33,2024-02-02 10:54:00,149.75,149.95,149.6,149.85
34,2024-02-02 10:57:00,149.75,150.1,149.6,149.6
35,2024-02-02 11:00:00,149.65,149.95,149.4,149.55
36,2024-02-02 11:03:00,149.6,149.8,149.4,149.75
37,2024-02-02 11:06:00,149.7,149.95,149.7,149.8
38,2024-02-02 11:09:00,149.75,149.8,149.4,149.6
39,2024-02-02 11:12:00,149.7,150.0,149.45,149.9
40,2024-02-02 11:15:00,149.8,150.65,149.7,150.5
41,2024-02-02 11:18:00,150.4,150.55,150.15,150.3
42,2024-02-02 11:21:00,150.35,150.5,150.25,150.3
43,2024-02-02 11:24:00,150.25,150.6,150.2,150.6
44,2024-02-02 11:27:00,150.55,150.75,150.3,150.6
45,2024-02-02 11:30:00,150.65,150.7,149.9,149.9
46,2024-02-02 11:33:00,149.95,150.05,149.8,149.9
47,2024-02-02 11:36:00,150.0,150.0,149.7,149.7
48,2024-02-02 11:39:00,149.75,149.8,149.4,149.6
49,2024-02-02 11:42:00,149.5,149.65,149.15,149.25
50,2024-02-02 11:45:00,149.15,149.65,149.05,149.35
51,2024-02-02 11:48:00,149.45,149.9,149.35,149.9
52,2024-02-02 11:51:00,149.85,150.0,149.6,149.6
53,2024-02-02 11:54:00,149.65,149.75,149.4,149.6
54,2024-02-02 11:57:00,149.55,149.9,149.55,149.7
55,2024-02-02 12:00:00,149.75,149.9,149.6,149.6
56,2024-02-02 12:03:00,149.65,149.85,149.6,149.75
57,2024-02-02 12:06:00,149.85,150.05,149.5,149.65
58,2024-02-02 12:09:00,149.6,149.75,149.3,149.35
59,2024-02-02 12:12:00,149.4,149.4,148.75,149.0
60,2024-02-02 12:15:00,149.1,149.45,148.85,149.35
61,2024-02-02 12:18:00,149.4,149.6,149.15,149.25
62,2024-02-02 12:21:00,149.2,149.35,149.15,149.15
63,2024-02-02 12:24:00,149.2,149.25,148.6,148.65
64,2024-02-02 12:27:00,148.75,148.85,148.0,148.05
65,2024-02-02 12:30:00,148.1,148.15,147.3,147.85
66,2024-02-02 12:33:00,147.9,148.35,147.05,147.05
67,2024-02-02 12:36:00,147.0,147.5,146.65,147.35
68,2024-02-02 12:39:00,147.4,148.1,147.2,147.75
69,2024-02-02 12:42:00,147.85,148.25,147.6,148.2
70,2024-02-02 12:45:00,148.25,148.25,147.75,147.75
71,2024-02-02 12:48:00,147.9,148.25,147.55,147.65
72,2024-02-02 12:51:00,147.75,148.7,147.75,148.5
73,2024-02-02 12:54:00,148.6,148.8,148.5,148.8
74,2024-02-02 12:57:00,148.7,148.8,148.25,148.45
75,2024-02-02 13:00:00,148.4,148.7,148.2,148.6
76,2024-02-02 13:03:00,148.65,148.7,148.5,148.65
77,2024-02-02 13:06:00,148.55,148.8,148.45,148.8
78,2024-02-02 13:09:00,148.75,149.25,148.75,149.1
79,2024-02-02 13:12:00,149.05,149.75,149.0,149.2
80,2024-02-02 13:15:00,149.25,149.7,148.65,149.7
81,2024-02-02 13:18:00,149.6,150.2,149.4,149.5
82,2024-02-02 13:21:00,149.4,150.0,149.35,149.8
83,2024-02-02 13:24:00,149.75,149.85,149.0,149.4
84,2024-02-02 13:27:00,149.45,150.2,149.4,150.2
85,2024-02-02 13:30:00,150.15,152.35,150.1,151.3
86,2024-02-02 13:33:00,151.35,152.0,150.45,151.4
87,2024-02-02 13:36:00,151.45,151.7,150.8,151.7
88,2024-02-02 13:39:00,151.8,152.8,151.75,152.7
89,2024-02-02 13:42:00,152.65,155.1,152.6,155.05
90,2024-02-02 13:45:00,155.0,156.85,155.0,155.3
91,2024-02-02 13:48:00,155.4,155.75,154.7,155.3
92,2024-02-02 13:51:00,155.25,156.45,155.1,155.9
93,2024-02-02 13:54:00,155.85,156.45,155.7,156.15
94,2024-02-02 13:57:00,156.0,156.25,155.35,155.9
95,2024-02-02 14:00:00,156.0,156.4,155.8,155.8
96,2024-02-02 14:03:00,155.85,155.85,154.8,155.2
97,2024-02-02 14:06:00,155.1,155.4,154.4,154.7
98,2024-02-02 14:09:00,154.65,155.2,154.4,154.45
99,2024-02-02 14:12:00,154.4,155.0,154.3,154.75
100,2024-02-02 14:15:00,154.8,155.2,154.4,154.6
101,2024-02-02 14:18:00,154.45,154.85,154.0,154.85
102,2024-02-02 14:21:00,154.7,155.7,154.65,155.25
103,2024-02-02 14:24:00,155.2,155.65,154.95,155.55
104,2024-02-02 14:27:00,155.5,155.75,155.4,155.6
105,2024-02-02 14:30:00,155.5,155.7,155.2,155.6
106,2024-02-02 14:33:00,155.5,155.6,155.0,155.25
107,2024-02-02 14:36:00,155.15,155.75,155.1,155.7
108,2024-02-02 14:39:00,155.8,155.8,155.35,155.45
109,2024-02-02 14:42:00,155.5,155.5,154.75,154.8
110,2024-02-02 14:45:00,154.9,155.15,154.65,154.8
111,2024-02-02 14:48:00,154.7,154.9,154.4,154.4
112,2024-02-02 14:51:00,154.45,154.45,153.15,153.35
113,2024-02-02 14:54:00,153.3,153.6,152.85,152.95
114,2024-02-02 14:57:00,152.9,153.25,152.7,153.1
115,2024-02-02 15:00:00,153.15,153.65,152.9,153.0
116,2024-02-02 15:03:00,152.95,153.45,152.5,153.45
117,2024-02-02 15:06:00,153.4,153.7,153.3,153.45
118,2024-02-02 15:09:00,153.5,153.55,153.25,153.3
119,2024-02-02 15:12:00,153.35,153.4,152.75,152.95
120,2024-02-02 15:15:00,153.05,153.25,152.3,153.2
121,2024-02-02 15:18:00,153.25,153.5,152.7,152.85
122,2024-02-02 15:21:00,152.9,153.0,152.8,152.9
123,2024-02-02 15:24:00,152.85,153.2,152.8,153.1
124,2024-02-02 15:27:00,153.15,153.25,152.65,153.0
125,2024-02-03 11:00:00,152.95,152.95,152.95,152.95
126,2024-02-03 11:03:00,152.95,152.95,152.95,152.95
127,2024-02-03 11:06:00,152.95,153.0,152.95,153.0
128,2024-02-03 11:15:00,157.25,161.35,157.25,159.65
129,2024-02-03 11:18:00,159.9,160.25,148.85,148.85
130,2024-02-03 11:21:00,148.85,148.85,141.45,141.45
131,2024-02-03 11:24:00,141.45,141.45,138.0,141.3
132,2024-02-03 11:27:00,141.3,141.45,141.3,141.45
133,2024-02-03 11:30:00,141.3,141.45,141.3,141.3
134,2024-02-03 11:33:00,141.45,141.45,139.95,140.0
135,2024-02-03 11:36:00,141.45,141.45,141.0,141.0
136,2024-02-03 11:39:00,141.0,141.0,141.0,141.0
137,2024-02-03 11:42:00,141.0,159.1,141.0,159.1
138,2024-02-03 11:54:00,159.1,159.1,137.7,137.7
139,2024-02-03 12:03:00,137.7,137.7,137.7,137.7
140,2024-02-03 12:06:00,137.7,137.7,137.7,137.7
141,2024-02-03 12:09:00,137.7,137.7,137.7,137.7
142,2024-02-03 12:12:00,137.7,137.7,137.7,137.7
143,2024-02-03 12:15:00,137.7,137.7,137.7,137.7
144,2024-02-03 12:18:00,137.7,137.7,137.7,137.7
145,2024-02-03 12:21:00,137.7,137.7,137.7,137.7
146,2024-02-03 12:24:00,137.7,137.7,137.7,137.7
147,2024-02-03 12:27:00,137.7,137.7,137.7,137.7
148,2024-02-03 12:30:00,137.7,137.7,137.7,137.7
149,2024-02-03 12:33:00,137.7,137.7,137.7,137.7
150,2024-02-03 12:36:00,137.7,137.7,137.7,137.7
151,2024-02-03 12:39:00,137.7,137.7,137.7,137.7
152,2024-02-03 12:42:00,137.7,137.7,137.7,137.7
153,2024-02-03 12:45:00,137.7,149.05,137.7,148.7
154,2024-02-03 12:48:00,148.75,149.45,148.25,148.95
155,2024-02-03 12:51:00,148.9,149.9,148.6,149.45
156,2024-02-03 12:54:00,149.5,150.45,149.4,149.75
157,2024-02-03 12:57:00,149.75,149.75,148.05,148.15
158,2024-02-03 15:09:00,148.15,148.15,148.05,148.05
159,2024-02-03 15:12:00,148.05,148.15,148.05,148.15
160,2024-02-03 15:15:00,148.15,148.15,148.15,148.15
161,2024-02-03 15:18:00,148.15,148.15,148.15,148.15
162,2024-02-03 15:21:00,148.15,148.15,148.15,148.15
163,2024-02-03 15:24:00,148.15,148.15,148.15,148.15
164,2024-02-03 15:27:00,148.15,153.9,148.15,153.9
165,2024-02-05 09:15:00,153.55,154.0,152.5,153.9
166,2024-02-05 09:18:00,153.7,153.85,152.8,153.6
167,2024-02-05 09:21:00,153.65,153.95,152.95,153.9
168,2024-02-05 09:24:00,154.0,155.3,153.75,154.9
169,2024-02-05 09:27:00,155.0,155.0,154.15,154.35
170,2024-02-05 09:30:00,154.25,154.45,153.85,154.1
171,2024-02-05 09:33:00,154.05,154.4,153.8,154.4
172,2024-02-05 09:36:00,154.3,154.5,154.0,154.3
173,2024-02-05 09:39:00,154.4,154.9,154.2,154.55
174,2024-02-05 09:42:00,154.75,155.25,154.7,154.9
175,2024-02-05 09:45:00,154.95,155.5,154.7,155.35
176,2024-02-05 09:48:00,155.3,155.65,155.15,155.4
177,2024-02-05 09:51:00,155.35,155.7,155.25,155.55
178,2024-02-05 09:54:00,155.5,155.65,155.3,155.6
179,2024-02-05 09:57:00,155.5,156.25,155.2,156.2
180,2024-02-05 10:00:00,156.25,156.3,155.7,155.8
181,2024-02-05 10:03:00,155.7,155.85,155.45,155.7
182,2024-02-05 10:06:00,155.75,157.4,155.7,157.25
183,2024-02-05 10:09:00,157.15,157.5,156.9,157.45
184,2024-02-05 10:12:00,157.4,157.45,156.8,156.9
185,2024-02-05 10:15:00,156.95,157.6,156.95,157.1
186,2024-02-05 10:18:00,157.05,157.1,155.85,156.15
187,2024-02-05 10:21:00,156.1,156.5,155.85,156.5
188,2024-02-05 10:24:00,156.4,157.6,156.4,157.55
189,2024-02-05 10:27:00,157.5,157.9,157.2,157.7
190,2024-02-05 10:30:00,157.8,157.85,157.15,157.15
191,2024-02-05 10:33:00,157.2,157.65,157.1,157.6
192,2024-02-05 10:36:00,157.65,158.4,157.65,158.35
193,2024-02-05 10:39:00,158.3,158.35,157.75,157.95
194,2024-02-05 10:42:00,157.9,158.0,157.8,157.95
195,2024-02-05 10:45:00,158.0,158.35,157.85,158.2
196,2024-02-05 10:48:00,158.15,158.4,158.0,158.25
197,2024-02-05 10:51:00,158.3,158.4,157.9,158.3
198,2024-02-05 10:54:00,158.35,158.4,158.0,158.2
199,2024-02-05 10:57:00,158.25,158.25,157.4,157.6
200,2024-02-05 11:00:00,157.55,157.75,157.15,157.7
201,2024-02-05 11:03:00,157.75,157.75,157.4,157.7
202,2024-02-05 11:06:00,157.65,157.9,157.6,157.8
203,2024-02-05 11:09:00,157.85,157.85,157.55,157.8
204,2024-02-05 11:12:00,157.65,157.9,157.6,157.8
205,2024-02-05 11:15:00,157.85,157.9,157.4,157.6
206,2024-02-05 11:18:00,157.55,157.55,157.25,157.4
207,2024-02-05 11:21:00,157.45,157.7,157.4,157.55
208,2024-02-05 11:24:00,157.5,157.75,157.45,157.75
209,2024-02-05 11:27:00,157.65,157.95,157.55,157.75
210,2024-02-05 11:30:00,157.85,158.15,157.8,158.0
211,2024-02-05 11:33:00,158.1,158.1,157.8,158.0
212,2024-02-05 11:36:00,157.9,159.15,157.9,159.15
213,2024-02-05 11:39:00,159.2,159.8,159.05,159.65
214,2024-02-05 11:42:00,159.7,159.75,159.1,159.25
215,2024-02-05 11:45:00,159.35,159.4,158.9,159.1
216,2024-02-05 11:48:00,159.2,159.8,159.2,159.4
217,2024-02-05 11:51:00,159.35,159.45,158.75,158.95
218,2024-02-05 11:54:00,158.9,160.3,158.9,160.1
219,2024-02-05 11:57:00,160.2,160.2,159.0,159.35
220,2024-02-05 12:00:00,159.25,159.4,158.8,159.0
221,2024-02-05 12:03:00,158.95,159.3,158.6,158.9
222,2024-02-05 12:06:00,158.85,159.1,158.25,158.8
223,2024-02-05 12:09:00,158.85,159.2,158.65,159.15
224,2024-02-05 12:12:00,159.2,159.5,159.05,159.15
225,2024-02-05 12:15:00,159.2,159.4,158.8,158.95
226,2024-02-05 12:18:00,159.05,159.2,158.7,159.1
227,2024-02-05 12:21:00,159.2,159.4,159.0,159.15
228,2024-02-05 12:24:00,159.2,159.5,159.05,159.15
229,2024-02-05 12:27:00,159.25,159.7,159.05,159.65
230,2024-02-05 12:30:00,159.75,159.9,159.4,159.65
231,2024-02-05 12:33:00,159.7,159.9,159.35,159.4
232,2024-02-05 12:36:00,159.45,159.5,158.9,159.2
233,2024-02-05 12:39:00,159.25,159.4,158.65,158.9
234,2024-02-05 12:42:00,158.85,159.1,158.8,159.0
235,2024-02-05 12:45:00,159.05,159.9,158.8,159.9
236,2024-02-05 12:48:00,159.95,160.85,159.85,160.8
237,2024-02-05 12:51:00,160.75,160.95,159.7,159.95
238,2024-02-05 12:54:00,159.9,160.25,159.8,160.0
239,2024-02-05 12:57:00,160.05,160.35,159.9,160.15
240,2024-02-05 13:00:00,160.2,160.3,159.8,160.1
241,2024-02-05 13:03:00,160.2,160.25,159.75,160.1
242,2024-02-05 13:06:00,160.0,160.2,159.7,159.75
243,2024-02-05 13:09:00,159.7,160.2,159.6,160.2
244,2024-02-05 13:12:00,160.1,160.45,160.1,160.4
245,2024-02-05 13:15:00,160.45,160.6,160.3,160.35
246,2024-02-05 13:18:00,160.4,160.6,160.2,160.4
247,2024-02-05 13:21:00,160.35,160.6,160.2,160.55
248,2024-02-05 13:24:00,160.6,160.65,160.1,160.35
249,2024-02-05 13:27:00,160.4,160.4,159.7,159.85
250,2024-02-05 13:30:00,159.8,160.25,159.7,160.25
251,2024-02-05 13:33:00,160.2,160.4,160.15,160.3
252,2024-02-05 13:36:00,160.25,160.4,159.85,159.9
253,2024-02-05 13:39:00,159.95,160.1,159.85,160.05
254,2024-02-05 13:42:00,160.1,160.25,160.0,160.15
255,2024-02-05 13:45:00,160.05,160.2,159.8,160.1
256,2024-02-05 13:48:00,160.05,160.35,160.0,160.3
257,2024-02-05 13:51:00,160.2,160.3,159.8,160.1
258,2024-02-05 13:54:00,160.0,160.15,159.8,159.95
259,2024-02-05 13:57:00,159.9,160.75,159.9,160.6
260,2024-02-05 14:00:00,160.7,161.1,160.5,160.75
261,2024-02-05 14:03:00,160.85,161.0,160.1,160.3
262,2024-02-05 14:06:00,160.2,160.4,159.85,159.95
263,2024-02-05 14:09:00,159.9,160.0,158.35,158.45
264,2024-02-05 14:12:00,158.4,159.4,157.7,159.25
265,2024-02-05 14:15:00,159.4,159.45,158.9,159.2
266,2024-02-05 14:18:00,159.1,159.45,159.1,159.35
267,2024-02-05 14:21:00,159.3,159.55,158.85,159.0
268,2024-02-05 14:24:00,158.95,159.05,158.15,158.3
269,2024-02-05 14:27:00,158.25,158.5,157.55,158.2
270,2024-02-05 14:30:00,158.1,158.5,157.1,157.25
271,2024-02-05 14:33:00,157.2,157.45,156.65,156.85
272,2024-02-05 14:36:00,156.75,157.0,155.45,155.45
273,2024-02-05 14:39:00,155.2,156.35,155.2,156.2
274,2024-02-05 14:42:00,156.05,156.25,154.2,155.25
275,2024-02-05 14:45:00,155.2,155.65,154.0,155.55
276,2024-02-05 14:48:00,155.65,156.15,155.35,155.75
277,2024-02-05 14:51:00,155.8,155.85,155.0,155.15
278,2024-02-05 14:54:00,155.1,155.45,154.4,154.6
279,2024-02-05 14:57:00,154.4,154.8,154.0,154.05
280,2024-02-05 15:00:00,154.1,155.3,154.1,154.5
281,2024-02-05 15:03:00,154.45,155.8,154.4,155.75
282,2024-02-05 15:06:00,155.8,156.4,155.6,156.4
283,2024-02-05 15:09:00,156.35,157.35,156.35,156.9
284,2024-02-05 15:12:00,156.85,156.95,156.25,156.35
285,2024-02-05 15:15:00,156.3,156.4,155.8,156.1
286,2024-02-05 15:18:00,156.05,156.1,155.15,155.15
287,2024-02-05 15:21:00,155.2,155.65,155.1,155.5
288,2024-02-05 15:24:00,155.55,155.7,155.05,155.3
289,2024-02-05 15:27:00,155.35,156.7,155.2,156.7
290,2024-02-06 09:15:00,156.6,156.95,155.6,155.6
291,2024-02-06 09:18:00,155.55,155.55,154.3,155.25
292,2024-02-06 09:21:00,155.2,155.5,154.5,155.1
293,2024-02-06 09:24:00,155.2,155.5,154.35,155.3
294,2024-02-06 09:27:00,155.45,156.65,155.25,155.9
295,2024-02-06 09:30:00,155.85,156.25,155.25,156.1
296,2024-02-06 09:33:00,156.15,156.25,155.3,155.65
297,2024-02-06 09:36:00,155.5,156.3,155.35,156.3
298,2024-02-06 09:39:00,156.35,156.85,156.1,156.85
299,2024-02-06 09:42:00,156.9,157.75,156.8,157.4
300,2024-02-06 09:45:00,157.55,157.75,156.95,157.05
