,time,into,inth,intl,intc
0,2024-01-30 09:15:00,2511.8,2511.8,2502.5,2505.0
1,2024-01-30 09:18:00,2503.75,2510.5,2501.0,2508.5
2,2024-01-30 09:21:00,2509.25,2510.65,2507.8,2508.65
3,2024-01-30 09:24:00,2508.6,2511.6,2505.0,2506.0
4,2024-01-30 09:27:00,2505.0,2506.55,2502.8,2506.0
5,2024-01-30 09:30:00,2505.0,2511.0,2501.5,2509.5
6,2024-01-30 09:33:00,2509.15,2509.45,2501.05,2504.4
7,2024-01-30 09:36:00,2502.45,2508.35,2502.45,2506.7
8,2024-01-30 09:39:00,2505.85,2508.45,2503.0,2504.05
9,2024-01-30 09:42:00,2505.45,2508.25,2502.25,2506.05
10,2024-01-30 09:45:00,2507.35,2507.4,2503.6,2504.25
11,2024-01-30 09:48:00,2503.75,2503.9,2501.3,2502.85
12,2024-01-30 09:51:00,2503.2,2510.0,2502.0,2509.1
13,2024-01-30 09:54:00,2508.2,2512.0,2507.0,2507.0
14,2024-01-30 09:57:00,2506.95,2509.3,2505.0,2508.05
15,2024-01-30 10:00:00,2509.15,2510.9,2508.0,2509.95
16,2024-01-30 10:03:00,2509.9,2512.0,2509.45,2509.45
17,2024-01-30 10:06:00,2509.15,2511.0,2508.4,2508.8
18,2024-01-30 10:09:00,2509.25,2511.35,2508.1,2508.6
19,2024-01-30 10:12:00,2510.0,2510.0,2508.1,2508.3
20,2024-01-30 10:15:00,2509.1,2510.5,2508.0,2508.0
21,2024-01-30 10:18:00,2509.05,2510.8,2507.3,2507.55
22,2024-01-30 10:21:00,2507.5,2508.9,2505.45,2506.7
23,2024-01-30 10:24:00,2506.0,2507.5,2505.45,2506.7
24,2024-01-30 10:27:00,2506.05,2507.65,2505.2,2505.6
25,2024-01-30 10:30:00,2505.55,2506.0,2503.0,2503.8
26,2024-01-30 10:33:00,2504.75,2505.5,2503.25,2504.15
27,2024-01-30 10:36:00,2504.1,2506.0,2504.0,2504.1
28,2024-01-30 10:39:00,2503.55,2505.55,2502.95,2504.0
29,2024-01-30 10:42:00,2503.95,2505.3,2497.15,2497.15
30,2024-01-30 10:45:00,2497.0,2501.7,2496.2,2500.2
