,time,into,inth,intl,intc
0,2024-02-02 09:15:00,323.7,325.05,323.15,325.0
1,2024-02-02 09:18:00,324.85,326.9,324.85,326.85
2,2024-02-02 09:21:00,326.8,327.9,326.8,327.15
3,2024-02-02 09:24:00,327.2,329.25,327.2,327.8
4,2024-02-02 09:27:00,327.6,327.95,327.0,327.7
5,2024-02-02 09:30:00,327.6,328.05,326.7,327.9
6,2024-02-02 09:33:00,327.95,328.15,327.35,327.7
7,2024-02-02 09:36:00,327.8,328.0,327.05,327.3
8,2024-02-02 09:39:00,327.35,327.8,326.45,326.65
9,2024-02-02 09:42:00,326.8,327.35,326.65,327.2
10,2024-02-02 09:45:00,327.25,327.25,325.5,326.3
11,2024-02-02 09:48:00,326.35,326.35,325.7,325.7
12,2024-02-02 09:51:00,325.95,326.0,325.05,325.75
13,2024-02-02 09:54:00,325.95,326.0,325.25,325.25
14,2024-02-02 09:57:00,325.4,325.5,324.65,325.25
15,2024-02-02 10:00:00,325.2,325.75,325.05,325.65
16,2024-02-02 10:03:00,325.5,326.35,325.35,326.1
17,2024-02-02 10:06:00,326.0,326.7,325.8,326.4
18,2024-02-02 10:09:00,326.45,326.8,326.35,326.7
19,2024-02-02 10:12:00,326.6,326.75,326.4,326.6
20,2024-02-02 10:15:00,326.55,327.5,326.55,327.35
21,2024-02-02 10:18:00,327.25,327.5,326.65,326.95
22,2024-02-02 10:21:00,326.85,327.25,326.5,326.65
23,2024-02-02 10:24:00,326.55,327.25,326.3,327.25
24,2024-02-02 10:27:00,327.15,328.15,327.15,328.05
25,2024-02-02 10:30:00,328.0,328.45,327.7,328.45
26,2024-02-02 10:33:00,328.4,329.0,328.2,328.55
27,2024-02-02 10:36:00,328.7,328.85,328.4,328.45
28,2024-02-02 10:39:00,328.55,329.45,328.45,328.45
29,2024-02-02 10:42:00,328.5,328.8,328.3,328.65
30,2024-02-02 10:45:00,328.6,329.3,328.2,329.3
31,2024-02-02 10:48:00,329.25,329.4,328.5,328.6
32,2024-02-02 10:51:00,328.55,328.6,328.0,328.25
33,2024-02-02 10:54:00,328.05,328.45,328.0,328.15
34,2024-02-02 10:57:00,328.2,328.75,328.15,328.6
35,2024-02-02 11:00:00,328.7,328.8,328.15,328.15
36,2024-02-02 11:03:00,328.25,329.1,328.25,328.45
37,2024-02-02 11:06:00,328.5,329.0,328.2,329.0
38,2024-02-02 11:09:00,328.9,329.4,328.75,328.95
39,2024-02-02 11:12:00,329.0,329.9,328.95,329.6
40,2024-02-02 11:15:00,329.7,330.0,329.45,329.75
41,2024-02-02 11:18:00,329.9,330.0,329.6,329.95
42,2024-02-02 11:21:00,329.75,331.25,329.7,331.0
43,2024-02-02 11:24:00,331.15,331.7,330.8,331.2
44,2024-02-02 11:27:00,331.35,331.65,331.0,331.3
45,2024-02-02 11:30:00,331.4,332.0,331.25,331.4
46,2024-02-02 11:33:00,331.2,331.5,330.85,331.2
47,2024-02-02 11:36:00,331.15,331.55,330.75,331.35
48,2024-02-02 11:39:00,331.4,331.6,331.0,331.45
49,2024-02-02 11:42:00,331.4,331.75,330.6,330.8
50,2024-02-02 11:45:00,330.65,331.6,330.25,331.45
51,2024-02-02 11:48:00,331.5,331.65,330.75,331.25
52,2024-02-02 11:51:00,331.1,332.25,330.9,331.85
53,2024-02-02 11:54:00,331.8,332.15,331.7,331.9
54,2024-02-02 11:57:00,331.85,332.0,331.65,331.85
55,2024-02-02 12:00:00,331.8,332.4,331.8,332.4
56,2024-02-02 12:03:00,332.3,332.5,332.1,332.2
57,2024-02-02 12:06:00,332.3,332.5,331.8,332.4
58,2024-02-02 12:09:00,332.45,332.45,331.8,331.85
59,2024-02-02 12:12:00,331.8,332.25,331.8,332.2
60,2024-02-02 12:15:00,332.05,332.8,332.0,332.5
61,2024-02-02 12:18:00,332.6,332.7,332.25,332.65
62,2024-02-02 12:21:00,332.7,332.9,332.35,332.4
63,2024-02-02 12:24:00,332.35,332.45,331.7,331.8
64,2024-02-02 12:27:00,331.9,331.95,330.2,330.35
65,2024-02-02 12:30:00,330.3,330.3,329.45,330.1
66,2024-02-02 12:33:00,330.05,330.8,329.05,329.05
67,2024-02-02 12:36:00,329.1,329.95,328.55,329.45
68,2024-02-02 12:39:00,329.75,331.0,329.5,330.4
69,2024-02-02 12:42:00,330.5,331.0,330.0,330.95
70,2024-02-02 12:45:00,330.9,331.5,330.75,331.0
71,2024-02-02 12:48:00,331.15,331.25,329.6,329.75
72,2024-02-02 12:51:00,329.7,331.25,329.7,331.05
73,2024-02-02 12:54:00,331.1,331.6,330.85,330.95
74,2024-02-02 12:57:00,331.2,331.4,330.5,330.7
75,2024-02-02 13:00:00,330.55,331.0,330.0,330.85
76,2024-02-02 13:03:00,330.9,331.0,330.65,330.7
77,2024-02-02 13:06:00,330.6,331.0,330.35,330.95
78,2024-02-02 13:09:00,331.0,331.0,330.2,330.3
79,2024-02-02 13:12:00,330.35,330.55,329.65,329.8
80,2024-02-02 13:15:00,329.7,330.6,329.0,330.3
81,2024-02-02 13:18:00,330.4,330.65,330.0,330.0
82,2024-02-02 13:21:00,330.05,330.25,329.65,329.95
83,2024-02-02 13:24:00,329.9,330.2,329.3,329.9
84,2024-02-02 13:27:00,330.05,330.55,329.85,330.3
85,2024-02-02 13:30:00,330.2,330.35,329.25,329.25
86,2024-02-02 13:33:00,329.5,330.05,329.35,329.75
87,2024-02-02 13:36:00,329.8,330.5,329.5,330.4
88,2024-02-02 13:39:00,330.35,330.7,330.1,330.55
89,2024-02-02 13:42:00,330.5,330.95,330.2,330.8
90,2024-02-02 13:45:00,330.85,331.4,330.7,330.85
91,2024-02-02 13:48:00,330.9,331.25,330.25,330.25
92,2024-02-02 13:51:00,330.45,331.8,330.3,331.6
93,2024-02-02 13:54:00,331.5,332.1,331.45,331.85
94,2024-02-02 13:57:00,331.8,332.15,331.65,332.1
95,2024-02-02 14:00:00,332.05,332.35,331.65,331.9
96,2024-02-02 14:03:00,331.95,332.25,331.8,332.2
97,2024-02-02 14:06:00,332.1,332.2,331.65,331.85
98,2024-02-02 14:09:00,331.9,332.0,331.65,331.65
99,2024-02-02 14:12:00,331.7,332.5,331.6,332.4
100,2024-02-02 14:15:00,332.35,332.7,331.85,332.7
101,2024-02-02 14:18:00,332.65,332.75,332.1,332.45
102,2024-02-02 14:21:00,332.35,332.75,332.3,332.6
103,2024-02-02 14:24:00,332.55,332.7,332.25,332.45
104,2024-02-02 14:27:00,332.4,332.45,332.05,332.35
105,2024-02-02 14:30:00,332.3,332.65,332.25,332.5
106,2024-02-02 14:33:00,332.35,332.7,332.3,332.6
107,2024-02-02 14:36:00,332.65,332.75,332.4,332.7
108,2024-02-02 14:39:00,332.65,332.9,332.5,332.8
109,2024-02-02 14:42:00,332.75,333.65,332.5,333.2
110,2024-02-02 14:45:00,333.1,333.35,332.7,332.9
111,2024-02-02 14:48:00,332.85,333.2,332.75,333.05
112,2024-02-02 14:51:00,332.95,333.0,332.05,332.25
113,2024-02-02 14:54:00,332.3,332.45,331.7,331.8
114,2024-02-02 14:57:00,331.65,332.2,331.55,332.2
115,2024-02-02 15:00:00,332.35,332.8,332.0,332.2
116,2024-02-02 15:03:00,332.25,332.4,331.8,332.15
117,2024-02-02 15:06:00,332.2,332.75,332.1,332.75
118,2024-02-02 15:09:00,332.7,333.15,332.4,333.05
119,2024-02-02 15:12:00,332.95,333.1,332.4,332.55
120,2024-02-02 15:15:00,332.5,332.7,332.0,332.6
121,2024-02-02 15:18:00,332.7,332.85,332.4,332.5
122,2024-02-02 15:21:00,332.6,332.6,332.2,332.25
123,2024-02-02 15:24:00,332.3,332.8,332.25,332.8
124,2024-02-02 15:27:00,332.75,332.95,332.25,332.55
125,2024-02-03 11:00:00,332.55,332.55,332.55,332.55
126,2024-02-03 11:03:00,332.55,332.55,332.55,332.55
127,2024-02-03 11:06:00,332.55,335.0,332.55,335.0
128,2024-02-03 11:15:00,340.0,355.0,335.0,335.0
129,2024-02-03 11:18:00,335.05,365.7,335.05,363.45
130,2024-02-03 11:21:00,363.0,363.45,363.0,363.45
131,2024-02-03 11:24:00,363.45,363.45,363.45,363.45
132,2024-02-03 11:27:00,364.0,365.7,364.0,364.0
133,2024-02-03 11:30:00,363.0,365.0,363.0,363.0
134,2024-02-03 11:33:00,365.0,365.0,323.0,365.0
135,2024-02-03 11:36:00,365.0,365.0,365.0,365.0
136,2024-02-03 11:39:00,365.0,365.0,365.0,365.0
137,2024-02-03 11:42:00,365.0,365.0,344.9,344.9
138,2024-02-03 11:54:00,344.9,345.8,344.9,345.8
139,2024-02-03 12:03:00,345.8,365.45,345.8,365.45
140,2024-02-03 12:06:00,365.45,365.75,365.45,365.45
141,2024-02-03 12:09:00,365.75,365.75,365.45,365.45
142,2024-02-03 12:12:00,365.45,365.45,365.45,365.45
143,2024-02-03 12:15:00,365.45,365.45,364.95,364.95
144,2024-02-03 12:18:00,364.95,364.95,364.95,364.95
145,2024-02-03 12:21:00,364.95,365.45,364.95,365.45
146,2024-02-03 12:24:00,365.45,365.45,365.4,365.4
147,2024-02-03 12:27:00,365.4,365.4,365.4,365.4
148,2024-02-03 12:30:00,365.4,365.4,365.4,365.4
149,2024-02-03 12:33:00,366.4,366.4,366.4,366.4
150,2024-02-03 12:36:00,382.35,382.35,365.4,365.4
151,2024-02-03 12:39:00,365.4,365.4,365.4,365.4
152,2024-02-03 12:42:00,365.4,365.4,365.4,365.4
153,2024-02-03 12:45:00,365.4,365.4,323.45,324.5
154,2024-02-03 12:48:00,324.55,328.75,324.4,327.05
155,2024-02-03 12:51:00,326.95,327.4,325.0,326.85
156,2024-02-03 12:54:00,326.95,329.0,326.4,328.15
157,2024-02-03 12:57:00,328.1,348.0,328.0,348.0
158,2024-02-03 15:00:00,348.0,348.0,348.0,348.0
159,2024-02-03 15:03:00,348.0,348.0,348.0,348.0
160,2024-02-03 15:06:00,348.0,348.0,348.0,348.0
161,2024-02-03 15:09:00,328.15,328.15,323.35,323.35
162,2024-02-03 15:12:00,323.35,323.35,323.35,323.35
163,2024-02-03 15:15:00,323.5,323.5,323.25,323.5
164,2024-02-03 15:18:00,323.5,323.5,323.5,323.5
165,2024-02-03 15:21:00,323.25,323.5,323.25,323.5
166,2024-02-03 15:24:00,323.25,323.55,323.25,323.55
167,2024-02-03 15:27:00,323.6,338.0,320.0,338.0
168,2024-02-05 09:15:00,334.95,335.4,333.5,333.8
169,2024-02-05 09:18:00,333.7,334.4,333.05,334.1
170,2024-02-05 09:21:00,334.0,335.5,333.2,335.5
171,2024-02-05 09:24:00,335.35,336.65,334.95,336.3
172,2024-02-05 09:27:00,336.0,336.1,335.15,335.6
173,2024-02-05 09:30:00,335.55,336.15,334.2,335.85
174,2024-02-05 09:33:00,336.0,336.35,334.6,334.9
175,2024-02-05 09:36:00,334.85,336.25,334.75,336.25
176,2024-02-05 09:39:00,336.3,336.4,335.75,335.95
177,2024-02-05 09:42:00,335.9,336.35,335.8,336.05
178,2024-02-05 09:45:00,336.15,336.5,335.8,336.2
