,time,into,inth,intl,intc
0,2024-01-30 09:15:00,8688.9,8781.0,8675.4,8761.65
1,2024-01-30 09:18:00,8767.4,8817.75,8750.8,8817.55
2,2024-01-30 09:21:00,8814.9,8826.35,8716.6,8736.0
3,2024-01-30 09:24:00,8739.5,8746.95,8715.4,8720.6
4,2024-01-30 09:27:00,8722.75,8724.8,8690.65,8702.7
5,2024-01-30 09:30:00,8701.0,8727.8,8694.0,8708.75
6,2024-01-30 09:33:00,8707.05,8720.1,8692.5,8695.95
7,2024-01-30 09:36:00,8699.45,8712.75,8680.0,8697.95
8,2024-01-30 09:39:00,8696.9,8698.0,8670.0,8689.8
9,2024-01-30 09:42:00,8689.9,8708.85,8681.75,8688.75
10,2024-01-30 09:45:00,8690.7,8698.0,8671.25,8686.65
11,2024-01-30 09:48:00,8685.8,8685.8,8665.0,8677.4
12,2024-01-30 09:51:00,8677.95,8682.35,8665.15,8674.9
13,2024-01-30 09:54:00,8671.5,8695.0,8667.0,8690.0
14,2024-01-30 09:57:00,8695.0,8729.95,8694.1,8720.15
15,2024-01-30 10:00:00,8724.0,8724.0,8700.0,8716.9
16,2024-01-30 10:03:00,8721.95,8729.55,8712.85,8727.05
17,2024-01-30 10:06:00,8722.0,8750.0,8716.35,8740.0
18,2024-01-30 10:09:00,8737.8,8753.85,8730.0,8753.85
19,2024-01-30 10:12:00,8753.8,8760.0,8745.0,8753.75
20,2024-01-30 10:15:00,8753.7,8762.45,8729.4,8732.2
21,2024-01-30 10:18:00,8735.65,8747.8,8727.3,8731.3
22,2024-01-30 10:21:00,8735.85,8739.4,8710.15,8722.85
23,2024-01-30 10:24:00,8725.35,8732.95,8714.95,8718.55
24,2024-01-30 10:27:00,8725.55,8729.45,8712.0,8729.0
25,2024-01-30 10:30:00,8723.0,8726.05,8693.05,8700.45
26,2024-01-30 10:33:00,8700.7,8708.45,8695.4,8701.75
27,2024-01-30 10:36:00,8701.2,8707.35,8700.1,8705.3
28,2024-01-30 10:39:00,8702.0,8705.15,8691.0,8691.95
29,2024-01-30 10:42:00,8692.0,8696.55,8681.4,8689.75
30,2024-01-30 10:45:00,8681.6,8693.0,8675.0,8688.0
31,2024-01-30 10:48:00,8692.75,8695.0,8667.0,8675.15
32,2024-01-30 10:51:00,8675.0,8675.0,8630.0,8646.0
33,2024-01-30 10:54:00,8649.4,8656.1,8641.55,8646.8
34,2024-01-30 10:57:00,8649.6,8650.0,8640.0,8645.05
35,2024-01-30 11:00:00,8645.0,8645.0,8630.0,8634.7
36,2024-01-30 11:03:00,8634.6,8634.85,8625.05,8630.0
37,2024-01-30 11:06:00,8629.95,8629.95,8611.95,8615.5
38,2024-01-30 11:09:00,8615.55,8621.7,8606.0,8615.25
39,2024-01-30 11:12:00,8616.0,8628.9,8615.3,8623.8
40,2024-01-30 11:15:00,8622.95,8633.5,8610.0,8610.95
41,2024-01-30 11:18:00,8609.0,8620.55,8609.0,8620.55
42,2024-01-30 11:21:00,8624.4,8625.0,8605.65,8610.0
43,2024-01-30 11:24:00,8614.0,8621.15,8601.8,8615.6
44,2024-01-30 11:27:00,8614.45,8625.0,8605.0,8625.0
45,2024-01-30 11:30:00,8627.45,8638.8,8615.0,8615.25
46,2024-01-30 11:33:00,8620.85,8623.5,8616.0,8618.0
47,2024-01-30 11:36:00,8622.95,8626.95,8618.0,8622.05
48,2024-01-30 11:39:00,8633.0,8634.35,8625.05,8626.65
49,2024-01-30 11:42:00,8627.0,8630.15,8618.3,8618.3
50,2024-01-30 11:45:00,8618.5,8623.9,8607.0,8611.7
51,2024-01-30 11:48:00,8607.35,8613.45,8602.1,8606.9
52,2024-01-30 11:51:00,8604.35,8618.4,8603.35,8610.0
53,2024-01-30 11:54:00,8609.95,8612.4,8605.5,8608.5
54,2024-01-30 11:57:00,8608.85,8618.4,8608.85,8613.65
55,2024-01-30 12:00:00,8612.95,8616.65,8605.55,8605.75
56,2024-01-30 12:03:00,8605.55,8617.3,8601.2,8601.2
57,2024-01-30 12:06:00,8601.0,8605.15,8587.75,8587.75
58,2024-01-30 12:09:00,8590.0,8607.9,8587.6,8600.25
59,2024-01-30 12:12:00,8600.35,8607.05,8595.3,8595.3
60,2024-01-30 12:15:00,8593.25,8606.6,8590.3,8598.25
61,2024-01-30 12:18:00,8598.05,8609.05,8593.8,8598.0
62,2024-01-30 12:21:00,8591.85,8602.05,8591.85,8595.5
63,2024-01-30 12:24:00,8598.65,8599.6,8590.0,8596.2
64,2024-01-30 12:27:00,8594.05,8597.4,8590.1,8596.0
65,2024-01-30 12:30:00,8592.7,8597.55,8585.0,8585.1
66,2024-01-30 12:33:00,8589.15,8589.15,8575.0,8578.0
67,2024-01-30 12:36:00,8579.45,8580.0,8571.1,8572.15
68,2024-01-30 12:39:00,8573.15,8578.85,8572.25,8576.85
69,2024-01-30 12:42:00,8575.0,8575.0,8556.0,8558.25
70,2024-01-30 12:45:00,8558.3,8563.0,8549.7,8550.0
71,2024-01-30 12:48:00,8550.3,8577.95,8545.85,8565.15
72,2024-01-30 12:51:00,8561.1,8575.0,8561.05,8574.4
73,2024-01-30 12:54:00,8571.0,8571.0,8560.2,8560.7
74,2024-01-30 12:57:00,8560.35,8565.75,8555.45,8556.0
75,2024-01-30 13:00:00,8556.1,8559.85,8550.0,8550.0
76,2024-01-30 13:03:00,8550.2,8554.35,8521.05,8522.0
77,2024-01-30 13:06:00,8521.05,8535.0,8518.0,8528.6
78,2024-01-30 13:09:00,8531.5,8538.55,8528.2,8531.0
79,2024-01-30 13:12:00,8528.45,8536.75,8520.0,8520.0
80,2024-01-30 13:15:00,8522.9,8522.9,8511.0,8511.0
81,2024-01-30 13:18:00,8515.65,8525.0,8508.0,8509.5
82,2024-01-30 13:21:00,8509.0,8514.35,8505.0,8513.4
83,2024-01-30 13:24:00,8510.1,8519.35,8506.0,8507.9
84,2024-01-30 13:27:00,8511.55,8520.0,8510.2,8514.0
85,2024-01-30 13:30:00,8515.0,8517.6,8505.5,8509.45
86,2024-01-30 13:33:00,8509.4,8515.7,8503.45,8514.0
87,2024-01-30 13:36:00,8516.2,8516.2,8505.0,8509.4
88,2024-01-30 13:39:00,8514.0,8514.8,8505.05,8506.15
89,2024-01-30 13:42:00,8510.25,8510.65,8506.1,8506.1
90,2024-01-30 13:45:00,8507.8,8508.8,8490.55,8490.55
91,2024-01-30 13:48:00,8490.05,8500.0,8490.0,8490.55
92,2024-01-30 13:51:00,8497.2,8502.4,8490.0,8497.5
93,2024-01-30 13:54:00,8496.55,8500.0,8492.1,8495.0
94,2024-01-30 13:57:00,8498.8,8500.0,8490.05,8494.6
95,2024-01-30 14:00:00,8490.3,8500.0,8490.0,8491.0
96,2024-01-30 14:03:00,8492.35,8500.0,8486.35,8495.0
97,2024-01-30 14:06:00,8492.55,8499.8,8480.6,8484.4
98,2024-01-30 14:09:00,8482.3,8497.4,8480.0,8488.15
99,2024-01-30 14:12:00,8493.75,8499.0,8485.0,8492.75
100,2024-01-30 14:15:00,8497.35,8497.35,8486.2,8486.2
101,2024-01-30 14:18:00,8486.0,8496.85,8485.15,8486.75
102,2024-01-30 14:21:00,8490.7,8491.45,8481.0,8481.0
103,2024-01-30 14:24:00,8480.95,8480.95,8472.4,8472.4
104,2024-01-30 14:27:00,8473.15,8487.7,8467.1,8470.0
105,2024-01-30 14:30:00,8473.25,8473.25,8444.1,8456.45
106,2024-01-30 14:33:00,8455.6,8461.5,8435.25,8436.55
107,2024-01-30 14:36:00,8434.35,8449.95,8422.1,8433.15
108,2024-01-30 14:39:00,8436.75,8438.95,8425.0,8428.0
109,2024-01-30 14:42:00,8429.9,8434.95,8420.0,8422.9
110,2024-01-30 14:45:00,8423.9,8440.0,8411.5,8439.75
111,2024-01-30 14:48:00,8435.5,8439.25,8418.0,8425.9
112,2024-01-30 14:51:00,8427.45,8427.45,8397.05,8400.0
113,2024-01-30 14:54:00,8405.4,8406.7,8392.3,8402.5
114,2024-01-30 14:57:00,8403.0,8403.0,8390.0,8398.95
115,2024-01-30 15:00:00,8395.8,8409.4,8375.75,8397.0
116,2024-01-30 15:03:00,8395.15,8398.5,8385.0,8390.8
117,2024-01-30 15:06:00,8391.35,8399.5,8388.15,8392.55
118,2024-01-30 15:09:00,8392.45,8398.0,8385.05,8392.7
119,2024-01-30 15:12:00,8388.1,8390.65,8371.0,8390.0
120,2024-01-30 15:15:00,8389.2,8389.8,8375.0,8376.05
121,2024-01-30 15:18:00,8376.0,8383.5,8342.9,8355.7
122,2024-01-30 15:21:00,8359.45,8372.9,8355.6,8357.25
123,2024-01-30 15:24:00,8356.7,8363.45,8350.0,8351.7
124,2024-01-30 15:27:00,8350.2,8351.7,8332.35,8332.35
125,2024-01-31 09:15:00,8354.95,8382.95,8323.2,8333.4
126,2024-01-31 09:18:00,8326.4,8332.45,8289.3,8290.2
127,2024-01-31 09:21:00,8294.8,8302.0,8280.1,8293.9
128,2024-01-31 09:24:00,8290.05,8295.85,8266.65,8269.7
129,2024-01-31 09:27:00,8266.75,8300.0,8258.8,8296.2
130,2024-01-31 09:30:00,8291.85,8292.25,8262.8,8276.0
131,2024-01-31 09:33:00,8273.8,8314.25,8273.8,8306.2
132,2024-01-31 09:36:00,8306.0,8316.95,8303.7,8310.0
133,2024-01-31 09:39:00,8313.95,8320.65,8303.2,8318.0
134,2024-01-31 09:42:00,8316.0,8317.95,8299.85,8302.0
135,2024-01-31 09:45:00,8304.45,8342.45,8293.45,8338.2
136,2024-01-31 09:48:00,8335.0,8354.95,8326.75,8352.95
137,2024-01-31 09:51:00,8351.9,8352.0,8300.45,8306.95
138,2024-01-31 09:54:00,8309.05,8315.8,8297.0,8310.55
139,2024-01-31 09:57:00,8310.3,8336.6,8308.65,8330.7
140,2024-01-31 10:00:00,8334.8,8337.0,8320.1,8328.35
141,2024-01-31 10:03:00,8327.25,8332.95,8314.85,8315.0
142,2024-01-31 10:06:00,8319.6,8322.25,8310.0,8318.75
143,2024-01-31 10:09:00,8321.85,8342.75,8310.45,8341.25
144,2024-01-31 10:12:00,8343.25,8350.0,8338.0,8350.0
145,2024-01-31 10:15:00,8348.8,8370.0,8346.95,8363.0
146,2024-01-31 10:18:00,8365.0,8375.0,8360.0,8365.3
147,2024-01-31 10:21:00,8370.1,8370.85,8354.45,8357.95
148,2024-01-31 10:24:00,8357.7,8362.45,8338.05,8344.95
149,2024-01-31 10:27:00,8339.55,8348.0,8339.55,8341.2
150,2024-01-31 10:30:00,8343.95,8363.2,8343.35,8360.0
151,2024-01-31 10:33:00,8357.35,8361.0,8352.15,8358.45
152,2024-01-31 10:36:00,8359.0,8365.95,8353.5,8355.65
153,2024-01-31 10:39:00,8354.75,8354.8,8344.0,8346.35
154,2024-01-31 10:42:00,8346.45,8346.6,8325.0,8331.15
155,2024-01-31 10:45:00,8333.95,8333.95,8320.0,8323.25
156,2024-01-31 10:48:00,8327.6,8334.5,8315.85,8320.6
157,2024-01-31 10:51:00,8319.4,8329.95,8315.3,8328.6
158,2024-01-31 10:54:00,8328.65,8344.65,8328.6,8337.0
159,2024-01-31 10:57:00,8332.15,8367.9,8331.3,8358.25
160,2024-01-31 11:00:00,8361.9,8373.2,8358.45,8370.8
161,2024-01-31 11:03:00,8366.2,8385.0,8360.05,8384.0
162,2024-01-31 11:06:00,8381.05,8399.9,8381.05,8391.45
163,2024-01-31 11:09:00,8395.9,8398.5,8379.85,8391.85
164,2024-01-31 11:12:00,8396.7,8397.2,8371.0,8378.0
165,2024-01-31 11:15:00,8375.0,8378.0,8345.0,8346.0
166,2024-01-31 11:18:00,8348.2,8349.4,8330.0,8332.0
167,2024-01-31 11:21:00,8330.0,8342.15,8325.9,8337.75
168,2024-01-31 11:24:00,8333.0,8337.3,8325.0,8337.25
169,2024-01-31 11:27:00,8335.0,8344.5,8330.1,8340.0
170,2024-01-31 11:30:00,8344.45,8352.8,8340.1,8348.6
171,2024-01-31 11:33:00,8350.0,8353.2,8345.05,8348.9
172,2024-01-31 11:36:00,8346.35,8359.95,8345.8,8352.85
173,2024-01-31 11:39:00,8353.7,8365.0,8350.0,8356.75
174,2024-01-31 11:42:00,8357.45,8361.0,8349.15,8354.4
175,2024-01-31 11:45:00,8358.5,8373.65,8355.15,8370.55
176,2024-01-31 11:48:00,8366.95,8373.0,8366.95,8370.05
177,2024-01-31 11:51:00,8372.5,8372.5,8366.0,8369.4
178,2024-01-31 11:54:00,8369.35,8375.0,8362.6,8371.8
179,2024-01-31 11:57:00,8375.05,8385.0,8375.05,8381.2
180,2024-01-31 12:00:00,8381.95,8389.35,8377.25,8384.2
181,2024-01-31 12:03:00,8384.0,8385.0,8377.85,8383.25
182,2024-01-31 12:06:00,8382.9,8383.2,8362.45,8367.55
183,2024-01-31 12:09:00,8367.3,8367.55,8361.2,8363.35
184,2024-01-31 12:12:00,8362.1,8363.35,8340.0,8348.0
185,2024-01-31 12:15:00,8345.0,8349.9,8330.0,8334.3
186,2024-01-31 12:18:00,8337.55,8343.85,8330.65,8331.45
187,2024-01-31 12:21:00,8331.3,8336.0,8320.0,8326.5
188,2024-01-31 12:24:00,8329.65,8332.2,8313.0,8313.0
189,2024-01-31 12:27:00,8311.6,8314.55,8296.65,8304.75
190,2024-01-31 12:30:00,8309.9,8309.9,8295.7,8300.2
191,2024-01-31 12:33:00,8301.8,8314.15,8295.7,8305.0
192,2024-01-31 12:36:00,8307.3,8307.3,8301.05,8307.15
193,2024-01-31 12:39:00,8304.9,8307.15,8296.0,8299.9
194,2024-01-31 12:42:00,8296.75,8299.95,8277.0,8293.95
195,2024-01-31 12:45:00,8290.5,8294.2,8283.15,8284.2
196,2024-01-31 12:48:00,8288.1,8296.35,8288.1,8293.15
197,2024-01-31 12:51:00,8293.0,8296.35,8280.0,8290.2
198,2024-01-31 12:54:00,8292.95,8293.8,8282.4,8287.05
199,2024-01-31 12:57:00,8290.5,8298.0,8290.45,8296.25
200,2024-01-31 13:00:00,8296.55,8315.45,8296.25,8315.4
201,2024-01-31 13:03:00,8317.7,8351.05,8315.6,8340.0
202,2024-01-31 13:06:00,8341.2,8358.55,8327.3,8327.3
203,2024-01-31 13:09:00,8332.5,8337.05,8320.05,8335.25
204,2024-01-31 13:12:00,8336.55,8340.0,8330.3,8339.1
205,2024-01-31 13:15:00,8340.0,8340.0,8327.75,8327.75
206,2024-01-31 13:18:00,8328.2,8335.95,8315.0,8335.95
207,2024-01-31 13:21:00,8332.05,8334.85,8324.35,8327.1
208,2024-01-31 13:24:00,8335.0,8335.0,8320.35,8321.5
209,2024-01-31 13:27:00,8323.9,8324.0,8315.35,8318.05
210,2024-01-31 13:30:00,8320.85,8329.55,8318.05,8328.5
211,2024-01-31 13:33:00,8328.55,8329.55,8323.3,8323.9
212,2024-01-31 13:36:00,8320.0,8320.0,8290.3,8295.65
213,2024-01-31 13:39:00,8294.05,8297.45,8276.2,8282.0
214,2024-01-31 13:42:00,8283.85,8294.15,8282.5,8290.1
215,2024-01-31 13:45:00,8290.0,8295.0,8286.75,8289.7
216,2024-01-31 13:48:00,8290.0,8299.0,8286.05,8294.6
217,2024-01-31 13:51:00,8298.6,8299.0,8285.0,8285.65
218,2024-01-31 13:54:00,8288.3,8292.4,8282.25,8285.75
219,2024-01-31 13:57:00,8287.25,8289.9,8277.45,8280.9
220,2024-01-31 14:00:00,8281.75,8284.25,8277.5,8277.95
221,2024-01-31 14:03:00,8276.0,8296.1,8276.0,8291.75
222,2024-01-31 14:06:00,8294.75,8294.75,8281.95,8284.55
223,2024-01-31 14:09:00,8284.05,8297.45,8282.0,8287.85
224,2024-01-31 14:12:00,8287.75,8293.95,8286.0,8286.0
225,2024-01-31 14:15:00,8286.95,8289.5,8276.55,8280.5
226,2024-01-31 14:18:00,8279.9,8285.65,8277.55,8280.95
227,2024-01-31 14:21:00,8284.0,8284.85,8277.2,8277.25
228,2024-01-31 14:24:00,8277.2,8284.8,8277.0,8277.0
229,2024-01-31 14:27:00,8277.95,8277.95,8264.4,8273.5
230,2024-01-31 14:30:00,8272.15,8283.35,8268.8,8273.85
231,2024-01-31 14:33:00,8274.3,8282.15,8272.85,8280.05
232,2024-01-31 14:36:00,8280.2,8288.05,8280.05,8281.05
233,2024-01-31 14:39:00,8284.35,8292.3,8278.6,8290.2
234,2024-01-31 14:42:00,8287.0,8307.0,8286.95,8297.4
235,2024-01-31 14:45:00,8297.05,8307.45,8290.2,8294.2
236,2024-01-31 14:48:00,8293.2,8299.65,8283.65,8285.05
237,2024-01-31 14:51:00,8284.6,8296.1,8281.4,8281.5
238,2024-01-31 14:54:00,8284.0,8286.4,8280.0,8280.0
239,2024-01-31 14:57:00,8280.1,8282.15,8266.0,8282.15
240,2024-01-31 15:00:00,8281.4,8314.05,8279.65,8309.35
241,2024-01-31 15:03:00,8308.3,8325.0,8308.3,8322.05
242,2024-01-31 15:06:00,8322.0,8325.0,8302.85,8304.8
243,2024-01-31 15:09:00,8303.95,8314.55,8300.75,8309.45
244,2024-01-31 15:12:00,8306.1,8309.95,8300.85,8303.0
