,time,into,inth,intl,intc
0,2024-02-02 09:15:00,448.9,452.3,448.35,452.3
1,2024-02-02 09:18:00,452.4,455.6,452.1,453.25
2,2024-02-02 09:21:00,453.1,453.6,451.85,452.85
3,2024-02-02 09:24:00,452.7,452.9,450.8,451.4
4,2024-02-02 09:27:00,451.35,452.2,450.8,451.6
5,2024-02-02 09:30:00,451.45,452.15,450.85,451.65
6,2024-02-02 09:33:00,451.9,453.3,451.7,453.0
7,2024-02-02 09:36:00,453.05,453.3,452.25,453.3
8,2024-02-02 09:39:00,453.2,455.1,453.2,454.6
9,2024-02-02 09:42:00,454.35,455.2,454.0,455.05
10,2024-02-02 09:45:00,454.9,455.15,453.0,453.5
11,2024-02-02 09:48:00,453.4,454.55,452.55,454.2
12,2024-02-02 09:51:00,454.4,455.45,454.0,455.05
13,2024-02-02 09:54:00,454.95,456.25,454.85,456.15
14,2024-02-02 09:57:00,456.05,456.15,454.3,455.5
15,2024-02-02 10:00:00,455.25,456.45,454.75,455.6
16,2024-02-02 10:03:00,455.8,457.4,455.5,456.8
17,2024-02-02 10:06:00,456.75,458.05,456.15,458.0
18,2024-02-02 10:09:00,458.05,459.3,458.0,459.1
19,2024-02-02 10:12:00,459.2,461.3,459.0,460.2
20,2024-02-02 10:15:00,460.0,460.55,459.3,459.5
21,2024-02-02 10:18:00,459.55,460.2,457.65,457.65
22,2024-02-02 10:21:00,457.8,458.3,456.5,456.75
23,2024-02-02 10:24:00,456.85,456.95,455.4,456.75
24,2024-02-02 10:27:00,456.8,456.8,455.1,455.15
25,2024-02-02 10:30:00,455.2,455.3,454.45,454.95
26,2024-02-02 10:33:00,454.8,456.4,454.8,456.0
27,2024-02-02 10:36:00,456.15,456.45,455.5,456.1
28,2024-02-02 10:39:00,456.0,456.4,454.55,454.6
29,2024-02-02 10:42:00,454.65,455.4,454.2,454.8
30,2024-02-02 10:45:00,454.9,455.15,454.45,454.9
31,2024-02-02 10:48:00,454.65,455.3,454.55,454.75
32,2024-02-02 10:51:00,454.6,454.9,454.35,454.8
33,2024-02-02 10:54:00,454.7,455.2,454.5,454.7
34,2024-02-02 10:57:00,454.5,454.75,453.25,453.35
35,2024-02-02 11:00:00,453.3,453.85,453.3,453.65
36,2024-02-02 11:03:00,453.5,454.15,453.5,453.85
37,2024-02-02 11:06:00,454.0,455.4,453.7,455.15
38,2024-02-02 11:09:00,455.05,456.0,454.5,455.9
39,2024-02-02 11:12:00,455.7,456.95,455.55,456.85
40,2024-02-02 11:15:00,456.95,457.45,456.25,456.85
41,2024-02-02 11:18:00,456.8,457.5,456.0,457.35
42,2024-02-02 11:21:00,457.45,458.65,457.15,458.5
43,2024-02-02 11:24:00,458.35,459.4,457.05,457.2
44,2024-02-02 11:27:00,457.25,457.45,456.55,457.25
45,2024-02-02 11:30:00,457.45,457.6,456.8,457.2
46,2024-02-02 11:33:00,457.25,457.4,456.6,456.85
47,2024-02-02 11:36:00,456.9,457.6,456.8,457.2
48,2024-02-02 11:39:00,457.3,457.45,455.75,456.0
49,2024-02-02 11:42:00,456.15,456.65,455.6,455.6
50,2024-02-02 11:45:00,455.75,456.7,455.55,456.6
51,2024-02-02 11:48:00,456.5,456.55,455.65,456.0
52,2024-02-02 11:51:00,456.05,456.75,455.85,456.45
53,2024-02-02 11:54:00,456.55,457.2,456.4,456.5
54,2024-02-02 11:57:00,456.55,456.8,456.1,456.25
55,2024-02-02 12:00:00,456.35,456.7,456.3,456.5
56,2024-02-02 12:03:00,456.7,456.7,455.75,456.0
57,2024-02-02 12:06:00,455.95,456.1,455.2,455.85
58,2024-02-02 12:09:00,455.7,455.95,455.25,455.55
59,2024-02-02 12:12:00,455.6,455.75,455.05,455.65
60,2024-02-02 12:15:00,455.7,456.45,455.4,456.3
61,2024-02-02 12:18:00,456.35,456.5,455.65,455.7
62,2024-02-02 12:21:00,455.8,456.0,455.35,455.6
63,2024-02-02 12:24:00,455.45,456.8,455.4,455.95
64,2024-02-02 12:27:00,455.7,455.85,453.5,454.0
65,2024-02-02 12:30:00,453.8,454.1,451.85,452.6
66,2024-02-02 12:33:00,452.95,455.0,452.5,452.75
67,2024-02-02 12:36:00,452.8,452.95,451.7,452.9
68,2024-02-02 12:39:00,452.85,454.35,452.35,453.3
69,2024-02-02 12:42:00,453.35,454.7,452.6,454.4
70,2024-02-02 12:45:00,454.3,454.65,453.65,453.85
71,2024-02-02 12:48:00,453.9,454.1,452.05,452.55
72,2024-02-02 12:51:00,452.6,454.85,452.5,454.5
73,2024-02-02 12:54:00,454.55,455.8,454.4,455.15
74,2024-02-02 12:57:00,454.95,455.55,454.05,454.4
75,2024-02-02 13:00:00,454.2,455.0,453.25,454.25
76,2024-02-02 13:03:00,454.05,454.65,453.9,454.4
77,2024-02-02 13:06:00,454.35,455.0,454.3,454.7
78,2024-02-02 13:09:00,454.8,454.8,453.05,453.2
79,2024-02-02 13:12:00,453.25,453.8,452.1,452.35
80,2024-02-02 13:15:00,452.0,453.45,451.15,452.85
81,2024-02-02 13:18:00,452.75,453.25,452.5,452.55
82,2024-02-02 13:21:00,452.7,452.8,451.3,451.85
83,2024-02-02 13:24:00,451.75,452.15,450.65,451.8
84,2024-02-02 13:27:00,451.95,451.95,451.2,451.45
85,2024-02-02 13:30:00,451.5,452.25,449.15,449.8
86,2024-02-02 13:33:00,449.95,452.1,449.8,451.85
87,2024-02-02 13:36:00,451.9,452.0,451.15,451.55
88,2024-02-02 13:39:00,451.5,452.55,451.3,452.55
89,2024-02-02 13:42:00,452.45,453.35,451.85,452.45
90,2024-02-02 13:45:00,452.75,453.65,452.45,453.05
91,2024-02-02 13:48:00,453.1,453.5,452.1,452.3
92,2024-02-02 13:51:00,452.0,453.4,451.95,453.15
93,2024-02-02 13:54:00,453.0,453.35,452.9,453.0
