,time,into,inth,intl,intc
0,2024-01-30 09:15:00,504.6,504.7,500.6,503.4
1,2024-01-30 09:18:00,503.15,511.45,502.15,509.4
2,2024-01-30 09:21:00,509.05,509.05,504.4,506.4
3,2024-01-30 09:24:00,506.65,508.0,503.75,506.15
4,2024-01-30 09:27:00,506.05,510.0,505.95,506.95
5,2024-01-30 09:30:00,506.5,509.75,504.05,504.5
6,2024-01-30 09:33:00,504.7,504.85,502.0,502.3
7,2024-01-30 09:36:00,502.55,504.7,500.45,501.5
8,2024-01-30 09:39:00,501.8,502.0,500.5,501.25
9,2024-01-30 09:42:00,501.05,501.5,498.75,499.55
10,2024-01-30 09:45:00,499.7,500.65,495.6,496.2
11,2024-01-30 09:48:00,496.45,497.15,494.65,496.6
12,2024-01-30 09:51:00,496.75,497.65,494.85,495.0
13,2024-01-30 09:54:00,495.15,496.3,494.8,495.3
14,2024-01-30 09:57:00,495.45,497.0,495.15,496.8
15,2024-01-30 10:00:00,496.65,496.65,494.1,495.6
16,2024-01-30 10:03:00,495.8,496.65,494.3,494.6
17,2024-01-30 10:06:00,494.55,494.65,492.55,493.3
18,2024-01-30 10:09:00,493.15,494.7,492.35,493.6
19,2024-01-30 10:12:00,493.55,499.75,493.2,499.35
20,2024-01-30 10:15:00,499.15,499.6,497.65,497.65
21,2024-01-30 10:18:00,497.85,497.85,494.3,494.9
22,2024-01-30 10:21:00,495.0,495.95,494.35,495.05
23,2024-01-30 10:24:00,495.25,495.25,493.4,493.7
24,2024-01-30 10:27:00,493.95,494.1,492.9,493.35
25,2024-01-30 10:30:00,493.4,494.3,492.25,492.5
26,2024-01-30 10:33:00,492.55,493.1,492.0,492.5
27,2024-01-30 10:36:00,492.4,493.0,492.05,492.35
28,2024-01-30 10:39:00,492.4,492.45,491.25,491.8
29,2024-01-30 10:42:00,491.6,491.9,491.4,491.9
30,2024-01-30 10:45:00,491.85,493.45,491.85,492.6
31,2024-01-30 10:48:00,492.5,492.9,490.1,490.45
32,2024-01-30 10:51:00,490.5,492.9,490.1,492.6
33,2024-01-30 10:54:00,492.55,492.65,491.25,492.0
34,2024-01-30 10:57:00,492.15,492.7,491.7,492.35
35,2024-01-30 11:00:00,492.55,492.6,490.9,491.45
36,2024-01-30 11:03:00,491.5,491.75,490.7,490.95
37,2024-01-30 11:06:00,490.9,491.3,490.0,491.15
38,2024-01-30 11:09:00,491.3,492.9,490.4,492.35
39,2024-01-30 11:12:00,492.2,493.25,492.15,493.25
40,2024-01-30 11:15:00,493.35,494.55,492.65,492.95
41,2024-01-30 11:18:00,492.85,493.6,492.45,492.75
