,time,into,inth,intl,intc
0,2024-01-30 09:15:00,4317.0,4317.0,4295.2,4301.4
1,2024-01-30 09:18:00,4300.0,4301.45,4286.4,4289.25
2,2024-01-30 09:21:00,4287.55,4300.0,4275.05,4297.0
3,2024-01-30 09:24:00,4294.05,4298.0,4283.95,4292.55
4,2024-01-30 09:27:00,4289.3,4298.3,4288.7,4290.9
5,2024-01-30 09:30:00,4288.7,4298.95,4280.65,4295.5
6,2024-01-30 09:33:00,4296.95,4296.95,4285.45,4290.55
7,2024-01-30 09:36:00,4287.95,4315.0,4287.95,4315.0
8,2024-01-30 09:39:00,4313.25,4324.85,4310.2,4312.05
9,2024-01-30 09:42:00,4315.0,4316.6,4312.1,4315.9
10,2024-01-30 09:45:00,4317.15,4319.3,4310.0,4310.0
11,2024-01-30 09:48:00,4312.55,4317.0,4309.5,4313.2
12,2024-01-30 09:51:00,4315.65,4332.0,4313.5,4331.95
13,2024-01-30 09:54:00,4330.6,4334.0,4317.45,4319.2
14,2024-01-30 09:57:00,4317.75,4332.0,4313.0,4331.75
15,2024-01-30 10:00:00,4331.9,4335.0,4327.85,4330.0
16,2024-01-30 10:03:00,4330.55,4334.9,4327.85,4330.0
17,2024-01-30 10:06:00,4330.25,4331.6,4296.15,4304.3
18,2024-01-30 10:09:00,4305.3,4323.55,4300.55,4322.55
19,2024-01-30 10:12:00,4322.0,4325.0,4319.0,4323.2
20,2024-01-30 10:15:00,4321.4,4327.6,4321.4,4327.4
21,2024-01-30 10:18:00,4323.3,4324.45,4317.9,4321.3
22,2024-01-30 10:21:00,4321.25,4321.25,4317.4,4320.0
23,2024-01-30 10:24:00,4318.1,4320.0,4308.7,4310.4
24,2024-01-30 10:27:00,4309.35,4312.45,4305.4,4310.4
25,2024-01-30 10:30:00,4307.2,4313.45,4306.05,4310.55
26,2024-01-30 10:33:00,4308.9,4311.95,4307.2,4311.8
27,2024-01-30 10:36:00,4311.65,4311.75,4308.75,4310.0
28,2024-01-30 10:39:00,4308.95,4311.95,4308.25,4311.2
29,2024-01-30 10:42:00,4310.95,4312.0,4309.0,4310.7
30,2024-01-30 10:45:00,4309.2,4322.0,4309.2,4319.05
31,2024-01-30 10:48:00,4318.7,4318.7,4310.15,4312.45
32,2024-01-30 10:51:00,4313.0,4315.0,4311.65,4315.0
33,2024-01-30 10:54:00,4315.05,4322.95,4313.05,4322.9
34,2024-01-30 10:57:00,4321.95,4322.0,4316.25,4319.8
35,2024-01-30 11:00:00,4319.85,4319.85,4312.4,4312.5
36,2024-01-30 11:03:00,4312.4,4312.75,4290.0,4290.0
37,2024-01-30 11:06:00,4292.45,4296.8,4279.8,4286.1
38,2024-01-30 11:09:00,4284.05,4288.45,4278.8,4285.3
39,2024-01-30 11:12:00,4288.6,4289.35,4285.55,4289.3
40,2024-01-30 11:15:00,4287.15,4293.7,4286.4,4289.8
41,2024-01-30 11:18:00,4289.95,4296.75,4288.25,4290.55
42,2024-01-30 11:21:00,4290.65,4290.8,4286.45,4288.6
43,2024-01-30 11:24:00,4283.05,4286.45,4279.65,4286.0
44,2024-01-30 11:27:00,4282.0,4298.75,4280.9,4298.75
45,2024-01-30 11:30:00,4295.15,4298.0,4292.1,4295.3
46,2024-01-30 11:33:00,4290.0,4292.2,4286.95,4286.95
47,2024-01-30 11:36:00,4286.1,4291.3,4283.85,4286.8
48,2024-01-30 11:39:00,4287.5,4295.95,4287.5,4293.8
49,2024-01-30 11:42:00,4293.45,4298.9,4290.85,4296.15
50,2024-01-30 11:45:00,4296.2,4298.5,4295.0,4296.7
51,2024-01-30 11:48:00,4296.15,4297.1,4295.0,4296.25
52,2024-01-30 11:51:00,4295.0,4296.25,4294.55,4295.3
53,2024-01-30 11:54:00,4295.1,4296.9,4295.0,4296.75
54,2024-01-30 11:57:00,4296.65,4296.75,4289.65,4293.55
55,2024-01-30 12:00:00,4293.45,4293.45,4287.65,4289.45
56,2024-01-30 12:03:00,4288.95,4300.7,4288.95,4299.5
57,2024-01-30 12:06:00,4299.6,4303.75,4299.3,4301.1
58,2024-01-30 12:09:00,4301.2,4301.95,4299.3,4301.3
59,2024-01-30 12:12:00,4299.45,4307.55,4299.45,4307.55
60,2024-01-30 12:15:00,4305.55,4309.2,4305.4,4308.2
61,2024-01-30 12:18:00,4308.2,4310.0,4306.6,4310.0
62,2024-01-30 12:21:00,4307.85,4310.0,4304.15,4307.85
63,2024-01-30 12:24:00,4304.85,4313.6,4303.65,4313.6
64,2024-01-30 12:27:00,4310.6,4317.0,4310.4,4317.0
65,2024-01-30 12:30:00,4315.25,4331.0,4315.1,4330.75
66,2024-01-30 12:33:00,4330.7,4331.0,4324.5,4326.85
67,2024-01-30 12:36:00,4327.95,4331.0,4323.5,4325.1
68,2024-01-30 12:39:00,4325.3,4326.0,4320.0,4325.95
69,2024-01-30 12:42:00,4324.35,4325.55,4318.3,4324.9
70,2024-01-30 12:45:00,4325.0,4329.95,4321.85,4328.1
71,2024-01-30 12:48:00,4327.85,4329.75,4318.9,4322.65
72,2024-01-30 12:51:00,4321.2,4326.0,4320.15,4326.0
73,2024-01-30 12:54:00,4325.25,4327.25,4320.4,4324.1
74,2024-01-30 12:57:00,4325.0,4326.7,4318.05,4320.55
75,2024-01-30 13:00:00,4320.0,4320.7,4318.0,4318.25
76,2024-01-30 13:03:00,4318.35,4321.9,4318.35,4320.15
77,2024-01-30 13:06:00,4319.1,4320.15,4315.4,4316.85
78,2024-01-30 13:09:00,4316.9,4317.35,4312.5,4312.55
79,2024-01-30 13:12:00,4312.25,4319.7,4310.2,4318.25
80,2024-01-30 13:15:00,4318.6,4318.65,4313.55,4315.95
81,2024-01-30 13:18:00,4315.8,4315.8,4312.0,4312.0
82,2024-01-30 13:21:00,4311.45,4315.5,4310.2,4315.5
83,2024-01-30 13:24:00,4317.0,4317.85,4315.6,4316.5
84,2024-01-30 13:27:00,4314.4,4316.5,4314.4,4314.55
85,2024-01-30 13:30:00,4314.4,4314.55,4311.5,4313.95
86,2024-01-30 13:33:00,4314.0,4315.05,4311.85,4315.05
87,2024-01-30 13:36:00,4315.5,4317.75,4315.1,4316.85
88,2024-01-30 13:39:00,4315.15,4316.95,4315.15,4316.7
89,2024-01-30 13:42:00,4317.75,4317.75,4312.0,4315.95
90,2024-01-30 13:45:00,4315.6,4315.95,4313.4,4315.55
91,2024-01-30 13:48:00,4313.85,4314.9,4311.35,4314.45
92,2024-01-30 13:51:00,4314.35,4317.6,4312.05,4315.35
93,2024-01-30 13:54:00,4315.05,4317.0,4312.1,4315.8
94,2024-01-30 13:57:00,4315.5,4324.0,4313.8,4324.0
95,2024-01-30 14:00:00,4322.35,4331.0,4322.35,4331.0
96,2024-01-30 14:03:00,4329.85,4332.85,4329.2,4332.85
97,2024-01-30 14:06:00,4332.0,4332.85,4326.55,4329.95
98,2024-01-30 14:09:00,4327.75,4329.75,4322.6,4324.0
99,2024-01-30 14:12:00,4323.8,4323.8,4313.8,4318.45
100,2024-01-30 14:15:00,4316.45,4321.15,4304.75,4305.75
101,2024-01-30 14:18:00,4307.65,4312.0,4307.65,4311.4
102,2024-01-30 14:21:00,4309.4,4315.8,4307.1,4309.65
103,2024-01-30 14:24:00,4309.95,4310.8,4286.8,4298.55
104,2024-01-30 14:27:00,4298.0,4304.55,4287.95,4296.05
105,2024-01-30 14:30:00,4297.35,4302.85,4287.75,4298.5
106,2024-01-30 14:33:00,4297.0,4299.2,4294.0,4294.3
107,2024-01-30 14:36:00,4292.45,4293.35,4267.45,4272.4
108,2024-01-30 14:39:00,4276.3,4280.0,4235.0,4235.0
109,2024-01-30 14:42:00,4233.35,4250.6,4196.9,4204.95
110,2024-01-30 14:45:00,4204.5,4246.15,4198.45,4228.9
111,2024-01-30 14:48:00,4228.95,4228.95,4195.05,4211.45
112,2024-01-30 14:51:00,4211.25,4224.7,4192.6,4201.0
