,time,into,inth,intl,intc
0,2024-02-02 09:15:00,2320.0,2323.8,2307.0,2307.1
1,2024-02-02 09:18:00,2307.95,2312.6,2307.95,2312.1
2,2024-02-02 09:21:00,2314.45,2314.45,2309.4,2310.6
3,2024-02-02 09:24:00,2311.6,2311.85,2308.7,2310.4
4,2024-02-02 09:27:00,2310.2,2311.55,2309.05,2309.7
5,2024-02-02 09:30:00,2310.4,2312.0,2305.1,2305.85
6,2024-02-02 09:33:00,2306.05,2307.95,2304.7,2307.05
7,2024-02-02 09:36:00,2308.0,2312.0,2305.8,2309.4
8,2024-02-02 09:39:00,2309.75,2309.75,2304.65,2304.8
9,2024-02-02 09:42:00,2306.3,2307.45,2304.0,2305.6
10,2024-02-02 09:45:00,2305.35,2305.35,2302.0,2304.95
11,2024-02-02 09:48:00,2303.8,2307.8,2302.5,2305.75
12,2024-02-02 09:51:00,2308.1,2314.15,2302.7,2311.35
13,2024-02-02 09:54:00,2312.95,2314.15,2310.2,2311.1
14,2024-02-02 09:57:00,2310.8,2312.2,2310.0,2310.0
15,2024-02-02 10:00:00,2311.0,2311.0,2308.1,2308.7
16,2024-02-02 10:03:00,2308.85,2310.0,2308.0,2308.05
17,2024-02-02 10:06:00,2308.7,2308.7,2306.0,2306.25
18,2024-02-02 10:09:00,2306.35,2308.25,2305.75,2307.0
19,2024-02-02 10:12:00,2306.2,2310.3,2305.75,2310.25
20,2024-02-02 10:15:00,2308.75,2310.2,2307.0,2309.0
21,2024-02-02 10:18:00,2310.1,2310.75,2307.05,2309.65
22,2024-02-02 10:21:00,2309.55,2315.4,2307.85,2312.0
23,2024-02-02 10:24:00,2311.15,2313.2,2309.75,2311.95
24,2024-02-02 10:27:00,2312.45,2316.45,2310.4,2315.1
25,2024-02-02 10:30:00,2314.2,2315.2,2313.2,2314.0
26,2024-02-02 10:33:00,2313.9,2316.35,2313.2,2315.7
27,2024-02-02 10:36:00,2316.15,2316.2,2314.55,2314.85
28,2024-02-02 10:39:00,2314.95,2316.95,2314.1,2315.85
29,2024-02-02 10:42:00,2315.95,2316.7,2314.9,2316.0
30,2024-02-02 10:45:00,2316.15,2318.0,2315.5,2315.5
31,2024-02-02 10:48:00,2316.35,2317.95,2315.7,2316.7
32,2024-02-02 10:51:00,2316.45,2317.0,2313.75,2313.75
33,2024-02-02 10:54:00,2315.4,2316.1,2314.7,2315.5
34,2024-02-02 10:57:00,2314.95,2315.75,2314.0,2315.6
35,2024-02-02 11:00:00,2315.7,2318.2,2313.5,2317.2
36,2024-02-02 11:03:00,2317.65,2319.25,2317.3,2318.0
37,2024-02-02 11:06:00,2317.5,2320.9,2315.75,2318.55
38,2024-02-02 11:09:00,2319.75,2319.75,2316.45,2317.75
39,2024-02-02 11:12:00,2316.5,2317.5,2313.1,2314.35
40,2024-02-02 11:15:00,2312.65,2315.5,2312.65,2313.8
41,2024-02-02 11:18:00,2313.45,2313.45,2310.1,2311.65
42,2024-02-02 11:21:00,2312.0,2319.6,2312.0,2319.0
43,2024-02-02 11:24:00,2317.65,2319.95,2317.4,2317.9
44,2024-02-02 11:27:00,2319.0,2319.5,2317.9,2318.6
45,2024-02-02 11:30:00,2319.2,2320.5,2318.0,2318.2
46,2024-02-02 11:33:00,2318.25,2324.6,2318.0,2324.0
47,2024-02-02 11:36:00,2324.35,2324.35,2322.1,2323.0
48,2024-02-02 11:39:00,2323.9,2324.5,2321.0,2321.1
49,2024-02-02 11:42:00,2320.95,2322.0,2320.0,2321.0
50,2024-02-02 11:45:00,2321.15,2323.0,2320.9,2322.2
51,2024-02-02 11:48:00,2321.15,2323.0,2320.2,2321.75
52,2024-02-02 11:51:00,2323.0,2323.0,2321.0,2322.0
53,2024-02-02 11:54:00,2322.15,2322.95,2320.75,2322.0
54,2024-02-02 11:57:00,2322.75,2323.0,2320.0,2320.7
55,2024-02-02 12:00:00,2322.05,2325.0,2322.05,2323.3
56,2024-02-02 12:03:00,2323.0,2323.3,2320.7,2321.0
57,2024-02-02 12:06:00,2321.75,2321.75,2320.2,2320.3
58,2024-02-02 12:09:00,2320.05,2321.4,2320.0,2320.2
59,2024-02-02 12:12:00,2320.05,2320.55,2319.55,2320.0
60,2024-02-02 12:15:00,2320.45,2321.2,2319.0,2319.0
61,2024-02-02 12:18:00,2319.9,2319.95,2318.25,2318.55
62,2024-02-02 12:21:00,2318.15,2319.0,2316.45,2319.0
63,2024-02-02 12:24:00,2318.0,2319.0,2317.8,2319.0
64,2024-02-02 12:27:00,2317.8,2321.75,2310.65,2311.45
65,2024-02-02 12:30:00,2310.6,2311.1,2304.05,2310.0
66,2024-02-02 12:33:00,2307.35,2315.95,2305.3,2313.0
67,2024-02-02 12:36:00,2311.15,2319.6,2307.65,2319.1
68,2024-02-02 12:39:00,2318.7,2323.5,2316.2,2320.0
69,2024-02-02 12:42:00,2320.65,2323.5,2319.15,2321.45
70,2024-02-02 12:45:00,2320.25,2322.1,2320.0,2320.0
71,2024-02-02 12:48:00,2319.55,2319.95,2319.0,2319.05
72,2024-02-02 12:51:00,2319.2,2322.0,2319.05,2321.0
73,2024-02-02 12:54:00,2321.1,2321.9,2319.3,2320.0
74,2024-02-02 12:57:00,2319.0,2321.0,2319.0,2320.2
75,2024-02-02 13:00:00,2319.0,2321.0,2319.0,2320.1
76,2024-02-02 13:03:00,2319.0,2320.0,2319.0,2319.95
77,2024-02-02 13:06:00,2319.05,2319.85,2319.0,2319.5
78,2024-02-02 13:09:00,2320.0,2321.0,2319.05,2319.55
79,2024-02-02 13:12:00,2319.8,2319.85,2311.0,2311.45
80,2024-02-02 13:15:00,2311.9,2316.35,2309.55,2316.3
81,2024-02-02 13:18:00,2315.1,2318.1,2314.95,2318.05
82,2024-02-02 13:21:00,2318.6,2319.45,2317.45,2318.0
83,2024-02-02 13:24:00,2318.1,2318.55,2311.85,2314.25
84,2024-02-02 13:27:00,2313.85,2316.5,2312.65,2315.5
85,2024-02-02 13:30:00,2315.55,2316.25,2311.15,2312.2
86,2024-02-02 13:33:00,2313.8,2320.0,2313.8,2317.6
87,2024-02-02 13:36:00,2318.05,2319.0,2316.0,2319.0
88,2024-02-02 13:39:00,2318.0,2319.0,2316.6,2317.55
89,2024-02-02 13:42:00,2317.75,2319.0,2316.8,2316.8
90,2024-02-02 13:45:00,2317.25,2318.5,2316.2,2316.55
91,2024-02-02 13:48:00,2316.9,2317.35,2315.05,2315.95
92,2024-02-02 13:51:00,2315.85,2316.95,2315.05,2316.95
93,2024-02-02 13:54:00,2316.05,2317.4,2315.05,2315.5
94,2024-02-02 13:57:00,2315.0,2318.4,2315.0,2316.3
95,2024-02-02 14:00:00,2316.2,2319.4,2316.15,2318.45
96,2024-02-02 14:03:00,2317.45,2319.4,2317.45,2318.35
97,2024-02-02 14:06:00,2318.05,2318.05,2316.8,2317.1
98,2024-02-02 14:09:00,2318.0,2324.5,2317.25,2321.5
99,2024-02-02 14:12:00,2320.8,2321.9,2320.25,2320.9
100,2024-02-02 14:15:00,2321.05,2323.0,2320.45,2322.1
101,2024-02-02 14:18:00,2321.5,2323.95,2319.2,2319.2
102,2024-02-02 14:21:00,2319.65,2320.05,2313.8,2313.8
103,2024-02-02 14:24:00,2313.3,2315.0,2312.4,2312.55
104,2024-02-02 14:27:00,2312.5,2315.0,2312.0,2314.25
105,2024-02-02 14:30:00,2315.0,2315.0,2314.0,2315.0
106,2024-02-02 14:33:00,2314.8,2315.0,2314.25,2315.0
107,2024-02-02 14:36:00,2314.65,2316.15,2314.25,2315.0
108,2024-02-02 14:39:00,2314.85,2316.3,2314.25,2316.3
109,2024-02-02 14:42:00,2315.0,2322.35,2314.85,2320.35
110,2024-02-02 14:45:00,2319.7,2320.15,2318.0,2319.9
111,2024-02-02 14:48:00,2320.25,2320.85,2318.15,2318.15
112,2024-02-02 14:51:00,2318.1,2319.7,2315.75,2318.0
113,2024-02-02 14:54:00,2318.45,2319.0,2317.8,2318.0
114,2024-02-02 14:57:00,2317.95,2319.0,2315.75,2318.0
115,2024-02-02 15:00:00,2318.05,2319.0,2315.1,2316.4
116,2024-02-02 15:03:00,2315.7,2320.0,2315.35,2319.0
117,2024-02-02 15:06:00,2319.05,2319.5,2318.0,2318.2
118,2024-02-02 15:09:00,2318.0,2318.5,2318.0,2318.35
119,2024-02-02 15:12:00,2318.25,2319.95,2317.1,2319.1
120,2024-02-02 15:15:00,2319.85,2319.85,2317.95,2318.1
121,2024-02-02 15:18:00,2318.05,2319.85,2317.75,2318.45
122,2024-02-02 15:21:00,2318.5,2319.6,2318.1,2319.5
123,2024-02-02 15:24:00,2319.25,2319.5,2317.2,2317.85
124,2024-02-02 15:27:00,2318.0,2319.5,2314.6,2318.0
125,2024-02-03 11:00:00,2318.0,2318.0,2318.0,2318.0
126,2024-02-03 11:03:00,2318.0,2318.0,2318.0,2318.0
127,2024-02-03 11:06:00,2318.0,2499.0,2318.0,2499.0
128,2024-02-03 11:36:00,2499.0,2536.5,2499.0,2536.5
129,2024-02-03 11:39:00,2550.5,2550.5,2550.5,2550.5
130,2024-02-03 12:09:00,2422.95,2422.95,2411.4,2411.4
131,2024-02-03 12:12:00,2411.4,2411.4,2411.4,2411.4
132,2024-02-03 12:15:00,2411.4,2411.4,2411.4,2411.4
133,2024-02-03 12:18:00,2411.4,2545.0,2411.4,2545.0
134,2024-02-03 12:21:00,2545.0,2545.0,2545.0,2545.0
135,2024-02-03 12:24:00,2545.0,2549.0,2545.0,2549.0
136,2024-02-03 12:27:00,2549.0,2549.0,2549.0,2549.0
137,2024-02-03 12:30:00,2549.0,2549.0,2549.0,2549.0
138,2024-02-03 12:33:00,2549.0,2549.0,2545.0,2545.0
139,2024-02-03 12:36:00,2545.0,2545.0,2545.0,2545.0
140,2024-02-03 12:39:00,2545.0,2545.0,2545.0,2545.0
141,2024-02-03 12:42:00,2545.0,2545.0,2545.0,2545.0
142,2024-02-03 12:45:00,2545.0,2545.0,2545.0,2545.0
143,2024-02-03 12:48:00,2545.0,2545.0,2545.0,2545.0
144,2024-02-03 12:51:00,2545.0,2545.0,2545.0,2545.0
145,2024-02-03 12:54:00,2545.0,2545.0,2545.0,2545.0
146,2024-02-03 12:57:00,2545.0,2545.0,2315.0,2315.0
147,2024-02-05 09:15:00,2313.0,2314.45,2302.5,2311.5
148,2024-02-05 09:18:00,2312.0,2312.0,2302.0,2302.0
149,2024-02-05 09:21:00,2302.15,2302.7,2297.3,2301.3
150,2024-02-05 09:24:00,2301.05,2306.35,2299.0,2305.8
151,2024-02-05 09:27:00,2304.0,2308.35,2301.9,2304.05
152,2024-02-05 09:30:00,2305.95,2308.2,2302.95,2305.05
153,2024-02-05 09:33:00,2304.6,2308.6,2301.7,2308.6
154,2024-02-05 09:36:00,2307.0,2307.7,2304.05,2305.75
155,2024-02-05 09:39:00,2305.8,2307.0,2301.0,2301.0
156,2024-02-05 09:42:00,2300.6,2303.25,2298.05,2300.0
157,2024-02-05 09:45:00,2300.45,2302.0,2298.7,2299.95
158,2024-02-05 09:48:00,2300.25,2304.65,2299.45,2304.0
159,2024-02-05 09:51:00,2303.0,2308.45,2302.0,2304.7
160,2024-02-05 09:54:00,2305.25,2307.35,2302.25,2304.0
161,2024-02-05 09:57:00,2303.05,2304.0,2298.45,2300.0
162,2024-02-05 10:00:00,2301.2,2304.0,2298.55,2304.0
163,2024-02-05 10:03:00,2302.1,2305.45,2299.4,2300.35
164,2024-02-05 10:06:00,2301.2,2303.9,2300.0,2302.7
165,2024-02-05 10:09:00,2302.85,2304.0,2302.25,2303.8
166,2024-02-05 10:12:00,2303.5,2303.5,2301.6,2302.8
167,2024-02-05 10:15:00,2301.25,2302.55,2296.0,2296.0
168,2024-02-05 10:18:00,2295.2,2295.85,2290.1,2292.85
169,2024-02-05 10:21:00,2293.45,2294.0,2288.0,2291.45
170,2024-02-05 10:24:00,2290.55,2292.15,2287.05,2289.4
171,2024-02-05 10:27:00,2289.3,2291.95,2288.0,2290.45
172,2024-02-05 10:30:00,2288.35,2288.95,2278.25,2286.95
173,2024-02-05 10:33:00,2285.4,2289.55,2285.0,2286.2
174,2024-02-05 10:36:00,2287.3,2290.45,2286.2,2288.7
175,2024-02-05 10:39:00,2290.45,2291.8,2286.05,2288.0
176,2024-02-05 10:42:00,2288.05,2291.3,2286.55,2287.0
177,2024-02-05 10:45:00,2286.05,2287.1,2285.0,2285.0
178,2024-02-05 10:48:00,2285.55,2288.35,2285.0,2285.65
179,2024-02-05 10:51:00,2285.4,2288.2,2285.0,2285.3
180,2024-02-05 10:54:00,2285.0,2286.85,2285.0,2286.4
181,2024-02-05 10:57:00,2285.9,2290.0,2285.0,2286.95
182,2024-02-05 11:00:00,2287.55,2289.0,2286.65,2287.3
183,2024-02-05 11:03:00,2288.6,2289.45,2285.7,2288.5
184,2024-02-05 11:06:00,2286.5,2287.45,2285.0,2285.0
