,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1717.8,1726.4,1717.8,1722.65
1,2024-01-30 09:18:00,1722.75,1723.0,1718.05,1720.1
2,2024-01-30 09:21:00,1720.65,1728.95,1720.65,1726.75
3,2024-01-30 09:24:00,1726.5,1727.45,1720.05,1720.05
4,2024-01-30 09:27:00,1721.45,1722.2,1718.95,1720.8
5,2024-01-30 09:30:00,1720.5,1724.75,1718.05,1721.95
6,2024-01-30 09:33:00,1720.55,1722.3,1718.8,1719.95
7,2024-01-30 09:36:00,1719.15,1722.6,1719.15,1722.6
8,2024-01-30 09:39:00,1721.65,1723.35,1719.4,1719.55
9,2024-01-30 09:42:00,1720.4,1724.9,1719.9,1723.55
10,2024-01-30 09:45:00,1723.35,1723.4,1719.75,1720.25
11,2024-01-30 09:48:00,1720.95,1723.35,1719.0,1719.0
12,2024-01-30 09:51:00,1719.9,1719.9,1716.3,1717.3
13,2024-01-30 09:54:00,1719.25,1720.0,1717.35,1719.5
14,2024-01-30 09:57:00,1720.0,1722.0,1718.75,1721.7
15,2024-01-30 10:00:00,1721.95,1723.9,1721.95,1722.65
16,2024-01-30 10:03:00,1722.95,1723.15,1720.0,1720.0
17,2024-01-30 10:06:00,1720.05,1721.45,1720.0,1721.45
18,2024-01-30 10:09:00,1722.0,1726.5,1720.9,1724.85
19,2024-01-30 10:12:00,1724.1,1724.1,1719.9,1719.9
20,2024-01-30 10:15:00,1720.55,1721.85,1720.05,1720.3
21,2024-01-30 10:18:00,1721.0,1724.5,1720.3,1722.45
22,2024-01-30 10:21:00,1722.35,1722.35,1718.55,1721.0
23,2024-01-30 10:24:00,1720.35,1721.0,1719.05,1720.6
24,2024-01-30 10:27:00,1720.95,1721.0,1719.05,1721.0
25,2024-01-30 10:30:00,1720.85,1720.95,1718.8,1720.0
26,2024-01-30 10:33:00,1718.65,1719.8,1718.2,1719.4
27,2024-01-30 10:36:00,1718.7,1719.75,1716.85,1718.75
28,2024-01-30 10:39:00,1718.0,1720.2,1718.0,1718.95
29,2024-01-30 10:42:00,1718.1,1719.7,1718.05,1718.2
30,2024-01-30 10:45:00,1718.5,1719.25,1718.25,1719.1
31,2024-01-30 10:48:00,1717.7,1717.7,1713.0,1713.6
32,2024-01-30 10:51:00,1712.65,1717.9,1712.4,1717.75
33,2024-01-30 10:54:00,1716.9,1717.8,1716.1,1716.4
34,2024-01-30 10:57:00,1715.65,1716.35,1714.0,1715.95
35,2024-01-30 11:00:00,1715.1,1717.4,1715.05,1716.15
36,2024-01-30 11:03:00,1715.65,1718.0,1715.15,1715.6
37,2024-01-30 11:06:00,1715.05,1716.2,1715.0,1715.7
38,2024-01-30 11:09:00,1715.0,1719.2,1714.2,1719.0
39,2024-01-30 11:12:00,1718.95,1719.1,1716.9,1718.55
40,2024-01-30 11:15:00,1718.1,1718.7,1716.95,1717.85
41,2024-01-30 11:18:00,1717.1,1719.5,1717.1,1717.7
42,2024-01-30 11:21:00,1717.8,1718.95,1716.85,1717.95
43,2024-01-30 11:24:00,1717.4,1718.9,1715.35,1718.9
44,2024-01-30 11:27:00,1717.65,1718.95,1716.25,1717.85
45,2024-01-30 11:30:00,1717.25,1719.45,1716.4,1719.0
46,2024-01-30 11:33:00,1720.0,1722.5,1719.45,1722.5
47,2024-01-30 11:36:00,1721.8,1723.25,1720.6,1722.35
48,2024-01-30 11:39:00,1721.35,1723.4,1720.55,1721.35
49,2024-01-30 11:42:00,1720.35,1721.85,1719.75,1721.85
50,2024-01-30 11:45:00,1721.9,1722.95,1721.0,1722.75
51,2024-01-30 11:48:00,1723.0,1723.0,1721.0,1722.3
52,2024-01-30 11:51:00,1721.95,1722.3,1721.1,1721.15
53,2024-01-30 11:54:00,1721.1,1721.95,1721.0,1721.0
54,2024-01-30 11:57:00,1721.8,1721.9,1721.0,1721.85
55,2024-01-30 12:00:00,1721.15,1721.15,1721.0,1721.0
56,2024-01-30 12:03:00,1720.0,1721.0,1719.05,1721.0
57,2024-01-30 12:06:00,1720.3,1723.0,1720.3,1721.2
58,2024-01-30 12:09:00,1720.45,1722.65,1720.0,1721.0
59,2024-01-30 12:12:00,1720.9,1721.5,1720.25,1720.25
60,2024-01-30 12:15:00,1720.2,1721.5,1719.9,1721.3
61,2024-01-30 12:18:00,1721.85,1721.85,1719.95,1720.95
62,2024-01-30 12:21:00,1719.95,1720.5,1717.4,1718.5
63,2024-01-30 12:24:00,1718.1,1718.1,1715.9,1716.95
64,2024-01-30 12:27:00,1717.1,1720.7,1717.1,1718.85
65,2024-01-30 12:30:00,1718.75,1719.6,1717.6,1717.6
66,2024-01-30 12:33:00,1718.0,1721.05,1718.0,1721.05
67,2024-01-30 12:36:00,1720.5,1722.0,1720.3,1720.75
68,2024-01-30 12:39:00,1720.65,1721.95,1720.65,1721.25
69,2024-01-30 12:42:00,1721.9,1722.0,1720.05,1721.75
70,2024-01-30 12:45:00,1721.6,1721.6,1720.15,1721.2
71,2024-01-30 12:48:00,1720.35,1722.0,1720.3,1721.85
72,2024-01-30 12:51:00,1720.75,1722.3,1720.7,1721.75
73,2024-01-30 12:54:00,1722.15,1723.05,1721.0,1721.7
74,2024-01-30 12:57:00,1721.05,1725.0,1721.05,1724.1
75,2024-01-30 13:00:00,1724.95,1725.0,1723.75,1723.9
76,2024-01-30 13:03:00,1723.8,1724.7,1723.1,1724.7
77,2024-01-30 13:06:00,1724.5,1724.5,1723.35,1723.45
78,2024-01-30 13:09:00,1723.35,1725.0,1723.0,1724.35
79,2024-01-30 13:12:00,1723.9,1724.8,1723.1,1723.1
80,2024-01-30 13:15:00,1721.75,1722.0,1721.2,1722.0
81,2024-01-30 13:18:00,1722.55,1722.8,1721.8,1722.0
82,2024-01-30 13:21:00,1722.05,1722.8,1720.4,1722.5
83,2024-01-30 13:24:00,1722.7,1724.05,1722.7,1723.5
84,2024-01-30 13:27:00,1723.2,1724.65,1723.2,1724.2
85,2024-01-30 13:30:00,1724.0,1724.6,1722.05,1724.0
86,2024-01-30 13:33:00,1722.85,1723.25,1722.05,1722.95
87,2024-01-30 13:36:00,1723.8,1724.3,1722.1,1724.05
88,2024-01-30 13:39:00,1723.05,1724.65,1723.05,1724.65
89,2024-01-30 13:42:00,1725.0,1725.0,1723.55,1724.95
90,2024-01-30 13:45:00,1725.0,1725.0,1721.8,1722.1
91,2024-01-30 13:48:00,1721.6,1724.05,1720.6,1723.75
92,2024-01-30 13:51:00,1723.4,1723.75,1721.5,1721.6
93,2024-01-30 13:54:00,1721.7,1723.9,1721.0,1723.6
94,2024-01-30 13:57:00,1722.0,1722.95,1722.0,1722.5
95,2024-01-30 14:00:00,1724.3,1724.3,1720.75,1720.75
96,2024-01-30 14:03:00,1720.4,1722.4,1720.3,1722.05
97,2024-01-30 14:06:00,1720.85,1721.1,1719.55,1720.15
98,2024-01-30 14:09:00,1718.95,1719.75,1718.85,1719.4
99,2024-01-30 14:12:00,1719.6,1722.15,1718.0,1720.05
100,2024-01-30 14:15:00,1721.35,1721.35,1718.45,1718.95
101,2024-01-30 14:18:00,1718.7,1719.2,1718.25,1718.3
102,2024-01-30 14:21:00,1718.0,1719.55,1718.0,1718.6
103,2024-01-30 14:24:00,1719.3,1719.3,1714.25,1714.25
104,2024-01-30 14:27:00,1714.2,1716.7,1714.0,1715.0
105,2024-01-30 14:30:00,1715.65,1715.65,1711.0,1714.7
106,2024-01-30 14:33:00,1714.95,1714.95,1712.1,1712.2
107,2024-01-30 14:36:00,1712.0,1713.8,1710.15,1710.15
108,2024-01-30 14:39:00,1710.2,1712.05,1708.15,1709.1
109,2024-01-30 14:42:00,1708.6,1709.2,1707.0,1707.0
110,2024-01-30 14:45:00,1707.45,1709.15,1705.15,1708.35
111,2024-01-30 14:48:00,1708.3,1709.65,1707.0,1708.75
112,2024-01-30 14:51:00,1708.9,1708.9,1707.05,1707.05
113,2024-01-30 14:54:00,1707.25,1708.5,1706.0,1708.2
114,2024-01-30 14:57:00,1708.85,1708.85,1705.75,1706.0
115,2024-01-30 15:00:00,1706.7,1708.35,1702.6,1703.7
116,2024-01-30 15:03:00,1704.0,1707.5,1703.7,1705.0
117,2024-01-30 15:06:00,1704.9,1706.35,1703.0,1703.2
118,2024-01-30 15:09:00,1703.3,1706.4,1702.75,1703.55
119,2024-01-30 15:12:00,1703.75,1706.1,1702.3,1705.5
120,2024-01-30 15:15:00,1705.8,1708.9,1703.7,1705.0
121,2024-01-30 15:18:00,1705.05,1705.65,1701.4,1701.4
122,2024-01-30 15:21:00,1701.85,1702.55,1700.1,1700.85
