,time,into,inth,intl,intc
0,2024-02-01 09:51:00,1110.75,1111.5,1109.0,1110.75
1,2024-02-01 09:54:00,1110.9,1110.9,1109.5,1109.55
2,2024-02-01 09:57:00,1109.5,1110.95,1108.1,1109.95
3,2024-02-01 10:00:00,1109.6,1112.8,1109.25,1112.35
4,2024-02-01 10:03:00,1111.85,1112.5,1111.0,1111.95
5,2024-02-01 10:06:00,1112.15,1113.65,1112.1,1113.65
6,2024-02-01 10:09:00,1113.3,1114.9,1112.75,1114.35
7,2024-02-01 10:12:00,1114.8,1114.9,1113.85,1114.1
8,2024-02-01 10:15:00,1114.3,1114.3,1113.2,1113.85
9,2024-02-01 10:18:00,1113.65,1113.95,1112.5,1113.9
10,2024-02-01 10:21:00,1113.55,1113.9,1112.5,1112.95
11,2024-02-01 10:24:00,1113.3,1114.8,1112.95,1114.25
12,2024-02-01 10:27:00,1114.2,1114.95,1112.9,1114.75
13,2024-02-01 10:30:00,1114.9,1114.9,1114.55,1114.6
14,2024-02-01 10:33:00,1114.65,1114.9,1114.3,1114.5
15,2024-02-01 10:36:00,1114.35,1114.9,1114.1,1114.45
16,2024-02-01 10:39:00,1114.4,1114.45,1112.5,1114.0
17,2024-02-01 10:42:00,1114.05,1115.45,1113.7,1115.45
18,2024-02-01 10:45:00,1115.35,1117.5,1114.55,1114.95
19,2024-02-01 10:48:00,1114.7,1115.0,1114.05,1114.35
20,2024-02-01 10:51:00,1114.15,1115.0,1113.85,1114.5
21,2024-02-01 10:54:00,1114.3,1117.65,1114.25,1117.45
22,2024-02-01 10:57:00,1117.75,1119.0,1116.8,1117.35
23,2024-02-01 11:00:00,1117.3,1119.05,1117.0,1118.9
24,2024-02-01 11:03:00,1119.0,1119.0,1116.2,1118.25
25,2024-02-01 11:06:00,1118.4,1119.0,1116.0,1118.95
26,2024-02-01 11:09:00,1118.9,1119.0,1114.8,1114.8
27,2024-02-01 11:12:00,1115.0,1115.0,1112.8,1114.25
28,2024-02-01 11:15:00,1114.75,1114.95,1110.1,1114.05
29,2024-02-01 11:18:00,1114.0,1115.0,1112.65,1112.65
30,2024-02-01 11:21:00,1113.5,1113.6,1111.55,1111.6
31,2024-02-01 11:24:00,1111.75,1115.35,1111.5,1115.0
32,2024-02-01 11:27:00,1115.05,1115.5,1113.15,1113.75
33,2024-02-01 11:30:00,1113.45,1115.0,1112.4,1114.65
34,2024-02-01 11:33:00,1114.6,1115.0,1114.3,1114.95
35,2024-02-01 11:36:00,1115.0,1115.0,1114.6,1114.8
36,2024-02-01 11:39:00,1114.95,1115.45,1114.4,1114.85
37,2024-02-01 11:42:00,1114.5,1114.85,1112.65,1114.5
38,2024-02-01 11:45:00,1114.6,1114.95,1113.0,1113.35
39,2024-02-01 11:48:00,1113.05,1113.5,1112.1,1112.4
40,2024-02-01 11:51:00,1112.55,1113.6,1112.2,1113.45
41,2024-02-01 11:54:00,1113.0,1113.6,1110.1,1111.65
42,2024-02-01 11:57:00,1111.3,1112.45,1108.95,1111.2
43,2024-02-01 12:00:00,1111.4,1112.65,1108.65,1109.1
44,2024-02-01 12:03:00,1108.85,1111.8,1108.0,1111.55
45,2024-02-01 12:06:00,1111.7,1113.8,1111.0,1111.45
46,2024-02-01 12:09:00,1111.8,1114.7,1111.1,1114.2
47,2024-02-01 12:12:00,1114.6,1114.85,1113.35,1113.85
48,2024-02-01 12:15:00,1113.6,1115.35,1113.2,1115.25
49,2024-02-01 12:18:00,1115.3,1115.85,1113.7,1114.55
50,2024-02-01 12:21:00,1114.5,1115.35,1114.05,1115.0
51,2024-02-01 12:24:00,1114.95,1115.95,1114.0,1114.9
52,2024-02-01 12:27:00,1115.0,1115.95,1113.9,1113.95
53,2024-02-01 12:30:00,1114.0,1115.0,1113.75,1113.9
54,2024-02-01 12:33:00,1113.75,1115.0,1113.75,1114.25
55,2024-02-01 12:36:00,1114.65,1115.0,1114.35,1114.95
56,2024-02-01 12:39:00,1114.6,1115.0,1114.4,1114.6
57,2024-02-01 12:42:00,1114.55,1121.7,1114.45,1121.7
58,2024-02-01 12:45:00,1121.2,1122.85,1115.0,1117.85
59,2024-02-01 12:48:00,1117.65,1118.5,1113.95,1114.9
60,2024-02-01 12:51:00,1114.85,1122.95,1114.85,1120.9
61,2024-02-01 12:54:00,1120.85,1126.95,1117.45,1119.6
62,2024-02-01 12:57:00,1119.8,1121.8,1116.0,1120.1
63,2024-02-01 13:00:00,1121.45,1130.45,1120.9,1129.6
64,2024-02-01 13:03:00,1129.2,1133.85,1127.25,1129.1
65,2024-02-01 13:06:00,1129.0,1129.35,1126.0,1126.75
66,2024-02-01 13:09:00,1126.5,1128.0,1125.1,1127.9
67,2024-02-01 13:12:00,1127.8,1127.8,1124.0,1124.7
68,2024-02-01 13:15:00,1124.3,1127.45,1124.1,1126.7
