,time,into,inth,intl,intc
0,2024-02-02 09:15:00,1999.75,2020.2,1999.75,2010.0
1,2024-02-02 09:18:00,2010.1,2015.3,2008.0,2015.0
2,2024-02-02 09:21:00,2015.35,2022.5,2015.35,2022.5
3,2024-02-02 09:24:00,2021.95,2028.0,2020.05,2026.35
4,2024-02-02 09:27:00,2026.5,2027.0,2023.65,2026.95
5,2024-02-02 09:30:00,2027.2,2033.0,2025.5,2032.95
6,2024-02-02 09:33:00,2033.0,2033.0,2022.75,2023.05
7,2024-02-02 09:36:00,2023.4,2026.1,2022.55,2022.75
8,2024-02-02 09:39:00,2022.4,2023.3,2018.0,2020.3
9,2024-02-02 09:42:00,2019.2,2021.95,2017.0,2017.1
10,2024-02-02 09:45:00,2017.9,2019.4,2015.1,2018.6
11,2024-02-02 09:48:00,2017.25,2018.5,2015.0,2016.9
12,2024-02-02 09:51:00,2016.75,2017.55,2015.0,2016.0
13,2024-02-02 09:54:00,2016.2,2017.9,2015.45,2017.7
14,2024-02-02 09:57:00,2016.85,2016.85,2013.05,2014.15
15,2024-02-02 10:00:00,2014.9,2018.0,2013.95,2017.75
16,2024-02-02 10:03:00,2017.8,2022.4,2017.35,2022.0
17,2024-02-02 10:06:00,2022.5,2027.45,2022.5,2025.6
18,2024-02-02 10:09:00,2025.0,2028.7,2025.0,2027.95
19,2024-02-02 10:12:00,2026.7,2027.85,2024.55,2024.55
20,2024-02-02 10:15:00,2025.4,2028.45,2024.0,2027.3
21,2024-02-02 10:18:00,2027.15,2028.9,2027.05,2028.45
22,2024-02-02 10:21:00,2027.7,2028.9,2023.2,2028.9
23,2024-02-02 10:24:00,2029.0,2030.4,2027.9,2028.25
24,2024-02-02 10:27:00,2028.2,2034.0,2027.75,2033.2
25,2024-02-02 10:30:00,2033.15,2035.9,2031.15,2032.7
26,2024-02-02 10:33:00,2032.75,2033.6,2031.55,2032.4
27,2024-02-02 10:36:00,2032.45,2033.0,2030.0,2030.3
28,2024-02-02 10:39:00,2030.25,2031.55,2029.5,2029.5
29,2024-02-02 10:42:00,2029.45,2029.45,2026.2,2027.65
30,2024-02-02 10:45:00,2027.6,2028.65,2027.6,2028.0
31,2024-02-02 10:48:00,2027.6,2028.5,2027.35,2028.0
32,2024-02-02 10:51:00,2028.5,2028.7,2026.9,2026.9
33,2024-02-02 10:54:00,2027.95,2028.2,2026.25,2027.55
34,2024-02-02 10:57:00,2026.7,2028.9,2026.4,2027.45
35,2024-02-02 11:00:00,2027.1,2028.1,2026.5,2026.55
36,2024-02-02 11:03:00,2026.5,2028.75,2026.5,2028.0
37,2024-02-02 11:06:00,2028.9,2030.0,2028.0,2028.45
38,2024-02-02 11:09:00,2028.8,2029.4,2028.0,2028.0
39,2024-02-02 11:12:00,2028.7,2028.9,2027.25,2028.6
40,2024-02-02 11:15:00,2029.1,2029.1,2027.0,2028.8
41,2024-02-02 11:18:00,2028.0,2032.0,2028.0,2030.45
42,2024-02-02 11:21:00,2030.15,2033.55,2030.15,2033.15
43,2024-02-02 11:24:00,2033.3,2036.95,2033.05,2034.4
44,2024-02-02 11:27:00,2034.35,2035.9,2034.35,2034.65
45,2024-02-02 11:30:00,2035.0,2035.55,2030.0,2030.55
46,2024-02-02 11:33:00,2030.5,2031.95,2030.15,2030.15
47,2024-02-02 11:36:00,2030.4,2031.95,2030.3,2030.55
48,2024-02-02 11:39:00,2030.4,2032.0,2030.0,2030.75
49,2024-02-02 11:42:00,2031.65,2035.4,2030.8,2035.0
50,2024-02-02 11:45:00,2035.45,2035.45,2032.95,2033.05
51,2024-02-02 11:48:00,2033.95,2041.95,2032.7,2041.2
52,2024-02-02 11:51:00,2040.8,2043.5,2040.0,2040.8
53,2024-02-02 11:54:00,2041.65,2042.0,2040.35,2041.0
54,2024-02-02 11:57:00,2041.55,2041.55,2040.0,2040.0
55,2024-02-02 12:00:00,2040.4,2042.45,2040.0,2041.0
