,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1095.0,1102.3,1095.0,1098.65
1,2024-01-30 09:18:00,1097.0,1099.5,1096.5,1096.75
2,2024-01-30 09:21:00,1096.05,1097.95,1095.4,1097.4
3,2024-01-30 09:24:00,1096.85,1098.9,1094.95,1095.05
4,2024-01-30 09:27:00,1095.3,1096.15,1094.3,1094.9
5,2024-01-30 09:30:00,1094.0,1095.5,1093.3,1093.4
6,2024-01-30 09:33:00,1093.55,1093.9,1091.2,1093.0
7,2024-01-30 09:36:00,1092.8,1094.75,1092.2,1094.05
8,2024-01-30 09:39:00,1094.0,1096.55,1093.5,1095.6
9,2024-01-30 09:42:00,1095.05,1096.2,1095.05,1095.2
10,2024-01-30 09:45:00,1095.5,1096.65,1095.5,1096.05
11,2024-01-30 09:48:00,1095.05,1097.5,1095.05,1097.25
12,2024-01-30 09:51:00,1097.55,1099.65,1096.55,1096.55
13,2024-01-30 09:54:00,1096.6,1098.75,1096.3,1098.2
14,2024-01-30 09:57:00,1097.8,1099.2,1097.5,1098.65
15,2024-01-30 10:00:00,1098.0,1098.4,1097.1,1097.1
16,2024-01-30 10:03:00,1097.15,1098.25,1096.55,1097.0
17,2024-01-30 10:06:00,1096.75,1101.3,1096.75,1100.75
18,2024-01-30 10:09:00,1100.35,1102.0,1100.35,1101.0
19,2024-01-30 10:12:00,1100.85,1100.9,1098.95,1099.65
20,2024-01-30 10:15:00,1099.15,1100.5,1099.15,1100.0
21,2024-01-30 10:18:00,1099.8,1099.95,1097.25,1097.25
22,2024-01-30 10:21:00,1097.55,1097.55,1096.6,1096.65
23,2024-01-30 10:24:00,1096.45,1097.5,1095.95,1097.5
24,2024-01-30 10:27:00,1096.55,1097.05,1096.05,1096.6
25,2024-01-30 10:30:00,1096.15,1096.2,1095.35,1096.0
26,2024-01-30 10:33:00,1095.6,1097.35,1095.6,1097.2
27,2024-01-30 10:36:00,1097.15,1097.15,1096.25,1096.75
28,2024-01-30 10:39:00,1096.35,1096.75,1095.5,1095.5
29,2024-01-30 10:42:00,1095.9,1096.0,1095.25,1095.75
30,2024-01-30 10:45:00,1095.3,1095.75,1095.0,1095.15
31,2024-01-30 10:48:00,1095.0,1096.1,1094.4,1095.8
32,2024-01-30 10:51:00,1096.3,1099.0,1095.75,1097.05
33,2024-01-30 10:54:00,1097.0,1099.15,1097.0,1099.15
34,2024-01-30 10:57:00,1099.2,1099.2,1094.5,1095.2
35,2024-01-30 11:00:00,1094.7,1096.6,1094.7,1094.75
36,2024-01-30 11:03:00,1095.0,1095.45,1094.5,1094.6
37,2024-01-30 11:06:00,1094.5,1094.6,1090.3,1091.75
38,2024-01-30 11:09:00,1091.35,1091.35,1089.2,1090.0
39,2024-01-30 11:12:00,1089.5,1090.05,1088.55,1089.0
40,2024-01-30 11:15:00,1089.1,1089.9,1088.9,1089.75
41,2024-01-30 11:18:00,1089.5,1090.4,1089.25,1089.5
42,2024-01-30 11:21:00,1089.3,1089.5,1088.0,1088.55
43,2024-01-30 11:24:00,1088.5,1088.75,1087.7,1088.4
44,2024-01-30 11:27:00,1088.75,1088.75,1087.7,1087.7
45,2024-01-30 11:30:00,1088.05,1089.05,1088.05,1088.9
46,2024-01-30 11:33:00,1089.1,1089.55,1088.85,1089.5
47,2024-01-30 11:36:00,1090.35,1090.35,1089.0,1089.4
48,2024-01-30 11:39:00,1089.0,1089.4,1088.15,1088.35
49,2024-01-30 11:42:00,1088.15,1089.4,1088.05,1088.85
50,2024-01-30 11:45:00,1088.15,1088.85,1087.2,1088.15
51,2024-01-30 11:48:00,1088.0,1088.0,1086.0,1086.85
52,2024-01-30 11:51:00,1086.5,1087.2,1086.05,1086.05
53,2024-01-30 11:54:00,1085.95,1088.6,1085.95,1088.35
54,2024-01-30 11:57:00,1088.15,1088.45,1087.85,1088.35
55,2024-01-30 12:00:00,1088.05,1088.5,1086.95,1087.95
56,2024-01-30 12:03:00,1087.45,1087.85,1086.65,1086.75
57,2024-01-30 12:06:00,1086.35,1086.75,1086.15,1086.55
58,2024-01-30 12:09:00,1086.15,1087.25,1085.95,1086.45
59,2024-01-30 12:12:00,1086.4,1088.35,1086.4,1087.35
60,2024-01-30 12:15:00,1086.8,1088.5,1086.8,1088.5
61,2024-01-30 12:18:00,1087.9,1088.45,1087.0,1088.15
62,2024-01-30 12:21:00,1088.2,1088.3,1087.35,1087.55
63,2024-01-30 12:24:00,1087.95,1087.95,1086.45,1087.0
