,time,into,inth,intl,intc
0,2024-02-01 09:51:00,764.3,764.65,762.4,762.9
1,2024-02-01 09:54:00,762.5,762.9,761.0,762.15
2,2024-02-01 09:57:00,761.6,761.65,760.5,760.6
3,2024-02-01 10:00:00,760.9,760.9,758.4,759.4
4,2024-02-01 10:03:00,759.35,761.95,759.2,761.95
5,2024-02-01 10:06:00,761.75,761.95,759.95,760.3
6,2024-02-01 10:09:00,760.0,760.0,758.55,759.5
7,2024-02-01 10:12:00,759.05,759.6,758.0,758.0
8,2024-02-01 10:15:00,757.8,758.0,754.0,754.3
9,2024-02-01 10:18:00,754.45,755.2,752.65,754.0
10,2024-02-01 10:21:00,754.4,756.25,754.4,756.25
11,2024-02-01 10:24:00,756.0,756.35,754.3,756.35
12,2024-02-01 10:27:00,756.4,757.0,755.8,756.4
13,2024-02-01 10:30:00,756.35,756.75,755.5,756.0
14,2024-02-01 10:33:00,754.9,755.05,753.7,754.0
15,2024-02-01 10:36:00,754.05,756.95,754.05,756.95
16,2024-02-01 10:39:00,756.65,757.0,755.35,755.35
17,2024-02-01 10:42:00,755.55,755.9,753.95,754.55
18,2024-02-01 10:45:00,754.6,754.65,750.65,750.85
19,2024-02-01 10:48:00,751.25,753.15,750.55,753.15
20,2024-02-01 10:51:00,753.05,754.75,752.55,754.5
21,2024-02-01 10:54:00,754.45,754.8,753.25,753.25
22,2024-02-01 10:57:00,753.3,753.55,752.9,753.5
23,2024-02-01 11:00:00,753.6,753.6,752.05,752.55
24,2024-02-01 11:03:00,752.7,753.05,751.8,752.0
25,2024-02-01 11:06:00,751.95,752.85,750.85,752.8
26,2024-02-01 11:09:00,752.45,753.0,752.05,752.8
27,2024-02-01 11:12:00,752.75,752.9,751.7,752.6
28,2024-02-01 11:15:00,752.7,752.7,749.2,750.7
29,2024-02-01 11:18:00,751.0,752.0,750.7,750.9
30,2024-02-01 11:21:00,750.85,751.4,750.5,750.8
31,2024-02-01 11:24:00,750.9,751.2,749.3,749.65
32,2024-02-01 11:27:00,749.85,752.25,749.85,752.05
33,2024-02-01 11:30:00,752.15,752.95,751.75,752.95
34,2024-02-01 11:33:00,753.1,753.1,752.35,752.9
35,2024-02-01 11:36:00,753.05,753.8,752.7,752.7
36,2024-02-01 11:39:00,752.9,754.1,752.7,753.1
37,2024-02-01 11:42:00,753.4,753.9,753.1,753.6
38,2024-02-01 11:45:00,753.5,755.65,753.5,755.5
39,2024-02-01 11:48:00,755.55,755.55,754.35,754.8
40,2024-02-01 11:51:00,754.85,754.85,754.2,754.55
41,2024-02-01 11:54:00,753.85,754.0,752.7,752.7
42,2024-02-01 11:57:00,753.1,755.3,752.0,755.1
43,2024-02-01 12:00:00,755.2,755.2,752.0,752.15
44,2024-02-01 12:03:00,752.05,753.35,751.3,752.9
45,2024-02-01 12:06:00,753.05,756.0,753.05,754.75
46,2024-02-01 12:09:00,754.7,756.15,754.4,755.85
47,2024-02-01 12:12:00,756.1,756.1,755.25,755.4
48,2024-02-01 12:15:00,755.5,755.5,754.75,755.35
49,2024-02-01 12:18:00,755.4,755.45,754.2,754.6
50,2024-02-01 12:21:00,754.5,754.75,752.85,753.55
51,2024-02-01 12:24:00,753.45,754.0,753.3,753.65
52,2024-02-01 12:27:00,754.05,755.0,753.65,754.45
53,2024-02-01 12:30:00,754.55,755.4,753.3,753.3
54,2024-02-01 12:33:00,753.7,755.0,753.7,754.6
55,2024-02-01 12:36:00,754.55,755.4,754.2,754.5
56,2024-02-01 12:39:00,754.25,755.85,754.1,755.4
57,2024-02-01 12:42:00,755.65,756.0,755.2,755.75
58,2024-02-01 12:45:00,755.9,756.45,755.6,756.45
59,2024-02-01 12:48:00,756.35,757.05,756.15,756.4
60,2024-02-01 12:51:00,756.1,758.8,756.0,758.7
61,2024-02-01 12:54:00,758.5,758.7,758.0,758.4
62,2024-02-01 12:57:00,758.45,759.7,758.05,759.0
63,2024-02-01 13:00:00,759.15,759.55,757.8,759.35
64,2024-02-01 13:03:00,759.3,759.55,758.6,759.15
65,2024-02-01 13:06:00,759.2,759.5,759.0,759.25
66,2024-02-01 13:09:00,759.3,759.5,759.0,759.45
67,2024-02-01 13:12:00,759.4,759.5,758.8,759.5
68,2024-02-01 13:15:00,759.45,759.5,758.75,759.35
69,2024-02-01 13:18:00,759.4,759.5,758.45,759.1
70,2024-02-01 13:21:00,759.15,759.95,758.95,759.95
71,2024-02-01 13:24:00,760.0,760.0,758.45,758.5
72,2024-02-01 13:27:00,759.1,759.1,757.8,758.7
73,2024-02-01 13:30:00,758.75,758.85,757.15,758.45
74,2024-02-01 13:33:00,758.1,758.45,757.25,757.65
75,2024-02-01 13:36:00,757.7,758.35,757.55,757.75
76,2024-02-01 13:39:00,758.0,758.0,756.25,757.35
77,2024-02-01 13:42:00,757.45,757.5,756.8,756.95
78,2024-02-01 13:45:00,757.0,758.7,756.75,758.7
79,2024-02-01 13:48:00,759.0,759.45,757.75,758.3
80,2024-02-01 13:51:00,758.25,759.5,758.25,759.5
81,2024-02-01 13:54:00,759.1,759.45,758.25,758.5
82,2024-02-01 13:57:00,758.45,758.5,757.7,758.25
83,2024-02-01 14:00:00,758.05,758.7,758.0,758.65
84,2024-02-01 14:03:00,758.7,759.0,758.25,758.7
85,2024-02-01 14:06:00,758.85,760.0,758.55,759.95
86,2024-02-01 14:09:00,759.9,759.95,758.3,759.0
87,2024-02-01 14:12:00,758.7,759.0,758.45,758.95
88,2024-02-01 14:15:00,758.8,758.95,758.05,758.65
89,2024-02-01 14:18:00,758.6,759.25,758.6,759.05
90,2024-02-01 14:21:00,759.2,759.5,758.45,759.4
91,2024-02-01 14:24:00,759.5,759.5,758.55,758.95
92,2024-02-01 14:27:00,759.0,759.35,758.55,759.0
93,2024-02-01 14:30:00,759.4,759.4,758.25,758.95
94,2024-02-01 14:33:00,759.25,759.4,758.3,758.35
95,2024-02-01 14:36:00,758.65,760.2,758.5,760.2
96,2024-02-01 14:39:00,760.45,760.45,759.5,760.25
97,2024-02-01 14:42:00,760.2,760.65,759.75,760.3
98,2024-02-01 14:45:00,760.25,761.6,760.25,761.6
99,2024-02-01 14:48:00,761.25,761.55,760.5,760.75
100,2024-02-01 14:51:00,760.7,760.85,760.3,760.5
101,2024-02-01 14:54:00,760.35,761.0,760.35,761.0
102,2024-02-01 14:57:00,760.95,761.65,760.85,761.0
103,2024-02-01 15:00:00,761.25,761.4,758.55,759.8
104,2024-02-01 15:03:00,759.65,760.35,759.65,760.15
105,2024-02-01 15:06:00,760.2,760.75,759.3,760.25
106,2024-02-01 15:09:00,760.4,760.9,759.35,759.75
107,2024-02-01 15:12:00,760.05,760.5,759.15,759.7
108,2024-02-01 15:15:00,759.75,759.95,758.7,759.55
109,2024-02-01 15:18:00,759.4,760.9,759.0,759.8
110,2024-02-01 15:21:00,760.3,761.65,760.0,760.95
111,2024-02-01 15:24:00,760.75,761.1,759.2,759.4
112,2024-02-01 15:27:00,759.6,760.0,756.45,760.0
113,2024-02-02 09:15:00,761.5,761.5,756.0,757.05
114,2024-02-02 09:18:00,757.2,758.45,752.0,754.6
115,2024-02-02 09:21:00,754.7,757.35,753.75,756.95
116,2024-02-02 09:24:00,757.0,758.05,756.2,757.0
117,2024-02-02 09:27:00,756.5,757.0,755.65,756.4
118,2024-02-02 09:30:00,756.6,757.7,755.9,757.1
119,2024-02-02 09:33:00,757.7,758.5,757.4,758.5
120,2024-02-02 09:36:00,759.0,759.55,756.5,756.95
121,2024-02-02 09:39:00,756.9,758.6,755.65,757.95
122,2024-02-02 09:42:00,758.5,758.65,757.3,757.7
123,2024-02-02 09:45:00,757.85,758.5,757.05,758.0
124,2024-02-02 09:48:00,758.3,759.45,757.3,758.15
125,2024-02-02 09:51:00,758.2,758.45,757.0,757.6
126,2024-02-02 09:54:00,757.45,759.2,757.45,758.45
127,2024-02-02 09:57:00,758.05,758.95,758.05,758.9
128,2024-02-02 10:00:00,758.95,758.95,757.55,757.55
129,2024-02-02 10:03:00,758.5,758.55,757.5,758.0
130,2024-02-02 10:06:00,758.55,758.55,757.65,758.15
131,2024-02-02 10:09:00,758.0,758.65,757.45,758.65
132,2024-02-02 10:12:00,758.4,759.35,758.4,759.2
133,2024-02-02 10:15:00,758.65,758.65,758.15,758.65
