,time,into,inth,intl,intc
0,2024-02-02 09:15:00,242.8,247.25,242.8,246.0
1,2024-02-02 09:20:00,246.1,247.2,246.0,247.2
2,2024-02-02 09:25:00,247.1,247.25,245.7,246.1
3,2024-02-02 09:30:00,245.9,246.55,245.75,246.1
4,2024-02-02 09:35:00,246.0,247.0,245.7,246.1
5,2024-02-02 09:40:00,246.45,247.45,246.0,247.45
6,2024-02-02 09:45:00,247.3,247.8,246.5,247.8
7,2024-02-02 09:50:00,247.75,252.7,247.7,252.65
8,2024-02-02 09:55:00,252.7,252.85,250.2,251.8
9,2024-02-02 10:00:00,251.9,254.85,251.25,254.5
10,2024-02-02 10:05:00,254.3,254.3,251.1,251.4
11,2024-02-02 10:10:00,251.75,253.0,251.25,252.75
12,2024-02-02 10:15:00,252.7,253.55,252.6,252.75
13,2024-02-02 10:20:00,252.8,255.0,252.65,254.9
14,2024-02-02 10:25:00,254.75,254.9,252.6,252.75
15,2024-02-02 10:30:00,252.95,253.0,251.85,251.85
16,2024-02-02 10:35:00,251.75,252.45,251.75,252.2
17,2024-02-02 10:40:00,252.15,252.25,251.7,251.95
18,2024-02-02 10:45:00,251.85,252.1,251.7,252.0
19,2024-02-02 10:50:00,251.95,252.4,251.75,252.25
20,2024-02-02 10:55:00,252.35,252.35,251.7,251.95
21,2024-02-02 11:00:00,252.0,252.4,251.8,251.8
22,2024-02-02 11:05:00,251.9,251.95,250.75,250.75
23,2024-02-02 11:10:00,250.8,250.8,248.5,248.75
24,2024-02-02 11:15:00,248.65,249.25,247.5,248.65
25,2024-02-02 11:20:00,248.8,249.4,248.55,249.15
26,2024-02-02 11:25:00,249.05,249.95,248.6,249.55
27,2024-02-02 11:30:00,249.6,250.0,249.25,249.65
28,2024-02-02 11:35:00,249.8,250.0,249.5,249.7
29,2024-02-02 11:40:00,249.5,250.9,249.5,249.65
30,2024-02-02 11:45:00,250.05,250.4,249.65,250.2
31,2024-02-02 11:50:00,250.05,250.4,250.0,250.2
32,2024-02-02 11:55:00,250.15,250.5,250.0,250.25
33,2024-02-02 12:00:00,250.15,250.4,249.9,249.95
34,2024-02-02 12:05:00,250.1,250.5,249.8,249.9
35,2024-02-02 12:10:00,249.8,250.65,249.3,249.6
36,2024-02-02 12:15:00,249.55,250.25,249.25,249.7
37,2024-02-02 12:20:00,249.6,250.25,249.55,250.0
38,2024-02-02 12:25:00,249.85,250.0,248.4,248.8
39,2024-02-02 12:30:00,248.75,248.85,247.3,248.55
40,2024-02-02 12:35:00,248.4,248.85,247.9,248.8
41,2024-02-02 12:40:00,248.75,249.6,248.7,249.25
42,2024-02-02 12:45:00,249.0,249.25,248.25,248.45
43,2024-02-02 12:50:00,248.55,248.85,247.95,248.6
44,2024-02-02 12:55:00,248.5,248.95,248.1,248.45
45,2024-02-02 13:00:00,248.25,248.85,247.95,248.4
46,2024-02-02 13:05:00,248.2,248.4,248.0,248.1
47,2024-02-02 13:10:00,248.3,248.4,247.6,247.75
48,2024-02-02 13:15:00,247.65,249.25,247.25,248.85
49,2024-02-02 13:20:00,248.7,249.3,248.3,248.3
50,2024-02-02 13:25:00,248.55,248.7,248.0,248.55
51,2024-02-02 13:30:00,248.5,248.95,247.65,248.95
52,2024-02-02 13:35:00,248.9,249.25,248.75,249.25
53,2024-02-02 13:40:00,249.2,249.3,248.95,249.15
54,2024-02-02 13:45:00,249.3,249.9,249.0,249.15
55,2024-02-02 13:50:00,249.0,249.5,248.85,249.15
56,2024-02-02 13:55:00,249.3,249.3,248.85,249.0
57,2024-02-02 14:00:00,248.85,249.3,248.7,249.0
58,2024-02-02 14:05:00,249.05,249.7,249.0,249.7
59,2024-02-02 14:10:00,249.55,249.7,247.75,247.9
60,2024-02-02 14:15:00,247.85,248.5,247.85,248.45
61,2024-02-02 14:20:00,248.35,248.85,248.3,248.55
62,2024-02-02 14:25:00,248.45,248.6,248.1,248.35
63,2024-02-02 14:30:00,248.4,248.5,248.05,248.2
64,2024-02-02 14:35:00,248.05,248.45,248.0,248.45
65,2024-02-02 14:40:00,248.25,249.65,248.25,249.25
66,2024-02-02 14:45:00,249.4,249.65,248.55,248.85
67,2024-02-02 14:50:00,249.0,249.0,248.05,248.05
68,2024-02-02 14:55:00,248.1,248.35,247.6,247.9
69,2024-02-02 15:00:00,248.0,248.15,247.3,247.9
70,2024-02-02 15:05:00,247.8,248.45,247.65,248.25
71,2024-02-02 15:10:00,248.5,249.0,248.0,248.0
72,2024-02-02 15:15:00,248.1,249.0,248.05,248.7
73,2024-02-02 15:20:00,248.55,248.8,248.1,248.55
74,2024-02-02 15:25:00,248.6,249.0,248.0,248.55
75,2024-02-03 11:00:00,248.55,248.55,248.55,248.55
76,2024-02-03 11:05:00,248.55,248.55,248.55,248.55
77,2024-02-03 11:30:00,253.0,253.0,250.0,253.0
78,2024-02-03 11:35:00,253.0,258.4,253.0,258.1
79,2024-02-03 12:05:00,258.1,258.1,258.1,258.1
80,2024-02-03 12:10:00,258.1,258.1,258.0,258.0
81,2024-02-03 12:15:00,258.0,258.0,258.0,258.0
82,2024-02-03 12:20:00,258.0,258.0,258.0,258.0
83,2024-02-03 12:25:00,258.0,258.0,258.0,258.0
84,2024-02-03 12:30:00,258.0,258.0,258.0,258.0
85,2024-02-03 12:35:00,258.0,258.0,258.0,258.0
86,2024-02-03 12:40:00,258.0,258.0,258.0,258.0
87,2024-02-03 12:45:00,258.0,258.0,258.0,258.0
88,2024-02-03 12:50:00,243.0,251.95,243.0,251.3
89,2024-02-03 12:55:00,251.4,254.7,243.0,244.0
90,2024-02-03 15:15:00,244.0,244.0,244.0,244.0
91,2024-02-03 15:20:00,244.0,244.0,244.0,244.0
92,2024-02-03 15:25:00,244.0,249.75,244.0,249.75
93,2024-02-05 09:15:00,249.7,249.7,247.55,248.55
94,2024-02-05 09:20:00,248.35,252.7,248.35,251.9
95,2024-02-05 09:25:00,251.8,253.5,251.5,251.75
96,2024-02-05 09:30:00,251.7,251.75,250.0,251.25
97,2024-02-05 09:35:00,251.45,251.65,250.5,250.9
