,time,into,inth,intl,intc
0,2024-01-30 09:15:00,532.5,532.5,526.2,531.95
1,2024-01-30 09:20:00,531.45,532.35,530.0,530.75
2,2024-01-30 09:25:00,530.45,530.75,528.4,528.9
3,2024-01-30 09:30:00,529.15,531.45,528.05,530.6
4,2024-01-30 09:35:00,530.4,532.55,530.4,531.85
5,2024-01-30 09:40:00,531.65,532.35,531.35,531.8
6,2024-01-30 09:45:00,532.1,532.1,526.6,528.1
7,2024-01-30 09:50:00,528.15,529.6,527.65,529.45
8,2024-01-30 09:55:00,529.6,530.65,529.25,530.55
9,2024-01-30 10:00:00,530.5,531.4,529.85,531.4
10,2024-01-30 10:05:00,531.2,532.2,530.9,531.9
11,2024-01-30 10:10:00,531.85,531.95,530.5,530.8
12,2024-01-30 10:15:00,530.75,531.2,530.5,530.95
13,2024-01-30 10:20:00,531.0,531.9,530.5,531.4
14,2024-01-30 10:25:00,531.55,532.5,531.0,532.3
15,2024-01-30 10:30:00,532.2,532.2,531.0,531.45
16,2024-01-30 10:35:00,531.4,531.95,529.85,530.4
17,2024-01-30 10:40:00,530.35,530.75,530.0,530.45
18,2024-01-30 10:45:00,530.5,530.55,528.7,529.45
19,2024-01-30 10:50:00,529.2,529.35,528.25,529.0
20,2024-01-30 10:55:00,529.2,530.15,528.5,529.4
21,2024-01-30 11:00:00,529.25,529.65,529.15,529.45
22,2024-01-30 11:05:00,529.55,529.55,528.4,528.65
23,2024-01-30 11:10:00,528.6,529.05,528.05,528.6
24,2024-01-30 11:15:00,528.7,529.4,528.7,529.15
25,2024-01-30 11:20:00,529.2,529.2,528.35,528.75
26,2024-01-30 11:25:00,528.7,530.0,528.65,529.55
27,2024-01-30 11:30:00,529.3,530.05,529.0,529.7
28,2024-01-30 11:35:00,529.85,530.5,529.7,529.7
29,2024-01-30 11:40:00,529.75,530.8,529.6,530.65
30,2024-01-30 11:45:00,530.55,530.7,530.3,530.45
31,2024-01-30 11:50:00,530.4,530.75,530.35,530.7
32,2024-01-30 11:55:00,530.65,531.35,530.45,531.25
33,2024-01-30 12:00:00,531.2,531.6,530.85,531.1
34,2024-01-30 12:05:00,531.05,532.85,530.55,532.45
35,2024-01-30 12:10:00,532.35,533.6,531.85,533.55
36,2024-01-30 12:15:00,533.65,535.7,533.25,535.6
37,2024-01-30 12:20:00,535.55,535.95,534.8,535.5
38,2024-01-30 12:25:00,535.45,537.45,535.45,536.65
39,2024-01-30 12:30:00,536.6,537.35,536.0,536.3
40,2024-01-30 12:35:00,536.55,537.05,536.15,536.75
41,2024-01-30 12:40:00,536.9,537.25,536.65,536.95
42,2024-01-30 12:45:00,536.9,536.9,535.1,535.65
43,2024-01-30 12:50:00,535.6,536.3,535.35,536.1
44,2024-01-30 12:55:00,536.25,536.6,536.0,536.5
45,2024-01-30 13:00:00,536.55,536.65,535.8,535.95
46,2024-01-30 13:05:00,536.0,536.3,535.5,535.5
47,2024-01-30 13:10:00,535.55,536.65,535.55,536.45
48,2024-01-30 13:15:00,536.5,536.6,536.05,536.35
