,time,into,inth,intl,intc
0,2024-02-02 09:15:00,6300.05,6319.95,6300.0,6300.0
1,2024-02-02 09:20:00,6299.8,6299.8,6280.05,6292.05
2,2024-02-02 09:25:00,6298.65,6299.8,6285.3,6290.0
3,2024-02-02 09:30:00,6289.95,6289.95,6273.8,6285.0
4,2024-02-02 09:35:00,6282.0,6317.4,6282.0,6305.95
5,2024-02-02 09:40:00,6308.7,6325.25,6305.3,6316.75
6,2024-02-02 09:45:00,6311.2,6320.95,6300.0,6320.95
7,2024-02-02 09:50:00,6317.4,6326.2,6311.0,6320.35
8,2024-02-02 09:55:00,6320.0,6328.85,6320.0,6323.1
9,2024-02-02 10:00:00,6321.6,6327.85,6310.85,6327.85
10,2024-02-02 10:05:00,6323.5,6335.2,6320.95,6332.0
11,2024-02-02 10:10:00,6336.55,6343.95,6332.0,6336.8
12,2024-02-02 10:15:00,6345.0,6356.95,6345.0,6347.25
13,2024-02-02 10:20:00,6348.4,6352.35,6340.0,6340.2
14,2024-02-02 10:25:00,6336.0,6350.0,6333.0,6350.0
15,2024-02-02 10:30:00,6352.45,6360.0,6346.25,6354.55
16,2024-02-02 10:35:00,6349.1,6372.15,6349.1,6354.35
17,2024-02-02 10:40:00,6354.4,6365.85,6344.3,6360.3
18,2024-02-02 10:45:00,6357.8,6365.3,6352.0,6352.0
19,2024-02-02 10:50:00,6352.4,6363.6,6352.4,6358.05
20,2024-02-02 10:55:00,6358.05,6370.0,6358.05,6370.0
21,2024-02-02 11:00:00,6366.8,6370.0,6362.25,6362.85
22,2024-02-02 11:05:00,6362.85,6370.0,6362.85,6369.5
23,2024-02-02 11:10:00,6370.0,6370.25,6358.35,6362.0
24,2024-02-02 11:15:00,6358.5,6370.0,6358.5,6367.9
25,2024-02-02 11:20:00,6367.9,6367.9,6361.65,6362.4
26,2024-02-02 11:25:00,6366.0,6372.0,6365.4,6367.8
27,2024-02-02 11:30:00,6371.2,6371.2,6365.0,6365.05
28,2024-02-02 11:35:00,6365.05,6374.0,6364.1,6370.0
29,2024-02-02 11:40:00,6372.15,6380.55,6356.45,6358.45
30,2024-02-02 11:45:00,6354.45,6364.65,6345.9,6359.4
31,2024-02-02 11:50:00,6352.8,6369.0,6352.8,6365.95
32,2024-02-02 11:55:00,6365.95,6365.95,6360.1,6360.1
33,2024-02-02 12:00:00,6364.2,6366.0,6359.15,6366.0
34,2024-02-02 12:05:00,6368.1,6389.95,6367.05,6386.3
35,2024-02-02 12:10:00,6387.15,6387.15,6359.6,6359.6
36,2024-02-02 12:15:00,6357.8,6358.9,6347.5,6348.0
37,2024-02-02 12:20:00,6349.4,6352.55,6346.8,6352.0
38,2024-02-02 12:25:00,6352.0,6352.0,6327.25,6334.3
39,2024-02-02 12:30:00,6335.25,6335.25,6315.9,6332.55
40,2024-02-02 12:35:00,6327.15,6332.85,6315.1,6332.85
41,2024-02-02 12:40:00,6338.25,6348.95,6338.25,6348.65
42,2024-02-02 12:45:00,6349.0,6353.7,6337.25,6337.25
43,2024-02-02 12:50:00,6340.95,6362.55,6340.95,6362.55
44,2024-02-02 12:55:00,6361.0,6361.0,6352.05,6355.4
45,2024-02-02 13:00:00,6357.0,6357.15,6347.3,6355.0
46,2024-02-02 13:05:00,6355.0,6358.2,6355.0,6358.2
47,2024-02-02 13:10:00,6360.6,6362.0,6355.0,6355.15
48,2024-02-02 13:15:00,6350.8,6360.85,6343.8,6360.85
49,2024-02-02 13:20:00,6356.4,6361.8,6345.5,6347.9
50,2024-02-02 13:25:00,6343.1,6353.05,6340.75,6352.3
51,2024-02-02 13:30:00,6350.35,6350.35,6340.3,6345.55
52,2024-02-02 13:35:00,6350.55,6361.25,6350.0,6360.95
53,2024-02-02 13:40:00,6359.6,6365.95,6358.4,6363.0
54,2024-02-02 13:45:00,6363.0,6368.0,6339.55,6339.55
55,2024-02-02 13:50:00,6344.1,6352.1,6342.5,6352.1
56,2024-02-02 13:55:00,6350.0,6351.6,6346.1,6349.35
57,2024-02-02 14:00:00,6349.35,6364.85,6347.75,6364.85
58,2024-02-02 14:05:00,6364.9,6375.95,6361.0,6369.2
59,2024-02-02 14:10:00,6369.7,6378.8,6369.6,6371.7
60,2024-02-02 14:15:00,6374.95,6375.15,6371.0,6371.65
61,2024-02-02 14:20:00,6373.55,6380.15,6371.0,6372.45
62,2024-02-02 14:25:00,6372.45,6375.5,6368.1,6369.0
