,time,into,inth,intl,intc
0,2024-02-01 09:55:00,2479.35,2479.6,2470.05,2473.95
1,2024-02-01 10:00:00,2473.9,2474.0,2468.7,2471.7
2,2024-02-01 10:05:00,2471.75,2485.0,2470.25,2485.0
3,2024-02-01 10:10:00,2484.5,2494.0,2483.95,2488.95
4,2024-02-01 10:15:00,2488.0,2489.0,2472.05,2472.05
5,2024-02-01 10:20:00,2473.65,2475.8,2470.5,2475.35
6,2024-02-01 10:25:00,2474.3,2477.45,2460.15,2469.5
7,2024-02-01 10:30:00,2469.4,2471.45,2463.1,2466.85
8,2024-02-01 10:35:00,2468.2,2471.9,2465.7,2471.9
9,2024-02-01 10:40:00,2472.1,2473.85,2468.1,2470.4
10,2024-02-01 10:45:00,2470.75,2473.5,2467.0,2472.0
11,2024-02-01 10:50:00,2473.0,2475.2,2472.05,2473.45
12,2024-02-01 10:55:00,2473.1,2474.55,2471.35,2474.55
13,2024-02-01 11:00:00,2474.35,2475.3,2469.05,2469.1
14,2024-02-01 11:05:00,2468.0,2468.05,2463.0,2466.15
15,2024-02-01 11:10:00,2464.0,2466.65,2461.0,2462.0
16,2024-02-01 11:15:00,2461.5,2462.0,2448.55,2456.7
17,2024-02-01 11:20:00,2455.4,2457.75,2455.25,2456.0
18,2024-02-01 11:25:00,2455.9,2459.9,2453.0,2456.55
19,2024-02-01 11:30:00,2456.7,2461.0,2456.45,2457.55
20,2024-02-01 11:35:00,2458.65,2459.9,2457.15,2457.55
21,2024-02-01 11:40:00,2458.6,2460.75,2458.5,2460.7
22,2024-02-01 11:45:00,2459.5,2460.85,2457.55,2460.0
23,2024-02-01 11:50:00,2458.65,2460.3,2451.5,2451.5
24,2024-02-01 11:55:00,2451.4,2451.75,2438.3,2440.0
25,2024-02-01 12:00:00,2438.9,2440.0,2430.1,2433.2
26,2024-02-01 12:05:00,2431.55,2441.95,2431.55,2437.35
27,2024-02-01 12:10:00,2435.5,2445.75,2435.5,2439.7
28,2024-02-01 12:15:00,2439.0,2440.95,2435.5,2437.2
29,2024-02-01 12:20:00,2436.0,2438.95,2433.0,2434.55
30,2024-02-01 12:25:00,2434.35,2440.85,2434.35,2435.05
31,2024-02-01 12:30:00,2435.4,2440.45,2435.35,2436.0
32,2024-02-01 12:35:00,2436.05,2445.7,2436.05,2436.85
33,2024-02-01 12:40:00,2436.9,2443.45,2436.6,2439.2
34,2024-02-01 12:45:00,2439.75,2446.95,2439.75,2444.35
35,2024-02-01 12:50:00,2448.45,2453.55,2445.05,2449.65
36,2024-02-01 12:55:00,2451.1,2458.7,2449.5,2457.0
37,2024-02-01 13:00:00,2458.65,2458.65,2455.0,2456.55
38,2024-02-01 13:05:00,2456.5,2461.25,2455.0,2460.0
39,2024-02-01 13:10:00,2459.15,2461.85,2455.45,2456.05
40,2024-02-01 13:15:00,2456.2,2458.15,2450.1,2450.1
41,2024-02-01 13:20:00,2450.25,2453.95,2446.6,2450.85
42,2024-02-01 13:25:00,2450.8,2452.8,2442.85,2444.65
43,2024-02-01 13:30:00,2442.9,2444.7,2438.8,2440.3
44,2024-02-01 13:35:00,2440.4,2443.35,2440.15,2440.25
45,2024-02-01 13:40:00,2440.3,2440.3,2435.75,2437.05
46,2024-02-01 13:45:00,2437.1,2443.9,2436.5,2442.35
47,2024-02-01 13:50:00,2442.4,2447.0,2436.1,2436.15
48,2024-02-01 13:55:00,2436.2,2437.85,2421.35,2429.05
49,2024-02-01 14:00:00,2429.1,2432.0,2428.0,2429.3
50,2024-02-01 14:05:00,2430.0,2432.95,2425.4,2428.9
51,2024-02-01 14:10:00,2428.75,2431.35,2426.4,2428.0
52,2024-02-01 14:15:00,2426.55,2429.8,2425.6,2427.95
53,2024-02-01 14:20:00,2427.8,2431.3,2427.15,2427.25
54,2024-02-01 14:25:00,2427.35,2429.15,2426.0,2427.65
55,2024-02-01 14:30:00,2427.55,2433.6,2427.0,2433.45
56,2024-02-01 14:35:00,2433.6,2437.65,2429.7,2433.4
57,2024-02-01 14:40:00,2434.05,2437.55,2433.0,2435.0
58,2024-02-01 14:45:00,2434.65,2441.8,2434.6,2436.6
59,2024-02-01 14:50:00,2436.65,2442.7,2436.65,2441.0
60,2024-02-01 14:55:00,2440.85,2441.2,2435.0,2438.6
61,2024-02-01 15:00:00,2440.05,2442.0,2433.7,2437.15
62,2024-02-01 15:05:00,2437.3,2441.25,2435.25,2438.0
63,2024-02-01 15:10:00,2439.45,2439.45,2433.55,2434.35
64,2024-02-01 15:15:00,2435.65,2439.75,2434.25,2437.1
65,2024-02-01 15:20:00,2437.0,2440.0,2434.55,2435.15
66,2024-02-01 15:25:00,2435.6,2449.9,2425.4,2449.9
67,2024-02-02 09:15:00,2448.85,2449.75,2431.15,2441.65
68,2024-02-02 09:20:00,2441.0,2444.65,2434.1,2442.2
69,2024-02-02 09:25:00,2442.25,2446.65,2441.0,2442.35
70,2024-02-02 09:30:00,2442.3,2447.05,2442.25,2445.6
71,2024-02-02 09:35:00,2446.1,2449.3,2444.65,2445.1
72,2024-02-02 09:40:00,2445.75,2447.95,2442.55,2443.35
73,2024-02-02 09:45:00,2444.0,2444.25,2435.5,2437.25
74,2024-02-02 09:50:00,2437.2,2448.2,2435.2,2446.55
75,2024-02-02 09:55:00,2447.95,2452.25,2445.05,2450.2
76,2024-02-02 10:00:00,2450.15,2457.3,2450.15,2456.0
77,2024-02-02 10:05:00,2455.15,2458.8,2454.75,2457.2
78,2024-02-02 10:10:00,2458.45,2470.0,2457.6,2470.0
79,2024-02-02 10:15:00,2474.0,2475.25,2462.15,2468.65
80,2024-02-02 10:20:00,2468.05,2470.0,2466.15,2468.05
81,2024-02-02 10:25:00,2468.65,2468.9,2458.5,2461.85
82,2024-02-02 10:30:00,2461.8,2466.0,2458.55,2462.15
83,2024-02-02 10:35:00,2463.0,2464.95,2462.15,2462.15
84,2024-02-02 10:40:00,2462.5,2464.8,2460.9,2463.55
85,2024-02-02 10:45:00,2464.95,2465.0,2462.0,2463.55
86,2024-02-02 10:50:00,2464.8,2466.0,2463.55,2465.0
87,2024-02-02 10:55:00,2465.05,2468.6,2465.0,2468.15
88,2024-02-02 11:00:00,2468.5,2469.25,2465.15,2468.0
89,2024-02-02 11:05:00,2466.85,2474.95,2466.5,2470.8
90,2024-02-02 11:10:00,2469.55,2469.95,2464.8,2468.95
91,2024-02-02 11:15:00,2468.0,2475.0,2468.0,2472.1
92,2024-02-02 11:20:00,2471.3,2475.0,2470.75,2471.95
93,2024-02-02 11:25:00,2471.5,2475.8,2471.15,2474.3
94,2024-02-02 11:30:00,2474.6,2478.25,2468.55,2471.45
95,2024-02-02 11:35:00,2470.0,2471.65,2465.1,2470.65
96,2024-02-02 11:40:00,2470.0,2472.0,2467.05,2467.45
97,2024-02-02 11:45:00,2465.75,2466.1,2458.05,2462.3
98,2024-02-02 11:50:00,2461.05,2462.95,2458.5,2458.7
99,2024-02-02 11:55:00,2458.7,2458.75,2454.0,2454.95
100,2024-02-02 12:00:00,2454.2,2457.85,2454.2,2456.0
101,2024-02-02 12:05:00,2457.0,2458.9,2454.0,2458.0
102,2024-02-02 12:10:00,2458.95,2459.0,2456.05,2457.05
103,2024-02-02 12:15:00,2458.0,2459.0,2457.05,2457.95
104,2024-02-02 12:20:00,2457.05,2459.95,2457.0,2458.0
105,2024-02-02 12:25:00,2457.0,2458.0,2455.9,2457.1
106,2024-02-02 12:30:00,2457.05,2457.7,2439.65,2444.0
107,2024-02-02 12:35:00,2443.0,2450.65,2443.0,2450.65
108,2024-02-02 12:40:00,2448.85,2452.05,2447.2,2450.4
109,2024-02-02 12:45:00,2449.05,2449.05,2447.0,2447.2
110,2024-02-02 12:50:00,2446.4,2449.3,2446.4,2448.0
111,2024-02-02 12:55:00,2447.2,2449.0,2446.55,2447.2
112,2024-02-02 13:00:00,2447.4,2449.55,2446.4,2447.0
113,2024-02-02 13:05:00,2447.2,2447.95,2446.0,2447.2
114,2024-02-02 13:10:00,2446.5,2448.0,2446.0,2447.2
115,2024-02-02 13:15:00,2447.2,2448.95,2446.95,2447.2
116,2024-02-02 13:20:00,2447.55,2448.0,2446.35,2447.2
117,2024-02-02 13:25:00,2447.4,2447.55,2433.05,2443.05
118,2024-02-02 13:30:00,2443.0,2445.4,2442.15,2443.85
119,2024-02-02 13:35:00,2444.05,2447.0,2442.0,2444.25
120,2024-02-02 13:40:00,2444.2,2445.15,2444.2,2444.25
121,2024-02-02 13:45:00,2444.85,2446.65,2444.85,2445.0
122,2024-02-02 13:50:00,2444.85,2449.85,2444.85,2448.1
123,2024-02-02 13:55:00,2447.8,2456.8,2447.8,2454.25
124,2024-02-02 14:00:00,2453.45,2458.3,2453.45,2453.5
125,2024-02-02 14:05:00,2453.45,2456.8,2453.45,2456.0
126,2024-02-02 14:10:00,2455.65,2458.35,2455.4,2456.1
127,2024-02-02 14:15:00,2455.75,2462.7,2455.75,2459.65
128,2024-02-02 14:20:00,2459.7,2459.95,2455.0,2457.4
129,2024-02-02 14:25:00,2456.75,2458.4,2455.15,2455.95
130,2024-02-02 14:30:00,2457.4,2460.0,2455.95,2457.35
131,2024-02-02 14:35:00,2458.9,2459.35,2456.35,2457.05
132,2024-02-02 14:40:00,2456.7,2457.95,2453.3,2453.35
133,2024-02-02 14:45:00,2453.25,2459.0,2452.2,2454.25
134,2024-02-02 14:50:00,2454.35,2456.2,2452.65,2456.0
135,2024-02-02 14:55:00,2456.15,2458.0,2455.8,2456.35
136,2024-02-02 15:00:00,2456.1,2459.0,2455.0,2456.1
137,2024-02-02 15:05:00,2456.05,2456.05,2444.8,2447.5
138,2024-02-02 15:10:00,2449.2,2451.1,2446.9,2448.6
139,2024-02-02 15:15:00,2447.85,2451.5,2444.1,2444.1
140,2024-02-02 15:20:00,2444.5,2453.15,2444.0,2452.0
141,2024-02-02 15:25:00,2454.35,2456.1,2446.45,2456.1
142,2024-02-03 11:00:00,2456.1,2456.1,2456.1,2456.1
143,2024-02-03 11:05:00,2456.1,2550.5,2456.1,2550.5
144,2024-02-03 11:35:00,2550.5,2697.6,2550.5,2550.5
145,2024-02-03 12:05:00,2550.5,2550.5,2550.5,2550.5
146,2024-02-03 12:10:00,2550.5,2550.5,2550.5,2550.5
147,2024-02-03 12:15:00,2550.5,2550.5,2550.5,2550.5
148,2024-02-03 12:20:00,2550.5,2550.5,2550.5,2550.5
149,2024-02-03 12:25:00,2550.5,2550.5,2550.5,2550.5
150,2024-02-03 12:30:00,2550.5,2550.5,2550.5,2550.5
151,2024-02-03 12:35:00,2550.5,2550.5,2550.5,2550.5
152,2024-02-03 12:40:00,2550.5,2550.5,2431.15,2441.0
153,2024-02-03 12:45:00,2441.15,2472.5,2436.55,2464.4
154,2024-02-03 12:50:00,2464.0,2477.85,2460.0,2466.55
155,2024-02-03 12:55:00,2466.25,2470.65,2455.2,2458.9
156,2024-02-05 09:15:00,2458.85,2458.9,2432.1,2438.1
157,2024-02-05 09:20:00,2436.3,2455.4,2433.1,2450.3
158,2024-02-05 09:25:00,2452.75,2477.9,2452.75,2475.0
159,2024-02-05 09:30:00,2475.65,2481.85,2460.45,2465.05
160,2024-02-05 09:35:00,2465.2,2467.95,2460.8,2464.45
161,2024-02-05 09:40:00,2465.9,2467.8,2460.0,2460.2
162,2024-02-05 09:45:00,2460.55,2465.0,2450.3,2451.55
163,2024-02-05 09:50:00,2454.25,2458.85,2453.1,2456.65
164,2024-02-05 09:55:00,2457.45,2461.35,2455.0,2456.45
165,2024-02-05 10:00:00,2455.1,2466.2,2451.9,2462.8
166,2024-02-05 10:05:00,2463.45,2467.8,2460.0,2462.0
167,2024-02-05 10:10:00,2459.5,2465.65,2459.5,2463.35
168,2024-02-05 10:15:00,2462.2,2465.4,2454.1,2460.15
169,2024-02-05 10:20:00,2460.7,2460.95,2452.25,2454.25
170,2024-02-05 10:25:00,2455.8,2460.65,2453.6,2455.95
171,2024-02-05 10:30:00,2455.35,2455.65,2440.2,2440.9
172,2024-02-05 10:35:00,2441.2,2447.8,2440.1,2442.1
173,2024-02-05 10:40:00,2442.2,2443.6,2440.0,2442.0
174,2024-02-05 10:45:00,2441.0,2455.65,2439.45,2444.75
175,2024-02-05 10:50:00,2445.0,2446.1,2442.05,2443.7
176,2024-02-05 10:55:00,2442.85,2447.65,2442.8,2446.75
177,2024-02-05 11:00:00,2446.6,2451.1,2444.0,2451.1
178,2024-02-05 11:05:00,2452.9,2454.45,2444.0,2444.0
179,2024-02-05 11:10:00,2444.1,2452.25,2444.1,2450.0
180,2024-02-05 11:15:00,2449.8,2453.4,2449.2,2451.4
181,2024-02-05 11:20:00,2449.9,2453.25,2446.95,2453.2
182,2024-02-05 11:25:00,2453.0,2455.0,2450.55,2453.0
183,2024-02-05 11:30:00,2452.55,2454.0,2451.0,2451.45
184,2024-02-05 11:35:00,2452.75,2455.35,2451.6,2452.3
185,2024-02-05 11:40:00,2452.9,2452.9,2445.0,2445.05
186,2024-02-05 11:45:00,2445.1,2445.7,2442.65,2442.8
187,2024-02-05 11:50:00,2442.75,2446.5,2442.75,2445.9
188,2024-02-05 11:55:00,2444.65,2446.3,2435.05,2442.25
189,2024-02-05 12:00:00,2442.45,2447.4,2440.0,2442.95
190,2024-02-05 12:05:00,2444.15,2446.15,2442.7,2446.15
191,2024-02-05 12:10:00,2445.85,2449.85,2444.35,2448.25
192,2024-02-05 12:15:00,2448.2,2452.9,2448.2,2450.0
193,2024-02-05 12:20:00,2448.55,2451.0,2446.85,2447.2
194,2024-02-05 12:25:00,2446.0,2450.2,2446.0,2448.95
195,2024-02-05 12:30:00,2449.95,2450.75,2445.0,2445.1
196,2024-02-05 12:35:00,2445.2,2450.0,2444.95,2447.3
197,2024-02-05 12:40:00,2448.8,2448.95,2446.4,2446.4
198,2024-02-05 12:45:00,2446.3,2446.8,2441.45,2441.65
199,2024-02-05 12:50:00,2441.55,2444.95,2440.0,2442.95
200,2024-02-05 12:55:00,2443.95,2444.2,2441.1,2442.65
201,2024-02-05 13:00:00,2442.6,2445.3,2438.0,2438.0
202,2024-02-05 13:05:00,2437.0,2440.5,2435.0,2435.0
203,2024-02-05 13:10:00,2435.2,2438.2,2435.2,2436.1
204,2024-02-05 13:15:00,2436.75,2438.5,2436.5,2436.8
205,2024-02-05 13:20:00,2436.85,2441.0,2436.75,2438.3
206,2024-02-05 13:25:00,2436.75,2438.2,2425.0,2429.05
207,2024-02-05 13:30:00,2430.2,2434.05,2425.15,2426.6
208,2024-02-05 13:35:00,2427.35,2430.0,2425.0,2428.15
209,2024-02-05 13:40:00,2425.95,2428.4,2422.65,2424.95
210,2024-02-05 13:45:00,2424.55,2429.45,2423.15,2426.05
211,2024-02-05 13:50:00,2425.95,2425.95,2423.15,2423.45
212,2024-02-05 13:55:00,2423.5,2437.1,2421.8,2426.4
213,2024-02-05 14:00:00,2426.45,2429.9,2420.1,2420.45
214,2024-02-05 14:05:00,2420.35,2422.0,2420.3,2421.0
215,2024-02-05 14:10:00,2421.75,2425.3,2416.55,2416.55
216,2024-02-05 14:15:00,2416.45,2420.35,2412.4,2416.45
217,2024-02-05 14:20:00,2414.55,2419.0,2413.0,2418.05
218,2024-02-05 14:25:00,2418.15,2421.6,2415.8,2420.95
219,2024-02-05 14:30:00,2421.0,2421.55,2411.0,2414.05
220,2024-02-05 14:35:00,2413.15,2419.25,2411.1,2416.3
221,2024-02-05 14:40:00,2415.9,2424.9,2413.8,2419.35
222,2024-02-05 14:45:00,2419.55,2429.2,2413.6,2413.8
223,2024-02-05 14:50:00,2414.65,2418.35,2411.0,2415.0
224,2024-02-05 14:55:00,2414.85,2415.65,2407.15,2409.4
225,2024-02-05 15:00:00,2409.2,2415.0,2406.8,2411.3
226,2024-02-05 15:05:00,2411.95,2418.0,2411.3,2416.4
227,2024-02-05 15:10:00,2415.55,2420.7,2413.5,2416.65
228,2024-02-05 15:15:00,2417.0,2419.5,2408.85,2411.4
229,2024-02-05 15:20:00,2409.8,2411.8,2401.1,2401.3
230,2024-02-05 15:25:00,2401.35,2411.95,2400.0,2411.95
231,2024-02-06 09:15:00,2419.4,2420.65,2401.15,2413.7
232,2024-02-06 09:20:00,2413.5,2414.8,2403.65,2406.4
233,2024-02-06 09:25:00,2407.35,2407.35,2397.6,2404.9
234,2024-02-06 09:30:00,2405.2,2415.0,2401.0,2410.1
235,2024-02-06 09:35:00,2410.0,2410.6,2407.05,2408.85
236,2024-02-06 09:40:00,2408.8,2410.0,2403.45,2405.2
237,2024-02-06 09:45:00,2405.4,2411.4,2405.4,2410.5
238,2024-02-06 09:50:00,2410.0,2410.75,2403.9,2404.6
239,2024-02-06 09:55:00,2404.5,2408.45,2401.05,2405.75
240,2024-02-06 10:00:00,2405.0,2405.75,2399.7,2403.55
241,2024-02-06 10:05:00,2402.85,2404.05,2396.0,2399.85
242,2024-02-06 10:10:00,2399.35,2402.7,2399.15,2400.45
243,2024-02-06 10:15:00,2400.85,2404.0,2398.55,2399.95
244,2024-02-06 10:20:00,2399.35,2409.1,2398.95,2399.7
245,2024-02-06 10:25:00,2400.0,2403.35,2391.5,2392.25
246,2024-02-06 10:30:00,2392.0,2399.0,2387.5,2397.6
247,2024-02-06 10:35:00,2395.9,2401.25,2393.8,2400.0
248,2024-02-06 10:40:00,2399.5,2404.0,2398.2,2399.5
249,2024-02-06 10:45:00,2399.45,2402.9,2397.25,2398.6
250,2024-02-06 10:50:00,2398.2,2405.55,2398.05,2402.9
251,2024-02-06 10:55:00,2402.8,2407.6,2402.8,2406.1
252,2024-02-06 11:00:00,2406.05,2409.15,2398.0,2402.75
253,2024-02-06 11:05:00,2402.65,2404.3,2401.0,2403.25
254,2024-02-06 11:10:00,2403.05,2406.5,2401.05,2405.9
255,2024-02-06 11:15:00,2405.7,2410.85,2404.95,2408.65
256,2024-02-06 11:20:00,2408.6,2408.6,2402.85,2402.85
257,2024-02-06 11:25:00,2404.0,2404.0,2397.15,2397.15
258,2024-02-06 11:30:00,2398.0,2403.35,2398.0,2401.0
259,2024-02-06 11:35:00,2402.75,2402.75,2398.6,2398.65
260,2024-02-06 11:40:00,2399.55,2399.55,2395.0,2395.75
261,2024-02-06 11:45:00,2397.0,2400.0,2396.6,2397.8
262,2024-02-06 11:50:00,2398.9,2398.95,2392.8,2395.8
263,2024-02-06 11:55:00,2395.9,2397.55,2394.2,2395.6
264,2024-02-06 12:00:00,2396.8,2396.85,2394.5,2394.5
265,2024-02-06 12:05:00,2395.65,2401.05,2394.55,2395.2
266,2024-02-06 12:10:00,2395.5,2399.0,2394.0,2397.35
267,2024-02-06 12:15:00,2399.15,2399.15,2394.25,2396.95
268,2024-02-06 12:20:00,2395.75,2399.25,2395.55,2397.0
269,2024-02-06 12:25:00,2397.7,2397.7,2394.05,2394.05
270,2024-02-06 12:30:00,2394.1,2397.9,2393.2,2394.55
271,2024-02-06 12:35:00,2395.5,2398.5,2392.85,2397.8
272,2024-02-06 12:40:00,2395.95,2397.75,2395.1,2395.1
273,2024-02-06 12:45:00,2396.05,2396.05,2392.1,2392.65
274,2024-02-06 12:50:00,2392.7,2394.05,2388.5,2390.9
275,2024-02-06 12:55:00,2389.4,2389.5,2387.15,2387.85
276,2024-02-06 13:00:00,2387.65,2392.55,2387.3,2390.5
277,2024-02-06 13:05:00,2390.55,2394.05,2390.05,2394.05
278,2024-02-06 13:10:00,2393.25,2394.5,2391.0,2394.05
279,2024-02-06 13:15:00,2392.9,2393.65,2391.45,2392.0
280,2024-02-06 13:20:00,2392.3,2394.5,2391.15,2393.45
281,2024-02-06 13:25:00,2393.85,2394.2,2392.35,2392.35
282,2024-02-06 13:30:00,2393.0,2398.2,2392.35,2397.1
283,2024-02-06 13:35:00,2397.15,2397.15,2392.15,2392.65
284,2024-02-06 13:40:00,2392.6,2396.4,2392.4,2394.55
285,2024-02-06 13:45:00,2394.5,2397.0,2392.05,2393.5
286,2024-02-06 13:50:00,2392.9,2395.75,2392.0,2392.15
287,2024-02-06 13:55:00,2393.35,2393.9,2392.15,2392.5
288,2024-02-06 14:00:00,2392.45,2400.0,2391.0,2399.3
289,2024-02-06 14:05:00,2398.15,2400.0,2397.0,2397.6
290,2024-02-06 14:10:00,2398.45,2398.75,2387.05,2388.65
291,2024-02-06 14:15:00,2389.25,2392.6,2388.55,2390.3
292,2024-02-06 14:20:00,2390.5,2392.45,2388.8,2388.8
293,2024-02-06 14:25:00,2389.55,2389.55,2381.4,2384.0
294,2024-02-06 14:30:00,2384.05,2387.45,2381.9,2385.85
295,2024-02-06 14:35:00,2386.65,2391.25,2385.85,2391.2
296,2024-02-06 14:40:00,2390.15,2391.35,2385.4,2386.95
297,2024-02-06 14:45:00,2386.15,2388.75,2383.0,2383.3
298,2024-02-06 14:50:00,2383.95,2387.1,2381.9,2382.8
299,2024-02-06 14:55:00,2383.5,2383.5,2379.35,2383.1
300,2024-02-06 15:00:00,2383.3,2384.05,2379.65,2379.95
301,2024-02-06 15:05:00,2379.9,2386.8,2379.85,2385.8
302,2024-02-06 15:10:00,2386.15,2386.15,2380.0,2380.1
303,2024-02-06 15:15:00,2380.0,2384.1,2378.15,2382.35
304,2024-02-06 15:20:00,2381.3,2389.7,2381.25,2388.05
305,2024-02-06 15:25:00,2389.05,2390.0,2385.45,2390.0
306,2024-02-07 09:15:00,2401.1,2404.0,2393.0,2397.45
307,2024-02-07 09:20:00,2397.35,2400.0,2395.6,2400.0
308,2024-02-07 09:25:00,2399.2,2399.95,2387.4,2388.0
309,2024-02-07 09:30:00,2387.4,2389.45,2381.3,2385.3
310,2024-02-07 09:35:00,2386.9,2389.9,2385.15,2389.0
311,2024-02-07 09:40:00,2388.7,2388.85,2377.0,2378.6
312,2024-02-07 09:45:00,2377.15,2379.3,2366.9,2369.85
313,2024-02-07 09:50:00,2367.05,2376.6,2367.05,2374.7
314,2024-02-07 09:55:00,2373.0,2377.85,2373.0,2375.8
315,2024-02-07 10:00:00,2377.4,2378.15,2372.55,2374.05
316,2024-02-07 10:05:00,2373.45,2373.65,2369.0,2371.3
317,2024-02-07 10:10:00,2371.55,2374.1,2366.55,2373.0
318,2024-02-07 10:15:00,2373.7,2375.0,2372.05,2373.0
319,2024-02-07 10:20:00,2374.0,2375.75,2372.55,2372.55
320,2024-02-07 10:25:00,2373.0,2374.75,2366.2,2367.1
321,2024-02-07 10:30:00,2368.4,2370.05,2365.1,2370.0
322,2024-02-07 10:35:00,2369.0,2369.95,2358.0,2362.5
323,2024-02-07 10:40:00,2363.55,2365.75,2360.3,2364.3
324,2024-02-07 10:45:00,2365.75,2371.15,2365.75,2368.1
325,2024-02-07 10:50:00,2369.25,2370.1,2367.15,2369.95
326,2024-02-07 10:55:00,2370.4,2373.2,2370.0,2373.2
327,2024-02-07 11:00:00,2373.6,2373.65,2371.65,2373.35
328,2024-02-07 11:05:00,2372.6,2373.6,2369.0,2369.05
329,2024-02-07 11:10:00,2369.95,2370.0,2369.0,2370.0
330,2024-02-07 11:15:00,2371.05,2372.4,2369.9,2372.0
331,2024-02-07 11:20:00,2371.05,2371.35,2369.0,2369.55
332,2024-02-07 11:25:00,2369.5,2369.5,2365.95,2366.7
333,2024-02-07 11:30:00,2366.55,2367.1,2362.0,2362.5
334,2024-02-07 11:35:00,2360.0,2360.0,2356.0,2356.95
335,2024-02-07 11:40:00,2357.35,2361.2,2356.0,2361.1
336,2024-02-07 11:45:00,2361.35,2367.1,2359.9,2366.0
337,2024-02-07 11:50:00,2367.1,2369.1,2366.25,2368.35
338,2024-02-07 11:55:00,2367.4,2367.4,2361.2,2363.5
339,2024-02-07 12:00:00,2364.05,2365.2,2361.95,2362.3
340,2024-02-07 12:05:00,2362.5,2363.0,2361.1,2362.35
341,2024-02-07 12:10:00,2361.3,2363.65,2357.95,2359.0
342,2024-02-07 12:15:00,2358.5,2362.25,2358.15,2361.5
343,2024-02-07 12:20:00,2360.65,2361.5,2360.0,2360.5
344,2024-02-07 12:25:00,2361.5,2362.0,2360.5,2361.0
345,2024-02-07 12:30:00,2361.1,2364.8,2360.0,2364.8
346,2024-02-07 12:35:00,2365.7,2366.1,2363.25,2363.8
347,2024-02-07 12:40:00,2364.4,2364.4,2362.95,2364.3
348,2024-02-07 12:45:00,2363.3,2364.9,2362.05,2362.55
349,2024-02-07 12:50:00,2363.8,2363.8,2361.0,2361.0
350,2024-02-07 12:55:00,2360.0,2361.05,2356.55,2356.6
351,2024-02-07 13:00:00,2355.1,2360.05,2355.1,2359.2
352,2024-02-07 13:05:00,2359.0,2365.3,2359.0,2365.3
353,2024-02-07 13:10:00,2365.0,2365.25,2364.1,2365.0
354,2024-02-07 13:15:00,2364.95,2365.45,2363.05,2364.3
355,2024-02-07 13:20:00,2364.75,2365.05,2356.55,2357.05
356,2024-02-07 13:25:00,2357.0,2359.95,2352.2,2354.05
357,2024-02-07 13:30:00,2354.75,2354.75,2346.6,2347.0
358,2024-02-07 13:35:00,2347.4,2350.0,2345.0,2345.0
359,2024-02-07 13:40:00,2345.05,2347.4,2345.0,2346.0
360,2024-02-07 13:45:00,2345.55,2356.75,2344.0,2354.7
361,2024-02-07 13:50:00,2355.0,2359.4,2355.0,2358.0
362,2024-02-07 13:55:00,2358.65,2365.0,2358.0,2363.25
363,2024-02-07 14:00:00,2364.7,2365.15,2362.05,2362.2
364,2024-02-07 14:05:00,2363.15,2364.0,2362.2,2363.5
365,2024-02-07 14:10:00,2363.95,2370.0,2363.5,2368.45
366,2024-02-07 14:15:00,2369.0,2369.7,2366.1,2367.25
367,2024-02-07 14:20:00,2368.0,2372.0,2366.5,2366.5
368,2024-02-07 14:25:00,2367.15,2368.5,2365.05,2365.1
369,2024-02-07 14:30:00,2366.4,2366.4,2362.9,2364.95
370,2024-02-07 14:35:00,2365.25,2369.8,2363.0,2366.05
371,2024-02-07 14:40:00,2366.0,2369.9,2364.75,2369.8
