,time,into,inth,intl,intc
0,2024-02-01 09:55:00,394.6,394.85,393.0,393.1
1,2024-02-01 10:00:00,393.45,393.7,392.05,393.6
2,2024-02-01 10:05:00,393.55,394.35,393.2,393.95
3,2024-02-01 10:10:00,393.9,393.9,393.0,393.25
4,2024-02-01 10:15:00,393.15,393.3,392.55,392.95
5,2024-02-01 10:20:00,392.75,393.1,392.65,393.0
6,2024-02-01 10:25:00,393.05,393.3,393.0,393.3
7,2024-02-01 10:30:00,392.9,393.85,392.9,393.5
8,2024-02-01 10:35:00,393.7,394.1,392.05,392.5
9,2024-02-01 10:40:00,391.85,393.0,391.85,392.95
10,2024-02-01 10:45:00,393.0,393.0,392.5,392.65
11,2024-02-01 10:50:00,392.8,392.95,392.3,392.95
12,2024-02-01 10:55:00,392.9,392.9,392.65,392.7
13,2024-02-01 11:00:00,392.9,393.9,392.65,392.9
14,2024-02-01 11:05:00,392.8,392.85,392.15,392.8
15,2024-02-01 11:10:00,392.65,392.75,391.85,392.15
16,2024-02-01 11:15:00,392.05,392.15,389.95,391.3
17,2024-02-01 11:20:00,391.6,392.0,391.0,391.5
18,2024-02-01 11:25:00,391.7,392.2,391.1,391.5
19,2024-02-01 11:30:00,391.8,392.05,391.55,391.6
20,2024-02-01 11:35:00,391.8,392.5,391.6,391.7
21,2024-02-01 11:40:00,391.85,392.25,391.0,391.0
22,2024-02-01 11:45:00,390.85,391.15,390.55,391.1
23,2024-02-01 11:50:00,391.0,391.2,390.75,391.0
24,2024-02-01 11:55:00,390.8,391.0,390.25,390.3
25,2024-02-01 12:00:00,390.25,390.6,388.8,388.8
26,2024-02-01 12:05:00,388.55,390.9,388.5,390.75
27,2024-02-01 12:10:00,390.95,391.3,390.35,390.85
28,2024-02-01 12:15:00,390.65,390.7,389.75,390.35
29,2024-02-01 12:20:00,390.15,390.35,389.15,389.9
30,2024-02-01 12:25:00,389.8,389.9,389.0,389.1
31,2024-02-01 12:30:00,389.2,389.85,388.5,389.15
32,2024-02-01 12:35:00,389.2,389.8,389.2,389.7
33,2024-02-01 12:40:00,389.65,389.8,389.3,389.65
34,2024-02-01 12:45:00,389.75,390.35,389.45,390.35
35,2024-02-01 12:50:00,390.1,390.5,389.8,390.4
36,2024-02-01 12:55:00,390.5,390.5,390.05,390.1
37,2024-02-01 13:00:00,390.15,390.3,389.75,390.2
38,2024-02-01 13:05:00,390.25,390.3,389.9,390.2
39,2024-02-01 13:10:00,390.0,390.55,389.75,390.2
40,2024-02-01 13:15:00,390.4,390.8,390.4,390.7
41,2024-02-01 13:20:00,390.5,390.55,390.15,390.15
42,2024-02-01 13:25:00,390.35,390.35,389.65,389.95
43,2024-02-01 13:30:00,389.85,389.85,389.15,389.4
44,2024-02-01 13:35:00,389.25,390.45,389.2,389.6
45,2024-02-01 13:40:00,389.5,390.0,389.2,390.0
46,2024-02-01 13:45:00,390.4,391.8,389.85,391.45
47,2024-02-01 13:50:00,391.7,391.7,389.95,390.0
48,2024-02-01 13:55:00,389.9,390.5,389.7,389.7
49,2024-02-01 14:00:00,390.0,390.0,389.8,390.0
50,2024-02-01 14:05:00,389.9,390.45,389.9,390.2
51,2024-02-01 14:10:00,390.3,390.35,389.8,389.8
52,2024-02-01 14:15:00,389.75,389.95,388.7,389.3
53,2024-02-01 14:20:00,389.45,389.55,388.85,388.85
54,2024-02-01 14:25:00,388.95,389.3,388.7,388.7
55,2024-02-01 14:30:00,389.0,389.05,388.55,388.85
56,2024-02-01 14:35:00,388.8,389.2,388.65,388.65
57,2024-02-01 14:40:00,389.05,389.05,388.55,388.85
58,2024-02-01 14:45:00,388.9,389.0,388.55,388.85
59,2024-02-01 14:50:00,388.8,389.55,388.6,388.9
60,2024-02-01 14:55:00,389.1,389.7,388.95,389.1
61,2024-02-01 15:00:00,389.05,389.2,388.6,388.65
62,2024-02-01 15:05:00,388.75,389.0,388.5,389.0
63,2024-02-01 15:10:00,388.95,389.2,388.5,388.65
64,2024-02-01 15:15:00,388.8,389.65,388.65,389.0
65,2024-02-01 15:20:00,388.95,389.3,388.4,388.45
66,2024-02-01 15:25:00,388.4,390.95,388.4,390.95
67,2024-02-02 09:15:00,390.9,392.5,390.45,390.8
68,2024-02-02 09:20:00,391.05,392.15,390.6,391.9
69,2024-02-02 09:25:00,391.65,391.9,390.75,391.25
70,2024-02-02 09:30:00,391.2,392.0,391.0,391.65
71,2024-02-02 09:35:00,391.7,393.45,391.55,393.35
72,2024-02-02 09:40:00,393.4,394.2,393.0,393.0
73,2024-02-02 09:45:00,393.1,394.0,392.6,394.0
74,2024-02-02 09:50:00,394.45,394.9,393.7,393.95
75,2024-02-02 09:55:00,393.6,393.7,393.0,393.25
76,2024-02-02 10:00:00,393.05,396.3,393.05,395.8
77,2024-02-02 10:05:00,395.45,395.85,394.5,394.6
78,2024-02-02 10:10:00,394.5,394.7,393.7,394.15
79,2024-02-02 10:15:00,394.25,394.5,394.0,394.3
80,2024-02-02 10:20:00,394.1,396.35,393.8,396.05
81,2024-02-02 10:25:00,396.25,396.25,395.0,395.2
82,2024-02-02 10:30:00,395.0,395.15,394.7,394.9
83,2024-02-02 10:35:00,394.85,396.5,394.8,396.45
84,2024-02-02 10:40:00,396.5,397.4,395.5,397.15
85,2024-02-02 10:45:00,397.25,398.35,397.0,397.35
86,2024-02-02 10:50:00,397.1,397.5,396.75,396.95
87,2024-02-02 10:55:00,397.0,397.0,396.15,396.7
88,2024-02-02 11:00:00,396.8,396.85,396.2,396.8
89,2024-02-02 11:05:00,396.85,396.9,396.2,396.3
90,2024-02-02 11:10:00,396.5,396.5,396.25,396.3
91,2024-02-02 11:15:00,396.2,396.95,396.05,396.9
92,2024-02-02 11:20:00,396.75,396.9,396.25,396.55
93,2024-02-02 11:25:00,396.4,396.9,396.15,396.15
94,2024-02-02 11:30:00,396.0,396.3,395.6,395.95
95,2024-02-02 11:35:00,395.8,396.15,395.55,396.15
96,2024-02-02 11:40:00,396.05,396.35,395.35,395.8
97,2024-02-02 11:45:00,395.6,395.75,395.15,395.2
98,2024-02-02 11:50:00,395.25,395.45,395.15,395.35
99,2024-02-02 11:55:00,395.2,395.55,395.15,395.3
100,2024-02-02 12:00:00,395.35,395.5,393.2,394.5
101,2024-02-02 12:05:00,394.3,395.0,394.2,394.95
102,2024-02-02 12:10:00,394.55,394.7,394.0,394.3
103,2024-02-02 12:15:00,394.2,394.75,394.0,394.7
104,2024-02-02 12:20:00,394.6,394.75,394.0,394.3
105,2024-02-02 12:25:00,394.1,394.35,393.55,393.7
106,2024-02-02 12:30:00,393.5,393.7,392.5,393.45
107,2024-02-02 12:35:00,393.3,393.7,392.75,393.5
108,2024-02-02 12:40:00,393.8,394.5,393.6,394.3
109,2024-02-02 12:45:00,394.25,394.3,393.7,393.9
110,2024-02-02 12:50:00,394.0,394.6,393.7,394.35
111,2024-02-02 12:55:00,394.55,394.6,393.15,393.2
112,2024-02-02 13:00:00,393.15,394.0,392.75,393.75
113,2024-02-02 13:05:00,393.9,394.1,393.1,393.4
114,2024-02-02 13:10:00,393.25,393.5,392.55,392.6
