,time,into,inth,intl,intc
0,2024-02-01 09:55:00,245.6,246.65,245.35,246.35
1,2024-02-01 10:00:00,246.45,247.1,245.75,246.3
2,2024-02-01 10:05:00,246.2,246.3,245.75,245.85
3,2024-02-01 10:10:00,245.9,245.9,244.9,245.15
4,2024-02-01 10:15:00,245.1,245.15,243.8,244.0
5,2024-02-01 10:20:00,243.95,244.35,243.8,244.2
6,2024-02-01 10:25:00,244.25,244.8,243.9,244.3
7,2024-02-01 10:30:00,244.35,244.6,244.1,244.2
8,2024-02-01 10:35:00,244.25,245.45,244.15,244.8
9,2024-02-01 10:40:00,244.95,245.35,244.2,244.35
10,2024-02-01 10:45:00,244.4,245.15,244.35,245.05
11,2024-02-01 10:50:00,245.0,245.65,245.0,245.2
12,2024-02-01 10:55:00,245.15,245.2,243.55,245.05
13,2024-02-01 11:00:00,245.1,245.35,244.8,244.85
14,2024-02-01 11:05:00,244.8,245.5,244.4,245.35
15,2024-02-01 11:10:00,245.2,246.7,245.15,246.55
16,2024-02-01 11:15:00,246.7,246.75,244.5,245.55
17,2024-02-01 11:20:00,245.7,246.3,245.55,246.05
18,2024-02-01 11:25:00,246.1,246.2,245.2,245.25
19,2024-02-01 11:30:00,245.15,245.2,244.5,245.0
20,2024-02-01 11:35:00,245.05,245.6,244.9,245.1
21,2024-02-01 11:40:00,245.0,245.45,244.8,244.8
22,2024-02-01 11:45:00,244.85,245.3,244.7,245.25
23,2024-02-01 11:50:00,245.2,246.4,245.15,245.85
24,2024-02-01 11:55:00,245.95,246.1,244.25,244.4
25,2024-02-01 12:00:00,244.5,245.6,243.05,244.0
26,2024-02-01 12:05:00,243.9,251.45,243.9,251.2
27,2024-02-01 12:10:00,251.35,251.35,247.7,248.7
28,2024-02-01 12:15:00,248.6,250.6,248.25,249.6
29,2024-02-01 12:20:00,249.45,250.6,248.55,250.2
30,2024-02-01 12:25:00,250.15,253.55,250.0,252.15
31,2024-02-01 12:30:00,252.25,253.4,251.6,252.35
32,2024-02-01 12:35:00,252.4,253.95,252.2,252.6
33,2024-02-01 12:40:00,252.65,254.95,252.4,254.0
34,2024-02-01 12:45:00,254.2,256.3,254.1,255.7
35,2024-02-01 12:50:00,255.9,257.45,255.9,256.7
36,2024-02-01 12:55:00,256.8,257.2,255.4,256.05
37,2024-02-01 13:00:00,256.1,256.45,254.65,255.15
38,2024-02-01 13:05:00,255.3,256.7,255.2,256.3
39,2024-02-01 13:10:00,256.35,257.35,255.1,255.6
40,2024-02-01 13:15:00,255.75,256.35,253.7,253.7
41,2024-02-01 13:20:00,253.9,255.2,253.85,254.6
42,2024-02-01 13:25:00,254.5,254.8,252.5,253.25
43,2024-02-01 13:30:00,253.15,253.6,251.55,252.1
44,2024-02-01 13:35:00,252.25,252.7,250.8,251.2
45,2024-02-01 13:40:00,251.15,252.45,250.7,251.55
46,2024-02-01 13:45:00,251.4,252.45,251.0,252.2
47,2024-02-01 13:50:00,252.1,252.8,251.65,252.25
48,2024-02-01 13:55:00,252.15,252.4,251.65,252.25
49,2024-02-01 14:00:00,252.3,253.6,251.75,253.5
50,2024-02-01 14:05:00,253.55,253.55,252.9,253.25
51,2024-02-01 14:10:00,253.35,254.0,253.25,253.8
52,2024-02-01 14:15:00,253.7,254.8,253.0,254.7
53,2024-02-01 14:20:00,254.8,255.8,254.7,255.7
54,2024-02-01 14:25:00,255.65,255.95,255.2,255.95
55,2024-02-01 14:30:00,255.75,255.9,255.1,255.4
56,2024-02-01 14:35:00,255.5,256.25,254.9,255.25
