,time,into,inth,intl,intc
0,2024-01-30 09:15:00,564.0,566.1,562.8,564.75
1,2024-01-30 09:20:00,564.9,565.55,563.6,564.95
2,2024-01-30 09:25:00,564.55,564.75,561.8,562.15
3,2024-01-30 09:30:00,561.85,563.15,561.35,562.15
4,2024-01-30 09:35:00,562.4,563.0,562.0,562.4
5,2024-01-30 09:40:00,562.1,562.95,562.05,562.5
6,2024-01-30 09:45:00,562.6,562.7,561.05,562.05
7,2024-01-30 09:50:00,562.15,563.35,562.1,562.85
8,2024-01-30 09:55:00,562.95,563.2,562.4,562.55
9,2024-01-30 10:00:00,562.9,563.0,561.55,561.75
10,2024-01-30 10:05:00,561.95,562.15,561.1,562.0
11,2024-01-30 10:10:00,561.9,562.3,561.15,561.15
12,2024-01-30 10:15:00,561.55,561.85,561.0,561.85
13,2024-01-30 10:20:00,561.9,561.9,561.0,561.6
14,2024-01-30 10:25:00,561.0,561.35,560.25,560.75
15,2024-01-30 10:30:00,560.25,561.3,560.25,561.15
16,2024-01-30 10:35:00,560.75,561.15,560.3,560.4
17,2024-01-30 10:40:00,560.35,560.95,560.25,560.55
18,2024-01-30 10:45:00,560.25,560.5,559.0,559.5
19,2024-01-30 10:50:00,559.4,559.7,559.0,559.3
20,2024-01-30 10:55:00,559.6,560.15,559.5,560.15
21,2024-01-30 11:00:00,559.9,560.45,559.75,560.05
22,2024-01-30 11:05:00,560.45,560.45,559.55,559.65
23,2024-01-30 11:10:00,559.95,559.95,559.0,559.1
24,2024-01-30 11:15:00,559.65,559.65,559.05,559.1
25,2024-01-30 11:20:00,559.3,559.55,558.3,559.15
26,2024-01-30 11:25:00,559.35,562.9,559.35,562.4
27,2024-01-30 11:30:00,562.35,563.95,562.25,563.45
28,2024-01-30 11:35:00,563.8,563.9,563.45,563.65
29,2024-01-30 11:40:00,563.6,563.75,563.5,563.7
30,2024-01-30 11:45:00,563.75,563.8,563.35,563.35
31,2024-01-30 11:50:00,563.5,564.6,563.35,564.6
32,2024-01-30 11:55:00,564.4,564.75,564.35,564.45
33,2024-01-30 12:00:00,564.65,565.5,564.15,565.1
34,2024-01-30 12:05:00,565.3,565.6,565.0,565.3
35,2024-01-30 12:10:00,565.05,565.35,565.0,565.3
36,2024-01-30 12:15:00,565.05,565.4,565.0,565.0
37,2024-01-30 12:20:00,565.1,565.4,565.0,565.15
38,2024-01-30 12:25:00,565.0,565.35,565.0,565.0
39,2024-01-30 12:30:00,565.2,565.2,565.0,565.05
40,2024-01-30 12:35:00,565.2,565.2,565.0,565.0
41,2024-01-30 12:40:00,565.2,565.5,565.0,565.4
42,2024-01-30 12:45:00,565.5,566.0,565.0,565.15
43,2024-01-30 12:50:00,565.45,565.45,565.0,565.0
44,2024-01-30 12:55:00,565.05,565.15,565.0,565.0
45,2024-01-30 13:00:00,565.0,565.1,565.0,565.1
46,2024-01-30 13:05:00,565.0,565.05,564.0,564.05
47,2024-01-30 13:10:00,563.85,565.1,563.85,565.0
48,2024-01-30 13:15:00,565.1,565.35,564.5,565.05
49,2024-01-30 13:20:00,565.15,565.25,564.8,565.25
50,2024-01-30 13:25:00,565.2,566.7,565.0,566.05
51,2024-01-30 13:30:00,566.1,566.55,565.75,565.8
52,2024-01-30 13:35:00,566.0,566.25,565.75,565.9
53,2024-01-30 13:40:00,566.2,566.3,565.55,566.15
54,2024-01-30 13:45:00,565.85,566.05,565.0,565.05
55,2024-01-30 13:50:00,565.0,565.25,564.75,564.75
56,2024-01-30 13:55:00,564.5,565.7,564.5,565.5
57,2024-01-30 14:00:00,565.3,565.5,565.0,565.0
58,2024-01-30 14:05:00,565.2,565.2,564.65,564.95
59,2024-01-30 14:10:00,564.65,565.65,564.5,565.65
60,2024-01-30 14:15:00,565.6,565.8,565.25,565.25
61,2024-01-30 14:20:00,565.6,565.6,565.0,565.25
62,2024-01-30 14:25:00,565.1,565.1,565.0,565.0
63,2024-01-30 14:30:00,565.05,565.45,563.85,565.45
64,2024-01-30 14:35:00,565.25,565.45,565.0,565.15
65,2024-01-30 14:40:00,565.05,565.3,565.0,565.1
66,2024-01-30 14:45:00,565.0,565.15,565.0,565.1
67,2024-01-30 14:50:00,565.4,565.8,564.25,565.05
68,2024-01-30 14:55:00,565.0,565.2,563.7,564.4
69,2024-01-30 15:00:00,564.6,565.05,562.65,563.25
70,2024-01-30 15:05:00,563.0,563.35,561.05,562.65
71,2024-01-30 15:10:00,562.45,562.8,561.4,561.95
72,2024-01-30 15:15:00,561.7,561.95,561.0,561.05
73,2024-01-30 15:20:00,561.0,561.05,559.6,559.8
74,2024-01-30 15:25:00,559.75,562.1,558.75,562.1
75,2024-01-31 09:15:00,562.05,563.6,558.0,563.2
76,2024-01-31 09:20:00,562.85,563.75,562.3,563.5
77,2024-01-31 09:25:00,563.6,564.1,562.85,562.9
78,2024-01-31 09:30:00,563.3,563.45,561.15,562.15
79,2024-01-31 09:35:00,562.3,562.85,560.05,560.5
80,2024-01-31 09:40:00,561.2,561.7,560.25,561.0
81,2024-01-31 09:45:00,560.8,561.3,559.75,560.45
82,2024-01-31 09:50:00,560.5,560.95,560.0,560.25
83,2024-01-31 09:55:00,560.3,560.8,560.0,560.35
84,2024-01-31 10:00:00,560.05,560.9,559.2,560.75
85,2024-01-31 10:05:00,560.65,560.8,559.05,559.65
86,2024-01-31 10:10:00,559.6,560.4,558.65,559.05
87,2024-01-31 10:15:00,559.0,559.65,558.7,559.15
88,2024-01-31 10:20:00,559.0,559.3,558.7,558.75
89,2024-01-31 10:25:00,559.0,559.2,558.7,559.15
90,2024-01-31 10:30:00,559.0,559.2,558.3,559.1
91,2024-01-31 10:35:00,559.0,559.7,558.75,559.7
