,time,into,inth,intl,intc
0,2024-02-01 09:55:00,269.45,269.9,269.15,269.4
1,2024-02-01 10:00:00,269.3,270.0,268.65,270.0
2,2024-02-01 10:05:00,269.85,269.95,269.1,269.2
3,2024-02-01 10:10:00,269.1,269.9,268.9,269.6
4,2024-02-01 10:15:00,269.5,269.5,267.8,269.15
5,2024-02-01 10:20:00,269.1,269.7,268.6,269.4
6,2024-02-01 10:25:00,269.6,269.6,269.05,269.35
7,2024-02-01 10:30:00,269.25,269.4,268.0,268.5
8,2024-02-01 10:35:00,268.45,269.25,267.8,269.1
9,2024-02-01 10:40:00,268.9,269.1,268.55,269.05
10,2024-02-01 10:45:00,269.1,269.35,268.5,268.7
11,2024-02-01 10:50:00,268.5,269.25,268.5,269.15
12,2024-02-01 10:55:00,269.2,269.25,268.45,269.05
13,2024-02-01 11:00:00,269.1,269.2,268.65,269.0
14,2024-02-01 11:05:00,268.85,269.05,268.35,268.4
15,2024-02-01 11:10:00,268.35,268.7,267.85,268.4
16,2024-02-01 11:15:00,268.35,268.35,266.65,267.9
17,2024-02-01 11:20:00,268.0,268.2,267.8,268.05
18,2024-02-01 11:25:00,268.0,268.8,267.9,268.75
19,2024-02-01 11:30:00,268.65,268.85,268.2,268.3
20,2024-02-01 11:35:00,268.4,268.85,268.3,268.6
21,2024-02-01 11:40:00,268.65,268.8,268.3,268.5
22,2024-02-01 11:45:00,268.6,268.65,268.25,268.6
23,2024-02-01 11:50:00,268.5,268.6,268.3,268.4
24,2024-02-01 11:55:00,268.35,268.4,267.6,268.2
25,2024-02-01 12:00:00,268.15,268.2,266.35,267.3
26,2024-02-01 12:05:00,267.25,268.5,267.1,268.5
27,2024-02-01 12:10:00,268.45,269.0,268.25,268.45
28,2024-02-01 12:15:00,268.1,268.4,267.85,268.05
29,2024-02-01 12:20:00,267.95,268.2,266.95,267.1
30,2024-02-01 12:25:00,266.95,267.25,266.3,266.4
31,2024-02-01 12:30:00,266.55,267.15,266.35,267.15
32,2024-02-01 12:35:00,266.9,267.2,266.5,266.8
33,2024-02-01 12:40:00,266.9,267.8,266.65,267.7
34,2024-02-01 12:45:00,267.5,268.25,267.45,268.15
35,2024-02-01 12:50:00,268.1,268.95,268.1,268.55
36,2024-02-01 12:55:00,268.65,269.0,268.45,268.8
37,2024-02-01 13:00:00,268.95,268.95,268.4,268.7
38,2024-02-01 13:05:00,268.55,268.75,268.4,268.75
39,2024-02-01 13:10:00,268.55,268.75,268.3,268.65
40,2024-02-01 13:15:00,268.45,268.7,268.25,268.25
41,2024-02-01 13:20:00,268.35,268.65,268.3,268.35
42,2024-02-01 13:25:00,268.45,268.55,267.7,268.15
43,2024-02-01 13:30:00,268.2,268.3,267.75,267.85
44,2024-02-01 13:35:00,268.0,268.4,267.5,267.8
45,2024-02-01 13:40:00,267.75,268.05,267.45,267.75
46,2024-02-01 13:45:00,267.85,268.45,267.8,268.15
47,2024-02-01 13:50:00,268.25,268.5,267.85,268.45
48,2024-02-01 13:55:00,268.4,268.6,268.2,268.5
49,2024-02-01 14:00:00,268.35,268.6,268.3,268.6
50,2024-02-01 14:05:00,268.55,268.95,268.4,268.9
51,2024-02-01 14:10:00,268.75,268.95,268.7,268.95
52,2024-02-01 14:15:00,268.9,269.0,268.45,269.0
53,2024-02-01 14:20:00,268.9,269.0,268.75,268.8
54,2024-02-01 14:25:00,268.9,268.95,268.7,268.9
55,2024-02-01 14:30:00,268.8,269.8,268.65,269.35
56,2024-02-01 14:35:00,269.4,269.4,269.0,269.15
57,2024-02-01 14:40:00,269.2,269.75,269.1,269.15
58,2024-02-01 14:45:00,269.25,269.6,269.05,269.45
59,2024-02-01 14:50:00,269.5,269.9,269.45,269.9
60,2024-02-01 14:55:00,269.75,270.15,269.6,270.05
61,2024-02-01 15:00:00,270.1,270.2,269.2,269.4
62,2024-02-01 15:05:00,269.45,269.55,269.0,269.25
63,2024-02-01 15:10:00,269.3,269.4,269.0,269.0
64,2024-02-01 15:15:00,269.15,269.2,268.9,269.15
65,2024-02-01 15:20:00,269.2,270.45,269.1,270.15
66,2024-02-01 15:25:00,270.3,272.0,269.35,272.0
67,2024-02-02 09:15:00,271.9,272.7,271.1,271.55
68,2024-02-02 09:20:00,271.6,272.0,271.05,271.2
69,2024-02-02 09:25:00,271.15,271.5,270.6,271.05
70,2024-02-02 09:30:00,271.0,271.9,270.75,271.85
71,2024-02-02 09:35:00,271.9,272.8,271.65,272.35
72,2024-02-02 09:40:00,272.2,272.7,271.8,272.05
73,2024-02-02 09:45:00,272.15,272.35,271.55,272.15
74,2024-02-02 09:50:00,272.3,273.25,272.15,272.75
75,2024-02-02 09:55:00,272.85,272.9,272.0,272.3
76,2024-02-02 10:00:00,272.1,272.4,271.45,272.1
77,2024-02-02 10:05:00,272.0,272.5,271.7,272.0
78,2024-02-02 10:10:00,272.35,273.2,271.7,273.2
79,2024-02-02 10:15:00,273.1,273.3,272.8,273.3
80,2024-02-02 10:20:00,273.4,273.7,273.2,273.4
81,2024-02-02 10:25:00,273.45,275.0,273.45,274.85
82,2024-02-02 10:30:00,274.8,274.85,273.9,273.95
83,2024-02-02 10:35:00,274.2,274.6,273.7,274.6
84,2024-02-02 10:40:00,274.7,275.05,274.3,274.9
85,2024-02-02 10:45:00,274.8,275.0,273.95,274.55
86,2024-02-02 10:50:00,274.6,275.1,274.5,274.55
87,2024-02-02 10:55:00,274.6,274.7,273.5,273.95
88,2024-02-02 11:00:00,273.9,274.5,273.9,274.25
89,2024-02-02 11:05:00,274.3,274.3,274.0,274.2
90,2024-02-02 11:10:00,274.15,274.35,274.0,274.25
91,2024-02-02 11:15:00,274.3,274.3,274.0,274.1
92,2024-02-02 11:20:00,274.15,274.25,273.85,274.1
93,2024-02-02 11:25:00,274.15,274.3,273.8,274.2
94,2024-02-02 11:30:00,274.25,274.3,273.75,273.8
95,2024-02-02 11:35:00,273.95,274.0,273.5,274.0
96,2024-02-02 11:40:00,273.95,274.1,273.7,273.85
97,2024-02-02 11:45:00,273.95,274.1,273.5,273.7
98,2024-02-02 11:50:00,273.65,273.9,273.05,273.25
99,2024-02-02 11:55:00,273.05,273.5,273.05,273.5
100,2024-02-02 12:00:00,273.45,273.45,272.5,272.85
101,2024-02-02 12:05:00,272.95,273.0,272.7,272.95
102,2024-02-02 12:10:00,273.0,273.0,272.1,272.4
103,2024-02-02 12:15:00,272.3,272.8,272.15,272.5
104,2024-02-02 12:20:00,272.55,275.35,272.5,275.15
105,2024-02-02 12:25:00,275.1,275.1,273.75,274.9
