,time,into,inth,intl,intc
0,2024-02-01 09:55:00,840.85,840.85,837.05,837.15
1,2024-02-01 10:00:00,837.1,837.95,836.55,837.45
2,2024-02-01 10:05:00,837.35,840.65,836.95,839.65
3,2024-02-01 10:10:00,839.95,839.95,838.3,838.7
4,2024-02-01 10:15:00,839.05,839.05,837.25,837.7
5,2024-02-01 10:20:00,837.5,838.1,836.1,837.9
6,2024-02-01 10:25:00,837.5,838.25,836.35,837.5
7,2024-02-01 10:30:00,837.2,838.0,836.6,837.5
8,2024-02-01 10:35:00,838.0,838.1,835.35,835.95
9,2024-02-01 10:40:00,835.45,836.15,835.0,835.0
10,2024-02-01 10:45:00,835.15,837.3,834.8,836.8
11,2024-02-01 10:50:00,836.7,840.5,836.15,840.5
12,2024-02-01 10:55:00,840.1,841.95,839.3,841.4
13,2024-02-01 11:00:00,841.05,843.0,839.95,839.95
14,2024-02-01 11:05:00,840.1,840.6,837.35,838.0
15,2024-02-01 11:10:00,837.65,838.5,837.4,837.65
16,2024-02-01 11:15:00,837.85,837.95,832.35,833.75
17,2024-02-01 11:20:00,834.1,836.0,833.0,834.95
18,2024-02-01 11:25:00,834.45,835.0,833.0,833.35
19,2024-02-01 11:30:00,833.8,835.0,832.95,833.65
20,2024-02-01 11:35:00,833.6,835.0,831.7,832.1
21,2024-02-01 11:40:00,832.7,832.7,831.3,831.65
22,2024-02-01 11:45:00,832.25,832.25,829.3,830.25
23,2024-02-01 11:50:00,830.2,831.65,827.25,827.5
24,2024-02-01 11:55:00,828.0,828.55,823.55,825.7
25,2024-02-01 12:00:00,825.35,826.0,823.05,823.1
26,2024-02-01 12:05:00,823.5,828.6,823.05,827.05
27,2024-02-01 12:10:00,827.0,828.9,826.2,826.6
28,2024-02-01 12:15:00,826.1,826.95,822.0,824.05
29,2024-02-01 12:20:00,823.7,824.85,823.0,823.0
30,2024-02-01 12:25:00,822.65,823.65,821.5,821.5
31,2024-02-01 12:30:00,821.7,822.75,818.9,821.15
32,2024-02-01 12:35:00,820.8,822.0,818.3,819.15
33,2024-02-01 12:40:00,819.2,823.45,819.2,823.3
34,2024-02-01 12:45:00,823.45,824.75,823.0,824.2
35,2024-02-01 12:50:00,824.3,825.8,824.2,825.7
36,2024-02-01 12:55:00,825.25,829.2,824.8,829.1
37,2024-02-01 13:00:00,828.9,829.5,827.1,828.9
38,2024-02-01 13:05:00,828.65,828.85,827.8,828.15
39,2024-02-01 13:10:00,828.05,828.45,827.2,827.3
40,2024-02-01 13:15:00,827.2,828.7,825.0,825.0
41,2024-02-01 13:20:00,825.25,828.95,825.0,828.95
42,2024-02-01 13:25:00,829.05,829.75,827.1,829.7
43,2024-02-01 13:30:00,829.65,829.7,827.3,828.35
44,2024-02-01 13:35:00,827.9,829.9,827.45,827.85
45,2024-02-01 13:40:00,828.25,830.0,827.55,829.0
46,2024-02-01 13:45:00,829.15,829.55,828.0,829.1
47,2024-02-01 13:50:00,829.05,829.6,828.35,828.45
48,2024-02-01 13:55:00,828.75,829.7,828.1,829.15
49,2024-02-01 14:00:00,829.45,829.55,828.85,828.85
50,2024-02-01 14:05:00,828.75,829.65,828.5,828.9
51,2024-02-01 14:10:00,828.5,830.0,828.5,828.75
52,2024-02-01 14:15:00,829.15,829.15,827.4,828.4
53,2024-02-01 14:20:00,828.8,829.1,827.7,828.75
54,2024-02-01 14:25:00,828.25,830.85,828.1,830.55
55,2024-02-01 14:30:00,830.1,832.1,829.8,831.1
56,2024-02-01 14:35:00,831.4,831.4,829.05,829.9
57,2024-02-01 14:40:00,829.55,830.3,829.25,829.5
58,2024-02-01 14:45:00,829.8,831.85,829.25,831.5
