,time,into,inth,intl,intc
0,2024-01-30 09:15:00,867.95,868.0,857.2,863.5
1,2024-01-30 09:20:00,863.25,863.8,858.75,862.2
2,2024-01-30 09:25:00,861.55,861.95,856.05,858.15
3,2024-01-30 09:30:00,857.65,860.95,856.35,858.35
4,2024-01-30 09:35:00,858.3,860.85,856.25,859.5
5,2024-01-30 09:40:00,859.75,865.6,859.7,865.0
6,2024-01-30 09:45:00,865.35,865.35,858.55,859.05
7,2024-01-30 09:50:00,859.55,860.9,859.05,860.2
8,2024-01-30 09:55:00,860.45,862.75,859.7,860.4
9,2024-01-30 10:00:00,860.85,861.3,859.3,860.7
10,2024-01-30 10:05:00,861.0,861.0,859.05,860.0
11,2024-01-30 10:10:00,859.85,861.95,859.1,861.5
12,2024-01-30 10:15:00,861.75,862.65,859.0,859.05
13,2024-01-30 10:20:00,859.6,860.45,859.0,859.45
14,2024-01-30 10:25:00,859.85,860.85,857.45,860.45
15,2024-01-30 10:30:00,860.85,860.85,859.0,859.3
16,2024-01-30 10:35:00,859.0,860.5,859.0,860.0
17,2024-01-30 10:40:00,860.1,864.45,860.0,863.0
18,2024-01-30 10:45:00,863.15,863.15,860.4,861.1
19,2024-01-30 10:50:00,861.25,861.35,858.2,858.85
20,2024-01-30 10:55:00,858.45,859.2,855.6,857.9
21,2024-01-30 11:00:00,857.65,860.45,857.0,860.1
22,2024-01-30 11:05:00,859.65,860.1,857.05,857.95
23,2024-01-30 11:10:00,857.65,861.0,857.0,861.0
24,2024-01-30 11:15:00,860.85,861.35,855.0,857.4
25,2024-01-30 11:20:00,856.95,857.65,855.5,855.95
26,2024-01-30 11:25:00,855.9,860.75,855.35,859.9
27,2024-01-30 11:30:00,860.0,868.0,859.9,867.5
28,2024-01-30 11:35:00,866.9,870.75,866.9,869.15
29,2024-01-30 11:40:00,868.7,874.4,868.65,872.9
30,2024-01-30 11:45:00,872.5,873.9,869.8,871.05
31,2024-01-30 11:50:00,871.25,872.0,869.2,871.35
32,2024-01-30 11:55:00,871.5,872.4,870.85,871.3
33,2024-01-30 12:00:00,871.75,871.75,867.5,867.5
34,2024-01-30 12:05:00,868.15,869.9,867.9,869.5
35,2024-01-30 12:10:00,869.15,871.9,869.0,871.0
36,2024-01-30 12:15:00,871.4,873.95,870.05,873.4
37,2024-01-30 12:20:00,873.05,884.35,872.35,884.05
38,2024-01-30 12:25:00,884.3,891.35,884.0,885.0
39,2024-01-30 12:30:00,884.45,887.65,882.7,884.6
40,2024-01-30 12:35:00,884.9,893.05,882.1,890.5
41,2024-01-30 12:40:00,890.45,894.5,886.75,887.2
42,2024-01-30 12:45:00,886.85,892.0,885.8,889.1
43,2024-01-30 12:50:00,889.05,890.15,887.6,888.7
44,2024-01-30 12:55:00,888.3,889.7,886.35,888.0
45,2024-01-30 13:00:00,888.1,889.0,886.15,886.7
