,time,into,inth,intl,intc
0,2024-02-02 09:15:00,302.8,304.6,302.8,303.95
1,2024-02-02 09:20:00,303.55,304.0,303.3,303.5
2,2024-02-02 09:25:00,303.35,303.35,302.75,303.1
3,2024-02-02 09:30:00,303.05,303.4,302.9,303.0
4,2024-02-02 09:35:00,302.85,304.3,302.85,303.85
5,2024-02-02 09:40:00,304.05,304.6,303.85,304.55
6,2024-02-02 09:45:00,304.35,304.6,303.3,303.6
7,2024-02-02 09:50:00,303.35,304.0,303.35,303.95
8,2024-02-02 09:55:00,303.8,304.0,303.65,303.95
9,2024-02-02 10:00:00,303.8,303.95,303.3,303.3
10,2024-02-02 10:05:00,303.5,303.5,302.6,302.95
11,2024-02-02 10:10:00,302.7,304.6,302.55,303.5
12,2024-02-02 10:15:00,303.4,303.65,303.25,303.45
13,2024-02-02 10:20:00,303.75,304.35,303.5,304.05
14,2024-02-02 10:25:00,304.3,304.3,304.0,304.15
15,2024-02-02 10:30:00,304.1,304.5,304.05,304.2
16,2024-02-02 10:35:00,304.3,304.75,304.2,304.6
17,2024-02-02 10:40:00,304.65,305.45,304.35,305.45
18,2024-02-02 10:45:00,305.5,305.9,305.15,305.8
19,2024-02-02 10:50:00,305.7,307.25,305.6,307.2
20,2024-02-02 10:55:00,307.0,307.45,306.45,307.2
21,2024-02-02 11:00:00,307.45,307.45,306.1,306.2
22,2024-02-02 11:05:00,306.15,306.25,305.45,305.5
23,2024-02-02 11:10:00,305.45,305.6,305.0,305.2
24,2024-02-02 11:15:00,305.15,306.5,305.15,305.85
25,2024-02-02 11:20:00,305.95,306.2,305.25,305.25
26,2024-02-02 11:25:00,305.4,306.15,305.25,305.9
27,2024-02-02 11:30:00,306.15,306.45,305.65,306.05
28,2024-02-02 11:35:00,306.2,306.5,306.05,306.5
29,2024-02-02 11:40:00,306.55,307.15,306.35,307.0
30,2024-02-02 11:45:00,307.05,307.3,307.0,307.1
31,2024-02-02 11:50:00,307.15,307.25,306.65,306.65
32,2024-02-02 11:55:00,306.6,306.65,306.15,306.35
33,2024-02-02 12:00:00,306.4,306.65,306.3,306.5
34,2024-02-02 12:05:00,306.55,307.15,306.55,306.55
35,2024-02-02 12:10:00,306.6,306.9,306.55,306.7
36,2024-02-02 12:15:00,306.6,306.85,306.55,306.6
37,2024-02-02 12:20:00,306.55,306.8,306.55,306.7
38,2024-02-02 12:25:00,306.55,306.65,305.65,305.65
39,2024-02-02 12:30:00,305.55,305.9,304.7,305.65
40,2024-02-02 12:35:00,305.6,305.6,305.05,305.55
41,2024-02-02 12:40:00,305.6,305.9,305.25,305.5
42,2024-02-02 12:45:00,305.55,305.55,304.8,304.9
43,2024-02-02 12:50:00,304.85,305.2,304.6,305.05
44,2024-02-02 12:55:00,305.1,305.15,304.3,304.5
45,2024-02-02 13:00:00,304.35,305.2,304.35,305.0
46,2024-02-02 13:05:00,304.95,305.0,304.65,304.7
47,2024-02-02 13:10:00,304.9,305.0,304.85,304.95
48,2024-02-02 13:15:00,304.8,305.0,304.6,305.0
49,2024-02-02 13:20:00,304.9,305.0,304.6,304.7
50,2024-02-02 13:25:00,304.6,304.85,304.6,304.85
51,2024-02-02 13:30:00,304.7,305.0,304.15,304.4
52,2024-02-02 13:35:00,304.3,304.5,303.6,304.5
53,2024-02-02 13:40:00,304.45,304.7,304.25,304.55
54,2024-02-02 13:45:00,304.55,304.55,304.1,304.2
55,2024-02-02 13:50:00,304.05,304.55,304.0,304.5
56,2024-02-02 13:55:00,304.35,304.9,304.35,304.85
57,2024-02-02 14:00:00,304.7,305.0,304.5,304.8
58,2024-02-02 14:05:00,304.65,305.0,304.45,304.75
59,2024-02-02 14:10:00,304.95,305.25,304.55,305.0
60,2024-02-02 14:15:00,304.9,305.0,304.9,305.0
61,2024-02-02 14:20:00,304.9,305.0,304.9,304.9
62,2024-02-02 14:25:00,305.0,305.0,304.55,304.85
63,2024-02-02 14:30:00,304.8,304.95,304.7,304.9
64,2024-02-02 14:35:00,304.75,304.75,304.5,304.6
65,2024-02-02 14:40:00,304.55,304.85,304.5,304.85
66,2024-02-02 14:45:00,304.65,304.95,304.6,304.7
67,2024-02-02 14:50:00,304.85,304.9,304.3,304.45
68,2024-02-02 14:55:00,304.35,304.6,304.15,304.45
69,2024-02-02 15:00:00,304.5,304.85,304.4,304.55
70,2024-02-02 15:05:00,304.65,305.0,304.5,304.85
