,time,into,inth,intl,intc
0,2024-01-30 09:15:00,143.8,144.5,143.8,144.35
1,2024-01-30 09:20:00,144.2,144.35,143.85,144.3
2,2024-01-30 09:25:00,144.35,144.35,143.8,143.9
3,2024-01-30 09:30:00,143.85,144.45,143.85,144.1
4,2024-01-30 09:35:00,144.0,144.25,143.9,143.9
5,2024-01-30 09:40:00,143.8,144.35,143.8,144.3
6,2024-01-30 09:45:00,144.35,144.35,143.9,144.0
7,2024-01-30 09:50:00,143.95,144.0,143.85,143.9
8,2024-01-30 09:55:00,143.95,144.3,143.9,144.15
9,2024-01-30 10:00:00,144.05,144.3,144.0,144.15
10,2024-01-30 10:05:00,144.2,144.25,144.05,144.15
11,2024-01-30 10:10:00,144.1,144.3,144.05,144.1
12,2024-01-30 10:15:00,144.2,144.5,144.15,144.25
13,2024-01-30 10:20:00,144.35,144.45,144.2,144.4
14,2024-01-30 10:25:00,144.35,144.35,144.15,144.2
15,2024-01-30 10:30:00,144.25,144.4,144.2,144.3
16,2024-01-30 10:35:00,144.25,144.3,144.1,144.1
17,2024-01-30 10:40:00,144.2,144.3,144.1,144.25
18,2024-01-30 10:45:00,144.15,144.3,143.9,143.9
19,2024-01-30 10:50:00,143.95,144.0,143.75,144.0
20,2024-01-30 10:55:00,144.05,144.25,143.9,144.15
21,2024-01-30 11:00:00,144.1,144.15,144.0,144.15
22,2024-01-30 11:05:00,144.1,144.15,143.9,143.9
23,2024-01-30 11:10:00,143.95,144.15,143.95,144.15
24,2024-01-30 11:15:00,144.05,144.15,144.0,144.05
25,2024-01-30 11:20:00,144.0,144.05,143.9,143.95
26,2024-01-30 11:25:00,143.9,144.15,143.9,143.95
27,2024-01-30 11:30:00,144.0,144.15,143.9,144.15
28,2024-01-30 11:35:00,144.15,144.7,144.1,144.45
29,2024-01-30 11:40:00,144.4,144.6,144.3,144.4
30,2024-01-30 11:45:00,144.5,144.55,144.25,144.4
31,2024-01-30 11:50:00,144.3,144.4,144.25,144.4
32,2024-01-30 11:55:00,144.45,144.7,144.4,144.7
33,2024-01-30 12:00:00,144.65,145.0,144.55,144.95
34,2024-01-30 12:05:00,144.85,144.9,144.6,144.65
35,2024-01-30 12:10:00,144.8,144.8,144.6,144.65
36,2024-01-30 12:15:00,144.7,144.75,144.65,144.75
37,2024-01-30 12:20:00,144.6,144.7,144.4,144.5
38,2024-01-30 12:25:00,144.45,144.65,144.3,144.6
39,2024-01-30 12:30:00,144.65,144.65,144.5,144.6
40,2024-01-30 12:35:00,144.5,144.65,144.5,144.55
41,2024-01-30 12:40:00,144.65,144.7,144.5,144.65
42,2024-01-30 12:45:00,144.6,144.7,144.55,144.65
43,2024-01-30 12:50:00,144.7,144.95,144.6,144.95
44,2024-01-30 12:55:00,144.9,144.95,144.8,144.95
45,2024-01-30 13:00:00,144.85,144.95,144.7,144.8
46,2024-01-30 13:05:00,144.7,144.8,144.5,144.55
47,2024-01-30 13:10:00,144.5,144.8,144.5,144.7
48,2024-01-30 13:15:00,144.6,144.6,144.45,144.6
49,2024-01-30 13:20:00,144.55,144.65,144.3,144.55
50,2024-01-30 13:25:00,144.45,144.6,144.4,144.6
51,2024-01-30 13:30:00,144.5,144.6,144.3,144.5
52,2024-01-30 13:35:00,144.55,144.75,144.5,144.7
53,2024-01-30 13:40:00,144.65,144.7,144.45,144.55
54,2024-01-30 13:45:00,144.5,144.6,144.3,144.35
55,2024-01-30 13:50:00,144.45,144.55,144.35,144.35
56,2024-01-30 13:55:00,144.4,144.45,144.3,144.3
57,2024-01-30 14:00:00,144.35,144.45,144.3,144.45
58,2024-01-30 14:05:00,144.4,144.45,144.1,144.25
59,2024-01-30 14:10:00,144.3,144.35,144.2,144.25
60,2024-01-30 14:15:00,144.2,144.3,144.05,144.1
61,2024-01-30 14:20:00,144.05,144.05,143.9,143.9
62,2024-01-30 14:25:00,144.0,144.0,143.7,143.75
63,2024-01-30 14:30:00,143.8,143.85,143.55,143.6
64,2024-01-30 14:35:00,143.7,143.75,143.35,143.65
65,2024-01-30 14:40:00,143.55,143.75,143.5,143.6
66,2024-01-30 14:45:00,143.45,143.8,143.35,143.8
67,2024-01-30 14:50:00,143.7,144.0,143.6,143.6
68,2024-01-30 14:55:00,143.7,143.75,143.45,143.45
69,2024-01-30 15:00:00,143.65,143.7,143.1,143.4
70,2024-01-30 15:05:00,143.35,143.5,143.0,143.05
71,2024-01-30 15:10:00,143.0,143.15,142.85,142.85
72,2024-01-30 15:15:00,142.95,143.05,142.85,142.95
73,2024-01-30 15:20:00,143.0,143.0,142.75,142.85
74,2024-01-30 15:25:00,142.8,143.0,142.5,143.0
75,2024-01-31 09:15:00,142.8,143.35,142.75,143.3
76,2024-01-31 09:20:00,143.4,143.9,143.25,143.85
77,2024-01-31 09:25:00,143.8,143.95,143.6,143.8
78,2024-01-31 09:30:00,143.75,144.0,143.7,144.0
79,2024-01-31 09:35:00,143.95,144.2,143.85,144.0
80,2024-01-31 09:40:00,144.1,144.45,143.9,144.3
81,2024-01-31 09:45:00,144.4,144.45,144.25,144.35
82,2024-01-31 09:50:00,144.4,144.4,144.0,144.05
83,2024-01-31 09:55:00,144.0,144.35,144.0,144.2
84,2024-01-31 10:00:00,144.15,144.15,143.55,144.1
85,2024-01-31 10:05:00,144.25,144.75,144.2,144.65
86,2024-01-31 10:10:00,144.7,144.95,144.6,144.85
87,2024-01-31 10:15:00,144.75,144.9,144.55,144.7
88,2024-01-31 10:20:00,144.6,144.7,144.5,144.5
89,2024-01-31 10:25:00,144.55,144.9,144.5,144.8
90,2024-01-31 10:30:00,144.75,145.05,144.75,144.95
91,2024-01-31 10:35:00,145.0,145.1,144.95,145.0
92,2024-01-31 10:40:00,145.1,145.1,144.8,144.8
93,2024-01-31 10:45:00,144.9,145.0,144.75,144.9
94,2024-01-31 10:50:00,145.0,145.15,144.9,145.05
95,2024-01-31 10:55:00,145.0,145.1,144.9,144.9
96,2024-01-31 11:00:00,144.95,144.95,144.5,144.6
97,2024-01-31 11:05:00,144.65,144.85,144.6,144.85
98,2024-01-31 11:10:00,144.75,145.45,144.75,145.35
99,2024-01-31 11:15:00,145.25,145.35,144.95,145.2
100,2024-01-31 11:20:00,145.3,145.3,145.0,145.15
101,2024-01-31 11:25:00,145.1,145.35,145.05,145.2
102,2024-01-31 11:30:00,145.15,145.35,145.1,145.25
103,2024-01-31 11:35:00,145.3,145.5,145.2,145.4
104,2024-01-31 11:40:00,145.3,145.6,145.3,145.45
105,2024-01-31 11:45:00,145.4,145.6,145.3,145.5
106,2024-01-31 11:50:00,145.45,145.5,145.15,145.2
107,2024-01-31 11:55:00,145.15,145.35,145.1,145.2
108,2024-01-31 12:00:00,145.25,145.4,145.15,145.4
109,2024-01-31 12:05:00,145.3,145.45,145.05,145.15
110,2024-01-31 12:10:00,145.05,145.15,144.8,144.85
111,2024-01-31 12:15:00,144.8,145.0,144.55,144.9
112,2024-01-31 12:20:00,144.85,145.1,144.85,145.05
113,2024-01-31 12:25:00,145.0,145.1,144.3,144.6
114,2024-01-31 12:30:00,144.5,144.8,144.4,144.8
115,2024-01-31 12:35:00,144.7,144.8,144.35,144.6
