,time,into,inth,intl,intc
0,2024-02-02 09:15:00,802.45,806.65,801.2,804.65
1,2024-02-02 09:20:00,804.95,805.05,802.0,804.25
2,2024-02-02 09:25:00,803.9,803.9,801.6,802.95
3,2024-02-02 09:30:00,802.85,803.35,801.45,802.5
4,2024-02-02 09:35:00,802.2,805.0,802.15,803.8
5,2024-02-02 09:40:00,803.65,804.6,803.0,804.6
6,2024-02-02 09:45:00,804.25,804.6,802.0,802.85
7,2024-02-02 09:50:00,802.75,805.65,802.6,805.4
8,2024-02-02 09:55:00,805.5,807.4,803.55,804.55
9,2024-02-02 10:00:00,804.9,807.1,803.8,807.0
10,2024-02-02 10:05:00,807.1,807.3,805.65,806.8
11,2024-02-02 10:10:00,806.5,806.55,805.2,805.6
12,2024-02-02 10:15:00,805.4,806.45,805.25,806.35
13,2024-02-02 10:20:00,806.4,807.15,806.0,806.3
14,2024-02-02 10:25:00,806.35,808.4,806.25,806.75
15,2024-02-02 10:30:00,806.65,806.8,805.35,805.85
16,2024-02-02 10:35:00,805.8,806.1,805.35,805.4
17,2024-02-02 10:40:00,805.7,805.7,803.05,804.45
18,2024-02-02 10:45:00,804.5,805.7,804.3,805.45
19,2024-02-02 10:50:00,805.5,806.05,805.2,805.85
20,2024-02-02 10:55:00,806.05,806.05,804.75,805.05
21,2024-02-02 11:00:00,805.1,805.25,804.0,805.0
22,2024-02-02 11:05:00,804.95,805.15,803.95,804.45
23,2024-02-02 11:10:00,804.15,805.0,803.6,804.3
24,2024-02-02 11:15:00,804.05,805.55,804.05,805.45
25,2024-02-02 11:20:00,805.55,805.7,804.2,805.0
26,2024-02-02 11:25:00,805.1,805.3,804.4,804.65
27,2024-02-02 11:30:00,805.0,805.0,802.75,803.65
28,2024-02-02 11:35:00,803.7,803.9,802.45,802.8
29,2024-02-02 11:40:00,802.65,804.0,801.25,802.5
30,2024-02-02 11:45:00,802.55,804.0,801.75,803.8
31,2024-02-02 11:50:00,803.85,805.35,803.0,804.65
32,2024-02-02 11:55:00,804.7,805.55,804.5,805.0
33,2024-02-02 12:00:00,805.05,805.95,804.5,804.7
34,2024-02-02 12:05:00,804.75,805.1,803.6,805.1
35,2024-02-02 12:10:00,804.35,804.85,803.1,804.0
36,2024-02-02 12:15:00,803.95,804.0,803.25,803.9
37,2024-02-02 12:20:00,803.95,804.75,803.3,804.0
38,2024-02-02 12:25:00,803.95,804.25,802.05,802.4
39,2024-02-02 12:30:00,802.25,802.25,798.1,801.0
40,2024-02-02 12:35:00,800.4,800.65,797.3,800.4
41,2024-02-02 12:40:00,800.35,801.75,800.05,801.2
42,2024-02-02 12:45:00,801.5,801.5,798.7,799.35
43,2024-02-02 12:50:00,799.1,800.75,797.5,800.75
44,2024-02-02 12:55:00,800.55,800.9,799.5,799.95
45,2024-02-02 13:00:00,799.8,800.55,799.0,800.0
46,2024-02-02 13:05:00,799.9,800.25,798.5,798.7
47,2024-02-02 13:10:00,798.95,799.85,798.5,798.75
48,2024-02-02 13:15:00,798.65,800.2,797.8,799.95
49,2024-02-02 13:20:00,799.9,799.9,798.2,798.25
50,2024-02-02 13:25:00,798.7,799.75,797.8,799.6
51,2024-02-02 13:30:00,799.7,799.7,798.05,798.95
52,2024-02-02 13:35:00,799.35,800.4,799.0,800.05
53,2024-02-02 13:40:00,799.9,800.05,798.8,799.3
54,2024-02-02 13:45:00,799.15,800.6,799.15,800.05
55,2024-02-02 13:50:00,800.15,801.1,799.5,800.8
56,2024-02-02 13:55:00,800.7,801.6,800.7,801.5
57,2024-02-02 14:00:00,801.4,802.2,800.9,801.05
58,2024-02-02 14:05:00,801.15,802.8,801.05,802.6
59,2024-02-02 14:10:00,802.4,802.95,801.75,802.4
60,2024-02-02 14:15:00,802.3,802.75,801.85,802.1
61,2024-02-02 14:20:00,802.15,802.65,801.5,802.2
62,2024-02-02 14:25:00,802.1,802.4,800.7,801.25
63,2024-02-02 14:30:00,801.15,802.7,801.15,802.3
64,2024-02-02 14:35:00,802.0,803.75,802.0,803.4
65,2024-02-02 14:40:00,803.35,804.0,803.25,803.45
66,2024-02-02 14:45:00,803.4,803.75,802.1,802.85
67,2024-02-02 14:50:00,802.9,803.0,799.15,799.6
68,2024-02-02 14:55:00,799.35,799.6,797.65,799.0
69,2024-02-02 15:00:00,799.15,799.95,797.4,798.8
70,2024-02-02 15:05:00,798.45,798.8,797.4,797.65
71,2024-02-02 15:10:00,797.4,797.4,794.75,795.85
72,2024-02-02 15:15:00,795.8,795.8,784.95,787.0
73,2024-02-02 15:20:00,787.35,787.9,785.05,786.65
74,2024-02-02 15:25:00,786.7,789.95,783.2,784.4
75,2024-02-03 11:00:00,784.4,784.4,784.4,784.4
76,2024-02-03 11:05:00,784.4,786.0,784.4,785.0
77,2024-02-03 11:20:00,785.0,785.0,785.0,785.0
78,2024-02-03 11:25:00,785.0,785.0,785.0,785.0
79,2024-02-03 11:30:00,785.0,790.5,785.0,790.5
80,2024-02-03 11:35:00,790.5,812.05,782.8,782.8
81,2024-02-03 12:25:00,782.8,782.8,782.8,782.8
82,2024-02-03 12:30:00,782.8,782.8,782.8,782.8
83,2024-02-03 12:35:00,800.0,800.0,800.0,800.0
84,2024-02-03 12:40:00,782.8,800.0,782.8,782.8
85,2024-02-03 12:45:00,782.8,782.8,782.8,782.8
