,time,into,inth,intl,intc
0,2024-01-30 09:15:00,3674.0,3701.7,3673.9,3695.6
1,2024-01-30 09:20:00,3693.0,3695.2,3682.25,3685.0
2,2024-01-30 09:25:00,3686.75,3688.6,3680.0,3683.95
3,2024-01-30 09:30:00,3682.05,3690.0,3677.45,3689.5
4,2024-01-30 09:35:00,3689.95,3695.0,3687.65,3693.5
5,2024-01-30 09:40:00,3694.0,3699.9,3692.4,3699.9
6,2024-01-30 09:45:00,3700.0,3700.0,3689.2,3689.9
7,2024-01-30 09:50:00,3690.7,3694.45,3689.25,3692.95
8,2024-01-30 09:55:00,3692.25,3703.9,3688.0,3697.35
9,2024-01-30 10:00:00,3697.7,3701.7,3688.0,3700.0
10,2024-01-30 10:05:00,3699.95,3701.9,3695.55,3700.8
11,2024-01-30 10:10:00,3701.6,3708.6,3690.05,3693.25
12,2024-01-30 10:15:00,3693.5,3699.25,3692.1,3694.85
13,2024-01-30 10:20:00,3694.95,3701.75,3694.95,3699.8
14,2024-01-30 10:25:00,3699.95,3700.0,3694.5,3696.45
15,2024-01-30 10:30:00,3696.4,3700.0,3693.3,3697.5
16,2024-01-30 10:35:00,3698.35,3700.0,3695.0,3699.9
17,2024-01-30 10:40:00,3699.95,3700.0,3694.55,3698.3
18,2024-01-30 10:45:00,3696.95,3697.9,3690.0,3690.0
19,2024-01-30 10:50:00,3691.5,3691.5,3683.3,3691.0
20,2024-01-30 10:55:00,3692.45,3694.8,3687.0,3691.05
21,2024-01-30 11:00:00,3691.45,3694.3,3689.25,3691.1
22,2024-01-30 11:05:00,3690.95,3690.95,3685.55,3687.05
23,2024-01-30 11:10:00,3687.95,3692.0,3687.0,3692.0
24,2024-01-30 11:15:00,3692.5,3693.4,3687.0,3689.0
25,2024-01-30 11:20:00,3690.1,3690.1,3687.0,3687.0
26,2024-01-30 11:25:00,3687.95,3696.9,3687.0,3694.1
27,2024-01-30 11:30:00,3695.8,3696.55,3690.0,3694.9
28,2024-01-30 11:35:00,3695.85,3698.95,3693.3,3696.35
29,2024-01-30 11:40:00,3696.95,3696.95,3694.35,3695.75
30,2024-01-30 11:45:00,3695.6,3695.65,3691.0,3691.75
