,time,into,inth,intl,intc
0,2024-02-02 09:15:00,335.75,338.5,334.5,337.15
1,2024-02-02 09:20:00,337.6,338.55,336.8,338.4
2,2024-02-02 09:25:00,338.3,340.45,338.3,340.2
3,2024-02-02 09:30:00,340.1,340.15,338.3,338.8
4,2024-02-02 09:35:00,339.0,341.45,338.75,340.55
5,2024-02-02 09:40:00,340.25,340.6,339.35,339.7
6,2024-02-02 09:45:00,339.5,340.25,338.1,339.15
7,2024-02-02 09:50:00,339.3,340.9,339.15,340.5
8,2024-02-02 09:55:00,340.75,345.0,340.5,343.95
9,2024-02-02 10:00:00,344.0,344.0,340.8,341.9
10,2024-02-02 10:05:00,342.2,343.35,341.9,342.7
11,2024-02-02 10:10:00,342.65,344.1,342.55,344.0
12,2024-02-02 10:15:00,343.75,345.0,343.7,344.8
13,2024-02-02 10:20:00,345.0,345.7,344.2,345.65
14,2024-02-02 10:25:00,345.6,347.2,345.45,346.65
15,2024-02-02 10:30:00,346.8,347.5,345.9,346.5
16,2024-02-02 10:35:00,346.55,346.8,345.6,346.5
17,2024-02-02 10:40:00,346.3,346.55,344.75,345.8
18,2024-02-02 10:45:00,346.0,346.25,345.65,345.9
19,2024-02-02 10:50:00,346.0,346.1,344.85,345.35
20,2024-02-02 10:55:00,345.45,345.5,344.5,345.4
21,2024-02-02 11:00:00,345.35,345.4,344.65,345.0
22,2024-02-02 11:05:00,344.8,345.75,344.65,345.15
23,2024-02-02 11:10:00,345.4,345.4,344.0,344.1
24,2024-02-02 11:15:00,344.05,345.0,343.9,344.8
25,2024-02-02 11:20:00,344.95,345.9,344.65,345.9
26,2024-02-02 11:25:00,345.85,346.0,345.5,345.5
27,2024-02-02 11:30:00,345.6,345.85,344.65,345.65
28,2024-02-02 11:35:00,345.75,345.75,344.8,345.0
29,2024-02-02 11:40:00,344.9,346.05,344.1,344.85
30,2024-02-02 11:45:00,344.75,345.15,344.1,344.35
31,2024-02-02 11:50:00,344.55,344.95,343.8,343.8
32,2024-02-02 11:55:00,344.0,344.0,343.2,343.5
33,2024-02-02 12:00:00,343.55,344.5,343.1,344.0
34,2024-02-02 12:05:00,344.05,344.3,343.55,343.8
35,2024-02-02 12:10:00,343.65,344.0,343.3,343.35
36,2024-02-02 12:15:00,343.45,344.15,343.25,344.0
37,2024-02-02 12:20:00,344.15,344.9,343.95,344.35
38,2024-02-02 12:25:00,344.3,344.7,343.1,343.1
39,2024-02-02 12:30:00,343.0,343.1,341.4,342.5
40,2024-02-02 12:35:00,342.4,342.8,341.2,342.8
41,2024-02-02 12:40:00,343.1,343.9,342.5,343.65
42,2024-02-02 12:45:00,343.8,343.85,342.3,342.45
43,2024-02-02 12:50:00,342.6,343.9,341.85,343.75
44,2024-02-02 12:55:00,343.6,344.0,343.05,343.1
45,2024-02-02 13:00:00,343.35,343.85,342.7,343.2
46,2024-02-02 13:05:00,343.3,343.9,343.05,343.25
47,2024-02-02 13:10:00,343.45,343.75,342.9,343.05
48,2024-02-02 13:15:00,342.8,344.7,342.25,344.7
49,2024-02-02 13:20:00,344.55,344.55,342.3,342.3
50,2024-02-02 13:25:00,342.55,342.95,341.35,342.7
51,2024-02-02 13:30:00,342.75,342.75,340.8,341.8
52,2024-02-02 13:35:00,341.6,342.85,341.6,342.85
53,2024-02-02 13:40:00,342.75,343.15,342.05,342.65
54,2024-02-02 13:45:00,342.8,342.9,342.1,342.1
55,2024-02-02 13:50:00,342.3,343.45,342.1,343.1
56,2024-02-02 13:55:00,343.3,344.3,343.1,344.0
57,2024-02-02 14:00:00,344.05,344.75,343.7,344.05
58,2024-02-02 14:05:00,344.25,344.7,344.05,344.45
59,2024-02-02 14:10:00,344.25,345.05,344.1,344.5
60,2024-02-02 14:15:00,344.3,345.8,344.2,345.4
61,2024-02-02 14:20:00,345.55,346.0,345.15,345.35
62,2024-02-02 14:25:00,345.6,346.45,345.35,345.75
63,2024-02-02 14:30:00,345.6,346.1,344.95,345.1
64,2024-02-02 14:35:00,345.2,346.45,345.1,346.15
65,2024-02-02 14:40:00,346.0,346.4,345.8,346.0
66,2024-02-02 14:45:00,345.9,346.2,345.7,345.7
67,2024-02-02 14:50:00,346.0,346.1,344.45,344.95
68,2024-02-02 14:55:00,345.05,345.1,343.3,343.75
69,2024-02-02 15:00:00,344.1,344.6,342.55,343.2
70,2024-02-02 15:05:00,343.35,344.35,343.05,343.95
71,2024-02-02 15:10:00,344.15,344.25,343.0,343.25
72,2024-02-02 15:15:00,343.35,343.9,342.7,342.8
73,2024-02-02 15:20:00,342.95,343.5,342.75,343.0
74,2024-02-02 15:25:00,343.1,343.45,342.25,343.0
75,2024-02-03 11:00:00,343.0,343.0,343.0,343.0
76,2024-02-03 11:05:00,343.0,374.2,343.0,355.0
77,2024-02-03 11:30:00,355.0,355.0,355.0,355.0
78,2024-02-03 11:35:00,355.0,371.75,339.25,339.25
79,2024-02-03 12:10:00,339.25,339.25,339.25,339.25
80,2024-02-03 12:15:00,339.25,356.0,339.25,356.0
81,2024-02-03 12:20:00,356.0,356.0,356.0,356.0
82,2024-02-03 12:25:00,356.0,357.1,356.0,357.1
83,2024-02-03 12:30:00,357.1,357.1,357.1,357.1
84,2024-02-03 12:35:00,357.1,357.1,357.1,357.1
85,2024-02-03 12:40:00,357.1,357.1,357.1,357.1
86,2024-02-03 12:45:00,357.1,357.1,334.7,337.6
87,2024-02-03 12:50:00,337.7,346.9,337.15,346.9
88,2024-02-03 12:55:00,347.0,347.15,335.8,336.0
89,2024-02-03 15:15:00,336.0,336.2,336.0,336.2
90,2024-02-03 15:20:00,336.2,336.2,336.2,336.2
91,2024-02-03 15:25:00,336.2,346.9,336.2,346.9
92,2024-02-05 09:15:00,346.8,346.8,340.9,345.7
93,2024-02-05 09:20:00,346.2,346.25,343.7,345.85
94,2024-02-05 09:25:00,345.75,346.55,345.2,345.3
95,2024-02-05 09:30:00,345.45,346.0,344.8,345.65
96,2024-02-05 09:35:00,345.4,345.8,345.0,345.8
97,2024-02-05 09:40:00,345.75,346.5,345.6,345.95
98,2024-02-05 09:45:00,345.75,346.25,345.75,346.05
99,2024-02-05 09:50:00,346.0,346.25,345.85,346.05
100,2024-02-05 09:55:00,346.2,346.5,345.45,346.5
101,2024-02-05 10:00:00,346.2,346.9,345.85,345.85
102,2024-02-05 10:05:00,346.1,346.75,345.45,346.35
103,2024-02-05 10:10:00,346.6,346.85,346.0,346.05
104,2024-02-05 10:15:00,346.35,346.45,344.2,344.2
105,2024-02-05 10:20:00,344.45,345.05,344.25,345.0
106,2024-02-05 10:25:00,344.85,346.15,344.85,345.65
107,2024-02-05 10:30:00,345.8,345.95,345.0,345.3
108,2024-02-05 10:35:00,345.5,346.4,345.15,345.95
109,2024-02-05 10:40:00,346.0,346.35,345.7,346.25
110,2024-02-05 10:45:00,346.3,346.55,346.0,346.3
111,2024-02-05 10:50:00,346.35,346.55,345.9,346.1
112,2024-02-05 10:55:00,346.3,349.0,346.1,348.15
113,2024-02-05 11:00:00,348.1,348.75,347.9,348.3
114,2024-02-05 11:05:00,348.15,349.45,348.15,349.2
115,2024-02-05 11:10:00,349.15,349.75,349.05,349.55
116,2024-02-05 11:15:00,349.25,350.55,349.25,349.85
117,2024-02-05 11:20:00,349.9,350.0,348.05,349.25
118,2024-02-05 11:25:00,349.1,349.4,348.75,349.0
119,2024-02-05 11:30:00,348.95,349.45,348.7,349.2
120,2024-02-05 11:35:00,349.05,349.7,349.05,349.25
121,2024-02-05 11:40:00,349.05,349.25,348.35,348.45
122,2024-02-05 11:45:00,348.5,350.3,348.3,349.95
123,2024-02-05 11:50:00,349.85,350.0,349.05,349.3
124,2024-02-05 11:55:00,349.25,349.5,348.7,348.95
125,2024-02-05 12:00:00,348.9,349.4,348.5,348.75
126,2024-02-05 12:05:00,348.95,349.05,348.0,348.4
127,2024-02-05 12:10:00,348.35,349.75,348.2,349.55
128,2024-02-05 12:15:00,349.75,350.5,349.55,349.85
129,2024-02-05 12:20:00,349.95,350.0,349.3,349.6
130,2024-02-05 12:25:00,349.45,350.45,349.45,349.85
131,2024-02-05 12:30:00,350.0,350.25,349.65,350.0
