,time,into,inth,intl,intc
0,2024-02-01 09:55:00,173.5,173.9,173.4,173.8
1,2024-02-01 10:00:00,173.85,174.0,173.05,173.6
2,2024-02-01 10:05:00,173.55,173.9,173.45,173.8
3,2024-02-01 10:10:00,173.7,173.8,173.2,173.3
4,2024-02-01 10:15:00,173.2,173.8,173.2,173.4
5,2024-02-01 10:20:00,173.3,173.55,173.15,173.55
6,2024-02-01 10:25:00,173.5,173.9,173.45,173.55
7,2024-02-01 10:30:00,173.5,173.8,173.1,173.25
8,2024-02-01 10:35:00,173.2,173.4,173.0,173.35
9,2024-02-01 10:40:00,173.4,173.4,173.0,173.1
10,2024-02-01 10:45:00,173.05,173.25,173.0,173.2
11,2024-02-01 10:50:00,173.15,173.25,172.55,172.75
12,2024-02-01 10:55:00,172.65,173.2,172.55,173.1
13,2024-02-01 11:00:00,173.2,173.2,172.75,172.8
14,2024-02-01 11:05:00,172.85,172.9,172.0,172.3
15,2024-02-01 11:10:00,172.2,172.55,172.1,172.25
16,2024-02-01 11:15:00,172.2,172.45,171.3,172.4
17,2024-02-01 11:20:00,172.3,173.35,172.0,173.3
18,2024-02-01 11:25:00,173.25,173.35,172.95,173.25
19,2024-02-01 11:30:00,173.2,173.25,172.95,173.1
20,2024-02-01 11:35:00,173.15,173.2,172.95,173.0
21,2024-02-01 11:40:00,173.15,173.5,173.05,173.45
22,2024-02-01 11:45:00,173.5,173.9,173.4,173.75
23,2024-02-01 11:50:00,173.7,173.85,172.95,173.0
24,2024-02-01 11:55:00,173.05,173.15,172.4,172.7
25,2024-02-01 12:00:00,172.6,172.85,171.6,171.9
26,2024-02-01 12:05:00,171.85,173.1,171.85,172.9
27,2024-02-01 12:10:00,172.95,173.3,172.7,173.0
28,2024-02-01 12:15:00,172.85,173.2,172.6,172.65
29,2024-02-01 12:20:00,172.85,172.9,172.5,172.75
30,2024-02-01 12:25:00,172.7,173.05,172.4,172.55
31,2024-02-01 12:30:00,172.6,173.15,172.4,172.85
32,2024-02-01 12:35:00,172.8,173.7,172.65,173.3
33,2024-02-01 12:40:00,173.25,174.0,173.25,173.85
34,2024-02-01 12:45:00,173.9,174.0,173.75,173.9
35,2024-02-01 12:50:00,173.95,175.5,173.85,175.05
36,2024-02-01 12:55:00,175.0,175.1,174.3,174.35
37,2024-02-01 13:00:00,174.4,174.8,173.95,174.75
38,2024-02-01 13:05:00,174.6,174.65,174.0,174.25
39,2024-02-01 13:10:00,174.15,174.3,173.35,173.85
40,2024-02-01 13:15:00,173.8,174.0,173.15,173.15
41,2024-02-01 13:20:00,173.3,173.75,173.3,173.55
42,2024-02-01 13:25:00,173.6,173.65,172.9,173.35
43,2024-02-01 13:30:00,173.3,173.35,172.6,173.0
44,2024-02-01 13:35:00,173.1,173.3,172.65,172.7
45,2024-02-01 13:40:00,172.75,173.0,172.35,173.0
46,2024-02-01 13:45:00,172.9,173.0,172.6,172.9
47,2024-02-01 13:50:00,172.95,173.0,172.7,172.8
48,2024-02-01 13:55:00,172.85,173.2,172.75,173.15
49,2024-02-01 14:00:00,173.1,173.3,173.0,173.3
50,2024-02-01 14:05:00,173.2,173.55,173.05,173.45
51,2024-02-01 14:10:00,173.5,173.5,173.3,173.3
52,2024-02-01 14:15:00,173.25,173.45,173.1,173.45
53,2024-02-01 14:20:00,173.4,173.6,173.3,173.6
54,2024-02-01 14:25:00,173.55,173.8,173.5,173.75
55,2024-02-01 14:30:00,173.7,173.85,173.5,173.6
56,2024-02-01 14:35:00,173.5,173.6,173.15,173.2
57,2024-02-01 14:40:00,173.3,173.5,173.2,173.3
58,2024-02-01 14:45:00,173.35,173.9,173.3,173.8
59,2024-02-01 14:50:00,173.7,173.85,173.45,173.7
60,2024-02-01 14:55:00,173.65,173.7,173.45,173.7
61,2024-02-01 15:00:00,173.65,173.8,173.45,173.7
62,2024-02-01 15:05:00,173.65,173.8,173.65,173.7
63,2024-02-01 15:10:00,173.75,173.8,173.5,173.6
64,2024-02-01 15:15:00,173.65,173.9,173.5,173.7
65,2024-02-01 15:20:00,173.8,173.9,173.6,173.7
66,2024-02-01 15:25:00,173.65,175.9,173.5,175.9
67,2024-02-02 09:15:00,175.6,175.8,175.1,175.7
68,2024-02-02 09:20:00,175.8,176.1,175.4,175.65
69,2024-02-02 09:25:00,175.7,175.8,175.35,175.6
70,2024-02-02 09:30:00,175.65,176.65,175.25,176.6
71,2024-02-02 09:35:00,176.65,176.65,175.9,176.1
72,2024-02-02 09:40:00,176.15,176.9,175.8,176.9
73,2024-02-02 09:45:00,176.85,177.0,176.1,176.2
74,2024-02-02 09:50:00,176.15,176.4,176.15,176.25
75,2024-02-02 09:55:00,176.15,176.5,175.85,176.3
76,2024-02-02 10:00:00,176.4,176.65,176.3,176.65
77,2024-02-02 10:05:00,176.55,176.8,176.45,176.65
78,2024-02-02 10:10:00,176.6,176.65,176.2,176.5
79,2024-02-02 10:15:00,176.4,176.9,176.05,176.25
80,2024-02-02 10:20:00,176.35,176.45,175.7,176.0
81,2024-02-02 10:25:00,175.95,176.5,175.65,176.5
82,2024-02-02 10:30:00,176.4,177.8,176.25,177.4
83,2024-02-02 10:35:00,177.45,177.45,176.9,177.0
84,2024-02-02 10:40:00,177.1,177.25,176.8,176.9
85,2024-02-02 10:45:00,176.95,177.2,176.9,177.15
86,2024-02-02 10:50:00,177.1,177.5,177.0,177.25
87,2024-02-02 10:55:00,177.15,177.45,177.1,177.35
88,2024-02-02 11:00:00,177.3,177.4,177.1,177.2
89,2024-02-02 11:05:00,177.1,177.45,177.1,177.4
90,2024-02-02 11:10:00,177.3,177.5,177.1,177.35
91,2024-02-02 11:15:00,177.3,177.5,177.1,177.35
92,2024-02-02 11:20:00,177.25,177.95,177.25,177.85
93,2024-02-02 11:25:00,177.9,178.1,177.7,177.75
94,2024-02-02 11:30:00,177.85,177.95,177.55,177.75
95,2024-02-02 11:35:00,177.8,177.95,177.55,177.65
96,2024-02-02 11:40:00,177.55,177.75,177.3,177.5
97,2024-02-02 11:45:00,177.35,177.6,177.25,177.5
98,2024-02-02 11:50:00,177.45,178.0,177.4,177.8
99,2024-02-02 11:55:00,177.75,178.1,177.7,177.9
100,2024-02-02 12:00:00,177.85,178.35,177.8,178.3
101,2024-02-02 12:05:00,178.35,178.5,177.85,178.0
102,2024-02-02 12:10:00,177.9,178.0,177.6,177.8
103,2024-02-02 12:15:00,177.75,178.1,177.7,178.0
104,2024-02-02 12:20:00,178.05,178.1,177.8,177.85
105,2024-02-02 12:25:00,177.8,178.4,177.2,177.3
106,2024-02-02 12:30:00,177.4,177.4,176.05,177.05
107,2024-02-02 12:35:00,177.0,177.0,176.0,176.9
108,2024-02-02 12:40:00,177.0,177.8,177.0,177.65
109,2024-02-02 12:45:00,177.75,177.9,177.1,177.2
110,2024-02-02 12:50:00,177.15,179.0,176.7,178.6
111,2024-02-02 12:55:00,178.7,179.3,177.9,178.3
112,2024-02-02 13:00:00,178.25,178.7,177.85,178.5
113,2024-02-02 13:05:00,178.6,178.9,178.3,178.65
114,2024-02-02 13:10:00,178.7,179.25,178.25,178.6
115,2024-02-02 13:15:00,178.5,179.8,178.05,179.55
116,2024-02-02 13:20:00,179.45,179.6,177.85,178.0
117,2024-02-02 13:25:00,177.95,178.65,177.6,178.55
118,2024-02-02 13:30:00,178.5,178.55,177.75,178.1
119,2024-02-02 13:35:00,178.15,178.7,178.0,178.6
120,2024-02-02 13:40:00,178.65,178.8,178.3,178.8
121,2024-02-02 13:45:00,178.75,179.4,178.75,178.8
122,2024-02-02 13:50:00,178.95,179.35,178.8,179.25
123,2024-02-02 13:55:00,179.3,179.7,179.2,179.55
124,2024-02-02 14:00:00,179.6,179.65,179.0,179.0
125,2024-02-02 14:05:00,178.95,179.8,178.95,179.75
126,2024-02-02 14:10:00,179.65,179.8,179.3,179.4
127,2024-02-02 14:15:00,179.55,180.0,179.25,179.6
128,2024-02-02 14:20:00,179.5,179.7,179.1,179.35
129,2024-02-02 14:25:00,179.3,179.65,179.1,179.15
130,2024-02-02 14:30:00,179.2,179.3,178.75,178.85
131,2024-02-02 14:35:00,178.95,179.1,178.8,178.9
132,2024-02-02 14:40:00,178.95,179.0,178.6,178.7
133,2024-02-02 14:45:00,178.75,178.95,178.15,178.35
134,2024-02-02 14:50:00,178.3,178.5,177.85,178.15
135,2024-02-02 14:55:00,178.1,178.35,177.65,177.9
136,2024-02-02 15:00:00,177.95,178.2,177.5,177.9
137,2024-02-02 15:05:00,177.95,178.1,177.8,177.95
138,2024-02-02 15:10:00,177.85,178.05,177.65,177.8
139,2024-02-02 15:15:00,177.75,177.8,177.5,177.6
140,2024-02-02 15:20:00,177.75,177.95,177.6,177.85
141,2024-02-02 15:25:00,177.9,178.5,177.85,178.5
142,2024-02-03 11:00:00,178.5,178.5,178.5,178.5
143,2024-02-03 11:05:00,178.5,189.9,178.5,189.9
144,2024-02-03 11:15:00,190.0,194.65,182.25,182.25
145,2024-02-03 11:20:00,178.6,182.25,161.1,167.5
146,2024-02-03 11:25:00,169.7,169.7,161.4,169.7
147,2024-02-03 11:30:00,161.4,169.7,161.4,169.7
148,2024-02-03 11:35:00,169.7,185.0,167.6,178.5
149,2024-02-03 12:05:00,178.5,180.0,178.0,178.0
150,2024-02-03 12:10:00,178.0,178.0,172.1,178.0
151,2024-02-03 12:15:00,178.0,178.0,178.0,178.0
152,2024-02-03 12:20:00,178.0,178.0,178.0,178.0
153,2024-02-03 12:25:00,179.0,179.0,177.9,177.9
154,2024-02-03 12:30:00,177.9,177.9,169.7,169.7
155,2024-02-03 12:35:00,169.7,172.1,169.7,172.1
156,2024-02-03 12:40:00,174.0,174.0,165.5,174.0
157,2024-02-03 12:45:00,165.5,170.0,161.0,161.0
158,2024-02-03 12:50:00,160.15,176.9,160.15,176.15
159,2024-02-03 12:55:00,176.25,176.8,176.25,176.65
160,2024-02-03 15:00:00,180.0,180.0,180.0,180.0
161,2024-02-03 15:05:00,180.0,184.3,180.0,184.3
162,2024-02-03 15:10:00,184.3,184.3,175.9,175.9
163,2024-02-03 15:15:00,175.9,175.9,175.9,175.9
164,2024-02-03 15:20:00,175.9,175.9,175.9,175.9
165,2024-02-03 15:25:00,175.9,180.0,175.9,180.0
166,2024-02-05 09:15:00,179.4,179.85,178.1,179.3
167,2024-02-05 09:20:00,179.4,180.7,179.25,180.25
168,2024-02-05 09:25:00,180.3,181.8,180.15,181.6
169,2024-02-05 09:30:00,181.65,181.65,180.95,181.1
170,2024-02-05 09:35:00,180.9,181.75,180.85,181.75
171,2024-02-05 09:40:00,181.8,181.8,181.35,181.65
172,2024-02-05 09:45:00,181.6,182.2,181.55,182.15
173,2024-02-05 09:50:00,182.1,182.2,181.75,181.9
174,2024-02-05 09:55:00,181.95,182.35,181.15,182.2
175,2024-02-05 10:00:00,182.25,182.35,181.55,181.65
176,2024-02-05 10:05:00,181.75,182.5,181.4,182.4
177,2024-02-05 10:10:00,182.45,182.75,182.05,182.2
178,2024-02-05 10:15:00,182.1,182.5,181.65,181.7
179,2024-02-05 10:20:00,181.75,183.25,181.55,183.1
180,2024-02-05 10:25:00,183.2,183.8,182.9,183.6
181,2024-02-05 10:30:00,183.5,183.6,182.8,182.9
182,2024-02-05 10:35:00,182.8,183.85,182.8,183.65
183,2024-02-05 10:40:00,183.6,184.0,183.55,183.9
184,2024-02-05 10:45:00,183.85,184.65,183.6,184.35
185,2024-02-05 10:50:00,184.4,184.65,183.8,183.9
186,2024-02-05 10:55:00,183.95,184.05,183.45,183.6
187,2024-02-05 11:00:00,183.55,183.8,183.2,183.35
188,2024-02-05 11:05:00,183.3,183.3,182.8,183.1
189,2024-02-05 11:10:00,183.05,183.5,182.95,183.45
190,2024-02-05 11:15:00,183.5,183.5,182.95,183.15
191,2024-02-05 11:20:00,183.05,183.75,183.05,183.6
192,2024-02-05 11:25:00,183.65,183.65,183.1,183.4
193,2024-02-05 11:30:00,183.35,183.8,183.2,183.75
194,2024-02-05 11:35:00,183.8,184.0,183.6,183.95
