,time,into,inth,intl,intc
0,2024-02-02 09:15:00,738.0,739.0,734.35,737.0
1,2024-02-02 09:20:00,737.25,741.1,736.45,738.8
2,2024-02-02 09:25:00,738.6,741.1,737.9,741.1
3,2024-02-02 09:30:00,741.15,742.85,739.35,740.75
4,2024-02-02 09:35:00,741.0,744.0,739.55,742.7
5,2024-02-02 09:40:00,743.05,743.2,741.35,742.95
6,2024-02-02 09:45:00,743.2,743.2,740.5,742.75
7,2024-02-02 09:50:00,742.55,742.95,742.35,742.65
8,2024-02-02 09:55:00,742.5,742.7,741.05,741.45
9,2024-02-02 10:00:00,741.25,741.95,739.65,741.45
10,2024-02-02 10:05:00,741.8,741.8,740.3,740.75
11,2024-02-02 10:10:00,740.35,742.4,740.2,742.4
12,2024-02-02 10:15:00,742.35,742.9,741.4,741.45
13,2024-02-02 10:20:00,741.75,741.75,740.35,740.55
14,2024-02-02 10:25:00,740.8,741.35,740.3,741.35
15,2024-02-02 10:30:00,742.85,743.6,741.65,742.7
16,2024-02-02 10:35:00,742.85,744.75,742.85,743.85
17,2024-02-02 10:40:00,743.9,744.35,742.05,743.7
18,2024-02-02 10:45:00,744.0,744.85,743.6,744.35
19,2024-02-02 10:50:00,744.3,744.8,743.2,743.4
20,2024-02-02 10:55:00,743.25,743.45,742.0,742.1
21,2024-02-02 11:00:00,742.85,742.85,742.0,742.7
22,2024-02-02 11:05:00,743.2,743.35,741.95,742.0
23,2024-02-02 11:10:00,741.9,742.55,741.75,741.8
24,2024-02-02 11:15:00,741.95,742.25,741.0,741.2
25,2024-02-02 11:20:00,741.5,741.9,741.15,741.35
26,2024-02-02 11:25:00,741.65,741.7,741.1,741.1
27,2024-02-02 11:30:00,741.2,741.75,740.1,740.7
28,2024-02-02 11:35:00,741.0,741.0,740.25,740.85
29,2024-02-02 11:40:00,740.4,740.6,739.1,739.1
30,2024-02-02 11:45:00,738.9,741.2,738.55,741.15
31,2024-02-02 11:50:00,741.25,742.8,741.1,741.1
32,2024-02-02 11:55:00,741.1,742.45,741.1,742.4
33,2024-02-02 12:00:00,742.5,742.95,741.95,742.55
34,2024-02-02 12:05:00,742.9,744.45,742.55,743.85
35,2024-02-02 12:10:00,743.5,744.05,742.45,743.35
36,2024-02-02 12:15:00,743.1,744.0,742.3,743.0
37,2024-02-02 12:20:00,742.95,743.7,742.55,743.15
38,2024-02-02 12:25:00,743.05,743.8,740.6,742.75
39,2024-02-02 12:30:00,743.5,743.5,737.95,737.95
40,2024-02-02 12:35:00,738.1,739.5,734.75,739.1
41,2024-02-02 12:40:00,739.7,740.9,739.1,740.9
42,2024-02-02 12:45:00,741.0,741.15,739.25,739.25
