,time,into,inth,intl,intc
0,2024-02-02 09:15:00,1259.85,1261.6,1250.0,1259.05
1,2024-02-02 09:20:00,1258.8,1260.45,1254.45,1255.25
2,2024-02-02 09:25:00,1254.55,1255.0,1251.65,1254.75
3,2024-02-02 09:30:00,1254.95,1255.95,1250.95,1251.9
4,2024-02-02 09:35:00,1251.85,1254.55,1249.95,1253.0
5,2024-02-02 09:40:00,1252.45,1254.7,1250.5,1250.5
6,2024-02-02 09:45:00,1250.25,1254.4,1250.25,1254.4
7,2024-02-02 09:50:00,1253.7,1254.6,1250.7,1250.7
8,2024-02-02 09:55:00,1250.75,1253.7,1250.0,1251.75
9,2024-02-02 10:00:00,1251.9,1252.7,1250.3,1252.5
10,2024-02-02 10:05:00,1252.55,1253.3,1251.0,1251.0
11,2024-02-02 10:10:00,1251.05,1251.05,1248.6,1249.95
12,2024-02-02 10:15:00,1250.0,1252.0,1249.95,1251.55
13,2024-02-02 10:20:00,1251.3,1251.9,1250.45,1251.05
14,2024-02-02 10:25:00,1251.4,1251.4,1248.65,1249.7
15,2024-02-02 10:30:00,1250.0,1250.5,1245.25,1247.35
16,2024-02-02 10:35:00,1247.9,1250.7,1247.05,1248.4
17,2024-02-02 10:40:00,1248.1,1249.85,1248.0,1248.8
18,2024-02-02 10:45:00,1248.95,1251.9,1248.0,1250.5
19,2024-02-02 10:50:00,1251.35,1251.35,1250.0,1250.15
20,2024-02-02 10:55:00,1250.0,1250.75,1249.55,1250.15
21,2024-02-02 11:00:00,1250.25,1250.25,1250.0,1250.05
22,2024-02-02 11:05:00,1250.0,1250.1,1247.75,1247.8
23,2024-02-02 11:10:00,1247.85,1248.55,1246.0,1247.0
24,2024-02-02 11:15:00,1246.5,1250.0,1246.2,1249.95
25,2024-02-02 11:20:00,1249.9,1255.8,1249.9,1254.05
26,2024-02-02 11:25:00,1254.0,1254.0,1251.15,1251.3
27,2024-02-02 11:30:00,1252.15,1252.15,1246.75,1248.9
28,2024-02-02 11:35:00,1248.8,1250.55,1248.45,1249.05
29,2024-02-02 11:40:00,1249.55,1251.9,1249.1,1250.55
30,2024-02-02 11:45:00,1250.5,1253.65,1249.1,1252.9
31,2024-02-02 11:50:00,1253.45,1256.6,1253.4,1256.5
32,2024-02-02 11:55:00,1256.1,1256.45,1255.05,1255.65
33,2024-02-02 12:00:00,1255.55,1255.65,1255.05,1255.2
34,2024-02-02 12:05:00,1255.15,1255.2,1252.65,1252.75
35,2024-02-02 12:10:00,1252.7,1252.8,1250.0,1251.35
36,2024-02-02 12:15:00,1251.2,1252.65,1249.05,1250.0
37,2024-02-02 12:20:00,1250.2,1250.7,1249.0,1249.7
38,2024-02-02 12:25:00,1249.1,1250.9,1242.55,1243.15
39,2024-02-02 12:30:00,1243.0,1243.0,1236.15,1239.9
40,2024-02-02 12:35:00,1240.1,1243.4,1237.9,1242.65
41,2024-02-02 12:40:00,1243.25,1247.3,1242.6,1247.3
42,2024-02-02 12:45:00,1247.35,1247.35,1245.0,1246.1
43,2024-02-02 12:50:00,1245.65,1247.75,1245.55,1246.15
44,2024-02-02 12:55:00,1246.2,1247.15,1244.0,1244.3
45,2024-02-02 13:00:00,1244.7,1245.7,1239.6,1239.6
